"sim","censoring","n","perc_censored","alpha_d","beta_d","gamma_d","alpha_e","beta_e","gamma_e","alpha_w","beta_w","gamma_w"
"129-1","extra_heavy",2000,0.7745,0.974757880261924,0.729094017125948,0.270365826597779,0.975471384311559,0.624444491176988,0.272380543286199,0.975407472740893,0.633830224961785,0.272183027608451
"129-2","extra_heavy",2000,0.7835,1.03964568615136,0.810565035871091,0.29167361597914,1.07401305382015,0.317839210481422,0.279328388906099,1.08639660526054,0.188824352091345,0.274327006636643
"129-3","extra_heavy",2000,0.766,1.04579856803468,0.785639605825118,0.199772714454142,1.05803970923659,0.529107444620721,0.18921744084707,1.06266167354462,0.451115549118824,0.185405934743182
"129-4","extra_heavy",2000,0.7815,1.01759687811626,0.858383032838851,0.284940111002647,1.02077583954998,0.628566958308774,0.28624011050846,1.02202488227015,0.546695206272297,0.28681874209619
"129-5","extra_heavy",2000,0.7785,0.840338231396716,1.40664250213907,0.288148922516866,0.85019426374602,1.22080478016588,0.283697161018503,0.850272568930069,1.21937808495554,0.283659788175449
"129-6","extra_heavy",2000,0.7915,1.01252051141558,1.03874268761593,0.280234913387157,1.01504605114458,0.702920013411449,0.285213204398349,1.01628202307248,0.600629124355001,0.287040037521464
"129-7","extra_heavy",2000,0.7705,0.888781666332979,1.31554914129002,0.370110101734958,0.904338332820606,0.871093554008639,0.357597087254573,0.91042971877478,0.730363535903442,0.352609549496271
"129-8","extra_heavy",2000,0.7835,0.958846935890266,1.45467525883978,0.257960317211934,0.976002700764809,0.800769070848226,0.264048440048016,0.985228006652605,0.533377854094539,0.267605341817865
"129-9","extra_heavy",2000,0.77,0.971605689219233,1.26708795046279,0.227616633489747,0.986788839271177,0.663979313088219,0.235693048569231,0.994384914236035,0.422006514888237,0.240371465981274
"129-10","extra_heavy",2000,0.762,0.98864616716114,1.54385907830302,0.172259199750156,0.994352855545435,0.965244152980787,0.183543377758604,0.997469831378553,0.755104408010405,0.188796426648733
"129-11","extra_heavy",2000,0.7765,0.890162088581358,1.74166687195028,0.290465785842189,0.91318101758444,1.022677932942,0.300491052891246,0.92224517575032,0.773381790100883,0.305028970386901
"129-12","extra_heavy",2000,0.763,0.994648405033346,1.29466634393054,0.206915224711483,0.992028738832131,0.886103256644723,0.214644477447092,0.991653205962076,0.77904357872348,0.217131283131511
"129-13","extra_heavy",2000,0.7785,1.00005525732085,1.23162198982564,0.309177768752088,1.00313061419604,0.799329823500623,0.31045743495232,1.00847664280715,0.533796469464089,0.311522167333842
"129-14","extra_heavy",2000,0.7915,1.00898051213584,0.739594072110992,0.289799430884289,1.01546411326556,0.406919791166128,0.294369093460723,1.01838923720475,0.2734015199315,0.297055739005397
"129-15","extra_heavy",2000,0.7615,1.01539892403591,0.971608139587693,0.218101255173641,1.01821658557599,0.88205058994645,0.218024439691457,1.01861657875013,0.869426564202248,0.218013260660641
"129-16","extra_heavy",2000,0.7805,1.07362737469181,0.761706011160294,0.190593521736862,1.07932412778075,0.553681037369209,0.192289965751933,1.08184734933546,0.476142076021568,0.193020954505315
"129-17","extra_heavy",2000,0.766,0.964782472526954,1.51828513280599,0.273376334682897,0.983701131422626,0.855026587272322,0.25886761346349,1.00157714161435,0.494331256922062,0.2483558047021
"129-18","extra_heavy",2000,0.7615,1.01991294461826,0.931136852699187,0.206833419592379,1.02176226684247,0.731110808646553,0.201354874545151,1.02265428646077,0.674328169810297,0.199562855060142
"129-19","extra_heavy",2000,0.7765,0.986921719883575,1.13095092330316,0.240420623091381,1.00292942272851,0.784201876900828,0.234321276381674,1.00645042436296,0.715522305170531,0.232837405783691
"129-20","extra_heavy",2000,0.771,0.998138774596134,1.3358067123249,0.235015173483935,1.00949544501216,0.695408064785679,0.239355990187257,1.01804767286804,0.363358682775428,0.24271622660703
"129-21","extra_heavy",2000,0.7805,0.975715803509971,1.00018938197875,0.281603437634845,0.981675682539015,0.836465567731479,0.278312292177092,0.983182270392333,0.800584412001061,0.277538665385268
"129-22","extra_heavy",2000,0.7625,0.939798106177768,1.19454724914747,0.234354993553457,0.952295512427541,0.714124453779473,0.221165809174897,0.957531125121128,0.563710831038105,0.215524631426162
"129-23","extra_heavy",2000,0.7835,1.01823380860378,0.857428262850125,0.205751140759952,1.03037734992763,0.515899701803467,0.188010274523055,1.03339043383718,0.453003311781008,0.183737570262312
"129-24","extra_heavy",2000,0.7765,1.06407667345284,0.614413740875385,0.242679941414595,1.06965936082984,0.447125498450307,0.240717086425629,1.07256672594258,0.375867275098736,0.239747541485742
"129-25","extra_heavy",2000,0.78,1.05184243652335,0.489253646996483,0.262383943372222,1.05496897529081,0.415627143201006,0.259524925731877,1.0548305072716,0.418514531720986,0.259645673535747
"129-26","extra_heavy",2000,0.757,0.877308593185855,1.57206377190613,0.263735654382918,0.880426597695248,1.22180735920528,0.281393463434517,0.880743107269912,1.18813682275655,0.283294198988102
"129-27","extra_heavy",2000,0.759,0.910361327166141,0.884436463031026,0.285104483709038,0.912630284645092,0.684481884816866,0.29118556245353,0.912880060207086,0.686073485202854,0.291045430659011
"129-28","extra_heavy",2000,0.782,1.00001056570015,1.05960593006761,0.23141696723034,1.00826192904299,0.59521068432874,0.225405016414958,1.01229352295124,0.438261566970195,0.222540446100408
"129-29","extra_heavy",2000,0.8105,0.978938759494252,1.19220542812954,0.282023709160831,0.996515556622087,0.616018872150405,0.272349491129227,1.00501069230931,0.409485219846846,0.267115483554043
"129-30","extra_heavy",2000,0.766,1.06060355212401,0.716072936931852,0.272608994285653,1.07336102134246,0.411922550927824,0.276423857457892,1.07728233821989,0.323906120485232,0.277906695280767
"129-31","extra_heavy",2000,0.781,1.0629745267474,0.67475633767447,0.241578975115404,1.06339540334564,0.48199456537273,0.242006566394264,1.06365111030409,0.44746483433313,0.242108846045815
"129-32","extra_heavy",2000,0.774,0.966437272614522,1.64041179716004,0.223410056966431,0.981250943630964,0.865713931010115,0.212844490642469,0.993230966451056,0.49702853864985,0.204947863667178
"129-33","extra_heavy",2000,0.772,0.983658933273762,1.0540201815321,0.274964036047518,0.987744191650801,0.928692525648993,0.273418867424561,0.987941547701786,0.923013087739008,0.273343242585372
"129-34","extra_heavy",2000,0.76,1.04920934868752,0.694686505665704,0.232359549350016,1.05708557337922,0.424032558349842,0.22636196059137,1.06105957018952,0.324375524047926,0.223439988908531
"129-35","extra_heavy",2000,0.776,1.03282404195845,1.07402837893906,0.233636265738619,1.04567977954589,0.640759431880475,0.231165269425399,1.05096593898875,0.500182381492458,0.230180166127048
"129-36","extra_heavy",2000,0.7685,0.917395700346105,1.78870542866618,0.311528610679612,0.943297617778651,1.1131801802216,0.29718123405861,0.958477463973684,0.804727400533363,0.288747455994815
"129-37","extra_heavy",2000,0.764,1.00183994575961,1.23451360404577,0.220675293354542,1.02136769417104,0.661183421998266,0.206868408969361,1.02928336514732,0.486417392587098,0.200692850878294
"129-38","extra_heavy",2000,0.7715,1.04134300467828,1.08177105183092,0.19530941561122,1.04580900152896,0.795275802886794,0.18969312452426,1.04817869147153,0.695807310477326,0.18743807768563
"129-39","extra_heavy",2000,0.7835,0.995708276230539,1.60611864877515,0.158407498176434,1.01923992934063,0.776187083830609,0.152154300224026,1.03268166316582,0.430168890692348,0.147969182845758
