"sim","censoring","n","perc_censored","alpha_d","beta_d","gamma_d","alpha_e","beta_e","gamma_e","alpha_w","beta_w","gamma_w"
"127-1","heavy",2000,0.3925,1.06463873966841,0.43241819701418,0.27949958501453,1.06525159995656,0.431865651247851,0.279229103144924,1.06546288093089,0.431675609620446,0.279134276704649
"127-2","heavy",2000,0.389,1.03350129831498,0.508201316713633,0.18049196850844,1.04826481409993,0.494869937922163,0.178614493977924,1.05936349158039,0.48491215927841,0.177816826694658
"127-3","heavy",2000,0.382,0.998924436157056,0.465435002651077,0.271370708881787,1.00023192778564,0.464179674749353,0.267794741063439,1.00257999435197,0.46204515861283,0.267113130514648
"127-4","heavy",2000,0.3965,0.966459194770192,0.529933267600687,0.304046025346116,0.970340370859028,0.526353837526286,0.30294561309308,0.972142974571605,0.524694472037037,0.302482703617877
"127-5","heavy",2000,0.3935,1.05335394848038,0.473323228028916,0.201075339157207,1.06006602958636,0.467123020672966,0.199737764193802,1.06322604246968,0.464202337153276,0.199501528457359
"127-6","heavy",2000,0.3885,1.15099213278446,0.351060789060659,0.271882136911131,1.15310970326521,0.349127380059582,0.271659270012919,1.15407874137838,0.348240065895264,0.271561311571258
"127-7","heavy",2000,0.3895,1.04611458710826,0.469753808127329,0.24065170141317,1.05720591953493,0.459588140179627,0.241538938334916,1.06083099911019,0.456271785513858,0.241234029608486
"127-8","heavy",2000,0.37,1.06203238484456,0.465092691765122,0.294664189796414,1.06606664539333,0.461462976542671,0.293814623293666,1.06926118335787,0.458591510256329,0.293248153626466
"127-9","heavy",2000,0.3935,1.04030536094653,0.479710507787906,0.268226615628669,1.04131931110404,0.478789079578454,0.26769527740081,1.04169259240263,0.47844876704702,0.267505025441047
"127-10","heavy",2000,0.406,0.919750277799148,0.53627210654529,0.23068930181322,0.940774908162629,0.51695588517266,0.229747273034784,0.955258080699012,0.503712084008976,0.229880443275629
"127-11","heavy",2000,0.3875,0.966891719566192,0.541156493783678,0.259541567991172,0.971121846777507,0.537376514723317,0.255414735116496,0.981166656060094,0.528514578523429,0.257232945413266
"127-12","heavy",2000,0.3865,0.974293036875958,0.522880128320855,0.166858459787925,0.975033040603759,0.521329866819228,0.165928817024456,0.981301375895982,0.515922436670844,0.167494743629931
"127-13","heavy",2000,0.4035,0.95996558393065,0.455173984173716,0.374628421164239,0.96308858199775,0.45231761723967,0.373778498760668,0.964546263122225,0.450997671539081,0.373420555768759
"127-14","heavy",2000,0.3825,1.09676943551848,0.433553646323741,0.142362808798093,1.10021132028212,0.430456901373427,0.142272428700583,1.10389774590813,0.427143702553191,0.142341674044295
"127-15","heavy",2000,0.3875,1.06216152803768,0.440141357925854,0.280074682405546,1.07071639149186,0.432299209595371,0.280199152740825,1.07362692432819,0.429635944033595,0.280376997112173
"127-16","heavy",2000,0.373,1.06309792046026,0.467195637416541,0.261645929389246,1.06490988019735,0.465505270993368,0.261052673584298,1.06564706202111,0.464816670395532,0.26081905528994
"127-17","heavy",2000,0.371,0.883953704159706,0.57227092969903,0.259352339297417,0.887677345676043,0.568829061864198,0.258293702256979,0.88946190289247,0.567183916475781,0.257900628682147
"127-18","heavy",2000,0.3665,1.00674187097173,0.511515195694023,0.208275789412094,1.0090823824654,0.509378704202744,0.207693790306205,1.01074088258673,0.507872306240232,0.207285653361175
"127-19","heavy",2000,0.3965,0.922972594273408,0.549076154918325,0.240259222614517,0.925154290558346,0.54695227801925,0.23625114508761,0.926675352823137,0.545538428228088,0.235872649424549
"127-20","heavy",2000,0.3815,1.0035300693275,0.496900766499637,0.218564865611055,1.0052484370257,0.495328593616668,0.218028148077276,1.00636842800328,0.494308825302326,0.217651407573477
"127-21","heavy",2000,0.388,0.934933203351033,0.551227586001321,0.193353628570967,0.944480388808289,0.5426893168479,0.193467210522973,0.953383485180355,0.534728454691749,0.193794640679231
"127-22","heavy",2000,0.3785,1.09636521714947,0.418937164026846,0.32332959975767,1.09768498873133,0.417759575530557,0.323051609554286,1.0980622589965,0.417423029394009,0.322972297426738
"127-23","heavy",2000,0.3765,0.953248011901567,0.558189761077648,0.236348823872117,0.945727778678631,0.564871022926746,0.232026839623668,0.946920425625807,0.563782556643958,0.231539759787765
"127-24","heavy",2000,0.3995,0.919450081195699,0.574732088562345,0.218868681280852,0.921534125684738,0.572894547849791,0.218332353367287,0.922984855715965,0.571614894919056,0.217960266262164
"127-25","heavy",2000,0.3725,1.04623340669434,0.460204740635089,0.281870058014816,1.03992526430304,0.465741451075561,0.278908845456672,1.04006528194273,0.465615391268238,0.278793102440679
"127-26","heavy",2000,0.387,1.02709708731092,0.45026547564684,0.291141492882005,1.0342794107355,0.443646848372879,0.289193479183765,1.03726590976141,0.440908578886711,0.288812933567512
"127-27","heavy",2000,0.3845,1.03662374929657,0.467032387810727,0.334715423018392,1.03075217008249,0.472315710044175,0.330710389634155,1.03132109869817,0.471802168666032,0.330429943144843
"127-28","heavy",2000,0.392,1.12121427402495,0.389387905108732,0.293449651995813,1.12062666950993,0.389552573641768,0.291107302405144,1.12245974231613,0.387844241564766,0.290664784167351
"127-29","heavy",2000,0.3755,1.14141635445288,0.446535617885755,0.215771562646432,1.14240573143105,0.445616418934929,0.215452519320551,1.14311273253783,0.444957528873936,0.215232969985731
"127-30","heavy",2000,0.391,1.00401181067662,0.474376808594368,0.298203236363043,1.00551561761421,0.473067332543008,0.297892088878336,1.00615505222303,0.472511703350171,0.297774923859752
"127-31","heavy",2000,0.4085,0.970502873265828,0.537578843473057,0.209213752767249,0.972538693562828,0.535827368968262,0.208425201799732,0.973671486622384,0.5348496317799,0.208003238530546
"127-32","heavy",2000,0.391,1.01679436046676,0.488378775582098,0.240781218227428,1.01938557608639,0.485945251001074,0.239431211399442,1.02040126297668,0.484996950547801,0.238947727230875
"127-33","heavy",2000,0.3815,1.0558013047241,0.495920226008701,0.177171309533315,1.06171155910759,0.490657251410488,0.176150702718853,1.06388224397992,0.488731540465729,0.175915190325189
"127-34","heavy",2000,0.3875,1.08369480840684,0.496151474384005,0.174849394183627,1.08593168012296,0.494392683061886,0.17262931328489,1.08812167051223,0.492405666091423,0.17218363855676
"127-35","heavy",2000,0.393,0.930762797242949,0.549107375507027,0.236259621184724,0.9339935666095,0.54614172224032,0.23547641826506,0.934856788447054,0.545350628160391,0.235271086298603
"127-36","heavy",2000,0.3995,0.919941534996548,0.548344917817058,0.222782717801539,0.934945374096939,0.534951792596403,0.221660508859851,0.941456592434294,0.529139392202691,0.221151658297093
"127-37","heavy",2000,0.3795,0.973102298853606,0.506456182087931,0.257919363862291,0.976672626584946,0.503333534437677,0.257527654868812,0.979215437440827,0.501112987894338,0.257296253951961
"127-38","heavy",2000,0.3915,1.09409282068514,0.419355188890624,0.280516212163788,1.09703764624317,0.416714572337768,0.279956235040333,1.09966771580052,0.414360322616557,0.279501495511337
"127-39","heavy",2000,0.386,1.09256079793608,0.462988550523311,0.158855562469046,1.10377240480441,0.453105543346005,0.160839534699134,1.1130451824068,0.444913092805977,0.16090682090588
"127-40","heavy",2000,0.3695,1.00302551145138,0.515228296190049,0.191221457081892,1.01777057378141,0.501378855797352,0.188842405370007,1.02847269385401,0.491462559941675,0.188277375904178
"127-41","heavy",2000,0.385,1.04842871642625,0.489537387607887,0.182258215657067,1.05898661093012,0.480454782907474,0.181740509084871,1.06635009114258,0.473411744553304,0.18120729577977
"127-42","heavy",2000,0.3895,0.977571963495545,0.498250675635454,0.313128702279201,0.986154431916143,0.49066157191724,0.310838909611846,0.990633177424176,0.48656055624197,0.310660393523981
"127-43","heavy",2000,0.3675,0.867173015187859,0.550409954784128,0.31427534770269,0.868010597849428,0.549655229471325,0.313789927766401,0.868324304525602,0.549371568607316,0.313616026494283
"127-44","heavy",2000,0.3785,1.01254403507278,0.496577229499219,0.170029988700311,1.02175249201293,0.488306143533631,0.169491863851747,1.02801682752459,0.482687988713031,0.169600774043657
"127-45","heavy",2000,0.3925,1.05226597598418,0.490579388679982,0.1498665183265,1.05368771007497,0.489332378823942,0.14948481513665,1.05480415196115,0.488352925604075,0.14922290755682
"127-46","heavy",2000,0.4085,1.10702824256806,0.392454906709013,0.265976200495813,1.10773123537001,0.39182857404976,0.265636581139068,1.10815070587955,0.391454987200059,0.265432152164815
"127-47","heavy",2000,0.3885,0.985890769329234,0.519105163406607,0.212731413710726,0.98701465568181,0.518088296591369,0.212358943712739,0.98748986705235,0.51765836052727,0.212211347248199
"127-48","heavy",2000,0.3865,0.948673276231778,0.551777902367257,0.172795743743697,0.955870574446293,0.545203054899225,0.171193950849045,0.958899822081998,0.542447761474719,0.170745914572111
"127-49","heavy",2000,0.4075,0.976343495457952,0.51004712548125,0.241273400108482,0.978343933961642,0.508266313633159,0.240716607960945,0.979272223550655,0.507439474210482,0.240464116434602
"127-50","heavy",2000,0.381,1.0144768587613,0.491398491438526,0.245895550437913,1.01590015103509,0.490109093950005,0.245335891147768,1.01662176927234,0.489457091767987,0.245059895935802
