"sim","censoring","n","perc_censored","alpha_d","beta_d","gamma_d","alpha_e","beta_e","gamma_e","alpha_w","beta_w","gamma_w"
"126-1","light",100,0.24,1.04272573607086,0.591700462228306,0.131175141856304,1.04922525384355,0.585734965690011,0.129888058504728,1.04868301248551,0.586230036582942,0.129990118606347
"126-2","light",100,0.27,0.655463999061155,0.573713574293333,0.531926474293539,0.668077710688817,0.563579066133286,0.526648539154853,0.670749550070228,0.561416163454392,0.525963059561791
"126-3","light",100,0.29,0.938786251428403,0.574769458879139,0.314493605543877,0.962667783605076,0.551908731291748,0.310389075022546,0.972936894444063,0.542199551027904,0.30872300504589
"126-4","light",100,0.19,0.757305831185641,0.616536771844703,0.308246942495127,0.774266867069957,0.599781895993863,0.306587292748596,0.780041937246898,0.594055525366123,0.306091342559129
"126-5","light",100,0.26,1.41335875674133,0.127146617839877,0.0165383550813796,1.48690262747266,0.0579050812329167,0.0300586839022416,1.49417851037601,0.0510609774592699,0.0315932937278231
"126-6","light",100,0.18,0.980084104538115,0.50355050902808,-0.0976468089885173,0.981248512622614,0.501843891499584,-0.0974044407952102,0.981976649107175,0.500805747631451,-0.0972642433370624
"126-7","light",100,0.3,0.477865143880035,0.833536727921597,0.467779421512578,0.625651366046234,0.708828408046964,0.445721559095371,0.633402662031217,0.702418476733835,0.444938683564783
"126-8","light",100,0.15,0.91134387588065,0.462928843566885,0.298716393123818,0.917623664069959,0.457739420091475,0.297896474732213,0.922416556338289,0.453788307297891,0.297313271694501
"126-9","light",100,0.17,0.970195335182237,0.536960217628126,0.309672236170041,0.973619130716367,0.533764916923287,0.308184317875204,0.976261747469083,0.531161272462107,0.307731839321138
"126-10","light",100,0.2,1.29671013988842,0.484004090899886,-0.132078269865279,1.29469761596544,0.484909070354796,-0.134575164245482,1.29394751004747,0.484974699585133,-0.136510641097521
"126-11","light",100,0.25,0.924796840901069,0.62589978134359,0.0307402163341287,0.998001381492186,0.560483514431531,0.0384742367430213,1.0487104507929,0.517034377520413,0.0429836934995874
"126-12","light",100,0.24,0.643743521596437,0.688549614439798,0.185388606205637,0.698523002856685,0.635548898239304,0.191929889178172,0.720911545886116,0.613898947996227,0.195297677251856
"126-13","light",100,0.24,0.827764658748176,0.715407101652112,-0.17679023910668,0.894918584102361,0.64941386040552,-0.170218069221137,0.945551470093658,0.599836829000116,-0.158720459971511
"126-14","light",100,0.26,1.20896250117216,0.175082203932927,0.476105136912862,1.21272040676552,0.171697088496458,0.475870586868655,1.21403290437269,0.170515050600832,0.475822278472054
"126-15","light",100,0.25,0.806397725776936,0.460666984588606,0.535737945167792,0.830183561850554,0.440463072453705,0.535767368428312,0.849935455817186,0.423813361144963,0.535875244659478
"126-16","light",100,0.24,0.9344616306676,0.617230597179189,0.160027873437092,0.934007947071295,0.617143205523627,0.158408635544214,0.933825735266946,0.617149765850497,0.157910979328593
"126-17","light",100,0.27,0.857931821636064,0.695532844570572,-0.104338884875603,0.872348871146064,0.682005553548722,-0.116394465773885,0.894022457247344,0.661672070800873,-0.128454471326304
"126-18","light",100,0.22,0.978058137702403,0.358927250901775,0.471665645638957,0.97962952519179,0.357361897935493,0.470181217982285,0.9803477190362,0.356651035665804,0.469585634257421
"126-19","light",100,0.2,1.25189115489078,0.186367446579391,0.660276736084578,1.25212986455492,0.185998621958463,0.660084872538517,1.25216764715994,0.185938892845609,0.660051296233025
"126-20","light",100,0.33,1.00875030412307,0.38504629488368,0.494337776943977,1.00758426891354,0.385906697161477,0.484771079118155,1.00802846300208,0.385465126816706,0.482165184655358
"126-21","light",100,0.24,1.06092593407582,0.658325261520822,0.0491567428357574,1.07081363878225,0.649639753453352,0.0466880216233194,1.07407218642353,0.646790419192921,0.0459582380731044
"126-22","light",100,0.23,1.15363649784065,0.441360014046775,0.25388305060937,1.15695411011652,0.438282936435963,0.252485030846907,1.15781714904448,0.437483454720742,0.252142672438719
"126-23","light",100,0.25,0.693867780016179,0.720460368042081,0.040003536572475,0.777049451062042,0.649182725228905,0.0350114208566259,0.813493788224976,0.61853419881341,0.0352051122791007
"126-24","light",100,0.18,0.870652593656303,0.59295295799453,0.262777394740487,0.882585851552887,0.581733982553631,0.265269689444812,0.890216476151454,0.574628942407478,0.266715968460316
"126-25","light",100,0.21,0.922260102083645,0.489095033949217,0.262824183719755,0.930895623228757,0.479521781408453,0.264888589777266,0.930873563809964,0.479546226125162,0.264883220049674
"126-26","light",100,0.21,0.868458586061248,0.51555841294923,0.359619944257322,0.864296131714807,0.519263211311931,0.354764802857364,0.864090819174611,0.519445914724813,0.354497812364746
"126-27","light",100,0.23,1.37570823120804,0.387534812451162,0.0535906509160976,1.37941966806419,0.384178547578731,0.053245040145989,1.38101083020171,0.382740063759582,0.0531172416660773
"126-28","light",100,0.2,1.06280898086741,0.529503461603075,0.354276974118649,1.06403822956143,0.528179871201263,0.353063989895708,1.06431908671785,0.527883437108592,0.352804136065307
"126-29","light",100,0.17,1.15471258245461,0.630445535894354,-0.347713433628112,1.1629055650173,0.622370613080935,-0.346920166056554,1.16458762029765,0.620713177294903,-0.3467387333555
"126-30","light",100,0.28,1.38082229802706,0.257465671309039,0.270278314631675,1.39266065290026,0.246166932558225,0.264735379673026,1.39815822467005,0.240936601974599,0.262846132487817
"126-31","light",100,0.2,0.87342637727726,0.472933990142964,0.260913873982824,0.876305595446387,0.469942620425996,0.258939311845574,0.87900150247224,0.467182331998985,0.257150677306391
"126-32","light",100,0.26,1.29470152846835,0.360995594435581,0.160948425013186,1.29717617203528,0.358711683287742,0.158991428132422,1.2974225294586,0.358485538500822,0.158809557042901
"126-33","light",100,0.26,1.19197048825371,0.501370688581581,0.170612579422344,1.27795378441909,0.423350708146002,0.170501666844303,1.32199807392858,0.383731916425314,0.172422031314464
"126-34","light",100,0.25,1.0642186906075,0.37551482153087,0.297874048873726,1.07358511595765,0.366299289016418,0.294538017843777,1.07574521081711,0.364174765931294,0.294038619154414
"126-35","light",100,0.2,1.08279172334562,0.4507642438876,0.674849845706314,1.08222503392936,0.450862445020248,0.669373530170986,1.08258919522908,0.450445733887396,0.668269075329187
"126-36","light",100,0.2,1.23532868927089,0.558243708759466,-0.00818060502317152,1.23485256272999,0.558684129879383,-0.010069616757543,1.23456128658698,0.558953468855567,-0.0113726368373528
"126-37","light",100,0.22,0.937494596516995,0.555491765324085,0.124724380185997,0.938532258345251,0.554512423848909,0.123820467072493,0.939598638689131,0.553506507604307,0.122971586926644
"126-38","light",100,0.16,0.87747338341962,0.676915905958272,0.251412744592256,0.885096489317435,0.670202682592237,0.249642042963906,0.897047576621792,0.65968527898818,0.247509137549793
"126-39","light",100,0.22,0.951130426483692,0.540284581001536,0.253565551448237,0.961137200915472,0.531083844566263,0.223860813166545,0.973014571045921,0.52037400666061,0.217924734348439
"126-40","light",100,0.22,0.878633613401588,0.554080892737947,0.258516815065581,0.888707984028715,0.544609521051502,0.257981956964728,0.890073615689433,0.54332572808569,0.25794026647622
"126-41","light",100,0.16,1.22223738555881,0.453904500599573,0.153786264225422,1.22195703974204,0.45387485968479,0.153030626069348,1.22177551614822,0.453840079557097,0.152469305335754
"126-42","light",100,0.16,0.964206093334946,0.448441362921514,0.525871687152103,0.964116384255218,0.448199235708216,0.524800585516838,0.964160251705518,0.447973984503599,0.524147716240965
