"sim","censoring","n","perc_censored","alpha_d","beta_d","gamma_d","alpha_e","beta_e","gamma_e","alpha_w","beta_w","gamma_w"
"123-1","heavy",1000,0.358,0.906737629821899,0.61458506270436,0.178238145243008,0.917759954579613,0.602274963760621,0.178433006346919,0.924704936036182,0.594634386182885,0.178556598743749
"123-2","heavy",1000,0.341,1.01797628978495,0.506746525068438,0.206759060627793,1.01875948643584,0.50586190628715,0.206576815326625,1.01892064897309,0.505637785413358,0.206503598864994
"123-3","heavy",1000,0.328,1.09025025599089,0.447608291192586,0.234760184287879,1.09104144720555,0.446741619202428,0.234384569877911,1.09176000305737,0.445958192007153,0.234040630271052
"123-4","heavy",1000,0.379,0.968601820750999,0.572596551286883,0.177201579856164,0.976980646994441,0.563375781260683,0.177882381848192,0.982532873659453,0.557589331095104,0.178248481586625
"123-5","heavy",1000,0.35,0.95749664589003,0.547970827960845,0.244293362138947,0.96124040456761,0.544106969544989,0.243907274233069,0.962765359731224,0.542541885725521,0.243757617106694
"123-6","heavy",1000,0.344,0.90944033259803,0.579794178368342,0.246528667543826,0.913184120402261,0.575919001551133,0.246176844173842,0.914995425572423,0.574044638156048,0.246011359880931
"123-7","heavy",1000,0.348,1.0728124281708,0.436581756690224,0.242116188607364,1.07333380002575,0.435841140196186,0.242049475176909,1.07352049076216,0.435594023810117,0.242029715705156
"123-8","heavy",1000,0.342,1.15171721976304,0.448578067269663,0.0937221062524992,1.15330049207325,0.446642684384301,0.0937360757559648,1.15385145291711,0.44598327840461,0.0937420021382765
"123-9","heavy",1000,0.35,1.12555608841279,0.421760719967794,0.23450327420207,1.1290408714689,0.418152042311116,0.234786101585115,1.13113705875973,0.416010940915957,0.234942361918532
"123-10","heavy",1000,0.355,1.08552271068143,0.483552174533562,0.141977525849951,1.08675546794433,0.482116577651371,0.14185105023193,1.08744524056608,0.481319586544567,0.141781578883571
"123-11","heavy",1000,0.372,0.928017844097111,0.497747368293828,0.274920327443344,0.929776733580805,0.495436336609119,0.275247875532963,0.930570057415686,0.494406828587603,0.275392021772215
