"sim","censoring","n","perc_censored","alpha_d","beta_d","gamma_d","alpha_e","beta_e","gamma_e","alpha_w","beta_w","gamma_w"
"133-1","light",100,0.19,1.03120134141171,0.487674351683556,0.231722747077385,1.03653555917158,0.481728627023566,0.23119792014992,1.03916553893586,0.478812460368873,0.23094931422204
"133-2","light",100,0.2,0.656441600338421,1.01289208124573,0.112002347776555,0.709598010913006,0.94350716255115,0.12452939274209,0.751112428210061,0.894498225015431,0.130138289082181
"133-3","light",100,0.2,0.827867309547122,0.424825050988436,0.492814679145205,0.842517471618893,0.409973312680929,0.490254667502796,0.853653294609985,0.398757440452548,0.488457528921608
"133-4","light",100,0.18,1.34503813364744,0.23047447400391,0.232875773147646,1.34522112422881,0.229950851627728,0.233113338766512,1.3452922091133,0.229768047254096,0.233192885106683
"133-5","light",100,0.2,1.19019013247668,0.359007219153598,0.448202393403992,1.19436316551054,0.354294534768227,0.448949905723832,1.19662817057049,0.351766922664643,0.449341085177293
"133-6","light",100,0.15,0.971687384275352,0.531303730420468,0.0715584926618967,0.996225426978039,0.503709031865046,0.071799338518942,0.998358553205605,0.501457534277168,0.0717043013867647
"133-7","light",100,0.15,1.15799900768186,0.345247785186332,0.0438787177082532,1.17990700847387,0.322284056089306,0.0459657076268911,1.18685216222805,0.315174713952649,0.0464785016607847
"133-8","light",100,0.17,0.906127051906629,0.533269939297315,0.634873200614786,0.909494329829174,0.52783851370652,0.636920059649918,0.910153489292673,0.52684222544582,0.637259835952098
"133-9","light",100,0.2,1.06324095448773,0.495519509669234,0.305788173412652,1.08360190397675,0.476293894660637,0.296980384673748,1.10980343870221,0.45342621494075,0.289550140026558
"133-10","light",100,0.22,0.852985226329804,0.481246387238114,0.364297034217118,0.914975477963597,0.422011206735397,0.36316226059458,0.938460331317914,0.39977501159271,0.362966011187556
"133-11","light",100,0.17,0.867554580047648,0.688483382004978,0.191987611029741,0.966503205606318,0.578871326390438,0.19996627770859,0.991522123169953,0.552205868812846,0.201292113981049
"133-12","light",100,0.27,0.88416782706187,0.691156944016939,0.182884295705193,0.888746677141376,0.682363589241995,0.18703445437717,0.894246262597772,0.672556573336755,0.19143787411352
"133-13","light",100,0.23,1.51058502692244,0.275442555434955,0.016479273571992,1.54156306902335,0.246929869032143,0.0136414233679391,1.54058392439854,0.247816646724909,0.0137378178514771
"133-14","light",100,0.18,0.478485124085729,0.799385838541421,0.527392335894279,0.486506825714544,0.7915607187936,0.524800480009717,0.487758412080134,0.790346221628831,0.524416191077619
"133-15","light",100,0.21,1.01230255709993,0.408672282265686,0.456972365841543,1.01211412043269,0.40815213448041,0.45722014084642,1.01210009815764,0.408105446102596,0.457241847963242
"133-16","light",100,0.21,0.954037551599389,0.639558132838155,0.182930661199214,0.967491564489752,0.624906283488117,0.182830501603673,0.977812706725087,0.613760427035124,0.182760061033602
"133-17","light",100,0.18,1.36885132998267,0.0987180956439103,0.348318266988005,1.39568850161322,0.0726269491705788,0.348404340555216,1.408928931031,0.0598079788929682,0.348789405267804
"133-18","light",100,0.18,1.3117054437219,0.26369494920987,0.162163705882498,1.31283849036567,0.26233964549556,0.162272053397646,1.31299760497305,0.262149460165277,0.162286264525349
"133-19","light",100,0.22,1.24568443439041,0.308828417999807,0.257702192042255,1.25496335634067,0.299491674977083,0.25784550999493,1.25714053848142,0.29730681888185,0.257878881560467
"133-20","light",100,0.13,0.593633384909593,0.561556993238049,0.593096764824272,0.59283198942647,0.561247375964731,0.593932475800131,0.59269527647077,0.561158105558463,0.594103814752375
"133-21","light",100,0.19,1.22565594275161,0.471698435200593,-0.0598162436976156,1.22496705418767,0.472050586462596,-0.0599331836160791,1.22485311441543,0.472108529578181,-0.0599522621464238
"133-22","light",100,0.22,0.521453063023638,0.891723315981637,0.197564072787909,0.525270389624909,0.887456016022554,0.194618247760504,0.527172917477317,0.885362812581626,0.193325795608984
"133-23","light",100,0.2,0.802063718303815,0.606020255030892,-0.0261693866468656,0.812550931736693,0.594271698503531,-0.0273275776722511,0.831963318836106,0.57321801749735,-0.0291566372357782
"133-24","light",100,0.2,0.671218392288565,0.755812662836292,0.179428239519312,0.672357123128318,0.753030271330791,0.180098548878837,0.67301293113664,0.751515768973154,0.180457237441743
"133-25","light",100,0.2,1.11291282506179,0.393132020357877,0.557731189335082,1.12017896327313,0.386447890567034,0.556554404902373,1.12607436198682,0.381012520395427,0.555643868681779
"133-26","light",100,0.15,1.01656521127649,0.614961766742587,0.400898203605297,1.01669941133379,0.614182977808935,0.400952918309596,1.01675735007357,0.613941119844702,0.400963538287491
"133-27","light",100,0.18,1.19614040399238,0.580841660549607,-0.16466313983043,1.19446703880094,0.581644351835189,-0.163949277976504,1.19415882202446,0.581788037248679,-0.163813471099726
"133-28","light",100,0.18,1.13928111934262,0.358275556676395,0.0702171219678562,1.1595024569638,0.337927178415309,0.0662065329734146,1.17006059424683,0.327358339248195,0.0643573984396712
"133-29","light",100,0.22,1.01319120885418,0.569695685174662,0.318281795627375,1.0218969889686,0.560227522672032,0.320326356859859,1.02307507076163,0.558967577849857,0.320584202952661
"133-30","light",100,0.21,1.09122207774587,0.35642692456585,0.380178181931652,1.10867719920612,0.337315081016875,0.377289622028088,1.1072075697605,0.338895708697579,0.377438772068166
"133-31","light",100,0.2,1.06874440488145,0.160521254967655,0.618509034687227,1.05652323137703,0.169706059320356,0.620285046890625,1.05171933440117,0.173216599304858,0.621075788198316
"133-32","light",100,0.25,0.758194189015119,0.471529689067653,0.390844697854882,0.776765690727988,0.451926650901851,0.390466344397069,0.7839032196141,0.444471800064045,0.390346478831871
"133-33","light",100,0.18,0.905048369631523,0.663747596426192,0.0529170637312803,0.906425703984383,0.661908267641938,0.0525584633696633,0.907417679964601,0.660608087017811,0.0523072520962363
"133-34","light",100,0.21,0.928820228809371,0.466785435991884,0.389523230084101,0.933414567755224,0.46108144571918,0.38874295545628,0.937372348535571,0.456306733396649,0.388111140600647
"133-35","light",100,0.26,0.845916631484922,0.586395129220244,0.191004051413091,0.842724629407022,0.588108110700023,0.188983230775584,0.842631415882102,0.588150347471319,0.188906077722365
"133-36","light",100,0.24,1.22656184610032,0.274574071903543,0.484654950571107,1.25141535734985,0.249395115458921,0.486966475709967,1.27221956727557,0.228535775602943,0.48885866970832
"133-37","light",100,0.15,0.668740165132984,0.893318185611606,0.112076677246623,0.669039666717286,0.892525343538573,0.111952030309558,0.669092234233033,0.89238675643318,0.111929517186026
"133-38","light",100,0.17,0.893993160488457,0.644305888679511,0.124872053662724,0.894292060577697,0.643272711442768,0.125328892857052,0.894416891030308,0.642857826440096,0.125514719879854
"133-39","light",100,0.19,1.02746477237668,0.335061342375534,0.435461268998304,1.02514967867094,0.335854394623311,0.436926361344955,1.02382714097489,0.33639685646863,0.437719096622782
"133-40","light",100,0.25,1.46782835728004,0.400179166125687,-0.0339803634657808,1.46672294546152,0.400881909477342,-0.0345393430354423,1.46626836584402,0.401166960282533,-0.0347843055733011
"133-41","light",100,0.18,0.89401889288516,0.785972582142571,0.129458658331698,0.905211240382618,0.769687811139162,0.132957240674994,0.910526415969213,0.762190878104089,0.134469992298631
"133-42","light",100,0.17,1.29897959213273,0.203807728461181,0.303783496906885,1.3016689167776,0.200426669196558,0.304338113579156,1.30432524201191,0.197285244918035,0.304706853653312
"133-43","light",100,0.14,0.867955647433068,0.427391901860016,0.265084557390489,0.866810173420087,0.428394813444068,0.264513407046363,0.866729158073167,0.428465757991813,0.264472132263246
