"sim","censoring","n","perc_censored","alpha_cf","beta_cf","gamma_cf","alpha_m","beta_m","gamma_m"
"129-1","extra_heavy",500,0.834,1.12213562768803,0.191985820355394,-0.0313657387221686,1.12249767171372,0.190591963641137,-0.0298222923347769
"129-2","extra_heavy",500,0.81,1.06683915588458,0.336284033533031,-0.083980732216969,1.06642731892342,0.336696995949814,-0.0851173070168895
"129-3","extra_heavy",500,0.8,0.909165179326076,0.869577535432283,0.319496927210417,0.910977004103841,0.86426037676308,0.319571387629787
"129-4","extra_heavy",500,0.81,0.945356055826281,0.521518746857379,0.200185237471859,0.945567459279874,0.519873333224485,0.200452345886024
"129-5","extra_heavy",500,0.802,0.981962195119984,0.541764143693098,0.261749019187516,0.983231962632093,0.537101201308534,0.262599409073167
"129-6","extra_heavy",500,0.818,0.958907677245226,0.447733808853113,0.0991737283611935,0.95935939072466,0.445504308923714,0.0999467134848902
"129-7","extra_heavy",500,0.818,1.02814918909922,0.603257238003131,0.121348209159117,1.0321660266352,0.589157219961253,0.124362099286544
"129-8","extra_heavy",500,0.808,0.914380814222943,1.4958588363245,0.296708031138522,0.926922490012169,1.66579189401049,0.268400095213239
"129-9","extra_heavy",500,0.792,0.965954596347795,0.454883111446801,0.466638305696101,0.966998485450587,0.465631983688347,0.464190804339426
"129-10","extra_heavy",500,0.838,1.07135554493377,0.865361992717012,0.126625117175579,1.07864628687883,0.847309697926837,0.129881933357562
"129-11","extra_heavy",500,0.814,1.05009140988774,0.25559482004386,0.179049057280007,1.05178651848901,0.250744619372192,0.182337561506994
"129-12","extra_heavy",500,0.84,0.946267400095519,0.468772645803836,0.113150121531825,0.948351134776879,0.464535195743908,0.113813959149728
"129-13","extra_heavy",500,0.802,0.913560830743859,0.948280008934788,0.342620468493697,0.922777362635516,0.93640979168252,0.342805424675036
"129-14","extra_heavy",500,0.822,1.04745559540884,0.123411187262624,0.226638663103649,1.04684970522076,0.124261803641095,0.22523054081697
"129-15","extra_heavy",500,0.81,0.928351385149793,0.248676605679631,0.276613527005656,0.928267034844585,0.248114818068893,0.276187815540404
"129-16","extra_heavy",500,0.824,0.983198962920799,1.53499909630868,0.122834057846125,1.01516273113612,1.49502297382606,0.121567094313141
"129-17","extra_heavy",500,0.822,1.00643858807925,0.351014339765691,0.123245260110732,1.00773332154924,0.346452558136665,0.126484461514537
"129-18","extra_heavy",500,0.828,1.06357532930476,0.215337699882332,0.228637599603256,1.0642502006243,0.213336073633014,0.229719829066123
"129-19","extra_heavy",500,0.834,1.0254499901286,0.60405833058198,0.193035356014061,1.02717424183232,0.634006025504107,0.175054447090034
"129-20","extra_heavy",500,0.808,1.00933384743205,1.27508195685169,0.189434332871866,1.01576375301181,1.26463452393848,0.190102430839532
"129-21","extra_heavy",500,0.81,1.18486299808456,0.087690708552906,0.3646327386485,1.1890831036626,0.0742341602522994,0.369145737035896
"129-22","extra_heavy",500,0.81,0.880070292996951,1.21953376826897,0.291163180601102,0.890635981482431,1.37895592104406,0.27378586285462
"129-23","extra_heavy",500,0.83,1.04881622434822,0.0421516010187277,0.197280248955095,1.04898643931277,0.0419007345322866,0.198235029662236
"129-24","extra_heavy",500,0.838,1.17018077375832,0.00910200709288095,0.382580726213706,1.17059745378273,0.00823153533688557,0.383880618071424
"129-25","extra_heavy",500,0.818,0.945260099164486,0.601462636454766,0.320261000983729,0.943583500946626,0.616003587607572,0.317391894107714
"129-26","extra_heavy",500,0.812,0.949998116786734,0.497456073594758,0.0762289083921659,0.955283179484965,0.47901936595172,0.0856311216532354
"129-27","extra_heavy",500,0.796,1.0208267637244,0.297563193222266,0.244388925816523,1.02025334922873,0.300355384891761,0.241102226252862
"129-28","extra_heavy",500,0.804,0.942100448431108,1.11858372527918,0.31089637949929,0.947283107797389,1.11589944691876,0.30963750610033
"129-29","extra_heavy",500,0.844,1.02970122906081,0.807783732846831,0.00375612655079924,1.03358572651284,0.798614091878178,0.00561983747809333
"129-30","extra_heavy",500,0.814,1.06100584663999,0.234652289318011,0.280413773437651,1.06331300936272,0.229570519646567,0.283247167384618
"129-31","extra_heavy",500,0.806,1.03110785643516,0.663359953321145,0.110709523989626,1.0318645334556,0.663084669824688,0.109256798145385
"129-32","extra_heavy",500,0.776,1.09214709375431,0.557321736839834,0.398760327660111,1.09304873356525,0.554917940749547,0.398881630553476
"129-33","extra_heavy",500,0.826,0.937565089036676,0.419904949326696,0.294850707314135,0.93942726304138,0.416051700112226,0.295067856392466
"129-34","extra_heavy",500,0.818,1.08877001572105,0.0515210389435715,0.261624436003415,1.08874175160498,0.0513828019818125,0.261912039634412
"129-35","extra_heavy",500,0.806,1.07242297972784,0.486495750925263,0.198982505037555,1.07059289000262,0.494958223254618,0.195652825120632
"129-36","extra_heavy",500,0.816,1.00987904645833,0.291777989022035,0.298875939150287,1.01221205591733,0.288731153286254,0.298387611412023
"129-37","extra_heavy",500,0.846,1.16480801787521,0.221951569674054,0.251960337678257,1.16591417774513,0.219325416758889,0.252224027895567
"129-38","extra_heavy",500,0.828,1.22047105583884,0.0598507329586392,0.00243325559157525,1.22050936264039,0.059611099511439,0.00299171597379566
"129-39","extra_heavy",500,0.81,0.930751063029649,0.311754704431134,0.415866143331731,0.931090367671817,0.310377586151757,0.416263044353308
"129-40","extra_heavy",500,0.832,1.05310267883498,0.0787766392542437,0.243101358510745,1.05329546456343,0.0783637086816994,0.243414143628237
"129-41","extra_heavy",500,0.82,1.04563323507959,0.731601538161949,0.0840575353579791,1.05329620065796,0.713520460332241,0.0877429511425507
"129-42","extra_heavy",500,0.846,1.17895778583181,0.258212124486153,0.0843628218453887,1.18100469772727,0.254408029515968,0.0853463614499015
"129-43","extra_heavy",500,0.846,1.13903405353825,0.237663762977414,0.303009031836048,1.13572596415218,0.250229247208149,0.296404695181476
"129-44","extra_heavy",500,0.828,1.12047908795701,0.391826524288373,0.287629413632741,1.13442342445346,0.35996138431485,0.287859849848109
"129-45","extra_heavy",500,0.802,1.0674964424288,0.119859575499465,0.383006955766175,1.06817768836102,0.117969538671718,0.384004267021438
"129-46","extra_heavy",500,0.808,0.957783440174029,1.2767626404999,0.333055634772799,0.971018335389203,1.27535514235479,0.331164693328079
"129-47","extra_heavy",500,0.796,0.989152964298479,0.1255668435442,0.192298501406203,0.989145021371972,0.125061726019386,0.192974756955167
"129-48","extra_heavy",500,0.8,0.857452007111353,0.939410095806454,0.121848117143043,0.858155114324845,0.938296747664703,0.121315988867091
"129-49","extra_heavy",500,0.846,0.976952760483157,0.103481935778415,0.235339056364996,0.977056963722982,0.102910273992976,0.236542157838054
"129-50","extra_heavy",500,0.836,0.908615880478694,0.974694328554877,0.34712715092307,0.90554050352855,1.01718694427846,0.340080398783326
