"sim","censoring","n","perc_censored","alpha_cf","beta_cf","gamma_cf","alpha_m","beta_m","gamma_m"
"115-1","heavy",1000,0.48,1.00496763851078,0.549239725873933,0.181443536253707,1.00366122561479,0.562860639729382,0.181849348998753
"115-2","heavy",1000,0.481,0.993856766504483,0.38150539537089,0.360895485421211,0.994119804082084,0.383957570903457,0.361076940461882
"115-3","heavy",1000,0.472,0.927597424861088,0.581361879788141,0.299650153541065,0.928010453936731,0.589460611878578,0.299605300935487
"115-4","heavy",1000,0.481,0.94493320857668,0.537581689113659,0.185431958053954,0.945256133807245,0.549395400239033,0.184440947892414
"115-5","heavy",1000,0.475,0.988514083267933,0.639628222948132,0.224301249366662,0.989377853163203,0.642397428517723,0.225276832836489
"115-6","heavy",1000,0.504,1.04550246356709,0.479497324560607,0.326166219039121,1.0460150295908,0.480328396019677,0.326473090650947
"115-7","heavy",1000,0.481,1.0854975500151,0.348354761410921,0.297478846848728,1.08472915937126,0.36260437985184,0.296457633136564
"115-8","heavy",1000,0.494,0.914865774284134,0.473253062046339,0.448933043219282,0.915524792755375,0.477864521675512,0.449772920502357
"115-9","heavy",1000,0.471,0.930363865540327,0.632272450769387,0.325412406334589,0.93025268774201,0.637531500090968,0.325165410964343
"115-10","heavy",1000,0.533,1.05725762176081,0.377062720413865,0.261927343642835,1.0588200484299,0.379977450012566,0.261493379818989
"115-11","heavy",1000,0.494,1.01897678967183,0.289600280502797,0.283329246424094,1.01940666503879,0.29121369070501,0.282884567743848
"115-12","heavy",1000,0.475,0.938455372156416,0.526001378692012,0.350871865713543,0.938762607702448,0.527481077664794,0.350916405834546
"115-13","heavy",1000,0.494,0.921697039519064,0.451923798287351,0.448007242449341,0.920602737043102,0.463626141740337,0.446414697893685
"115-14","heavy",1000,0.487,1.03865533255463,0.447586109683813,0.151686922561551,1.03881241920283,0.44826330491622,0.151652289185337
"115-15","heavy",1000,0.483,1.06276856777466,0.233583271876967,0.246657771665578,1.06638487793259,0.2434878286362,0.243410611619326
"115-16","heavy",1000,0.495,1.01591036559263,0.681064965244639,0.225203476432154,1.01661348667748,0.681596591905534,0.225391042012868
"115-17","heavy",1000,0.498,1.0651124769746,0.592562468983635,0.209847481810534,1.06690016624005,0.595248130098534,0.212232211219595
"115-18","heavy",1000,0.504,0.961663382357672,0.506744364524376,0.317049267699375,0.961037916182397,0.517760786363873,0.316855651595383
"115-19","heavy",1000,0.489,0.979300819242751,0.398616928598965,0.423773992199841,0.97853298430229,0.406777448611871,0.423422296121392
"115-20","heavy",1000,0.492,1.02522810116353,0.464904591398396,0.243841015751752,1.02580159538609,0.466509492030238,0.244159027218522
"115-21","heavy",1000,0.483,1.03503438818727,0.731766843842703,0.162285520527556,1.03479027638875,0.739030549441823,0.161685041703806
"115-22","heavy",1000,0.485,0.994175663510413,0.577429113791776,0.204127171268961,0.992487673378178,0.599562741524639,0.202293129312799
"115-23","heavy",1000,0.478,0.945504635579638,0.458462845144749,0.276687101591909,0.945393632487687,0.474496775846804,0.274748147642059
"115-24","heavy",1000,0.492,0.994249582807023,0.590239907208677,0.198887230898545,0.994879506735652,0.592001909913615,0.199214409761807
"115-25","heavy",1000,0.469,1.02547346392509,0.387475297463148,0.200886486632244,1.02509025852997,0.398788572369398,0.199253860764427
"115-26","heavy",1000,0.485,0.894468166106688,0.429385328570075,0.321843251021964,0.894522358437026,0.432042926487482,0.321285279141173
"115-27","heavy",1000,0.492,1.04425073138118,0.457407005366655,0.255230687168185,1.04499770202406,0.457969351104363,0.25538438766791
"115-28","heavy",1000,0.497,0.980897920682387,0.475572316064421,0.257823039887811,0.98078188083261,0.487658344130383,0.259970464834392
"115-29","heavy",1000,0.468,1.04929238342899,0.476738276549855,0.214046205284423,1.05037511438296,0.484717541386048,0.214950233726493
"115-30","heavy",1000,0.49,0.944007350065918,0.394843861280885,0.339398830837607,0.944554219598031,0.395396717833331,0.339454230194555
"115-31","heavy",1000,0.487,1.00974448627316,0.639627179766508,0.171611284678803,1.00866464023066,0.655374196956868,0.172581626661025
"115-32","heavy",1000,0.513,0.911954112196382,0.663691773944733,0.35428658326631,0.912617236003767,0.667440563395804,0.354346906188519
"115-33","heavy",1000,0.463,0.927126556171242,0.703607334482423,0.289960097180774,0.926276577110639,0.71983925903512,0.291238506729448
"115-34","heavy",1000,0.471,0.990106729272769,0.530305038085725,0.287358961248152,0.990266882399778,0.535609780462378,0.287330834959524
"115-35","heavy",1000,0.482,1.02711298500685,0.353363660329817,0.328239980730883,1.02701971089176,0.362173845846684,0.327882271763344
"115-36","heavy",1000,0.479,0.909434887662466,0.768856819665092,0.210814176133653,0.909924697650207,0.77029950727131,0.210867280651127
"115-37","heavy",1000,0.492,0.96068650399683,0.642304901365311,0.291109709193412,0.958884157366284,0.65877900861069,0.292898459542507
"115-38","heavy",1000,0.486,0.969804173044611,0.493304937443968,0.334747397877727,0.970515355653295,0.494412454927206,0.334606325337068
"115-39","heavy",1000,0.475,1.04214789232761,0.31593080740594,0.242984140264025,1.04289027414317,0.322074547847491,0.242441724067136
"115-40","heavy",1000,0.491,0.970269140382037,0.692084457988741,0.241184067606768,0.970842481159556,0.695654696742364,0.241075322682371
"115-41","heavy",1000,0.486,0.992746081775826,0.506889234780447,0.286784580573579,0.993323982280441,0.511677150957992,0.286694199397958
"115-42","heavy",1000,0.5,1.05288326890352,0.402917120506454,0.29639333149257,1.05305025738276,0.405251428392795,0.296436448840165
"115-43","heavy",1000,0.492,0.922077443614239,0.705880832268752,0.231712137186078,0.922421994229619,0.707797511235547,0.231745925167638
"115-44","heavy",1000,0.474,1.03380013482743,0.65267000739117,0.217932144422124,1.03152062051569,0.680681427709759,0.217272903270892
"115-45","heavy",1000,0.542,1.06619352401739,0.464430724492079,0.229198291840987,1.06713051044278,0.465608592501805,0.229726572976893
"115-46","heavy",1000,0.483,0.944320571624382,0.659146555652395,0.292516926281904,0.944263407359245,0.671927566037462,0.29221345171167
"115-47","heavy",1000,0.501,1.04883960108037,0.688626551865558,0.100909044094572,1.04712876957736,0.70586056426377,0.101644538678274
"115-48","heavy",1000,0.477,1.03663378447873,0.452471845180231,0.317485565818302,1.03718227898534,0.455722250898728,0.3175617520279
"115-49","heavy",1000,0.483,0.932278471788746,0.56501609913541,0.27836330129816,0.932213610837601,0.567824263842934,0.277728295898332
"115-50","heavy",1000,0.512,1.07116960687104,0.443938329499938,0.242931269726032,1.07179604334379,0.444633181248695,0.242981754981221
