"sim","censoring","n","perc_censored","alpha_cf","beta_cf","gamma_cf","alpha_m","beta_m","gamma_m"
"118-1","light",1000,0.179,1.04993777221971,0.399972872850574,0.233580155288358,1.04987790622198,0.401379906680602,0.233809022321517
"118-2","light",1000,0.188,0.961229091412114,0.448427930167578,0.189667958076884,0.959940919869636,0.454033248926777,0.189648265899992
"118-3","light",1000,0.167,1.05084467238575,0.503777957464518,0.21703078224911,1.0500166900384,0.507530904650101,0.217301485216206
"118-4","light",1000,0.177,0.974363477893894,0.434263988358515,0.326570786537755,0.974102291611482,0.436433274978053,0.32765015748531
"118-5","light",1000,0.154,1.00401672587531,0.502749861343154,0.153635375371856,1.00418584977772,0.50350564414186,0.154492848591364
"118-6","light",1000,0.166,1.01171839984537,0.417767186203052,0.349024673593447,1.01100379553312,0.421154187666049,0.349462234344278
"118-7","light",1000,0.164,0.977180299222311,0.483740110805116,0.27501411921245,0.977304520894438,0.484440384039607,0.275971118922215
"118-8","light",1000,0.167,1.03555124190706,0.44279173832867,0.256903963677693,1.03499030381059,0.446192164332355,0.257338266852662
"118-9","light",1000,0.176,0.998984017220241,0.417637570177443,0.278950404698583,0.997490874670114,0.424292506654403,0.279035070842128
"118-10","light",1000,0.162,0.992589626879621,0.636129967414612,0.327344173481379,0.991070399490511,0.643274414708027,0.328225343903272
"118-11","light",1000,0.165,1.03659453038581,0.514132631866979,0.207896470895747,1.03466469902207,0.523458617429566,0.207760570681912
"118-12","light",1000,0.171,1.01937282724273,0.541055948179619,0.230965492401105,1.01747577208306,0.548549506400993,0.23210509279117
"118-13","light",1000,0.171,1.01654480253632,0.559818266501173,0.164244279881787,1.01687272721271,0.559538746040346,0.164466446126494
"118-14","light",1000,0.197,1.11757836584873,0.39701513184451,0.232193664692452,1.1171436815497,0.399882350913098,0.234087608012271
"118-15","light",1000,0.184,0.98805251214753,0.464116151291459,0.278905285906201,0.987591799364258,0.467143712089332,0.281363999595987
"118-16","light",1000,0.177,1.11580291034435,0.484735660710501,0.198685061032226,1.11564123533986,0.485885006533752,0.198994434265447
"118-17","light",1000,0.163,1.04483337880862,0.615963071743914,0.122630685611001,1.04552678552959,0.614736457588028,0.123209204442568
"118-18","light",1000,0.177,0.96057597728829,0.494469949148589,0.364356777492426,0.960375245734003,0.496035795961175,0.364638337927314
"118-19","light",1000,0.169,0.979397377244853,0.558600753084293,0.304654472837205,0.977694409261597,0.567283382196001,0.305221401828439
"118-20","light",1000,0.154,1.00284847964605,0.463928097430678,0.286579309516386,1.00281574482874,0.465005750608973,0.286623495645427
"118-21","light",1000,0.161,1.06364508660678,0.440223145327029,0.186185094777589,1.06243327995385,0.445864677760094,0.187423706628295
"118-22","light",1000,0.176,1.00706796184573,0.567626173713305,0.24125772743704,1.00762395672094,0.567087984381387,0.242655584143763
"118-23","light",1000,0.177,1.06022014719181,0.504504611409061,0.154560361962706,1.05950779371507,0.508147000615959,0.155103722845977
"118-24","light",1000,0.165,0.979040926275241,0.486623484875293,0.345163511511022,0.978315051358018,0.490331563068219,0.345787557283915
"118-25","light",1000,0.162,1.04310875238464,0.377819767326862,0.292541131001358,1.04683839549954,0.368402665433708,0.29654237125378
"118-26","light",1000,0.157,1.02006551810379,0.439482908746398,0.231997117273502,1.01910545241372,0.444792957981838,0.2333488147209
"118-27","light",1000,0.176,0.964223899593944,0.480462913977023,0.301532264048886,0.962432486968509,0.487946844295699,0.301798935198567
"118-28","light",1000,0.17,0.969666962162037,0.493199386088255,0.361778106824853,0.968672346773449,0.498018441289978,0.361941739132247
"118-29","light",1000,0.176,1.01194413533457,0.507279993901876,0.178560687985314,1.01125839308857,0.510382229547525,0.178654820854609
"118-30","light",1000,0.166,0.961781942175783,0.514031024404035,0.228754343853759,0.95990927992761,0.520981268235611,0.230163401300516
"118-31","light",1000,0.139,0.958618703999495,0.470056363616169,0.300424600080017,0.957961245087069,0.473613790601422,0.300469166502144
"118-32","light",1000,0.17,1.0912560778139,0.423924116881706,0.138157818107034,1.08838277197163,0.434668400518556,0.139113103582359
"118-33","light",1000,0.155,1.0513826318854,0.495068453905045,0.251195491226768,1.05125827141792,0.496732599175891,0.251747743923678
"118-34","light",1000,0.17,0.993236914060358,0.519926979540287,0.252455918723673,0.992220070593229,0.525740920520743,0.253960019053602
"118-35","light",1000,0.178,1.04326467178588,0.553393165090267,0.14180166264492,1.04215497299896,0.558507678119018,0.142253972433291
"118-36","light",1000,0.185,1.01144752437977,0.463421901269123,0.323052523713877,1.01127950443088,0.465201063103185,0.323342143970306
"118-37","light",1000,0.177,0.985584328724795,0.476483981381371,0.243956413708585,0.984665580689399,0.481368822440153,0.243928316034801
"118-38","light",1000,0.158,1.07543297131961,0.485131945991063,0.208689712367223,1.07435967504905,0.490339128821389,0.208696075940222
"118-39","light",1000,0.159,0.937394474915298,0.452215883029971,0.397396597658004,0.937304906356973,0.453387369634853,0.397619883876443
"118-40","light",1000,0.168,1.00695210931759,0.463788002367138,0.325424206350807,1.00653411716541,0.46648038700591,0.327092703041855
"118-41","light",1000,0.161,1.04977601054605,0.459727199675343,0.126387397739283,1.04888839036217,0.463817767296409,0.127414082030505
"118-42","light",1000,0.17,1.03162531394221,0.421785311672398,0.301739389292659,1.03078877938728,0.42572841116622,0.302433100887125
"118-43","light",1000,0.178,1.05964371376138,0.435443508524069,0.194970552563061,1.05916838664042,0.437996690797315,0.195509251895152
"118-44","light",1000,0.171,1.01343089131651,0.491141772514889,0.290671677552111,1.01282869016089,0.494387578526664,0.29086972615797
"118-45","light",1000,0.177,1.03006804214941,0.378524557234584,0.315973879338633,1.02954522756075,0.38105269632488,0.316212145493699
"118-46","light",1000,0.162,0.987552902892992,0.451106610976334,0.247658717275789,0.98711611881057,0.453852721388175,0.247954100778597
"118-47","light",1000,0.169,0.923998688308239,0.48532581282077,0.321734142256753,0.923071203903007,0.490399671415595,0.323051758300115
"118-48","light",1000,0.167,0.957405512212474,0.46622145496603,0.403458106708507,0.956906571293085,0.468673843119971,0.403673252518685
"118-49","light",1000,0.184,1.14538924126062,0.461969458837502,0.0275536691737807,1.14416259071603,0.467638551720696,0.028453774075637
"118-50","light",1000,0.162,1.0433243114904,0.501542915259452,0.199692174194432,1.04322157612974,0.502774525587292,0.200448768254388
