"sim","censoring","n","perc_censored","alpha_cf","beta_cf","gamma_cf","alpha_m","beta_m","gamma_m"
"127-1","extra_heavy",1000,0.731,0.829399181812684,0.962327066394319,0.552004710199045,0.829456928526799,0.964910895010933,0.552611410967256
"127-2","extra_heavy",1000,0.727,1.09179284061438,0.609478053572146,0.294055121580804,1.09251050922609,0.610015953493527,0.294159449929309
"127-3","extra_heavy",1000,0.732,0.907109047718887,0.36071809620957,0.566355850096622,0.906802450221709,0.361074186458553,0.566633477429457
"127-4","extra_heavy",1000,0.733,0.869006159683047,0.555518372123823,0.505275194727964,0.871579594476475,0.551286281566883,0.504672104254062
"127-5","extra_heavy",1000,0.742,0.892855520205319,0.581995841443342,0.40303813345496,0.892305661510876,0.583156723433756,0.403497639959773
"127-6","extra_heavy",1000,0.727,0.891268624801155,0.168417966203554,0.565028478118924,0.891376194788996,0.168107941860883,0.564959565119404
"127-7","extra_heavy",1000,0.74,0.864128053499547,0.64732512679035,0.486964340527128,0.865117410504017,0.645677285978505,0.487053503686195
"127-8","extra_heavy",1000,0.744,0.930438890864101,0.630832162274768,0.425452752382732,0.931094721160138,0.651907113141459,0.430730648376341
"127-9","extra_heavy",1000,0.706,0.784599001679552,1.00906151487722,0.496073567382992,0.785421925560238,1.01141274198913,0.496623936331806
"127-10","extra_heavy",1000,0.729,0.905906246778289,0.561361723948383,0.455575433447085,0.905931969886925,0.56228056761692,0.455890204199995
"127-11","extra_heavy",1000,0.719,0.867919916338641,0.588696972509627,0.484884594445633,0.867541708999845,0.58968096054385,0.485371062184127
"127-12","extra_heavy",1000,0.718,0.944717910431304,0.516361879146872,0.453571040161676,0.946419285718222,0.514298782077469,0.453370793122131
"127-13","extra_heavy",1000,0.751,0.84595542686867,0.546985560267094,0.567535010855538,0.846581007763317,0.550593820702894,0.568033996913536
"127-14","extra_heavy",1000,0.75,0.879939083682107,0.612054164850071,0.492008881911775,0.882563938551312,0.60739733476394,0.49108758674877
