"sim","censoring","n","perc_censored","alpha_cf","beta_cf","gamma_cf","alpha_m","beta_m","gamma_m"
"129-1","heavy",1000,0.404,0.94340754091175,0.471793007753633,0.326311115193759,0.943212345422341,0.482987712030381,0.326351568358622
"129-2","heavy",1000,0.377,0.996608171204036,0.675914777213871,0.313808050342872,0.997501679255412,0.675519469315352,0.313710810494874
"129-3","heavy",1000,0.413,0.829418705706049,0.936505315420599,0.361511340687734,0.829330077988834,0.94437891138796,0.361666634511443
"129-4","heavy",1000,0.417,0.967657883527672,0.504176860514379,0.388057113767286,0.963784379078995,0.533969223266021,0.387458019705086
"129-5","heavy",1000,0.425,1.02314538509877,0.498551416395735,0.295519335359022,1.02398564212429,0.501894236292562,0.295383267278315
"129-6","heavy",1000,0.396,0.859323648337155,0.450023014907344,0.552923250397592,0.861873321281198,0.451511204393253,0.553510924324573
"129-7","heavy",1000,0.383,0.938407848416475,0.511684250639451,0.378130114305671,0.939225282900561,0.512102442076792,0.378274574320471
"129-8","heavy",1000,0.403,0.940818089870987,0.633839414595662,0.354773683120933,0.940343923196519,0.643107968696282,0.35419433802337
"129-9","heavy",1000,0.381,0.843620121407929,0.897797134080735,0.389928318003437,0.843604632674585,0.902956143574456,0.389978990725644
"129-10","heavy",1000,0.384,0.903907155555352,0.788125734272173,0.298542534906182,0.904838804650031,0.794303133414116,0.298130195408873
"129-11","heavy",1000,0.41,0.947771036474503,0.619283908357294,0.350901154321469,0.948191284168909,0.620413091072151,0.350723510463628
"129-12","heavy",1000,0.424,1.01366371672893,0.46303509803363,0.252784787812342,1.01454503691406,0.465014985839131,0.252734443888881
"129-13","heavy",1000,0.422,0.90529322844617,0.790575062379463,0.259789862734179,0.906211794016027,0.801945900874276,0.259500056518583
"129-14","heavy",1000,0.421,0.987117082987153,0.433625632624926,0.34586318156587,0.987413515352817,0.43518989609884,0.345633150398779
"129-15","heavy",1000,0.399,0.937574283762861,0.658217318267135,0.362636907477005,0.938618223702544,0.662579662607603,0.362513588871758
"129-16","heavy",1000,0.412,0.977018059213135,0.582647824544908,0.389697776894579,0.977810005138828,0.584253879584392,0.38967490119811
"129-17","heavy",1000,0.402,1.03328418005907,0.450804527804599,0.283989432382438,1.03287395364672,0.454833564798322,0.284014221749417
"129-18","heavy",1000,0.37,0.88802380984075,0.843138267211431,0.331303514704817,0.887557459799593,0.86570519889555,0.331155994327299
"129-19","heavy",1000,0.415,0.884083825739474,0.729447557255863,0.418776884906956,0.883382363043009,0.743733921894769,0.418990753161002
"129-20","heavy",1000,0.407,0.87448903152252,0.654360960267337,0.377632936064968,0.874262323202793,0.660652068039601,0.377416550065007
"129-21","heavy",1000,0.409,0.925870406414154,0.74340181451502,0.301599811993664,0.924347175625104,0.782686537289682,0.30232661864272
"129-22","heavy",1000,0.42,0.872079727628672,0.797067827873087,0.357890701278796,0.872250418936288,0.801051974222785,0.357588569062838
"129-23","heavy",1000,0.426,0.894160561822243,0.609004354051047,0.437084220621499,0.894428770031083,0.610633051324849,0.437026801878416
"129-24","heavy",1000,0.403,0.960178645144489,0.614708571016565,0.301344099212725,0.958538578840158,0.638786775673694,0.301780397023522
"129-25","heavy",1000,0.407,0.881476043874846,0.74803894655676,0.34551672766822,0.881910631841956,0.760402484695121,0.345423374127133
"129-26","heavy",1000,0.384,0.933569160690812,0.484402155413025,0.426914126038979,0.933599875660274,0.488351442993526,0.426570433823058
"129-27","heavy",1000,0.41,0.853302917304973,0.63191120939252,0.366775606515649,0.853697588418132,0.632805783288256,0.366501383898333
"129-28","heavy",1000,0.421,0.890921464919117,0.542851686296889,0.39742458662285,0.892833685249579,0.545529285000197,0.397393718099338
"129-29","heavy",1000,0.423,0.958756318798047,0.704318013059754,0.315629794859743,0.959059956423601,0.704379620652868,0.315675592873227
"129-30","heavy",1000,0.41,0.927066808434135,0.532421019257849,0.337843002663745,0.928096362149929,0.532319876242998,0.337557780829893
"129-31","heavy",1000,0.418,0.881493452777724,0.702590623704041,0.550067009403983,0.881362595309403,0.709237877530722,0.55023783367036
"129-32","heavy",1000,0.406,0.92781532229145,0.661595283111869,0.329720522869429,0.927318060723736,0.680082330407489,0.329742884644678
"129-33","heavy",1000,0.385,0.922875499011709,0.60581670972317,0.447124824061068,0.923350320069792,0.606357064715332,0.447042223515224
"129-34","heavy",1000,0.413,0.9442193760497,0.641091514435376,0.366821495217555,0.942546707055727,0.669812244712457,0.367315365301063
"129-35","heavy",1000,0.441,0.997831859047549,0.512533037109278,0.299206146078261,0.998116887129248,0.514900274210895,0.299258117356098
"129-36","heavy",1000,0.41,1.05595088157461,0.394586176276435,0.344463936559487,1.05552585983764,0.409818970874642,0.344629687584489
