"sim","censoring","n","perc_censored","alpha_cf","beta_cf","gamma_cf","alpha_m","beta_m","gamma_m"
"119-1","light",1000,0.147,1.07043398644791,0.345043241308037,0.24544453149283,1.07056079314852,0.348638050534055,0.245633300818221
"119-2","light",1000,0.131,1.07646007398932,0.432223579924374,0.127768975058382,1.07686483622859,0.433210711816092,0.127793380854922
"119-3","light",1000,0.137,0.995008587394909,0.550582847129242,0.319367871499424,0.994911836973985,0.552095368226096,0.319439405937509
"119-4","light",1000,0.152,0.912088715118744,0.508919160203041,0.33768879808804,0.912534574815208,0.508361975286284,0.337890570190563
"119-5","light",1000,0.127,0.959909275719787,0.537586033518474,0.307852957430427,0.960254336191128,0.537966274001615,0.307948286439636
"119-6","light",1000,0.145,0.924749735664862,0.540970643029905,0.349352224608705,0.924610242242037,0.545002256166429,0.350138420839804
"119-7","light",1000,0.15,0.994910565466078,0.632919306617472,0.263923293341171,0.995433639284661,0.6331334470407,0.264158639721182
"119-8","light",1000,0.153,0.902658361412436,0.637311074354171,0.32005266360844,0.904313594099742,0.636597755281343,0.319539222615914
"119-9","light",1000,0.148,0.975289482462405,0.454193360870159,0.295808699400326,0.976333192345043,0.452125324869099,0.295566992606639
"119-10","light",1000,0.146,1.01716578334526,0.524453410611335,0.198651600621783,1.01683219900809,0.52781188017786,0.198638572090745
"119-11","light",1000,0.112,1.01086535999338,0.563149158102215,0.14934662843462,1.01240247790694,0.561166700171727,0.150293942604634
"119-12","light",1000,0.141,1.00601187653924,0.42159384115816,0.24895459113746,1.00396354060854,0.432269578793994,0.249486871706243
"119-13","light",1000,0.13,0.983545168945962,0.331283495164241,0.379005712026352,0.984479899929838,0.336062383763618,0.378921537039165
"119-14","light",1000,0.134,0.983389982777895,0.470866394023974,0.265856888265227,0.983863206736738,0.470908400761139,0.266307099192781
"119-15","light",1000,0.143,0.977964830265276,0.466370218522261,0.346922242142048,0.977394185765554,0.474178779306789,0.345786390825714
"119-16","light",1000,0.133,0.894657260066592,0.531957800879788,0.276926133558063,0.896608706157488,0.527072860999168,0.277473726777958
"119-17","light",1000,0.135,1.08242673031453,0.31089530675781,0.249788026469035,1.08321386587243,0.309956162376214,0.251171310660511
"119-18","light",1000,0.13,1.07879587277635,0.374186337146864,0.149381088061529,1.07750219208147,0.380818277875692,0.149598698485822
"119-19","light",1000,0.15,0.943578525106647,0.39246643990754,0.342640517394708,0.941307873803772,0.405391304843821,0.34258428213751
"119-20","light",1000,0.151,1.02045575417544,0.476405733257453,0.289265838885373,1.01961369148889,0.483336855844034,0.289279630424792
"119-21","light",1000,0.152,1.05654959536859,0.351341852256481,0.3669102298674,1.05958121879479,0.348625127894197,0.369630178876141
"119-22","light",1000,0.146,1.03211829867288,0.352733788681853,0.341024764925739,1.03247250723689,0.353188541425784,0.340382848877581
"119-23","light",1000,0.159,1.05143658229066,0.402292645610531,0.230078612486245,1.05383665680852,0.400321340899724,0.229380824670416
"119-24","light",1000,0.124,0.961751209797807,0.572619417218304,0.273525738499417,0.962135418598012,0.575009768768254,0.273802933432339
"119-25","light",1000,0.143,0.912817695219255,0.502649394298779,0.319628050851097,0.91312812290937,0.503081357689684,0.319267103745577
"119-26","light",1000,0.14,1.00395887007393,0.447228160841434,0.195402830720212,1.00413820888476,0.454771373147246,0.196111711464354
"119-27","light",1000,0.142,0.972829639809202,0.553368394761575,0.307806922260835,0.972798479740444,0.554903879817049,0.307864643637058
"119-28","light",1000,0.138,0.943793225733826,0.519465756269461,0.316707510126732,0.944292281363046,0.520288982876679,0.316574611662844
"119-29","light",1000,0.142,1.09869563963686,0.461159709711579,0.12863020104054,1.09778402013568,0.468374309838162,0.128779214849012
"119-30","light",1000,0.143,0.901123052920589,0.519593886572982,0.340465365295728,0.901985301057789,0.523965172749785,0.33944010253455
"119-31","light",1000,0.142,1.01185158468518,0.344902561939794,0.314129028665031,1.01232147254839,0.346713167590493,0.314192713435324
"119-32","light",1000,0.164,0.910078341094589,0.481683426078437,0.302765471126002,0.910767199863598,0.482143793979062,0.3025414811659
"119-33","light",1000,0.159,0.941663234329325,0.571024386640925,0.34723785126887,0.942085320139481,0.571430458775921,0.347787436918846
"119-34","light",1000,0.143,0.947179079541013,0.573081371934286,0.359495232175023,0.946456573574681,0.579276774568802,0.359442578322616
"119-35","light",1000,0.148,0.914976956209853,0.371089046028332,0.345519736994307,0.91520160308962,0.37203315233651,0.345634881498361
"119-36","light",1000,0.147,0.949922595666081,0.548750536384346,0.350506744517785,0.951115000695701,0.550542917896094,0.350546667419267
"119-37","light",1000,0.142,0.972049839185095,0.414912985276074,0.239317422673147,0.969904662329881,0.427957104082756,0.23951292053026
"119-38","light",1000,0.137,1.07711938668417,0.450011588489276,0.178571439141293,1.07462704170604,0.464368363157453,0.178800852548005
"119-39","light",1000,0.137,0.966487714240079,0.487153860351143,0.314536257406279,0.967785538615347,0.485212273947257,0.314017296256591
"119-40","light",1000,0.133,0.976258012647631,0.408930894661794,0.387668181168928,0.974977570035546,0.417117060486963,0.388577926300903
"119-41","light",1000,0.126,0.929931636331175,0.428547589190661,0.295909110503597,0.930969125515314,0.428227789451851,0.296014474478419
"119-42","light",1000,0.152,1.02390505762784,0.405799770258058,0.384766580112923,1.02331457006393,0.411264787754065,0.384632740434382
"119-43","light",1000,0.135,1.05303010149485,0.398006796631138,0.248305821671939,1.05306631981684,0.400401538063503,0.248872663058344
"119-44","light",1000,0.157,0.966090551075009,0.533553210175928,0.286396096080709,0.964684826233761,0.542821671103988,0.286809390678643
"119-45","light",1000,0.149,1.03639369542747,0.4858025840279,0.193986692772434,1.04011039261223,0.482446671444279,0.194444604578299
"119-46","light",1000,0.15,0.914424399519952,0.443726240884408,0.392495067337034,0.912163378334898,0.454958877102047,0.392989924766886
"119-47","light",1000,0.125,1.05390480912449,0.543476342852825,0.157458960198472,1.05326364425457,0.547482066151842,0.157641543045704
"119-48","light",1000,0.114,1.04289923495,0.456242275005943,0.150237347449014,1.04301048017706,0.457437763474603,0.150616136319836
"119-49","light",1000,0.148,1.02574185783764,0.442417569346083,0.268529560620111,1.02525276648716,0.448898085498218,0.268563899767263
"119-50","light",1000,0.119,1.0115916048303,0.427786097862017,0.219882995614496,1.01413483006321,0.425710456162811,0.221064679544676
