"sim","censoring","n","perc_censored","alpha_cf","beta_cf","gamma_cf","alpha_m","beta_m","gamma_m"
"116-1","extra_heavy",500,0.792,1.15402833798604,0.0824378719319106,0.140985055762096,1.15467999542452,0.081192794755494,0.140942490962603
"116-2","extra_heavy",500,0.75,0.882155326062146,0.601018238905801,0.368543871064928,0.88281284488684,0.600159550891553,0.368578306148158
"116-3","extra_heavy",500,0.76,1.1289906335949,0.344457202180904,0.068693951770682,1.12698112889296,0.349873762728794,0.0681647558182113
"116-4","extra_heavy",500,0.774,1.14771007994033,0.248119752888117,0.220939494273826,1.14890049142379,0.243983605424091,0.221243888488014
"116-5","extra_heavy",500,0.764,0.893986795401401,1.18656398258713,0.201158263005315,0.893971808002029,1.19472377022336,0.201917025557249
"116-6","extra_heavy",500,0.776,0.946488355627866,0.193758180312367,0.224512035245964,0.946514828439522,0.193191720904452,0.224524472507838
"116-7","extra_heavy",500,0.746,1.02413882111529,0.344883635232697,0.240808063846504,1.02338993729014,0.34697532448726,0.240684241205159
"116-8","extra_heavy",500,0.752,1.01407485914261,0.201982139412341,0.268555829773187,1.01406243558685,0.201577538729487,0.268555418140396
"116-9","extra_heavy",500,0.802,0.900005259330408,0.245045396593743,0.387043316531493,0.902524242959474,0.240933104471214,0.387201443739452
"116-10","extra_heavy",500,0.78,0.991080022683738,1.07291660737545,0.182827942519618,0.984875809925039,1.22062350144797,0.177098877052223
"116-11","extra_heavy",500,0.778,0.983099989383981,0.307156542268571,0.411737952581434,0.983576230511277,0.305808009813415,0.411710590714201
"116-12","extra_heavy",500,0.772,0.987106924019285,0.216970934184825,0.236992981848878,0.990040472160541,0.21284365022582,0.236221374210273
"116-13","extra_heavy",500,0.776,0.993178073676062,0.260733033919236,0.35200497431655,0.992536379419762,0.262034067736257,0.352047509240968
"116-14","extra_heavy",500,0.774,0.972084085871513,0.31489887363935,0.247335313121702,0.973161728460366,0.311114699675029,0.247675807683248
"116-15","extra_heavy",500,0.756,1.05002670193986,-0.0571010529991999,0.309814086982068,1.0494027129897,-0.054867148999943,0.309767090137906
"116-16","extra_heavy",500,0.78,1.04704262345384,0.0926591021467316,0.201346685671433,1.04693252205523,0.0925004125259507,0.20138844482322
"116-17","extra_heavy",500,0.776,0.980850536269104,1.05364340444978,0.161039825781273,0.981348901122984,1.06206393461779,0.161273026234172
"116-18","extra_heavy",500,0.794,0.937576972092157,1.04268799637271,0.256662615995759,0.93677994058935,1.06763733110763,0.258377670654638
"116-19","extra_heavy",500,0.798,1.00543479775435,0.426764707006321,0.342548386170987,1.005253977977,0.426165216278837,0.343054457062745
"116-20","extra_heavy",500,0.792,1.09057336162722,0.520038715835486,0.297949955533138,1.0933811146122,0.511488436645756,0.297276345367737
"116-21","extra_heavy",500,0.814,0.982623951914459,0.58451427246909,0.220000100295274,0.983740211314727,0.582199022768782,0.219845516314257
"116-22","extra_heavy",500,0.784,0.998698096395019,0.691823144832716,0.306415388669574,1.00122653001768,0.682505736551655,0.306673744357738
"116-23","extra_heavy",500,0.8,1.10954511263419,0.271934466379161,0.0881800479015604,1.1106547470492,0.26859374759166,0.0885368859774364
"116-24","extra_heavy",500,0.746,0.885524839523274,0.570117254969597,0.317890947182512,0.887400878624481,0.563851332950697,0.317632251184877
"116-25","extra_heavy",500,0.78,0.943442257286036,0.543513350358805,0.252254938438777,0.944337803769613,0.540101388997341,0.252544996698096
"116-26","extra_heavy",500,0.78,1.04775155382558,0.681000759794335,0.279240026300663,1.05288944510791,0.667027181151785,0.27949943834035
"116-27","extra_heavy",500,0.754,1.04864165516351,0.708996584239398,0.273279110503265,1.06405849362892,0.660008948454757,0.273916431300002
"116-28","extra_heavy",500,0.762,1.06033116789573,0.401578944972555,0.168932112269789,1.06080595544239,0.400500977866771,0.168858951609338
"116-29","extra_heavy",500,0.764,0.792888690682425,0.604084112261082,0.355151299630505,0.793563763167872,0.602158494479672,0.355249979839001
"116-30","extra_heavy",500,0.788,0.946618661364357,0.237130768119973,0.367762028237927,0.946397997582421,0.236881705300384,0.367799899826249
"116-31","extra_heavy",500,0.8,1.07314909154253,0.0911874217196376,0.0956149719462236,1.07236238960589,0.0915018580000689,0.0958440929425865
"116-32","extra_heavy",500,0.796,1.10322585076158,0.329684069955149,0.222342234179688,1.09836628331826,0.344183827643501,0.223109617408175
"116-33","extra_heavy",500,0.766,1.03185519275935,0.217639425172269,0.405959702567376,1.03208886715444,0.216614775589481,0.405953754883213
"116-34","extra_heavy",500,0.77,1.11741530780156,0.0517364194430332,0.331873434058262,1.11633050304971,0.0536345807533742,0.331873527943776
"116-35","extra_heavy",500,0.772,1.09829928529347,0.30613127527601,0.101548402584049,1.09928463149692,0.304109348931771,0.101638812010692
"116-36","extra_heavy",500,0.78,1.07447648443378,0.245231128325185,0.129657517648353,1.0753939503879,0.242468695647409,0.129845065191779
"116-37","extra_heavy",500,0.78,0.816809013172542,1.4662186128036,0.355184429685037,0.813685470228561,1.50032847945985,0.357930662019936
"116-38","extra_heavy",500,0.792,0.786512473171983,0.771843263285063,0.290067228852625,0.786397611035969,0.771287741954598,0.289920808720815
"116-39","extra_heavy",500,0.808,1.06046905326646,0.141046618277772,0.250550277856158,1.06386962256762,0.13405651713848,0.250608674781619
"116-40","extra_heavy",500,0.802,1.02454514727495,0.806496252450187,0.141807087012142,1.01417865644004,0.927242384571939,0.142182023822447
"116-41","extra_heavy",500,0.788,1.18198706448321,0.0208256132907914,0.154448399209293,1.18114177151232,0.0221173335071584,0.154663591164803
"116-42","extra_heavy",500,0.778,1.04846181951903,0.365134797629648,0.197926507172041,1.04664279557978,0.380134489863257,0.195856441222643
"116-43","extra_heavy",500,0.772,0.963801260244571,0.946314816964551,0.222876204278761,0.963169595956989,1.01942277967716,0.224136060944211
"116-44","extra_heavy",500,0.746,1.02272283708334,0.434804726796944,0.248333860744491,1.02062785676775,0.442120234191483,0.24839265110111
"116-45","extra_heavy",500,0.75,1.07080402048689,0.258628091315083,0.271909704348581,1.07211056427058,0.254900307502674,0.271849527925019
"116-46","extra_heavy",500,0.77,0.948227224088572,1.6317825433688,0.180139803453362,0.94991111640563,1.63908672207724,0.179451685026116
"116-47","extra_heavy",500,0.806,1.12158623421434,0.129978120905016,0.185511579968259,1.119895934313,0.134561907091599,0.184533080036802
