"sim","censoring","n","perc_censored","alpha_cf","beta_cf","gamma_cf","alpha_m","beta_m","gamma_m"
"118-1","heavy",1000,0.411,1.00366367773694,0.565690031154898,0.228132805105843,1.00314876900041,0.573152024921414,0.228155563914621
"118-2","heavy",1000,0.415,0.954916941563175,0.513519510953647,0.178296861591071,0.955113798594759,0.516428688953671,0.178271956215449
"118-3","heavy",1000,0.42,1.02392065441049,0.543557331221527,0.232474800657379,1.02359394919832,0.55260092079963,0.232366084158613
"118-4","heavy",1000,0.436,0.955179509846419,0.465487185490957,0.313861702959428,0.95406950603869,0.487848731617547,0.314988047196913
"118-5","heavy",1000,0.428,0.939867669858438,0.723999593998817,0.1890237939886,0.939743990574464,0.727901539601234,0.189122594903894
"118-6","heavy",1000,0.399,1.01272769014917,0.446629491817275,0.319519700724804,1.01346830967104,0.446988529756316,0.319605459963483
"118-7","heavy",1000,0.381,0.967551007786279,0.579443087257379,0.288153146843394,0.966651544647555,0.58966672682056,0.288547187846127
"118-8","heavy",1000,0.401,1.02943029736554,0.485818647951807,0.235897889401981,1.029541275734,0.487020132899439,0.235885203147301
"118-9","heavy",1000,0.424,0.97225708210042,0.601549371975927,0.238310286722327,0.97084487448533,0.614861670146875,0.238427854215732
"118-10","heavy",1000,0.39,0.994840910526483,0.604146680551675,0.361846167231768,0.994513110978273,0.62169113770171,0.362099263165846
"118-11","heavy",1000,0.398,1.02180416755547,0.557072307327641,0.226938722913197,1.02160881063426,0.562563422326911,0.226864304599033
"118-12","heavy",1000,0.429,1.00122423043052,0.574180663599235,0.261870949005494,1.00050854604784,0.589426102874703,0.261520298728729
"118-13","heavy",1000,0.424,0.997548463086596,0.693584674909721,0.189589514129185,0.996712204548685,0.70728448293621,0.189325245496589
"118-14","heavy",1000,0.432,1.0728080230134,0.56279769324984,0.231707839592386,1.07129367402156,0.578226964939162,0.231525084710627
"118-15","heavy",1000,0.443,0.984258507643213,0.439676044239724,0.2925213064047,0.985078049919534,0.439251626329322,0.292592835617109
"118-16","heavy",1000,0.417,1.1557972273591,0.359080576188646,0.19676873243165,1.15573459940963,0.364821844172562,0.196863756226293
"118-17","heavy",1000,0.43,1.03981119316839,0.627447651796859,0.156492234193704,1.03963391204447,0.637076938484729,0.156599583761382
"118-18","heavy",1000,0.412,0.976190718459914,0.431626936954856,0.3420720914845,0.975432360025239,0.443689425925513,0.342120246519198
"118-19","heavy",1000,0.394,0.981568356141875,0.611780237363478,0.317008093339944,0.979530090055752,0.631935529195583,0.316993033730725
"118-20","heavy",1000,0.395,0.958566922723529,0.693603948796348,0.27863269857327,0.958136309058487,0.704685610125632,0.278344542322947
"118-21","heavy",1000,0.395,1.0812620934764,0.388732546205481,0.177892358422244,1.08052743329201,0.396574665715092,0.177844115281293
"118-22","heavy",1000,0.422,0.995308650956888,0.540210237379151,0.277720495816882,0.99591112100623,0.545298852792181,0.277312503754468
"118-23","heavy",1000,0.439,1.07862588042733,0.491721259470365,0.14311104358269,1.0786604172788,0.497174235267086,0.143004298333249
"118-24","heavy",1000,0.397,1.00529372825059,0.323950512100246,0.350962271453459,1.00272108291157,0.350780752722079,0.35099674987817
"118-25","heavy",1000,0.431,1.06952643424777,0.298099265476992,0.268883053613743,1.06965382856065,0.299057589047542,0.268835071060935
"118-26","heavy",1000,0.401,1.00869211945597,0.447445587397501,0.237079203727973,1.00833749110784,0.451346705202801,0.237251939375983
"118-27","heavy",1000,0.423,0.949030791867733,0.523097347239905,0.290742256620118,0.949906220872583,0.523730227549294,0.290751218511904
"118-28","heavy",1000,0.417,0.97667052680175,0.474690627766197,0.355703603158522,0.97614881580466,0.480616596567848,0.355801270124088
"118-29","heavy",1000,0.433,1.0077279055271,0.503181249969852,0.145913292517537,1.00358240436138,0.53856293955887,0.146421495042554
"118-30","heavy",1000,0.411,0.901014668115602,0.753580074673965,0.248427718643241,0.900875077767707,0.757680206027607,0.248496778151752
"118-31","heavy",1000,0.38,0.978459536174764,0.465515921473098,0.274425083430208,0.978375624943982,0.467893721684184,0.274356808591587
"118-32","heavy",1000,0.421,1.07268003721278,0.455847153278623,0.152099058584116,1.07243922925368,0.4602853322373,0.152187387395599
"118-33","heavy",1000,0.383,1.05758153885386,0.537035940123915,0.262628825429402,1.05778905265783,0.545787763914313,0.262657616621146
"118-34","heavy",1000,0.409,0.965096581017615,0.70101649943952,0.267130654400676,0.964476653867522,0.70826490503711,0.26719143053528
"118-35","heavy",1000,0.403,1.03098621756384,0.589525155099184,0.151863359279745,1.03014708885497,0.601598644836467,0.152261227463121
"118-36","heavy",1000,0.407,1.03400886380509,0.393510005248342,0.324121497774644,1.03369339626367,0.397158148026448,0.324157607267437
"118-37","heavy",1000,0.426,0.970849765934683,0.508888732106684,0.244703799868222,0.970171252954835,0.521416059500966,0.244262937419185
"118-38","heavy",1000,0.438,1.05716251096739,0.56146368433755,0.206556579523522,1.05703274563254,0.563744891972988,0.206542435876644
"118-39","heavy",1000,0.405,0.926334198484457,0.525230416820636,0.375961207087419,0.925501318963078,0.534066538944362,0.376103931766178
"118-40","heavy",1000,0.405,1.05105844069303,0.336199706041949,0.323276745109773,1.050903980998,0.339771584641754,0.323224868635047
"118-41","heavy",1000,0.409,1.01336415031949,0.583492077605748,0.123614352969241,1.01281009562461,0.590499176096922,0.123488944724915
"118-42","heavy",1000,0.415,1.03680983317682,0.414975379284888,0.264341078890267,1.03716120276868,0.418177912227419,0.264281439173888
"118-43","heavy",1000,0.425,1.08109228432701,0.356088751136807,0.146790817816325,1.08222863998078,0.360149094555735,0.14627933514681
"118-44","heavy",1000,0.417,1.02202646009187,0.48266224429718,0.300967991685812,1.02035439842376,0.499746369679817,0.301115906588125
"118-45","heavy",1000,0.421,1.07306789384107,0.220503640938378,0.293816882118189,1.07134987303417,0.231966071531973,0.293910689513636
"118-46","heavy",1000,0.398,1.03073852331311,0.272940687333755,0.236845753953228,1.03186908728446,0.278917141253979,0.236635587390692
"118-47","heavy",1000,0.416,0.934540702423673,0.529623062920537,0.321165765895032,0.934212222644427,0.534793700865274,0.321276603544787
"118-48","heavy",1000,0.418,0.970909086470972,0.436618493125864,0.382920254300478,0.969093939870732,0.455871041510028,0.383229443365226
"118-49","heavy",1000,0.411,1.17017596820599,0.370314645245018,0.0133585850659273,1.17316973084444,0.367620569779699,0.0134482116927136
"118-50","heavy",1000,0.4,1.03772211027056,0.521289479825975,0.19733105271789,1.03842425065359,0.520724058045534,0.197336254673639
