"sim","censoring","n","perc_censored","alpha_cf","beta_cf","gamma_cf","alpha_m","beta_m","gamma_m"
"125-1","light",100,0.15,1.20567890904042,0.183002114568031,0.0989729059445822,1.20582706066198,0.182538091848091,0.0988284014756724
"125-2","light",100,0.13,0.905378268811833,0.404046725800047,0.214695759999754,0.902531307279472,0.416613493526303,0.2149115269002
"125-3","light",100,0.0600000000000001,0.991431106474862,0.429917165278825,0.159988507215984,0.99177906618321,0.433214703751654,0.158993446484036
"125-4","light",100,0.11,1.19239492560205,0.332573600889418,0.140426380957576,1.19322140984224,0.331284907911992,0.140342705332173
"125-5","light",100,0.09,0.900253958248336,0.770686396110704,0.284423746872507,0.898301872396405,0.781611372135879,0.285110618382952
"125-6","light",100,0.11,1.04108154367336,0.231814069438607,0.280401657622575,1.04262793138909,0.226414079051207,0.280983069799376
"125-7","light",100,0.14,1.25298940178249,0.531481615164815,0.0225528656194737,1.25258714479875,0.533990460506939,0.0231010164544522
"125-8","light",100,0.11,0.792706582847919,0.974844340157216,0.43933944103715,0.793170403253708,0.977950081699677,0.438767226037749
"125-9","light",100,0.08,1.01861733187263,0.942241713505497,-0.172002811448222,1.01907936331921,0.951064914388095,-0.172945362963272
"125-10","light",100,0.07,0.977666362292196,0.785876636045431,-0.019965058710413,0.977120118816267,0.791744265879456,-0.0202446969295193
"125-11","light",100,0.21,1.1369552845096,0.450017880836392,-0.17957784344887,1.13569339466188,0.452749604238262,-0.178480827294923
"125-12","light",100,0.12,1.02491253091353,-0.0246298232214559,0.54340035411174,1.02336738605847,-0.0186773391635681,0.543191740131167
"125-13","light",100,0.11,1.21529258104593,-0.112235243468442,0.406947330116472,1.21526029288846,-0.113170595413857,0.407192513556244
"125-14","light",100,0.15,0.875073387801177,0.552707957834665,0.231663476369259,0.875218215756188,0.555409111755995,0.231370211293974
"125-15","light",100,0.11,1.22170118196811,0.372077286860276,0.0869570575210009,1.22365031863167,0.371144243652315,0.0860793831241819
