"sim","censoring","n","perc_censored","alpha_d","beta_d","gamma_d","alpha_e","beta_e","gamma_e","alpha_w","beta_w","gamma_w"
"116-1","extra_heavy",500,0.752,1.00193933465186,2.23505889020932,0.244079741859738,1.02870648004466,1.28697015839425,0.239959720478208,1.03053497889741,1.21553755131987,0.239740036605655
"116-2","extra_heavy",500,0.714,0.875660457223197,1.15609510796403,0.451335436504158,0.872179302166309,1.02208122425686,0.450777638291906,0.87199494707899,1.0101988422385,0.450742218740517
"116-3","extra_heavy",500,0.728,0.983010116353655,2.89018284174474,0.222471113225139,0.984801960809281,1.80217251726674,0.215390159678904,0.984873079747917,1.66784189498196,0.214443031150038
"116-4","extra_heavy",500,0.742,1.02582586277446,1.63001089478863,0.331930045746166,1.0363211238957,1.19936155642621,0.330566230635795,1.03742119859086,1.16036612921281,0.33047366353918
"116-5","extra_heavy",500,0.716,0.804456109459704,2.74831859983379,0.262542815429385,0.817511403275613,2.26359840971657,0.259469743571263,0.818547924559527,2.22827515971446,0.259234641427406
"116-6","extra_heavy",500,0.728,0.895131185370064,1.83827754456502,0.344291866404623,0.886982736496083,1.31221459790545,0.338743460449898,0.88478418305808,1.22802963334716,0.337994666168859
"116-7","extra_heavy",500,0.7,0.910639499839476,2.09687193507155,0.369234594570031,0.918193026535385,1.38274524253373,0.360868119191856,0.920144258191115,1.3039003858174,0.360049542463045
"116-8","extra_heavy",500,0.704,0.936613381935428,1.39341270312744,0.351928279510588,0.938448066021065,1.14755876090321,0.350091450660309,0.938034174673301,1.12474656521097,0.349966132848307
"116-9","extra_heavy",500,0.746,0.815157637787296,2.44409942867087,0.528183358435755,0.841507318573945,1.52670641556982,0.520494010337777,0.844367793153556,1.4348876281167,0.519873581392205
"116-10","extra_heavy",500,0.74,0.848956207888439,3.64542601956658,0.34950722861898,0.894717714361811,2.03562194781544,0.346085144418578,0.901884799525199,1.85856783877471,0.345762609858402
