"sim","censoring","n","perc_censored","alpha_d","beta_d","gamma_d","alpha_e","beta_e","gamma_e","alpha_w","beta_w","gamma_w"
"122-1","light",100,0.12,1.00318631015208,0.0321804071404339,0.512814518953533,1.00363540762052,0.0300280516424926,0.512865188922675,1.00489646149781,0.0242189022432258,0.513041111245403
"122-2","light",100,0.13,0.885875087252129,0.43764592633157,0.274969805546419,0.887766339748226,0.42843236900988,0.266369372527913,0.901468313299602,0.380916806531969,0.25043262358379
"122-3","light",100,0.13,0.768464245719699,0.625611002599061,0.488757233948527,0.777796647147418,0.578478569580444,0.486496175084912,0.7977354674729,0.479003340125924,0.482863618914841
"122-4","light",100,0.07,0.779416820921625,0.644733941834739,0.41967407556925,0.779486300914997,0.637298798489115,0.420733966592857,0.781190416440471,0.600947007225085,0.42607760373479
"122-5","light",100,0.17,1.03595006642902,0.696258207749146,-0.161842601558143,1.03990353212297,0.668686856825063,-0.159141123594589,1.05217829564391,0.59909971923629,-0.153333370579593
"122-6","light",100,0.12,0.960459705483792,0.333898886860148,0.203884422743785,0.960663364748502,0.331723574485985,0.203014193479323,0.961523356330493,0.324799685834265,0.200540490559463
"122-7","light",100,0.12,1.20708262876774,0.566510296043877,-0.0194435967336703,1.21118046254276,0.543676074011172,-0.0203650057242004,1.2173541876438,0.510264463487507,-0.0214545107607936
"122-8","light",100,0.09,0.955125225669619,0.703917594469732,0.28711782489286,0.955836317879218,0.699143695703399,0.287143393489763,0.956753452072729,0.692973297985438,0.287192610678785
"122-9","light",100,0.11,0.878440968533496,1.52248675429307,0.135119071823803,0.879592360296695,1.5093125021894,0.135110817261892,0.880496081439188,1.49929783043461,0.135119637642096
"122-10","light",100,0.1,0.946005878318869,0.499911537573958,0.641009802165216,0.943324894669831,0.495185552861898,0.642247181277053,0.941394189627779,0.483954066853392,0.643815657078877
"122-11","light",100,0.17,1.16913028003077,0.84569313025852,0.213660829369479,1.17879399949335,0.804112196508731,0.207284565243057,1.19072475117829,0.753516337526185,0.200307224636137
"122-12","light",100,0.09,0.944637631503363,0.558831263806277,0.490471391402021,0.952293443461854,0.518938735600667,0.492044236914728,0.961127318374901,0.478378144095978,0.492921135845197
"122-13","light",100,0.11,0.915780039839169,0.93489398571237,0.391882126693126,0.924662631125961,0.892238052862644,0.383272532576294,0.939648483364961,0.822181348370061,0.371669476908514
"122-14","light",100,0.07,1.23233235318873,0.151129891698939,0.0629443522336402,1.23206737285359,0.151518593796647,0.0628999898162307,1.23148396162148,0.152140085821479,0.062776452654051
"122-15","light",100,0.11,0.87394148247075,0.429287674228222,0.375385193949281,0.874032077106675,0.426461512559952,0.374614192845313,0.874643172995964,0.419094864814955,0.373155398818325
"122-16","light",100,0.17,0.922500395696938,0.635201783899622,0.40206502533334,0.921239574609695,0.624692661204792,0.404888273206917,0.917744844446952,0.589603578703716,0.41485521645925
"122-17","light",100,0.1,0.909384483591203,0.303249490689964,0.251047032617013,0.909542896187602,0.300722271912377,0.250357698509925,0.910543952315811,0.291801647198271,0.248656650645428
"122-18","light",100,0.1,0.946735902219568,0.607991227449882,0.466898054244908,0.966966474183414,0.523844652298015,0.46792620295768,1.00686879646846,0.382401527789853,0.466743238086264
"122-19","light",100,0.14,0.853567008861751,0.35421949458871,0.62091446284266,0.862650879282281,0.323065826781621,0.617908426255572,0.886016960197075,0.244822296159436,0.612202207168171
"122-20","light",100,0.15,1.13596508565199,0.357511051496543,0.270051716214147,1.12353918959968,0.36002355542393,0.268121865163781,1.12136695627824,0.33072335303988,0.267136410875706
"122-21","light",100,0.15,0.876630093098841,0.867921251355533,0.428107638520215,0.898754284444876,0.784777863027772,0.418609374521663,0.938234142828774,0.644622122656844,0.408005394147831
"122-22","light",100,0.13,0.889609395153157,0.606630113280001,0.261013689511137,0.890817563568416,0.599876637272738,0.259308153959258,0.895308514388519,0.575799382521304,0.254408056691115
"122-23","light",100,0.14,1.22553409737992,0.00410530635781808,0.246545159454322,1.22162767587085,0.0184580325277633,0.246437642583928,1.22086943493989,0.0212212283322104,0.246414613745624
"122-24","light",100,0.16,0.67557496561656,0.922682653311102,0.841778357517285,0.696999811062227,0.839127273816069,0.830973173681666,0.74580373087988,0.677905813859379,0.817933295619818
"122-25","light",100,0.15,0.965559564778789,0.86461062494244,0.141963222506921,0.97215200203905,0.824173594441253,0.135596034943094,1.00242542766442,0.691921857925771,0.122944629081144
"122-26","light",100,0.12,1.24263569841438,0.0223811834711231,0.449006298387609,1.2412105766182,0.0274587233634857,0.448144429531131,1.23820607795396,0.0364172135768419,0.44594870670353
"122-27","light",100,0.14,0.844801622607465,0.765464542642917,0.130300058067414,0.84339751343142,0.761576611155602,0.130957000091332,0.840711579534462,0.749863061922763,0.132771362348071
"122-28","light",100,0.13,0.971070695215476,0.577905812261888,0.271173408294111,0.985727493415816,0.516402964958786,0.26968616513503,1.01673572673784,0.389498507801645,0.272438790504089
"122-29","light",100,0.17,1.00623621403643,0.458406388179337,0.203765957718554,1.01037653365958,0.420930610788907,0.209261528103716,1.02700686169134,0.327968529245905,0.217644186566373
"122-30","light",100,0.13,1.40594609801652,0.0919858443282278,0.154536546013902,1.40075612462547,0.105755908065623,0.150787271607541,1.39538472339794,0.118713589556965,0.145460992584017
"122-31","light",100,0.15,0.96567816633939,0.295685976487681,0.489589853821281,0.969351061106087,0.281119593155495,0.479697226949684,0.992570911967641,0.199576768977831,0.463255816565749
"122-32","light",100,0.14,1.05362241354971,0.595739195312227,-0.0568326408076977,1.0568449144477,0.585306814891983,-0.0593077029596724,1.06202675993717,0.568615962745837,-0.0627836768642829
"122-33","light",100,0.17,1.5099512869687,0.502875952147919,0.00707852273368224,1.50906140282996,0.504987393839669,0.00522419340470059,1.50867598134765,0.505806153131574,0.00429644763487412
"122-34","light",100,0.19,0.81469380741356,0.257675559441093,0.897004387171827,0.819144678694535,0.23655177975621,0.900360593348195,0.839071984288103,0.157557897757544,0.91186399461106
