"sim","censoring","n","perc_censored","alpha_d","beta_d","gamma_d","alpha_e","beta_e","gamma_e","alpha_w","beta_w","gamma_w"
"130-1","extra_heavy",100,0.77,1.46254757496691,-1.02275244419301,0.248309383455661,1.28386575970356,0.765976457692775,0.104921430400427,1.35379663049594,0.0226772942561678,-0.144627837574873
"130-2","extra_heavy",100,0.83,1.30364769079193,0.817989342555892,0.244676656967399,1.29340106388242,0.658535876270485,0.102527496685515,1.34138926205725,0.165833073249222,-0.0138368398700582
"130-3","extra_heavy",100,0.82,1.05549697399378,-0.0158770501994601,0.871367994168295,1.00493925806403,0.250649933940441,0.841078699773174,0.988747899941298,0.332949808971218,0.82026767349895
"130-4","extra_heavy",100,0.79,0.957686835363043,1.93820323619944,0.639296790747106,1.02637360603288,0.444003674140146,0.620748518440689,1.04002849931367,0.0205358183567979,0.568224700327105
"130-5","extra_heavy",100,0.86,1.57933565224131,-5.6868470708432,0.759484779158818,1.37622411159078,-1.89645233294426,0.89179506519027,1.19134471272372,-0.152819056267811,0.957891502695629
"130-6","extra_heavy",100,0.84,0.912635559708491,2.50708837527339,0.310256881172855,0.946045331702548,0.649029444353162,0.227795529146336,0.99621919365093,0.00464107344637415,-0.14178652134088
"130-7","extra_heavy",100,0.81,0.989378619828625,4.38578840889697,0.383434251876027,1.08961628281012,0.785396141042178,0.40375290578012,1.14008408853379,0.000294371863368286,0.436491222501298
"130-8","extra_heavy",100,0.87,1.00955129394477,3.91669449686443,-0.181179654953166,1.03751112314578,2.14630543790475,-0.487484613696643,1.21938015991024,0.389674960203948,-0.849306330388919
"130-9","extra_heavy",100,0.82,0.646120197098396,1.50757437022092,0.43193692712152,0.621902107805951,1.43776699688605,0.358127487560712,0.621871909636883,1.34194567073891,0.319933296688791
"130-10","extra_heavy",100,0.78,1.29585241951101,-0.152404565797039,0.258270079625705,1.27302138945535,0.0540170103236225,0.248492893058016,1.26199121255924,0.11015453496342,0.229388358672964
"130-11","extra_heavy",100,0.77,1.29430154562387,-0.994436376684646,0.456335307879303,1.29149887580146,-0.952465913979503,0.579528857358098,1.24610268437424,-0.460960447540009,0.659369784377589
"130-12","extra_heavy",100,0.78,1.02327825671639,3.41283113083631,0.536497466104085,0.974056743599009,2.30014544997499,0.17446166488073,1.18784148817348,0.0458972526440041,-0.196517003276813
"130-13","extra_heavy",100,0.83,1.29560253774129,-3.93226851735103,0.453824945478525,1.19576402940065,-0.993174524600018,0.479976469710814,1.11910752219599,-0.00927344776330231,0.527086895876112
"130-14","extra_heavy",100,0.82,0.841304275853327,4.13261128789322,0.520439014592596,0.810063063355591,1.86597772321039,0.158341674285967,1.10923360120239,9.76045199283821e-05,-0.143957360229691
