"sim","censoring","n","perc_censored","alpha_d","beta_d","gamma_d","alpha_e","beta_e","gamma_e","alpha_w","beta_w","gamma_w"
"124-1","light",100,0.21,0.801910753654422,0.579815308296787,0.412600115005721,0.800530456823521,0.579864588866125,0.408057845615104,0.800663586087522,0.579539699768436,0.40726426168579
"124-2","light",100,0.25,1.13866940657037,0.275842180013439,0.439687924260168,1.14275975802727,0.272008098725708,0.439492573307697,1.1433180528841,0.271485285339781,0.439470238574911
"124-3","light",100,0.14,0.509503305324983,0.724258577357636,0.392746339282592,0.52477079478804,0.709301364220055,0.391019724722832,0.53491093140274,0.699383552703098,0.390111115418188
"124-4","light",100,0.21,1.03587351778278,0.25160151852194,0.513457351714486,1.03650084090241,0.250890976018526,0.511288335928017,1.03653528466933,0.250853377328733,0.511218382073366
"124-5","light",100,0.2,1.59059911846672,0.14378116027806,-0.0956777973891895,1.58294844577099,0.149760983709246,-0.0962394232967902,1.58097438927376,0.151284197457744,-0.096399836043966
"124-6","light",100,0.22,0.988423189026258,0.43756468602532,0.213630282845968,0.987941245514104,0.437636600723329,0.212954801862028,0.987850887379927,0.437642687807612,0.212816056545296
"124-7","light",100,0.17,1.53560927794197,0.248751853739692,-0.208364096340157,1.53029740091605,0.250354525569426,-0.204790376336368,1.52773396472045,0.249854203690867,-0.201818635438059
"124-8","light",100,0.28,0.998589134702405,0.386705288494267,0.348889050147282,0.998234489199553,0.386070702274431,0.348907860615179,0.998055158765166,0.385698963916122,0.34891357236391
"124-9","light",100,0.15,1.23142658257375,0.292194505058223,0.301264614605583,1.23252847130616,0.290915848775055,0.301200760497965,1.23337071051165,0.289940781879261,0.301142762918213
"124-10","light",100,0.13,0.791797381275853,0.741086997547855,-0.0870973250279247,0.793432133481107,0.739360773583599,-0.0891894980513471,0.794274426149432,0.738485663858632,-0.0901628212574135
"124-11","light",100,0.14,0.924618322858929,0.602184250568606,0.12005983784576,0.924991738885016,0.601100925767433,0.119742391140164,0.925420204581228,0.600090679100662,0.119459751876005
"124-12","light",100,0.22,0.840982923211764,0.721621808687714,-0.117804971997235,0.843820205708802,0.718555263392106,-0.119572686230345,0.844720959770153,0.717611518209472,-0.120078859152801
"124-13","light",100,0.16,1.38381430011528,0.303410683179822,0.105553117368903,1.45065755279227,0.242629061293459,0.109310023706671,1.45756629717862,0.236354573495807,0.109793355065285
"124-14","light",100,0.26,1.23772202568137,0.402770602734351,0.27421478964801,1.23766459071638,0.401720183442274,0.274432092680624,1.23766251994352,0.401660710057223,0.274445482241167
"124-15","light",100,0.24,0.937528993636684,0.611584644731564,0.203459022219266,0.942087497200774,0.606967637344754,0.199740414501377,0.943705083416114,0.605333667686779,0.198534970774218
"124-16","light",100,0.18,1.10752975678603,0.634902271490714,0.153078898137795,1.10736237172122,0.634404047645218,0.153246940343225,1.10773792266639,0.633944621347312,0.153120457968102
"124-17","light",100,0.25,1.41818466595234,0.40504452140705,0.0662829753532655,1.44614177707247,0.376750270252906,0.069149200875327,1.45471363297405,0.368375402650763,0.0702039487125124
"124-18","light",100,0.27,1.48690548114435,0.0481274027686147,0.222051996599367,1.48538669682338,0.0491444907108592,0.222331022259013,1.48485945693815,0.0494951026204487,0.222430766957341
"124-19","light",100,0.16,0.860226852067049,0.775993576832428,0.0182686466123526,0.859440272396127,0.775818582280799,0.0183558606119452,0.858977938854396,0.775685020962309,0.0184016862726514
"124-20","light",100,0.27,0.81528289203673,0.716106053724363,0.149526288575208,0.816388301991856,0.71211045719554,0.151662591989829,0.817608394972991,0.708312900001467,0.153604958958905
"124-21","light",100,0.2,1.22780556673379,0.238310889466308,0.386933047445241,1.22362368458213,0.24176811815376,0.385253620079756,1.22240475079688,0.242767931203098,0.384720507969045
"124-22","light",100,0.21,1.12762664815709,0.225846174194296,0.456014364936353,1.13257473418136,0.221392153463642,0.455937292954541,1.13605126002242,0.218273086822306,0.455879023847185
"124-23","light",100,0.15,0.868606484615666,0.502485802895049,0.421472443051982,0.918995710446853,0.457461053636367,0.42692167242661,0.942173635968671,0.43747717252765,0.428642859460681
"124-24","light",100,0.15,0.793153784853033,0.676129170229311,0.436997698488604,0.793568971063261,0.674911970497734,0.437488633007794,0.793577863367364,0.674886967307903,0.437498683858478
"124-25","light",100,0.19,1.03317325000941,0.585455818463632,0.175786720235055,1.03264578591106,0.585440691451323,0.172688669880529,1.03242009032848,0.585253494871383,0.170042120983202
"124-26","light",100,0.19,1.35458879178327,0.253388118856397,0.519137239115445,1.36189919010815,0.24334612168552,0.522329602993988,1.36601208480881,0.238737942004047,0.523116662093577
"124-27","light",100,0.19,1.09572046430597,0.412217035334182,0.264766714630832,1.10745162654791,0.40084350451734,0.263312854245323,1.11309211201509,0.395474529338459,0.2626740275077
"124-28","light",100,0.17,0.550001229551975,0.777719548999946,0.441684959838833,0.551923406577857,0.775671467866232,0.440849274746733,0.551647737728134,0.775964447894379,0.440968127630185
"124-29","light",100,0.26,0.458881922684887,0.939997769059813,-0.0353681988013998,0.460678510331815,0.937133232988581,-0.0378990299217331,0.4627770244547,0.934132074602646,-0.0407511902499603
"124-30","light",100,0.23,1.32755385982192,0.308859307718762,0.0837996150412195,1.26920626316288,0.357944027215355,0.07927939087719,1.26756630829697,0.359097206209657,0.0791133397898384
"124-31","light",100,0.19,0.990388895609623,0.430569771493763,0.512300194010076,0.991883597642884,0.428754063442074,0.512383823357055,0.992168657243092,0.428408138708545,0.512402046979576
"124-32","light",100,0.14,1.2951502899354,0.416490091127243,0.181198930628602,1.30817778103658,0.40380707499192,0.178597683236607,1.31819996636385,0.394121237112987,0.176989723414174
"124-33","light",100,0.28,1.10083067958737,0.33835572762664,0.407987335003435,1.10486864014187,0.332381443393846,0.409328805092963,1.1066620261943,0.329848142481054,0.409873319668013
"124-34","light",100,0.28,0.970041165479505,0.569605115922069,0.356200194724786,0.972508844693758,0.566603066599568,0.355805203418919,0.973082570705269,0.565931742650811,0.355743812600231
"124-35","light",100,0.18,0.667083341079482,0.803331774819155,0.345649235878626,0.668777732335832,0.800570048208423,0.346166912637544,0.669663433981467,0.799145443376256,0.346430507401278
"124-36","light",100,0.21,1.47515295446288,0.207147113224527,0.230168201884603,1.46862195031394,0.212916693734471,0.22830519906702,1.46504101086981,0.216071549431327,0.227209016215448
"124-37","light",100,0.19,0.823822081953214,0.607390174766305,0.587807247324464,0.822499721181819,0.607550633197322,0.58887410309678,0.822288896723501,0.607571637916092,0.589049043048359
"124-38","light",100,0.2,0.916324046924839,0.616879081317285,0.297798039000133,0.917161536486496,0.615268724396642,0.298299142048594,0.917577649118794,0.61448937286485,0.298540850645204
"124-39","light",100,0.25,0.884363938066732,0.447275888879885,0.415838178505627,0.899152793830922,0.430732504894095,0.417430533752416,0.903619470811807,0.425760377438072,0.417908089800894
"124-40","light",100,0.21,0.690428585140859,0.610552708680339,0.45599458749738,0.694318313089818,0.606491458437957,0.454841577110174,0.697879634550568,0.602805380598306,0.453834808277042
"124-41","light",100,0.24,1.07098213146095,0.32789606294427,0.561450979498847,1.07387936491787,0.323869025456668,0.55715956511749,1.07865414689089,0.319253854923125,0.555112504555231
"124-42","light",100,0.15,1.01512199762645,0.437548059724436,0.407956776583828,1.01454165264808,0.438024137578519,0.406223638433771,1.01445871879119,0.43808985657537,0.405914213826426
"124-43","light",100,0.23,0.780035061174816,0.724287636469943,-0.00989824391191748,0.772074043421851,0.728998787358472,-0.00721828488271833,0.771738733580637,0.729194898554387,-0.00710283564130706
"124-44","light",100,0.15,1.05199901432643,0.525100259776501,0.0557809052450764,1.05443151809337,0.522833757806026,0.0545915598457645,1.05516778455386,0.522149424206131,0.0542533548786733
"124-45","light",100,0.19,1.40947264385119,0.249004620170018,0.346537758369504,1.40991116481244,0.24844250327803,0.346171824316842,1.41004192466882,0.248278320138682,0.346062140123967
"124-46","light",100,0.16,0.894323443785161,0.57577316821033,0.106218928320063,0.897272303445662,0.572082513974848,0.10607101495121,0.898196124110509,0.570937403393138,0.106035289296969
"124-47","light",100,0.14,0.868481657009034,0.567003786255416,0.522850138378729,0.890731452826447,0.544679025549295,0.507125534548243,0.9029989571541,0.532688041143129,0.50325585616061
"124-48","light",100,0.17,1.25843506383057,0.0913899956137665,0.365885582354932,1.25940137851384,0.0901154558922778,0.366201203034655,1.2596172744803,0.0898356047917551,0.366267899962119
"124-49","light",100,0.2,0.742160818744983,0.72693480649034,0.0699946433363983,0.820611923466237,0.653734057628613,0.0589937743396539,0.835457560426503,0.640164702840359,0.0573590646633916
