"sim","censoring","n","perc_censored","alpha_cf","beta_cf","gamma_cf","alpha_m","beta_m","gamma_m"
"124-1","heavy",2000,0.4455,1.07215967813992,0.382728066028844,0.211236345985027,1.07036659792999,0.39911819089948,0.211255490961068
"124-2","heavy",2000,0.406,1.02281511471542,0.42151649475486,0.207235326370568,1.0201955071344,0.447176418241006,0.206499716266001
"124-3","heavy",2000,0.4235,1.01642895153264,0.472576633327301,0.247824597980658,1.01626701161927,0.488960890555576,0.247957486382497
"124-4","heavy",2000,0.409,0.973079840818868,0.513729768520538,0.283429176958005,0.973173701753042,0.518172468751196,0.283406983896742
"124-5","heavy",2000,0.4035,0.997774173568195,0.584288994801868,0.231347058547427,0.997043740985844,0.594816313683464,0.231309323171041
"124-6","heavy",2000,0.405,0.995008270946912,0.474172890176387,0.252987680152371,0.993784833016952,0.485864871678211,0.253156577685364
"124-7","heavy",2000,0.384,0.998752576263034,0.580339389697866,0.241160623559286,0.997754571909734,0.595942262949164,0.241275913939208
"124-8","heavy",2000,0.4165,1.04435422320623,0.474397457355348,0.2574743952886,1.04444497204701,0.47568676753077,0.257482725649943
"124-9","heavy",2000,0.4145,0.981864717778576,0.590651214735244,0.230025413868118,0.980344355735212,0.610431350146247,0.229889358887747
"124-10","heavy",2000,0.415,1.03738988932082,0.408489575207136,0.266784881048191,1.03605601583971,0.419257348236094,0.266836956798945
"124-11","heavy",2000,0.3975,0.990965454496672,0.515770286341816,0.284067817187834,0.990905903612392,0.518779727916146,0.284098566638343
"124-12","heavy",2000,0.4285,1.01220192795498,0.416956074369673,0.288693314350175,1.01192220429843,0.420809275242034,0.288751214480439
"124-13","heavy",2000,0.411,1.04483847406461,0.529117941667877,0.222860758507367,1.04397232755125,0.541731308133343,0.222644900145192
"124-14","heavy",2000,0.4155,0.998878261178325,0.630747761386927,0.204075289361458,0.996269409643225,0.652303730076675,0.204197790905712
"124-15","heavy",2000,0.4095,0.960739415768626,0.544209654163214,0.273191250350721,0.95963390543419,0.556287267504993,0.273464403634141
"124-16","heavy",2000,0.397,0.974800268797436,0.422632871068572,0.330845626055966,0.972215319980898,0.444242143361459,0.331074815151762
"124-17","heavy",2000,0.406,1.02362294932574,0.478553273536677,0.239891884651259,1.02221019566632,0.489035789152882,0.23987818477721
"124-18","heavy",2000,0.417,1.01290986231723,0.454494828224254,0.239864651468976,1.01264403750203,0.467694771140341,0.239568348647039
"124-19","heavy",2000,0.409,1.01716348843768,0.448701352557528,0.224174090353215,1.0173940593496,0.454899318180433,0.224083965584632
"124-20","heavy",2000,0.4085,1.00792676425834,0.444826326691802,0.271654695208274,1.00741270994011,0.451223141994155,0.271685932957601
"124-21","heavy",2000,0.4185,1.09177692395018,0.364314134499012,0.183746410134345,1.09178546090724,0.366335373027445,0.183755225711806
"124-22","heavy",2000,0.408,1.02204655453563,0.353845417970397,0.242155631243896,1.02197031613855,0.355272914857758,0.242171853852881
"124-23","heavy",2000,0.4115,0.983375647379207,0.448464694697059,0.269240692637579,0.982722524620372,0.457554023947179,0.269285574999898
"124-24","heavy",2000,0.41,0.980385097255285,0.490304987146513,0.341565806682106,0.980712722407777,0.490694873049965,0.341524701644594
"124-25","heavy",2000,0.4155,0.917933689557336,0.629909635358099,0.318562637069396,0.916603568563592,0.648985152730309,0.318414500387411
"124-26","heavy",2000,0.428,1.00731107348173,0.444483673913383,0.260600239499132,1.00765433660413,0.451116552628642,0.260601422442499
"124-27","heavy",2000,0.411,0.922296222174377,0.738215285955455,0.252658730612668,0.922175917175625,0.74263179859756,0.252702469226841
"124-28","heavy",2000,0.409,0.959590960488638,0.753148376045618,0.228986819522194,0.959499142594435,0.756902327548413,0.228954994931057
"124-29","heavy",2000,0.396,0.963359037029061,0.687502543154799,0.195870075027031,0.963304828803176,0.695352150386087,0.19575523910262
"124-30","heavy",2000,0.412,1.0314778469923,0.557208905443203,0.201521146840613,1.03134847352648,0.560942899605498,0.201539568753731
"124-31","heavy",2000,0.4085,0.912651412682723,0.531380563073787,0.335019820521973,0.912771625637547,0.534878640989728,0.33508152789194
"124-32","heavy",2000,0.408,1.04560270031641,0.374120623653494,0.284888009626395,1.04592695470158,0.375382313586891,0.284969775664436
"124-33","heavy",2000,0.405,0.937406405551447,0.575701358968516,0.288395138812729,0.936528190021132,0.593545613599163,0.287983532176051
"124-34","heavy",2000,0.411,0.974441230144551,0.570630216868505,0.269834938513522,0.973733514023826,0.576837393303961,0.269908597715496
"124-35","heavy",2000,0.431,1.0428527122665,0.297688770651053,0.264897029763297,1.04192417237512,0.30929307233048,0.264824266267433
"124-36","heavy",2000,0.4085,1.03041304299927,0.532575287781565,0.222000439612549,1.03055675165325,0.535318960940338,0.221964488845551
"124-37","heavy",2000,0.4125,1.05196137928694,0.479978057620106,0.211934085696028,1.05238652737523,0.488417601726804,0.211475470591014
"124-38","heavy",2000,0.4095,1.04645214221902,0.543160409700234,0.211389404905385,1.04629219261132,0.550545772955184,0.21145443229669
"124-39","heavy",2000,0.4085,0.951911272122179,0.452498940663639,0.331519005297814,0.951944654094568,0.45493379238575,0.331485848917495
"124-40","heavy",2000,0.4055,1.04012780954516,0.518124745106471,0.170832771904377,1.0400775926387,0.519570600399943,0.170833819151284
"124-41","heavy",2000,0.426,1.03914762812037,0.379506649163957,0.294374319401653,1.038933120843,0.383346560552654,0.294275409980013
"124-42","heavy",2000,0.412,0.983153912305785,0.631880276747841,0.253319066089427,0.98313341486006,0.641685757099851,0.253545706836146
"124-43","heavy",2000,0.425,0.979932953893138,0.500013239442547,0.264315614347776,0.978610793374683,0.512670530998537,0.264329960383381
"124-44","heavy",2000,0.404,1.01421031290762,0.44988929010347,0.235788183482924,1.01257285446612,0.466048240659061,0.235826488407577
"124-45","heavy",2000,0.406,0.977317099339827,0.602348672767353,0.281002772965811,0.976387196246138,0.611884250648631,0.281020259646605
