"sim","censoring","n","perc_censored","alpha_cf","beta_cf","gamma_cf","alpha_m","beta_m","gamma_m"
"123-1","light",500,0.118,0.972860801823663,0.606962942395165,0.215553767843526,0.97214865128639,0.612256143573254,0.215467943251327
"123-2","light",500,0.13,0.964460057847877,0.429966864980016,0.215193644250166,0.964577237359756,0.431556676344194,0.215164732952871
"123-3","light",500,0.094,1.05429274826656,0.178864254938097,0.262931769225828,1.05567745210588,0.173932541002022,0.263242913693903
"123-4","light",500,0.122,1.09451912956801,0.559829765898981,0.116121181671044,1.09434879328022,0.56454520782419,0.11571262588769
"123-5","light",500,0.128,0.931751569584534,0.547354904160338,0.305648368366339,0.932147496236836,0.548421169175935,0.305540531229019
"123-6","light",500,0.13,0.956594122249733,0.388457235345015,0.385077884563443,0.955832185383567,0.393721231104924,0.384877519383254
"123-7","light",500,0.14,0.932602080704522,0.586104978498472,0.228622357403948,0.931693870620208,0.592188143047242,0.228519619586793
"123-8","light",500,0.098,1.03216416698303,0.46314499660843,0.228672037009298,1.0368808998752,0.449887769085093,0.22804931775739
"123-9","light",500,0.136,1.11876429026516,0.316088311799596,0.162950646134431,1.11859231362441,0.31719938016036,0.162971729296857
"123-10","light",500,0.12,1.00666848449868,0.449904702133003,0.229012922976172,1.00741528369288,0.450154119683329,0.228980907430378
"123-11","light",500,0.122,1.03489482066783,0.540249425556361,0.248372318767575,1.03469211055029,0.544573440278957,0.247794001186932
"123-12","light",500,0.146,0.937639471494861,0.413229956284954,0.448013574299542,0.938680062113436,0.411498911609697,0.449486948720705
"123-13","light",500,0.14,0.967090334710962,0.66586121128874,0.195599426880089,0.968508130279109,0.662442447144716,0.19625524051324
"123-14","light",500,0.122,0.892008339055867,0.614522749993205,0.360430120837605,0.891112701565302,0.622477890613974,0.3600292913584
"123-15","light",500,0.118,0.981599701266804,0.442320527855195,0.314924739064887,0.981168736208823,0.445957225501842,0.314912198107429
"123-16","light",500,0.094,1.0390989941709,0.432734200461716,0.210647881226886,1.04058585659745,0.428613743684562,0.210422461793707
"123-17","light",500,0.128,1.10036280378606,0.44068027902755,0.0850349510147956,1.10127653490077,0.439780246523748,0.0848369041133229
"123-18","light",500,0.114,1.00172322418203,0.731555702112433,0.166402431233085,1.00059517690991,0.738679411743813,0.166371897164865
"123-19","light",500,0.106,1.03762176820556,0.526410758097136,0.252740309525164,1.0377464904245,0.52661568715662,0.252759168901116
"123-20","light",500,0.106,1.03179489170669,0.636338766005645,0.270014597340919,1.03189292598963,0.639626031644561,0.269820071579539
"123-21","light",500,0.126,0.898161782866239,0.475773480202455,0.416872814790245,0.897055517779103,0.480187052542603,0.417067500894556
"123-22","light",500,0.106,0.936975781935313,0.550496972972421,0.241960453428768,0.936688561413856,0.554337613888883,0.241841087577651
"123-23","light",500,0.122,1.05324074391742,0.460484627647892,0.12755198473489,1.05502703975555,0.456461516779229,0.127086088185892
"123-24","light",500,0.1,0.933066852829462,0.618549804859893,0.367996408302942,0.934348332410261,0.616715826395416,0.367190906930366
"123-25","light",500,0.124,0.992864065431967,0.373001947437429,0.292119775145163,0.993096327814411,0.372614059192106,0.292323849940146
"123-26","light",500,0.138,0.9806502522132,0.6362459630409,0.203935048134669,0.9803175753288,0.637872299981117,0.20405923682939
"123-27","light",500,0.124,0.935976264590116,0.499735234293168,0.393177092338387,0.935865349265287,0.500983119530606,0.393146827807874
"123-28","light",500,0.136,0.984104498147315,0.586299995845788,0.222613929425562,0.983993502460674,0.58821524983784,0.222774468640335
"123-29","light",500,0.132,0.974439371118791,0.625920556869013,0.114827695066034,0.974838178400205,0.625911937291467,0.114785537238165
"123-30","light",500,0.146,0.870070569821273,0.601934399364739,0.381424136053821,0.868004927666434,0.612888651441344,0.38155914985615
"123-31","light",500,0.128,0.958448617415394,0.783362380395371,0.220724704894273,0.957594509702342,0.790179585552378,0.220587970562729
"123-32","light",500,0.12,1.075799227375,0.522361692698991,0.117303466463232,1.07623768769333,0.522051535362143,0.117144464427882
