"sim","censoring","n","perc_censored","alpha_d","beta_d","gamma_d","alpha_e","beta_e","gamma_e","alpha_w","beta_w","gamma_w"
"128-1","extra_heavy",500,0.748,0.859139998771924,0.654976564825879,0.236990634560644,0.992916143385564,0.511239014125579,0.225801249986092,0.966271055864956,0.539612841621458,0.226693006606403
"128-2","extra_heavy",500,0.856,0.895270786131032,0.499519501097712,0.376603928903739,0.91421377200324,0.478552134955522,0.363958748884532,0.908156017005661,0.485046494341729,0.367686114076
"128-3","extra_heavy",500,0.818,1.10816731033761,0.486237153098989,0.216798179046353,1.2775894096037,0.297814038716279,0.176865134422602,1.22584984389454,0.353251678668268,0.185952968989144
"128-4","extra_heavy",500,0.832,0.975557785510583,0.499854299924024,0.133247845840977,1.00143290220063,0.474887393691338,0.103722124756288,1.00345670394636,0.473004397893235,0.101610245173049
"128-5","extra_heavy",500,0.828,0.922924514654878,0.652916661406758,0.170756822080811,0.95098015204996,0.625274263473186,0.131419104091051,0.938055151443507,0.637907108424142,0.146122561300286
"128-6","extra_heavy",500,0.842,0.809198807255643,0.793284252675064,0.130350732498396,0.873388243684873,0.728576732136155,0.0912668680211333,0.84094856189381,0.761176106652143,0.109375859528832
"128-7","extra_heavy",500,0.836,0.769560773541747,0.603076964715883,0.350712925819451,0.799191533870931,0.570980795458838,0.332547047279706,0.793517313260539,0.576983022344889,0.335873047029783
"128-8","extra_heavy",500,0.848,0.973353386317511,0.546036720628025,0.309910563201722,1.06768577010977,0.453172379500655,0.282033773672356,1.03281031065637,0.487209145455256,0.289592232799983
"128-9","extra_heavy",500,0.844,1.12500266930007,0.443299515641416,0.304181822468524,1.2309927385416,0.325643854162598,0.249501058832123,1.19041610416346,0.369835801910824,0.265908098272852
"128-10","extra_heavy",500,0.852,1.00785524962327,0.556341485337866,-0.0133291670190363,1.03642918600175,0.532030160027791,-0.0557838269270384,1.02829900329749,0.538933074926899,-0.0451378119067957
"128-11","extra_heavy",500,0.844,1.16249339771784,0.471449646916928,0.095080732945459,1.19517932209457,0.44215565080631,0.0786656251396246,1.18743175243138,0.449079130198446,0.0821016665093092
"128-12","extra_heavy",500,0.826,0.950198574528584,0.484172207558907,0.217009982142157,1.04750126618976,0.393298960522784,0.176384623177956,1.02553508179855,0.413430011212529,0.183402700705941
"128-13","extra_heavy",500,0.8,0.963747735127948,0.589212193220878,0.45698582599515,1.19638760567113,0.331353033350182,0.4018979827011,1.13652324520465,0.394827882440861,0.411364436784407
"128-14","extra_heavy",500,0.834,1.04575809524373,0.523247206630006,0.227774872394851,1.09135430359576,0.479497184646339,0.216714126688846,1.07895774449498,0.491318888095764,0.219338489459353
"128-15","extra_heavy",500,0.798,1.04573637647207,0.412182715694517,0.425689563159149,1.07188452747671,0.385758871170123,0.413353569922396,1.07529076613157,0.38237391451077,0.411908553428813
"128-16","extra_heavy",500,0.826,1.05808673008764,0.533612722122823,0.273869531560333,1.34005855426183,0.248243711880592,0.263556010554859,1.29374162454244,0.292497838919415,0.262560019853336
"128-17","extra_heavy",500,0.802,0.972356677445035,0.670280963900651,0.210871306995034,0.966043315337558,0.675407964376245,0.189821276068329,0.967616067398081,0.674183043440305,0.196720035197652
"128-18","extra_heavy",500,0.846,1.0032558370645,0.468144134815397,0.347555210227623,1.0241684134599,0.441307745886901,0.31509662414179,1.02109333421074,0.44498182071877,0.319172648110549
"128-19","extra_heavy",500,0.832,1.0048478488408,0.472855992173238,0.220979607956474,1.0713294521604,0.40949984665615,0.200502363677174,1.05597895257324,0.423937600731694,0.204883227137157
"128-20","extra_heavy",500,0.782,1.04742228015219,0.577079929016014,0.16995221853459,1.19608474039918,0.399517362143883,0.1087974738639,1.14899292953557,0.452913978349608,0.123398262935658
"128-21","extra_heavy",500,0.814,1.33117107817557,0.297600676720428,0.168265579379872,1.34055398825738,0.283227348902612,0.135736353543074,1.33574158689292,0.289157738311993,0.143797891305059
"128-22","extra_heavy",500,0.808,0.610599959979469,0.9820899636143,0.248750291091917,0.659435971531791,0.923339239165007,0.213541938462073,0.638678791735526,0.947255893414997,0.224648398972559
"128-23","extra_heavy",500,0.832,1.10477341559629,0.359662817880447,0.383662349343539,1.1568670129055,0.30300165927875,0.364970443649229,1.14959983185526,0.310715952294713,0.367397849881686
"128-24","extra_heavy",500,0.826,0.92748515436339,0.510806461353963,0.173019604043177,0.991452193818124,0.449268702694561,0.149591811852352,0.987607001902695,0.452899551048273,0.150934811046289
"128-25","extra_heavy",500,0.822,0.506863548747116,0.900806940200559,0.250420358645306,0.695499504941531,0.707072646077354,0.223712827624864,0.643447562662808,0.760141173864595,0.227142462893814
