"sim","censoring","n","perc_censored","alpha_cf","beta_cf","gamma_cf","alpha_m","beta_m","gamma_m"
"120-1","light",100,0.17,1.17823770318744,0.23687248083652,0.164881941157218,1.17834488727412,0.233316316376271,0.167123456626759
"120-2","light",100,0.15,1.08359349312773,0.497046622777101,0.18071909147117,1.08417330884744,0.496744284610543,0.181754091184434
"120-3","light",100,0.17,1.04564434467808,0.465413129662785,0.190158971995733,1.04664010148393,0.46194049368735,0.191872677035495
"120-4","light",100,0.13,0.867897059032326,-0.0182624868082763,0.679526012740122,0.868802804762241,-0.0215021859394596,0.680073968540592
"120-5","light",100,0.17,0.901933676901438,0.584220967218901,0.143505796940336,0.904621881053589,0.585080068389609,0.1365542395184
"120-6","light",100,0.17,0.976085358559948,0.655432419577751,0.190669468407588,0.981383077021665,0.641509019980187,0.191876554366054
"120-7","light",100,0.15,1.41285006078422,0.579508446798007,-0.0480174826715231,1.41798935466382,0.578414246608559,-0.0499248162434037
"120-8","light",100,0.13,0.763243062979435,0.481292773157476,0.672884132887073,0.761327789109248,0.492280427778502,0.672301489238404
"120-9","light",100,0.08,0.970820772892523,0.407046129241633,0.316560522547586,0.974536048682579,0.406667548898823,0.31379458915989
"120-10","light",100,0.2,1.14796528581675,0.559294373030112,0.229928681030112,1.14782282372749,0.560210823302286,0.229047951804771
"120-11","light",100,0.13,1.09188269125898,0.684856741247271,0.17949688148385,1.09290342239937,0.686894363245653,0.177580975362895
"120-12","light",100,0.17,1.09461420180337,0.242504578636753,0.13010852910889,1.09423959466484,0.251541057808764,0.128004143176716
"120-13","light",100,0.1,0.823422230819955,0.730768160223085,0.180631895875333,0.828325462559053,0.719879667408754,0.177789570898973
"120-14","light",100,0.14,0.786785981751359,1.03388583379364,0.119109405985903,0.788401599120052,1.03951827900057,0.117446689942768
"120-15","light",100,0.15,0.947810867977066,0.774053483069712,0.309118005365394,0.945488623170064,0.790872885536883,0.306905238503854
"120-16","light",100,0.14,0.865733900716579,0.592579751797882,0.133477274170029,0.866974208513761,0.594605414957818,0.134575473975333
"120-17","light",100,0.13,0.782606675205718,0.728015040275193,0.346457108737845,0.780242676568188,0.745617105048501,0.347875236588425
"120-18","light",100,0.11,0.935111339740831,0.428323077706302,0.246344368036535,0.934389960035214,0.43401881428081,0.245629660540167
"120-19","light",100,0.17,0.787839525257303,0.485136420507353,0.50203896627428,0.789424223747138,0.487431063108744,0.503645410786568
"120-20","light",100,0.08,1.07823245137721,0.40420540926245,0.340909229504772,1.07717456984551,0.416460930452322,0.339811967754629
"120-21","light",100,0.14,0.956838898521163,0.22231271240386,0.303433994934232,0.958902948406407,0.219617702845355,0.303646635275579
"120-22","light",100,0.14,0.8895098108271,0.561752183550273,0.377403938021828,0.893242682853446,0.55570925887693,0.377204025474507
"120-23","light",100,0.18,1.17400950007535,0.347627847768804,0.223019911744354,1.17206129766033,0.359368076713322,0.221024277797219
"120-24","light",100,0.17,1.09933932194024,0.50456582855161,0.331683365637927,1.10067728333449,0.504733816322722,0.32987352862545
"120-25","light",100,0.17,1.11707378616373,0.751964430558887,0.258237881695111,1.11753792988362,0.750374297989496,0.258772503921996
"120-26","light",100,0.09,1.05277928756368,0.171285173049855,0.341185676243882,1.05293723492606,0.171134764898668,0.340977862233214
"120-27","light",100,0.17,1.04923009036362,0.31675095210305,0.129162530295454,1.04990538368059,0.321918524017213,0.129177208324238
"120-28","light",100,0.12,1.21481481896482,0.346616811566544,0.122039481564821,1.21619477813625,0.344967375472714,0.12092672925411
"120-29","light",100,0.18,1.12232671594608,0.418801908714375,-0.0151051815256165,1.12337744587011,0.422213880696299,-0.0162256175257547
"120-30","light",100,0.11,0.918307347255765,0.64319784854361,0.613832107455405,0.919423430583323,0.625285286889269,0.622654125271188
"120-31","light",100,0.12,0.957321907049533,1.02719407614231,0.45078060746953,0.979326936775394,0.963525775152458,0.43555337634601
"120-32","light",100,0.11,1.07400393362322,-0.1652736915411,0.484716105175948,1.07657665799297,-0.179958579444618,0.486675269438261
"120-33","light",100,0.09,1.14353928879953,0.551130298430259,0.23510705541359,1.14462291029496,0.551511427145355,0.235034919931508
"120-34","light",100,0.1,0.986948224243655,0.575334407986945,0.286951232126835,0.987118062141595,0.581603786516914,0.287532732072279
"120-35","light",100,0.21,0.758879068718904,0.668207777063988,0.325457676579662,0.759575673917713,0.669006507051875,0.32488510443361
"120-36","light",100,0.15,1.02654135603497,0.352832813199384,0.396472842906862,1.02691205529449,0.355615455579685,0.39861921509893
"120-37","light",100,0.09,1.16228921773745,0.597909207390572,0.0567008929067828,1.16427724267016,0.595691460510293,0.0568508177202188
