"sim","censoring","n","perc_censored","alpha_d","beta_d","gamma_d","alpha_e","beta_e","gamma_e","alpha_w","beta_w","gamma_w"
"130-1","extra_heavy",2000,0.795,1.11277422507317,0.424106856265267,0.190212627941585,1.12147684114639,0.409054317760158,0.188982922474557,1.12007893902881,0.411322983481982,0.189161998803263
"130-2","extra_heavy",2000,0.7935,1.06916164093643,0.453593314110012,0.291477677940197,1.10868377140331,0.406017623801847,0.288914342682769,1.1050027271619,0.410309965123637,0.289138278411403
"130-3","extra_heavy",2000,0.8055,0.922318955852977,0.493277749766031,0.315442871383463,0.939115333249831,0.47082552158576,0.316194810188436,0.941751284354963,0.467414661630587,0.316287302689774
"130-4","extra_heavy",2000,0.7925,0.83260061627344,0.726201672939632,0.21651321701724,0.85421678770207,0.699483767136262,0.212489906467693,0.849888711231189,0.704785339759105,0.213290917500641
"130-5","extra_heavy",2000,0.792,1.03369303373046,0.462503509494709,0.199550745423145,1.05315963271701,0.438031994829171,0.2015310009941,1.05666499374709,0.43369888955024,0.201879621867673
"130-6","extra_heavy",2000,0.7925,0.920681506400023,0.531739461461309,0.256645238310791,0.931233229115123,0.519949715717656,0.253595564130459,0.933946291215238,0.516956931451549,0.252817388163033
"130-7","extra_heavy",2000,0.7955,1.06476616087771,0.434699430599856,0.290331444226099,1.10319009061166,0.395004309580277,0.283820366328153,1.10908824075012,0.388982237575839,0.282899268235579
"130-8","extra_heavy",2000,0.793,0.860705231902945,0.613237143458126,0.269565854308484,0.930740761282266,0.531028403522624,0.261093995177481,0.92074345738752,0.542405424122111,0.262169870985095
"130-9","extra_heavy",2000,0.79,0.821392940999644,0.651716451724599,0.251154647221245,0.857807077376777,0.60627260232945,0.243442596801415,0.851746294433159,0.613543457601885,0.244542590102525
"130-10","extra_heavy",2000,0.801,1.03323297916931,0.500284161243148,0.218247859588194,1.05807778129712,0.464397243671109,0.218087074315792,1.05831327492584,0.464063362965256,0.218082817388062
"130-11","extra_heavy",2000,0.8005,0.988627712428214,0.549067275446371,0.262859497959927,1.05179533781476,0.47799850729597,0.257906808439366,1.0391010359811,0.491986094506635,0.258761160819489
"130-12","extra_heavy",2000,0.7945,0.976791138300356,0.493252825476025,0.279107619650485,0.987574931729562,0.480539021662569,0.277416279045757,0.990206610630242,0.477446137957985,0.276969659730563
"130-13","extra_heavy",2000,0.809,0.946558802185518,0.486452881875464,0.339011782939412,0.966648022968462,0.453986156807079,0.332564295566117,0.962826846858247,0.459668694973229,0.333613639237093
"130-14","extra_heavy",2000,0.802,0.92603958418277,0.572272218252951,0.284871550812173,0.985297367384569,0.507758529262314,0.277827323792834,0.98403045702602,0.509178482273146,0.278055301994436
"130-15","extra_heavy",2000,0.805,1.03051952767479,0.492664356900229,0.221048332981052,1.03925326492554,0.478913920098934,0.222724705092162,1.0387856599622,0.479641432836083,0.222634895296325
"130-16","extra_heavy",2000,0.798,1.10170585991725,0.368210252968748,0.292605231639029,1.11094894121613,0.354200616823764,0.29248577975129,1.11126377014433,0.353744050801108,0.292477216377084
"130-17","extra_heavy",2000,0.7885,1.02769750316592,0.50286008133942,0.213569031052899,1.03967963903378,0.488260259406549,0.21271772201795,1.03966821840226,0.488277369925148,0.212718834048583
"130-18","extra_heavy",2000,0.806,1.15346716106925,0.423834204227583,0.210614482062364,1.16226138515244,0.413409156154622,0.206943495750651,1.16337148910827,0.412109463299488,0.206486921677722
"130-19","extra_heavy",2000,0.7845,0.972205747367663,0.529145571606578,0.263760362985603,0.986494699631648,0.509021782254803,0.264094235631346,0.988378359688435,0.506754246333712,0.264077851687109
"130-20","extra_heavy",2000,0.7925,0.766879990350927,0.692270329005284,0.289168076144619,0.767262388051537,0.688719965170767,0.28809087355711,0.767760656533455,0.688066213196074,0.287855058519043
"130-21","extra_heavy",2000,0.785,1.02303198940041,0.492628885817465,0.332845372751314,1.03775317118781,0.475645500025381,0.331881664260656,1.03682125649637,0.476774981026598,0.331949728930356
"130-22","extra_heavy",2000,0.786,0.95319065457693,0.552112593247001,0.277857385113141,0.965845928770323,0.537372759618065,0.275360229695164,0.964046656045673,0.539458810842939,0.275719153897118
"130-23","extra_heavy",2000,0.7955,1.10318428934807,0.411016896066881,0.29993238325037,1.11333301201204,0.397647813026741,0.295012689028109,1.11301087227668,0.398033757384877,0.295133311462458
"130-24","extra_heavy",2000,0.8005,0.946627105606356,0.529421820640337,0.323872224196178,0.952194926309104,0.52194076470984,0.32318937844902,0.951945079731337,0.522275896170955,0.323223993201163
"130-25","extra_heavy",2000,0.793,1.02555425711966,0.534234871708447,0.174674577888272,1.03583260312037,0.520524052831007,0.171649069528247,1.03489953536501,0.521742062008414,0.171912348804257
"130-26","extra_heavy",2000,0.8075,0.949442216492301,0.542659009811675,0.263266876803294,0.964549146215875,0.525378708676867,0.259308158466646,0.962597054828912,0.527584698952601,0.259837672054442
"130-27","extra_heavy",2000,0.781,1.07158741169075,0.511227517949643,0.167881326550501,1.0777251000417,0.504086292776825,0.164789731138087,1.07707048943853,0.504827598729868,0.165069130003885
"130-28","extra_heavy",2000,0.798,1.00937089870292,0.478039598736569,0.246802973146667,1.01766290855396,0.468554848569066,0.244077610233763,1.01736675320704,0.468890452322479,0.244174561522057
"130-29","extra_heavy",2000,0.787,0.868544623932181,0.615166579422372,0.202821009237158,0.882702640645911,0.594325248293505,0.20188488289547,0.882414848675465,0.594732075273564,0.201903368689553
"130-30","extra_heavy",2000,0.7955,0.917328326263578,0.56334918470643,0.212979860800137,0.945864683774115,0.531356166189002,0.202990689456113,0.944858040166002,0.532462029831227,0.20331611228162
"130-31","extra_heavy",2000,0.805,1.09950881575144,0.378906642054233,0.349646341106622,1.1294907084324,0.340863914919232,0.352470726542193,1.12796209580256,0.342750635869819,0.352343799593064
"130-32","extra_heavy",2000,0.794,0.907751322760008,0.566950646575825,0.268636182315641,0.936491335230678,0.536574830250783,0.266644547655686,0.936382388971433,0.536703027459643,0.2666618071771
"130-33","extra_heavy",2000,0.7955,0.972123860613237,0.552853139614164,0.208213083150854,0.995129825152499,0.525501186353196,0.20304535471442,0.995287577452565,0.525319857215004,0.203014390380269
"130-34","extra_heavy",2000,0.788,1.07888699644088,0.461020762091294,0.238424881833482,1.08173173313975,0.457679871204033,0.237304568479896,1.08175235540167,0.457654548973558,0.237301807547926
"130-35","extra_heavy",2000,0.792,0.953902771396976,0.480147259809098,0.348440825631003,0.973959904713265,0.452117147302003,0.345370487066981,0.971658429247984,0.455021958943914,0.345563183978063
"130-36","extra_heavy",2000,0.788,1.03112853817435,0.454372254671942,0.333390392378623,1.05119694316576,0.423880376135495,0.329767742383757,1.04893614151055,0.427130061090538,0.330133099711767
