"sim","censoring","n","perc_censored","alpha_d","beta_d","gamma_d","alpha_e","beta_e","gamma_e","alpha_w","beta_w","gamma_w"
"128-1","extra_heavy",2000,0.7745,1.07355060362344,0.436191756082325,0.27556311066277,1.08214751492789,0.423798225491713,0.276822055252586,1.08408459564111,0.420903995196221,0.277146671306703
"128-2","extra_heavy",2000,0.7985,0.988537914614479,0.522998557576199,0.219374628228917,1.06658313657856,0.431656540064851,0.213857495073874,1.06227171600091,0.436492065421275,0.214135524205058
"128-3","extra_heavy",2000,0.7815,1.16016867175566,0.393306097236108,0.271334655293974,1.17717929794605,0.371780421848434,0.271444527773107,1.17672155289355,0.372345066028173,0.271440287105588
"128-4","extra_heavy",2000,0.7885,1.01494026440866,0.481444636297346,0.229326803611372,1.03830698887762,0.45168104073847,0.23061483735593,1.04196667911238,0.447104831406431,0.230818937568242
"128-5","extra_heavy",2000,0.7965,1.16493436694717,0.370702381331218,0.279557237059358,1.16955174751511,0.362380417484665,0.280413889255883,1.16931844932556,0.362786171178556,0.280372662586507
"128-6","extra_heavy",2000,0.79,0.912636533607407,0.587385793185504,0.256512787684191,0.940586035327417,0.541862014642505,0.260056946765867,0.933062825074707,0.552802806707094,0.259337779754527
"128-7","extra_heavy",2000,0.7935,1.04262567023836,0.508309089977658,0.182272688762746,1.0443390738401,0.505023936998172,0.181570741290122,1.04404646223071,0.505572559823927,0.181688710048769
"128-8","extra_heavy",2000,0.7805,0.871301866689085,0.630748335736694,0.266074050761002,0.883008528979368,0.614373700401633,0.265297268941936,0.882667402792814,0.614844747176429,0.265319555632999
"128-9","extra_heavy",2000,0.79,1.08355055286431,0.437217347984675,0.253980996335189,1.10681963187598,0.403396481767787,0.250774967092204,1.10505760201212,0.405791932252415,0.250982561710022
"128-10","extra_heavy",2000,0.8025,0.916778540916167,0.58672317615182,0.194804473995972,0.96841041490473,0.527989272889103,0.188785413703818,0.966711804176371,0.529868423479772,0.188960542930184
"128-11","extra_heavy",2000,0.784,0.775998005932916,0.724491240387618,0.253235317360873,0.783295474559741,0.713814796214483,0.252550500846745,0.782270349740912,0.715302922563007,0.252648419827712
"128-12","extra_heavy",2000,0.784,1.04253714451325,0.460753478973778,0.188296689752783,1.0477015021527,0.453937767086733,0.187576682805115,1.04766700953352,0.453991316071988,0.187591794801468
"128-13","extra_heavy",2000,0.771,0.888222827152797,0.626234884518647,0.288141081594693,0.896128805842211,0.615446550208055,0.288454077067345,0.895004366123783,0.61696321133714,0.288408678214256
"128-14","extra_heavy",2000,0.79,1.01441243872008,0.502167195304358,0.206629124505294,1.09293634276452,0.403411063776828,0.213593432732459,1.09172626103696,0.404861727416785,0.213502722074873
"128-15","extra_heavy",2000,0.795,1.03121696546567,0.451990041792768,0.228562645810727,1.07544842006726,0.39330133027736,0.236048082468959,1.07641701222491,0.392121340138326,0.236164606354209
"128-16","extra_heavy",2000,0.7605,1.08956959698785,0.485096325546046,0.17711353441997,1.10625041000654,0.462343491950588,0.173367464819069,1.10309927180277,0.466483949077228,0.173975768374487
