"sim","censoring","n","perc_censored","alpha_d","beta_d","gamma_d","alpha_e","beta_e","gamma_e","alpha_w","beta_w","gamma_w"
"115-1","heavy",2000,0.3475,1.0602816003029,0.466392275602153,0.251633539128663,1.06107790818898,0.465450497555464,0.251576104033229,1.06160946770491,0.464820438834957,0.251533033004082
"115-2","heavy",2000,0.3345,0.925507575448656,0.558694580433952,0.225471496336629,0.926477753455251,0.557601447792584,0.225421002547673,0.926908805001002,0.557121850335241,0.225402687712597
"115-3","heavy",2000,0.3415,0.93259727923274,0.552900063075039,0.244082414160206,0.932986662466505,0.55241292855336,0.243926691183395,0.933214470248464,0.552136159921093,0.24383793790747
"115-4","heavy",2000,0.3435,1.02272451870732,0.495176088420438,0.185532364654219,1.02368584957374,0.494083623354612,0.185390996346913,1.02414102597738,0.493573230638884,0.185323608693463
"115-5","heavy",2000,0.3545,0.998291428461659,0.530645849835642,0.204409784354732,0.999232203175122,0.529589501729747,0.204432432994455,0.99951654261517,0.529266489072775,0.204439035330965
"115-6","heavy",2000,0.3685,1.04819284470322,0.464917525196971,0.16777133163283,1.05090852984135,0.46208814263123,0.167737101573675,1.05332873419488,0.459585317729794,0.16770543660674
"115-7","heavy",2000,0.3365,0.98928685499474,0.528298612968218,0.171016235764915,0.989658372350836,0.527786279508236,0.171049063089444,0.989849327731364,0.527527483092033,0.171062719423337
"115-8","heavy",2000,0.3385,0.953812567010828,0.53021249689544,0.286087477878238,0.954158353571465,0.529769558760509,0.286131694911792,0.954305299095919,0.52958066351307,0.28615093500983
"115-9","heavy",2000,0.364,1.05436181451415,0.486653600978371,0.200442953353667,1.05892493311838,0.482128221533319,0.199713971773282,1.06270430261262,0.478469464469507,0.199266437130568
"115-10","heavy",2000,0.3605,0.957887379658215,0.539290651859894,0.271127498478122,0.959215962236434,0.537671950716226,0.271261012557151,0.96043575995033,0.53619574906265,0.271385033335521
"115-11","heavy",2000,0.3545,1.06280747579522,0.469563477260662,0.186745097477044,1.06336195406869,0.468865264440436,0.186759933704757,1.06367213333673,0.468477008906026,0.186769646605747
"115-12","heavy",2000,0.375,0.976365947086125,0.504398917233691,0.238027750985258,0.98266801541585,0.498872076188784,0.237616147552,0.983926838386509,0.497490043444028,0.237615752826738
"115-13","heavy",2000,0.349,0.945821124728387,0.533183719164608,0.23743073565101,0.94664639849052,0.532201466749577,0.237409299985715,0.947022714236235,0.531759404829313,0.23739904809968
"115-14","heavy",2000,0.339,1.05196129323794,0.482096513419483,0.31006214587462,1.05245055643101,0.481464110342091,0.310087096249843,1.05273808446899,0.481108928729994,0.310096257541695
"115-15","heavy",2000,0.342,0.869976366014362,0.577151215322721,0.325404313300286,0.870876191776927,0.575937187042101,0.325619107600786,0.87128457162324,0.575380932877039,0.325720007170199
"115-16","heavy",2000,0.349,0.974247131514713,0.538434210907018,0.280171795670854,0.975107390825635,0.537468008006255,0.280096909705809,0.975515541967172,0.536997931197404,0.280065277825946
"115-17","heavy",2000,0.3425,0.952610064268442,0.572683238047338,0.233848390720128,0.952954804177647,0.572131702469306,0.233878511071104,0.95308654766916,0.571947486805949,0.23387800714105
"115-18","heavy",2000,0.3735,0.993413260309243,0.536072849328896,0.236306367973818,0.994440512445455,0.534917025773378,0.236230779160088,0.994955067781313,0.534341901454306,0.236199678550576
"115-19","heavy",2000,0.346,1.06335988561741,0.487687058280394,0.217594895094582,1.06620951467357,0.484743907684289,0.216431714019546,1.06985193410888,0.481170093726683,0.216079174331434
"115-20","heavy",2000,0.354,0.972555349223019,0.495732003235842,0.229541769211653,0.976065475499394,0.492143775118654,0.229302645553504,0.977975862978825,0.490190826365166,0.22915282553501
"115-21","heavy",2000,0.3455,0.959712586190687,0.531159732205859,0.225902446136595,0.959944321491295,0.530852680860722,0.225878195851308,0.960074388468602,0.530706456193542,0.22585961534927
"115-22","heavy",2000,0.353,1.00708182059715,0.466319966986559,0.315363667477264,1.0149279743747,0.458484027245198,0.315502854911175,1.02037092041421,0.453123353922468,0.315599754019835
"115-23","heavy",2000,0.344,1.05444356646327,0.476286321772248,0.261767084062185,1.06663999085698,0.465704774558781,0.260775508333144,1.07203703984772,0.460540823665343,0.260500609849555
"115-24","heavy",2000,0.3585,1.18345913563804,0.344995835040738,0.247349687761767,1.18478022275421,0.343590880221378,0.247335323018678,1.18571143983942,0.342612540069825,0.247325854468333
"115-25","heavy",2000,0.3385,0.975272240486055,0.511835862285131,0.271382973474715,0.975746082434347,0.511214790609335,0.271412652100593,0.976048570224924,0.510818114729896,0.271433088185483
"115-26","heavy",2000,0.3495,0.899379881687681,0.598088488881,0.24024154030013,0.900296974028427,0.596981879636568,0.240306120959184,0.900896314900408,0.596260344063527,0.24034954390303
"115-27","heavy",2000,0.3355,0.890929398738743,0.550966160238261,0.314296394399621,0.890956737594791,0.550694162313304,0.31320554427753,0.892820775782236,0.548892832653314,0.313818287987671
"115-28","heavy",2000,0.3305,1.08908874542477,0.436330687520233,0.220824818817609,1.10492913198928,0.421119392243021,0.220870462529672,1.11738535768717,0.409361096108967,0.220917041039737
"115-29","heavy",2000,0.3585,1.02697975442367,0.48103446368941,0.269755113173743,1.02821512596653,0.479612119964101,0.26977423426572,1.02885673544901,0.478880700659348,0.26979597575594
"115-30","heavy",2000,0.3395,1.10010624557046,0.440474349394576,0.254202377672795,1.10345085800347,0.437089773672969,0.254190654730558,1.10544962636035,0.435081887825645,0.254178498514935
"115-31","heavy",2000,0.3645,1.1333053171389,0.385183434047234,0.29365019527653,1.13393818274867,0.384405555056905,0.293683057829414,1.13422038259268,0.38406960313046,0.293699572313854
"115-32","heavy",2000,0.343,1.062962576274,0.508339387999408,0.168219839674845,1.06379497500642,0.507223534267995,0.168264618471531,1.06428999540542,0.506572560226141,0.168289300108419
"115-33","heavy",2000,0.357,0.972374667271909,0.495971117179441,0.31343963797825,0.978602882090827,0.489335229738423,0.313461195075632,0.981766903630345,0.4860651164893,0.313423691880749
"115-34","heavy",2000,0.341,0.874135435575201,0.52919774802263,0.340266365404834,0.875414702379623,0.52763837788303,0.340341974568953,0.877031133175196,0.525671793529658,0.34044484321472
"115-35","heavy",2000,0.353,1.01865628750435,0.514429512899574,0.228737684161033,1.01932044050874,0.513676960290526,0.22870855217355,1.01966338431297,0.513288146601603,0.228694713763901
"115-36","heavy",2000,0.3715,0.921220557859327,0.560102645021545,0.210212489901892,0.92334361215696,0.557839992551708,0.210301910345252,0.924449274592391,0.556647021877747,0.210354374400737
"115-37","heavy",2000,0.353,1.05527420901633,0.465279845369927,0.238675945493718,1.06041619148864,0.459650390267484,0.239006824191016,1.06298136794447,0.456931737217524,0.239150347918651
"115-38","heavy",2000,0.3515,1.03993970833794,0.53792708611756,0.216505169228129,1.04205526481002,0.535653561613092,0.216708270754324,1.0429255285614,0.534709536302784,0.216799258757604
"115-39","heavy",2000,0.3555,0.978287433989491,0.491068464649001,0.279436610322495,0.979180644816727,0.490075217951663,0.279468560794673,0.979699312698241,0.489507338148615,0.2794926016809
"115-40","heavy",2000,0.339,1.02884348937301,0.431727842718381,0.313955528088836,1.03050720176563,0.429862154452906,0.314147523709737,1.03204137932271,0.428152683720645,0.314326247318202
"115-41","heavy",2000,0.334,1.00731104622079,0.52258813308687,0.180977662825864,1.00769308383371,0.521969425434429,0.181132094937093,1.00782681393024,0.521740463485202,0.181189632750255
"115-42","heavy",2000,0.3515,1.00467476946682,0.508673816025715,0.286538672799447,1.00425619598628,0.508278297858233,0.28659640613507,1.00449567850373,0.5078885115693,0.286715978572814
"115-43","heavy",2000,0.3575,0.946850101802459,0.550475283694277,0.24186219275105,0.955758869799043,0.54145517968009,0.241508933844417,0.95890498971078,0.538334771528458,0.241428199923036
"115-44","heavy",2000,0.3445,0.944576072153833,0.527294781551911,0.231920300830128,0.945022365638755,0.52674035463785,0.23188146378826,0.9452422856399,0.526471228126966,0.231863271943518
"115-45","heavy",2000,0.3445,1.01899394051532,0.51873033602809,0.177286645861674,1.01934394794521,0.51826695206493,0.177247429880159,1.02503489190406,0.513182425101958,0.177949744180728
"115-46","heavy",2000,0.341,1.05267068317095,0.482355968419461,0.219738147963818,1.0521974353365,0.483498884535681,0.218823794473431,1.05398106320089,0.481430033146511,0.219329954960077
"115-47","heavy",2000,0.3405,0.992041538570215,0.489788690807589,0.261701071319029,0.994896211966496,0.487070008483987,0.262010558457335,0.992551771329635,0.489128138354524,0.261590492758946
"115-48","heavy",2000,0.3325,1.04064851159828,0.503946263634706,0.194379316965658,1.04397239045053,0.500607475526498,0.19431023591819,1.04690018786624,0.497692461729332,0.194251473738132
"115-49","heavy",2000,0.338,0.987532856548609,0.565093101968206,0.14712038745357,0.988417384444345,0.564095537639594,0.146997001861126,0.988786216304583,0.563681065765071,0.146937946688047
"115-50","heavy",2000,0.3345,1.02565054758159,0.481969221824089,0.22937032500191,1.02854922228441,0.478819887028193,0.229469844396003,1.03057490261224,0.476662640695849,0.229528807402873
