"sim","censoring","n","perc_censored","alpha_cf","beta_cf","gamma_cf","alpha_m","beta_m","gamma_m"
"124-1","extra_heavy",1000,0.804,0.995293979503909,0.945081878151358,0.161060202407064,0.996078016550656,0.943609084020444,0.160976956303773
"124-2","extra_heavy",1000,0.813,1.04377694029556,0.305985522297495,0.18357410249516,1.04422124018196,0.30446259221005,0.184208780226187
"124-3","extra_heavy",1000,0.811,0.985189742691938,0.701708099636889,0.325463716507171,0.987680134949936,0.705601409360197,0.323991362337731
"124-4","extra_heavy",1000,0.825,0.870687505500967,0.726396437624541,0.381375532679656,0.873100781071553,0.752815134807605,0.375075615811495
"124-5","extra_heavy",1000,0.819,0.965392214299746,0.453809043225336,0.11752283644488,0.965266463699777,0.455990723083526,0.11467688514319
"124-6","extra_heavy",1000,0.815,1.14540013213582,0.188991406640883,0.170157736143892,1.14554133519281,0.18843912739868,0.170430485663282
"124-7","extra_heavy",1000,0.809,0.986529451434843,0.603499265213785,0.236091413552875,0.98915722683308,0.601257689075656,0.236289269277353
"124-8","extra_heavy",1000,0.829,1.01864266048313,0.555427050097649,0.16186741850509,1.02029323343533,0.560953457125691,0.158966590223855
"124-9","extra_heavy",1000,0.81,0.917325455579164,1.17635937253529,0.220104678576224,0.919048789393469,1.18468342347021,0.218681638029356
"124-10","extra_heavy",1000,0.807,0.968123217045276,0.351830794154119,0.246583944368149,0.968802622743655,0.350000469457949,0.247309652184779
"124-11","extra_heavy",1000,0.818,1.00524136335917,0.332769551391057,0.266433046568032,1.00588657853226,0.331151163031047,0.266957609795723
"124-12","extra_heavy",1000,0.805,1.01881485859248,0.329756955282917,0.268062875086183,1.01957478402021,0.327644439336237,0.268736515639727
"124-13","extra_heavy",1000,0.825,1.08121081058217,0.172876282457788,0.178301378177969,1.08139261184763,0.172295147248812,0.178733105021226
"124-14","extra_heavy",1000,0.813,0.86818662821329,1.26034743316042,0.0560829715958489,0.870132796908951,1.2831489137519,0.0478408517587142
"124-15","extra_heavy",1000,0.808,0.89057268015729,0.899443616262148,0.346441696190517,0.891945284543239,0.915454540470379,0.342377500881502
"124-16","extra_heavy",1000,0.825,0.842972471241137,1.02747976779289,0.279105823282454,0.846484858381267,1.07533667635959,0.272970651578892
"124-17","extra_heavy",1000,0.812,0.94716508552542,0.802277691167439,0.41289379373556,0.947079947052713,0.813620613746488,0.411869858165498
"124-18","extra_heavy",1000,0.792,0.939005705897012,1.52994423932814,0.157077332714144,0.944317111990142,1.54009912498181,0.155124922188425
"124-19","extra_heavy",1000,0.816,1.01672488529689,0.289178750463563,0.325742115161657,1.01712671266531,0.288032714181266,0.326001043758009
"124-20","extra_heavy",1000,0.807,0.975148305028611,0.809658254005145,0.166421222406487,0.977845582293732,0.807371820436053,0.165994433119798
"124-21","extra_heavy",1000,0.828,1.01954868873231,0.324846767903649,0.302001865992126,1.02066769563604,0.321313146314725,0.303512849780745
"124-22","extra_heavy",1000,0.826,1.11418387954162,0.287274765129986,0.150938171174183,1.11510973871502,0.284444299732347,0.152545703283983
"124-23","extra_heavy",1000,0.823,0.889188619676251,0.472011278065528,0.198808017173281,0.889068688754442,0.471906477593192,0.198207540376084
"124-24","extra_heavy",1000,0.824,0.974657976432265,0.447566045186074,0.24549130969378,0.976200151353331,0.444080763182526,0.246575213293142
"124-25","extra_heavy",1000,0.812,1.06763476205591,0.207034050514772,0.0347058444303482,1.06727200826546,0.207435843973682,0.0337151425643765
"124-26","extra_heavy",1000,0.822,1.05071516872584,0.127745749080964,0.259170995503368,1.05081055657566,0.127332813980351,0.259705627657156
"124-27","extra_heavy",1000,0.817,0.985877636063674,0.78444530086637,0.274759593342528,0.988673061134366,0.780714281636297,0.274653383953556
"124-28","extra_heavy",1000,0.785,1.00643454815083,0.626250871429175,0.050873162726601,1.00680684431717,0.626639614930501,0.0500124541013968
"124-29","extra_heavy",1000,0.806,0.925232408104588,1.61052092677903,0.165388858578687,0.930210556064209,1.60905326510678,0.165397555288954
"124-30","extra_heavy",1000,0.814,0.889425314415736,1.37431698252045,0.281676616051559,0.88560743835861,1.45349179835932,0.275470896055827
"124-31","extra_heavy",1000,0.801,1.06806527707302,0.593178721744253,0.316011223077598,1.07120100249337,0.585503076002239,0.316845472394557
"124-32","extra_heavy",1000,0.819,0.926891651197587,0.856621979152866,0.444288797751347,0.929058592494933,0.886841250317504,0.4421713400186
"124-33","extra_heavy",1000,0.828,1.12849044719346,0.383586634151197,0.21047994789924,1.1297002277807,0.383165897400932,0.210056105451975
"124-34","extra_heavy",1000,0.813,1.08825888515902,0.492274831581471,0.11469691879577,1.08990441633587,0.488526181309737,0.115544918241459
"124-35","extra_heavy",1000,0.825,0.952542997538223,0.536468255634679,0.0714385714406868,0.953047855563635,0.534546770951353,0.0724441197214333
"124-36","extra_heavy",1000,0.816,0.965446965267328,0.623301475548498,0.316868292258919,0.9672727375515,0.620216498891229,0.317365182442558
"124-37","extra_heavy",1000,0.833,1.06342203003833,0.224906153171309,0.0990956392792657,1.06342620670916,0.224628028026181,0.0990351490384248
"124-38","extra_heavy",1000,0.83,0.964610539849023,0.457686320978741,0.152326289808925,0.965006298398509,0.45764605017993,0.151414338926043
"124-39","extra_heavy",1000,0.819,0.998221787927155,0.198249279071401,0.381051638717861,0.998932705463057,0.196242594240954,0.381996896668338
"124-40","extra_heavy",1000,0.831,1.05304190814979,0.162054921430911,0.27181752419175,1.05252914687651,0.164093570064201,0.270526453079308
"124-41","extra_heavy",1000,0.812,0.92530238156775,0.765512051377271,0.310650276140564,0.92601602402757,0.766325289102627,0.310013822899005
"124-42","extra_heavy",1000,0.837,0.989563636957701,0.23026758834536,0.109394384798336,0.989743726449304,0.229520172338529,0.109826830656849
"124-43","extra_heavy",1000,0.811,1.03704384522837,0.465131918091144,0.165268763712457,1.04036695996325,0.455020548081254,0.169050296475635
"124-44","extra_heavy",1000,0.806,0.910025611583277,0.456202200472843,0.442552702524952,0.910339129047288,0.456600794089629,0.442375003714219
"124-45","extra_heavy",1000,0.814,1.1060829245873,0.183117464110581,0.0577664343487056,1.10606789860006,0.182812257219145,0.0578694395492036
"124-46","extra_heavy",1000,0.814,0.883123626890989,0.946724867809038,0.401141783789889,0.886364347852778,0.999498748947602,0.396604678963883
"124-47","extra_heavy",1000,0.805,0.808601948749994,1.35397255925255,0.268946484673038,0.808969245635622,1.36857486809853,0.267247331078407
"124-48","extra_heavy",1000,0.806,0.988646798097242,0.75621823339446,0.0370060409963299,0.989821643314424,0.756169883383153,0.0361989559964426
"124-49","extra_heavy",1000,0.818,1.14370864866221,0.224396335595294,0.230595411953339,1.14364783384671,0.2257025675807,0.22955633607443
"124-50","extra_heavy",1000,0.823,1.05790346579173,0.45500534726533,0.311869724930938,1.06115281583244,0.449020044110897,0.312556315940654
