"sim","censoring","n","perc_censored","alpha_d","beta_d","gamma_d","alpha_e","beta_e","gamma_e","alpha_w","beta_w","gamma_w"
"119-1","heavy",1000,0.413,1.08522658950735,0.358895244831025,0.220631744463566,1.08522658950735,0.358895244831025,0.220631744463566,1.08522658950735,0.358895244831025,0.220631744463566
"119-2","heavy",1000,0.422,1.02851111951162,0.608599687535624,0.0866253281512391,1.02851111951162,0.608599687535624,0.0866253281512391,1.02851111951162,0.608599687535624,0.0866253281512391
"119-3","heavy",1000,0.428,1.00670131652153,0.599580172241843,0.274206658400112,1.0088073299512,0.563748932713093,0.27431726140249,1.0092778941136,0.557731822240801,0.274294762429341
"119-4","heavy",1000,0.438,0.940558046272738,0.447181814526117,0.320001839852093,0.940558046272738,0.447181814526117,0.320001839852093,0.940558046272738,0.447181814526117,0.320001839852093
"119-5","heavy",1000,0.426,0.999172249994278,0.451325599339624,0.269900628630079,0.999172249994278,0.451325599339624,0.269900628630079,0.999172249994278,0.451325599339624,0.269900628630079
"119-6","heavy",1000,0.388,0.990430219743057,0.323769144892827,0.321540897399273,0.990430219743057,0.323769144892827,0.321540897399273,0.990430219743057,0.323769144892827,0.321540897399273
"119-7","heavy",1000,0.429,1.01360253569278,0.678623161930796,0.209409988859151,1.01599282235776,0.648751617630412,0.209411848226859,1.01617326229426,0.646522306827674,0.209407831005553
"119-8","heavy",1000,0.421,0.923035990080245,0.674416858740963,0.321848892718157,0.923053915970664,0.674178748931418,0.321845272386868,0.923053998556465,0.674177652920014,0.32184525572754
"119-9","heavy",1000,0.402,0.943979871534897,0.674822950777723,0.252984428833022,0.944285722702896,0.671219502258057,0.252982158893318,0.944289612143057,0.671173597140449,0.25298199296086
"119-10","heavy",1000,0.395,1.00116798301298,0.689746280125761,0.145454736314994,1.00116798301298,0.689746280125761,0.145454736314994,1.00116798301298,0.689746280125761,0.145454736314994
"119-11","heavy",1000,0.43,1.05137920491913,0.443811588082594,0.0900896470710455,1.052198631073,0.438256489869363,0.08997299049336,1.05236905685228,0.437106006644227,0.0899488371216825
"119-12","heavy",1000,0.413,1.00166875607541,0.555485438786911,0.183669709932599,1.00348752388171,0.539784519298461,0.183285268998831,1.00381773265815,0.536180933721019,0.183225592204113
"119-13","heavy",1000,0.416,0.989399200425376,0.421669865557336,0.345914680936519,0.989439915507335,0.419025565009954,0.345996260908357,0.98945522763917,0.418180735357032,0.34602204912339
"119-14","heavy",1000,0.44,1.0047532147751,0.449891315179565,0.207517358794916,1.00478874616817,0.448341205885863,0.207541885878953,1.00479323242552,0.448151920415235,0.207544878451248
"119-15","heavy",1000,0.443,0.960947980199997,0.647163116936886,0.315085897486269,0.966255663592765,0.592978365769873,0.315548186245072,0.966901388142336,0.585826233125367,0.315630143425885
"119-16","heavy",1000,0.388,0.868183420610022,0.727205438475772,0.261217209717069,0.868731001926045,0.722446556553913,0.26123885938717,0.868744330799312,0.72233102938472,0.261239387014159
"119-17","heavy",1000,0.393,1.04523103385811,0.451925719137352,0.245194889798482,1.04523103385811,0.451925719137352,0.245194889798482,1.04523103385811,0.451925719137352,0.245194889798482
"119-18","heavy",1000,0.413,1.04933149192916,0.506520802314735,0.110598876153218,1.04933149192916,0.506520802314735,0.110598876153218,1.04933149192916,0.506520802314735,0.110598876153218
"119-19","heavy",1000,0.424,0.960045022989104,0.42531246537612,0.31215798501628,0.960045022989104,0.42531246537612,0.31215798501628,0.960045022989104,0.42531246537612,0.31215798501628
"119-20","heavy",1000,0.431,1.04827647853716,0.446188047261434,0.253351263610003,1.04718465147529,0.430618819322475,0.254171036846244,1.04713376416959,0.42774369071916,0.254301386594389
"119-21","heavy",1000,0.437,1.04248542717213,0.439160593581704,0.327048588623329,1.04248542717213,0.439160593581704,0.327048588623329,1.04248542717213,0.439160593581704,0.327048588623329
"119-22","heavy",1000,0.4,1.0062498746897,0.580375104521087,0.28571363318242,1.0062498746897,0.580375104521087,0.28571363318242,1.0062498746897,0.580375104521087,0.28571363318242
"119-23","heavy",1000,0.43,0.955736020352936,0.944595583073818,0.17736421835822,0.957694052778341,0.92609950430646,0.177271606591749,0.95834300929827,0.91946885826718,0.177282842455822
"119-24","heavy",1000,0.376,0.945454108891406,0.697376191901708,0.247314362952267,0.945925549016065,0.693018678529184,0.247398114450738,0.945979737569702,0.692519920713684,0.247407692760114
"119-25","heavy",1000,0.399,0.900116149895254,0.68598169783198,0.289913617802134,0.900623223052104,0.680281553179306,0.289872044698804,0.900662171113726,0.679847268850755,0.289868897941869
"119-26","heavy",1000,0.394,1.01498703806839,0.530076380535677,0.169197747414518,1.01549269204463,0.525903579593528,0.169131784034478,1.01551980796951,0.52568046026737,0.169128263933096
"119-27","heavy",1000,0.403,1.03869833578595,0.391979366648258,0.255398533271025,1.03874380074642,0.391060958391127,0.255410974854582,1.03874503413899,0.391036371070258,0.255411307496355
"119-28","heavy",1000,0.423,0.920357661355544,0.688964604691159,0.301393495330084,0.924300046454003,0.65536714880205,0.300736227345936,0.925131927175361,0.648194875583617,0.300645962171644
"119-29","heavy",1000,0.394,1.11765161745934,0.489707598625854,0.0941645311113646,1.11765161745934,0.489707598625854,0.0941645311113646,1.11765161745934,0.489707598625854,0.0941645311113646
"119-30","heavy",1000,0.407,0.905546712148841,0.675691066830971,0.289331730734216,0.905658723863517,0.674109331012303,0.289310783261558,0.905663136252322,0.674047821340362,0.289309972326956
"119-31","heavy",1000,0.395,1.00590584282481,0.416716352614817,0.278218430543247,1.00590584282481,0.416716352614817,0.278218430543247,1.00590584282481,0.416716352614817,0.278218430543247
