"sim","censoring","n","perc_censored","alpha_cf","beta_cf","gamma_cf","alpha_m","beta_m","gamma_m"
"123-1","extra_heavy",500,0.746,0.929710519410625,0.355234360627263,0.474554263459586,0.929086459414309,0.355331264591488,0.475042759395303
"123-2","extra_heavy",500,0.712,0.84856514035299,1.22195715655375,0.44403596598434,0.853558585796518,1.21684369027385,0.44378858540247
"123-3","extra_heavy",500,0.704,0.897698880257044,0.612912197923654,0.452083991942312,0.900138228178041,0.607463952463569,0.45162909559823
"123-4","extra_heavy",500,0.74,0.898912499719713,0.974414622392616,0.34245694127351,0.895652580689665,0.994386993536148,0.345744136866266
"123-5","extra_heavy",500,0.738,0.859393300167746,1.20120304425832,0.460227519412404,0.858709754552162,1.28173057788246,0.46133013896084
"123-6","extra_heavy",500,0.744,0.770858708830061,0.943729015737361,0.67983046403668,0.779702920616827,0.922973634590486,0.677689819233301
"123-7","extra_heavy",500,0.71,0.78231850992975,1.08354204211764,0.491523419744161,0.777533548825768,1.12924601374894,0.498176007386168
"123-8","extra_heavy",500,0.718,0.892572047104246,0.591189727445195,0.565059136597121,0.894143703202581,0.587310367385417,0.564482221194074
"123-9","extra_heavy",500,0.716,1.14514036345654,0.211759491137337,0.309689179123434,1.14493423955665,0.212225133845795,0.309727037027137
"123-10","extra_heavy",500,0.736,0.719989069628733,1.79290183500345,0.490656840063485,0.722048362412883,1.94229746818982,0.504286593000952
"123-11","extra_heavy",500,0.756,1.0565836781596,0.27713344753588,0.388219760267819,1.04789426787166,0.289919458544615,0.391769964139021
"123-12","extra_heavy",500,0.748,0.903609332330949,0.835872170222208,0.622826611314648,0.908107858010242,0.864260075899751,0.627017907925901
"123-13","extra_heavy",500,0.734,0.780436801214827,0.671669331542677,0.493622387648621,0.781095606485365,0.669332547440297,0.493574418345699
"123-14","extra_heavy",500,0.726,0.641597664147303,0.374818377859891,0.746016057888305,0.643650738216457,0.372214415786844,0.744435752782393
"123-15","extra_heavy",500,0.722,0.964591923346733,0.37566032599326,0.418390501898303,0.966819409274314,0.370165538341293,0.417481637307629
"123-16","extra_heavy",500,0.752,0.834985629712442,0.903506203635643,0.408684111665466,0.836971141961065,0.908808558141966,0.410304142596082
"123-17","extra_heavy",500,0.752,0.916208680995479,1.03499849843225,0.280291241516932,0.931794034426808,1.00127897922578,0.277069700356992
"123-18","extra_heavy",500,0.706,0.854344871713293,1.32195843857122,0.378252937865696,0.855138404187196,1.32014490672968,0.378738741973881
"123-19","extra_heavy",500,0.738,0.849528515686208,1.00965599404053,0.460920977137233,0.839598201242696,1.06676482661998,0.47076583144944
"123-20","extra_heavy",500,0.736,1.165638973151,0.105803958430542,0.357774383480916,1.15250767169888,0.12686784493195,0.367716296791258
"123-21","extra_heavy",500,0.73,0.802342511727953,0.4289178045909,0.655721242741369,0.799664854234984,0.437124772786169,0.658345792419757
"123-22","extra_heavy",500,0.728,0.832761095308437,0.630518794040183,0.459321495534357,0.835842308907333,0.621825035387282,0.457990313593818
"123-23","extra_heavy",500,0.724,0.9904565787766,0.316734212260518,0.376858780805507,0.990532752398403,0.315953566565223,0.376860377029033
"123-24","extra_heavy",500,0.734,0.941167637466374,0.232109491429962,0.549420820127085,0.938533794464794,0.235158166111642,0.550915932140904
"123-25","extra_heavy",500,0.696,0.930978524687147,0.446372370875946,0.456305152254497,0.930687538867779,0.446566729082253,0.456461933839615
"123-26","extra_heavy",500,0.744,1.01205430287629,0.150660869882299,0.377897914306966,1.01156221062567,0.150759979451966,0.378103457722589
"123-27","extra_heavy",500,0.734,0.700740596947194,1.21605262452429,0.64128465821871,0.707696325839478,1.25573340546061,0.650564110987206
"123-28","extra_heavy",500,0.716,0.938205301361995,0.54646558391973,0.460302111269955,0.939525938399386,0.542591881419082,0.459857775922531
"123-29","extra_heavy",500,0.696,0.92760350757494,0.723837323809265,0.282680568627588,0.929845516600938,0.714886720639111,0.282826727370304
"123-30","extra_heavy",500,0.746,0.653905241127487,0.372921244513163,0.700341020566232,0.654023306384024,0.371890102796992,0.700133947050163
"123-31","extra_heavy",500,0.718,0.844378837819855,1.18733452446943,0.474194494518465,0.852835915190984,1.16647686412349,0.473133260416852
"123-32","extra_heavy",500,0.734,1.06235263285501,0.899157291571045,0.230022983133985,1.05560230327997,0.996813087584343,0.235648247663612
