"sim","censoring","n","perc_censored","alpha_cf","beta_cf","gamma_cf","alpha_m","beta_m","gamma_m"
"114-1","heavy",500,0.408,1.06346324861884,0.418107777949724,0.294023371085602,1.06803990966412,0.417362807783328,0.293103752221936
"114-2","heavy",500,0.438,0.997189672531384,0.65852602337011,0.267120669641513,0.999673543780751,0.655840378142282,0.266541999433587
"114-3","heavy",500,0.384,1.02731742390736,0.477147692231726,0.28023561437533,1.02850924305259,0.47937761404543,0.280348532813785
"114-4","heavy",500,0.362,0.999735019760361,0.694915537921256,0.311384763031269,1.00139182339048,0.694401417927973,0.310776685775901
"114-5","heavy",500,0.42,0.969739762757463,0.594934228187165,0.253675607861506,0.969787728287177,0.595878028274303,0.253529448998391
"114-6","heavy",500,0.46,0.972798812507703,0.463965526996886,0.373347639395455,0.972331864887177,0.471535296586295,0.373091318484113
"114-7","heavy",500,0.438,0.899919970351906,0.636424473260044,0.53987732967672,0.896898845206857,0.67785493238771,0.540429297293876
"114-8","heavy",500,0.36,0.929808691015059,0.60257142613595,0.364278198618467,0.928284319076407,0.613578534470239,0.364326774554151
"114-9","heavy",500,0.424,0.863561039980578,0.719402840328735,0.429977157906017,0.863591930912402,0.722867786862569,0.429422525807919
"114-10","heavy",500,0.408,0.962809965150046,0.56963986469575,0.382271930976734,0.970474378816042,0.564890330156973,0.381151160545186
"114-11","heavy",500,0.396,1.06797519402374,0.270566882682559,0.309737605625163,1.0677525096717,0.275574767619048,0.309490227062976
"114-12","heavy",500,0.404,1.04557962241037,0.418049140881569,0.196053537073963,1.04604321720553,0.424510465056589,0.196181393384155
"114-13","heavy",500,0.39,0.881740609154839,0.960472963489834,0.404281323909451,0.882851015777733,0.960237120173037,0.404316087589361
"114-14","heavy",500,0.394,0.901492960905337,0.579136212471513,0.475083350183041,0.90186023577881,0.580776161650384,0.475088867911563
"114-15","heavy",500,0.378,0.883692868062428,0.715151880786454,0.330327581414004,0.881525598378903,0.753401244727965,0.330515805583395
"114-16","heavy",500,0.384,0.985613764915984,0.232820097258935,0.474263649082779,0.987156106766959,0.236212961441721,0.474540296890928
"114-17","heavy",500,0.394,0.874034601469592,0.81134714663589,0.46237256752779,0.874032009188477,0.814319225022851,0.462414166087779
"114-18","heavy",500,0.396,1.02295770581903,0.395692886542525,0.281539449284022,1.02309849802323,0.414551115682088,0.281861205467703
"114-19","heavy",500,0.436,1.02335280287108,0.163226988668651,0.281499556565263,1.03280466450696,0.16434478474999,0.278511615336928
"114-20","heavy",500,0.398,1.02639768979881,0.583444987642045,0.395182971680807,1.02849363167108,0.588272023879978,0.394918685627996
"114-21","heavy",500,0.384,0.891763882208416,0.808070398669784,0.372480792568232,0.89285329590311,0.809260304417836,0.372319590028072
"114-22","heavy",500,0.398,0.873227918862301,0.663105129773701,0.377250345410023,0.874797696705008,0.670185273597358,0.378505652070543
"114-23","heavy",500,0.406,0.946661723832292,0.713100359214212,0.220262785546098,0.948439147917085,0.718237899916415,0.219484731316498
"114-24","heavy",500,0.4,1.00145703721644,0.259785596056182,0.398535286714142,1.00252255641567,0.258149436778164,0.398503135088328
"114-25","heavy",500,0.414,1.013665067616,0.808442296791142,0.200517197995246,1.01379805739088,0.810015586694957,0.200325212172958
"114-26","heavy",500,0.448,0.699923723787867,0.924814855341132,0.670306353989787,0.69796306659161,0.960918821764411,0.671315484287736
"114-27","heavy",500,0.424,0.756406772977445,0.87446949322166,0.544478836641091,0.754476859279897,0.918533275002565,0.545448503175733
"114-28","heavy",500,0.402,0.935377407766741,0.433427295548872,0.448846909467604,0.934629014523516,0.436866973577095,0.448550821695157
"114-29","heavy",500,0.416,0.743838497106199,0.906290035452088,0.605485365838762,0.744932539378262,0.912652199708707,0.604915008714978
"114-30","heavy",500,0.416,0.873081110676874,0.561601116353079,0.373746329947581,0.873573314832004,0.57030524124865,0.374965078179846
"114-31","heavy",500,0.396,1.00124681496183,0.374438232217236,0.173958239240298,1.00142878734848,0.376954848804787,0.174224329233373
