"sim","censoring","n","perc_censored","alpha_cf","beta_cf","gamma_cf","alpha_m","beta_m","gamma_m"
"131-1","extra_heavy",100,0.81,1.07908158277707,-0.0184771547419964,0.510355584649414,1.08236785063532,-0.0226039032192988,0.517421499968062
"131-2","extra_heavy",100,0.81,1.08320668383515,0.346904092364585,0.449667659903965,1.0896938684888,0.311455837238941,0.470558567143235
"131-3","extra_heavy",100,0.74,0.895921293822467,1.81768392942501,0.469778597433234,0.930579336417246,1.61457122107312,0.472440317882799
"131-4","extra_heavy",100,0.87,0.562128985959596,0.000385430793682789,0.386319611286039,0.564679274677681,0.000379677857531291,0.385538718941324
"131-5","extra_heavy",100,0.86,0.699032897341035,0.0760973796463943,0.75746165813684,0.695014535379914,0.0775783451207843,0.755567092621562
"131-6","extra_heavy",100,0.84,0.973052195479492,1.60350163626681,0.210575669367712,1.00126973634965,1.47799173626377,0.219838639442745
"131-7","extra_heavy",100,0.83,1.29447302046757,0.030911817474898,-0.216939776464521,1.29408316585862,0.0306092949511393,-0.214115145770257
"131-8","extra_heavy",100,0.84,1.38342587847903,0.000613431453448822,-0.559574541589095,1.38309388278452,0.000611229865805229,-0.560298086898214
"131-9","extra_heavy",100,0.82,1.10212526069411,0.431213246831624,0.0915046757617605,1.11598286983205,0.364097627071277,0.122507295652274
"131-10","extra_heavy",100,0.81,1.1349383466378,0.222199189383808,0.278718718898109,1.16577898131555,0.102099703924332,0.353951064569679
"131-11","extra_heavy",100,0.88,1.24328804639521,-0.0173768350605557,0.467047563943118,1.24886465320989,-0.0178697102502121,0.470134048412494
"131-12","extra_heavy",100,0.79,0.976432525820052,0.282738787554222,0.625757564021562,0.977433752334382,0.275770742320501,0.626608511641602
"131-13","extra_heavy",100,0.8,1.210869863172,0.0230071162812815,0.121427917909776,1.20889124652465,0.0259799573225878,0.11838670470985
"131-14","extra_heavy",100,0.85,0.986099015295997,-0.00371821136983479,0.490830147962223,0.979828820249127,-0.00205950817115549,0.495696907912054
"131-15","extra_heavy",100,0.81,0.848569684832095,0.028470256058047,0.379600418794268,0.836157001582548,0.0308540551642751,0.374312071221305
"131-16","extra_heavy",100,0.81,1.0807701328327,0.0186092989837766,0.518921652286939,1.07974156431929,0.0187415582577311,0.519259416596382
"131-17","extra_heavy",100,0.81,1.32896668357177,0.0494169987456042,0.11221619232991,1.32646354406612,0.0509966400167171,0.104584239760778
"131-18","extra_heavy",100,0.85,0.999613609221047,0.00436001832983888,-0.359869605934884,0.99746447239757,0.00446046901548312,-0.382340677814928
"131-19","extra_heavy",100,0.77,0.753955494576868,0.31660904788812,0.305629290862737,0.756303186133181,0.308845861304916,0.307702674672408
"131-20","extra_heavy",100,0.82,1.18514481233977,0.0563716826129446,0.382365851978396,1.17567107997673,0.0655698513408556,0.362828651142195
"131-21","extra_heavy",100,0.81,1.01093069707592,0.00455432161538308,0.205597352495672,1.01060271629281,0.00457104761448262,0.202978377932101
"131-22","extra_heavy",100,0.79,0.337153647937179,3.51499047662522,0.497367023098127,0.374289607233475,3.55037643975212,0.483635634146246
"131-23","extra_heavy",100,0.78,1.24489041900968,0.0272692065721976,0.126754434826625,1.24866492274122,0.0238246026526872,0.12609621384709
"131-24","extra_heavy",100,0.83,1.08053505826906,1.69272393340739,-0.235557523349865,1.09156772688671,1.61890438714108,-0.216358089134228
"131-25","extra_heavy",100,0.84,1.05725967802976,1.14078436811641,0.0787704888074408,1.07413616480143,1.06086084894531,0.0974858349803895
"131-26","extra_heavy",100,0.78,1.06726131406039,-0.103814242310204,0.471367229791193,1.05794741903792,-0.0781699868825095,0.462640651296398
"131-27","extra_heavy",100,0.84,1.29146460285041,0.582837674047766,-0.526039262618931,1.2906946243247,0.59729312605064,-0.555521768667358
"131-28","extra_heavy",100,0.78,1.119436517035,0.696405739541341,-0.185898721932856,1.11764808958983,0.690791271869913,-0.184211670343321
"131-29","extra_heavy",100,0.82,1.16525978839579,0.0683392995679297,-0.225624724622099,1.16893500708794,0.0657916139039501,-0.215296755568086
"131-30","extra_heavy",100,0.81,1.16621033731174,1.21880806627556,0.406213291697412,1.16320299608886,1.31842611005411,0.398328457309155
"131-31","extra_heavy",100,0.76,1.23598016129797,0.107353194138221,0.23446694741348,1.24029607811054,0.102673382137682,0.234777309540183
"131-32","extra_heavy",100,0.86,1.19721378641128,0.00170071661027874,0.249466445031979,1.1968797092974,0.00169959398969251,0.248877502248655
"131-33","extra_heavy",100,0.75,1.15552190398043,0.824227218136498,0.052514811645381,1.1646133632428,0.740619961250228,0.081813571015676
"131-34","extra_heavy",100,0.82,0.942329145558648,0.0915042796001428,0.536400344241373,0.947945332973225,0.0749127515054092,0.544525592893097
"131-35","extra_heavy",100,0.77,0.843709761988599,0.8386280360004,0.417439055467723,0.840868959273337,0.83455430057943,0.417854049901782
"131-36","extra_heavy",100,0.8,1.17451432298757,0.0656328823948381,-0.0446070255699383,1.17463349632859,0.0639487006592139,-0.0421054629352635
"131-37","extra_heavy",100,0.85,0.697498089024923,0.0274864920966256,0.813522501162059,0.714102679318318,0.0259106318769287,0.803662866668643
"131-38","extra_heavy",100,0.81,0.481760115697085,0.083121635543703,0.537473983054399,0.486768718908385,0.0808027155856743,0.538929861629346
"131-39","extra_heavy",100,0.79,0.718757504554879,2.26037232766155,0.205084466670845,0.716628018395738,2.34503146965129,0.186294690929458
"131-40","extra_heavy",100,0.88,1.01797385685613,0.289889021612153,0.254413660346903,0.981027750205592,0.363076830718902,0.251046767254784
"131-41","extra_heavy",100,0.75,0.768245476281463,0.267726609491182,0.55053536887095,0.762161980655943,0.26957384889886,0.552157784583312
"131-42","extra_heavy",100,0.87,1.43080496075535,0.0702945236516185,-0.146757872628335,1.42824723047705,0.0717654720445322,-0.154373921757789
"131-43","extra_heavy",100,0.81,1.17010655980938,0.204093065410612,0.121545946494891,1.18718722670961,0.152373767196256,0.152192629759884
"131-44","extra_heavy",100,0.95,1.16184257465043,0.0169311045902888,0.150885382905344,1.16683439794095,0.0134845555544493,0.19671442269652
"131-45","extra_heavy",100,0.8,1.09517524283847,-0.24995964034465,0.705981407448334,1.11599980635492,-0.347280785050932,0.741094235036231
"131-46","extra_heavy",100,0.78,0.893000983247477,0.317301193690743,0.0465998527259623,0.892573693026439,0.312948815805185,0.0465883653096172
"131-47","extra_heavy",100,0.88,1.19398588714343,0.537925056607077,-0.190145767122515,1.25010206550378,0.341219939544154,-0.027587477703808
