"sim","censoring","n","perc_censored","alpha_cf","beta_cf","gamma_cf","alpha_m","beta_m","gamma_m"
"123-1","heavy",2000,0.469,0.927695837267066,0.675578277825492,0.290594601103068,0.926727297592104,0.687078073893666,0.290191610560511
"123-2","heavy",2000,0.488,1.0406255350528,0.396625626699258,0.245228204453434,1.04043715579769,0.400837697331609,0.244747761591534
"123-3","heavy",2000,0.482,1.07689296532054,0.430183164519807,0.22927511317985,1.07701743958514,0.431372456374267,0.229187297204431
"123-4","heavy",2000,0.491,1.0729066820002,0.39870741855806,0.235297933246143,1.07286098854544,0.40496682123225,0.234846496978754
"123-5","heavy",2000,0.479,1.00251267877859,0.434261530660762,0.350039479385233,1.00116205625118,0.445157103745685,0.350971346267455
"123-6","heavy",2000,0.4705,0.938127253245549,0.481506482788882,0.374404172021224,0.938216182530744,0.482808596297726,0.37419211151496
"123-7","heavy",2000,0.4985,1.00422284220217,0.454389964110515,0.320762208567932,1.00270023703869,0.465102696941139,0.321483087645856
"123-8","heavy",2000,0.484,1.03695427870181,0.557656098422719,0.164493209159603,1.03773965368846,0.560090757080685,0.164919134939163
"123-9","heavy",2000,0.4745,0.991306991074613,0.673169584574692,0.208923170918014,0.991067356569484,0.678531335343743,0.209111281571621
"123-10","heavy",2000,0.486,0.98163009742312,0.512211859619069,0.305740749836464,0.981307744026812,0.519966739154877,0.305093464894974
"123-11","heavy",2000,0.5035,0.932641007506757,0.516464119827761,0.244149436427437,0.933188162594565,0.519084084315322,0.243676399347931
"123-12","heavy",2000,0.4765,1.03197305386472,0.459267333103905,0.174547286718811,1.03224547466733,0.461556251174511,0.174768027203284
"123-13","heavy",2000,0.4865,0.936579214463103,0.670795054830432,0.332144838840339,0.935893566546294,0.680121648615598,0.332018518857591
"123-14","heavy",2000,0.4915,0.972058318959255,0.454987002495701,0.275798772798496,0.972210463323856,0.459648356173399,0.275897391480649
"123-15","heavy",2000,0.468,1.00003477041862,0.696616517652854,0.19208889336327,0.999767410199861,0.703564772253549,0.192505200692135
"123-16","heavy",2000,0.4905,0.986779025948651,0.57797997821336,0.151528965152429,0.985396174193222,0.593648991535826,0.152906779032817
"123-17","heavy",2000,0.469,0.982306262775462,0.556345143865541,0.258182979854605,0.980799628490522,0.578534817483451,0.257683435824132
"123-18","heavy",2000,0.5025,0.952755405958465,0.483098419833059,0.319626914478359,0.952702956916876,0.488246311403685,0.319094956495304
"123-19","heavy",2000,0.4865,0.969959223453911,0.621436423643162,0.260785659091046,0.969698908298923,0.626480898618402,0.260535882278109
"123-20","heavy",2000,0.503,1.03004901185322,0.337701408940453,0.240373410315292,1.03115826916086,0.349218529678067,0.238928034499405
"123-21","heavy",2000,0.478,1.06742853895273,0.426308800149003,0.221185304142595,1.06761789737663,0.428811641622937,0.220922313281681
"123-22","heavy",2000,0.4835,0.96933512072045,0.539035965009366,0.316663849464468,0.967710189773715,0.553062874420548,0.316697091279022
"123-23","heavy",2000,0.4695,1.05323806399433,0.423496815536508,0.198612845421554,1.0534319948557,0.431715926589123,0.198968575245892
"123-24","heavy",2000,0.489,0.907770146698748,0.61257252445417,0.297978171534823,0.907005977734575,0.621895516235997,0.29826484969295
"123-25","heavy",2000,0.4985,1.00842444142525,0.477143856669573,0.260734597479457,1.00863399791239,0.478473024306943,0.260621156483299
"123-26","heavy",2000,0.4925,1.02040105025866,0.416922420852294,0.288710475042281,1.02042917849858,0.419389450178714,0.288369766348823
"123-27","heavy",2000,0.4965,0.96665340367501,0.632282878143877,0.133840281323349,0.966938531238493,0.633899958716847,0.133523341012302
"123-28","heavy",2000,0.49,1.06850246767316,0.42182555200551,0.213265087796051,1.0679155160034,0.432584568044877,0.213259584559392
"123-29","heavy",2000,0.4785,1.00483355281665,0.378701226846858,0.266175060331177,1.00530935600431,0.383227492434773,0.265634009383654
"123-30","heavy",2000,0.4835,0.925726766238973,0.662457148432073,0.26366825770459,0.926116742824601,0.664673571875895,0.264088023932636
"123-31","heavy",2000,0.49,0.948442851207129,0.542644241230324,0.32659033498807,0.948320647052396,0.545881672278546,0.326350581594007
