"sim","censoring","n","perc_censored","alpha_cf","beta_cf","gamma_cf","alpha_m","beta_m","gamma_m"
"125-1","light",500,0.162,0.892828539853294,0.453255627458038,0.333716314905173,0.889269241027593,0.464231818690192,0.336576130673845
"125-2","light",500,0.168,1.13461690641126,0.307667410750454,0.235820704556518,1.1315856221552,0.319878139630165,0.234769449389856
"125-3","light",500,0.164,1.04014643163584,0.477174707848135,0.219806108658888,1.03880434867558,0.483745175026692,0.219848381830501
"125-4","light",500,0.168,1.07343083895125,0.434014154326163,0.0692136999469952,1.07177237600417,0.442450508188145,0.0692185199065553
"125-5","light",500,0.178,0.947028926744438,0.337038563963726,0.400458903025261,0.946616848385646,0.340554073654134,0.401626976718547
"125-6","light",500,0.176,1.04823841607892,0.609453729338562,0.277518101248012,1.04652509567625,0.61857532133712,0.279082117887595
"125-7","light",500,0.164,0.897667543785708,0.456373770980028,0.454104293122244,0.897295296437262,0.458862937040495,0.454192601555151
"125-8","light",500,0.148,1.01835229295985,0.439813725969431,0.283040183744222,1.01816035460833,0.44191570071589,0.283603551847087
"125-9","light",500,0.182,0.986421602885459,0.427993906151026,0.378932350516245,0.984605584043343,0.436621315009347,0.37887080908849
"125-10","light",500,0.182,0.938760839080747,0.450647243299164,0.194419972213821,0.938821691838392,0.452906156448973,0.195391117769476
"125-11","light",500,0.19,0.992564396711337,0.55999183765994,0.346352529458571,0.99214878525273,0.564023510380387,0.347162759007208
"125-12","light",500,0.164,1.12239434540424,0.338817708074441,0.145721629186821,1.12313998476885,0.33860611472668,0.146538699141251
"125-13","light",500,0.17,0.926784992550908,0.491929580609321,0.242688854663435,0.925511479080044,0.499592253555635,0.242228572248705
"125-14","light",500,0.162,0.932458686361345,0.47028924658638,0.349832642257082,0.931798526522005,0.473686409458722,0.350621440592595
"125-15","light",500,0.174,1.05354380496328,0.557857095648956,0.192137746096111,1.05188800767817,0.565830166280905,0.192217211381253
"125-16","light",500,0.156,1.0100508568487,0.586247859330188,0.210929535469217,1.0106724046375,0.585090200649334,0.213643220427321
"125-17","light",500,0.174,1.01458321447033,0.417072672108185,0.247961594356755,1.01396117194117,0.421795197616296,0.248022155152339
"125-18","light",500,0.164,1.00557063243424,0.444677290818946,0.205825740774211,1.00856011572184,0.444350207133692,0.208517035118832
"125-19","light",500,0.168,1.11689459799752,0.404856381049294,0.0889001130558333,1.11571120006962,0.410208327541806,0.0888544866542106
"125-20","light",500,0.168,0.989065119119186,0.541479383929487,0.254310929947473,0.989228229422229,0.543261516963083,0.254264855145526
"125-21","light",500,0.162,1.00726243305043,0.44393816386877,0.427366103617781,1.00782542514762,0.442550966410112,0.427828463632465
"125-22","light",500,0.166,0.966428168945515,0.39636768051859,0.441613084331307,0.967135654904579,0.395384904144617,0.441878000365392
"125-23","light",500,0.158,0.91737398827334,0.54569055928263,0.225063519392024,0.915314282632559,0.55535455106662,0.22597666258462
"125-24","light",500,0.168,1.00272991366294,0.471168032843539,0.299975658727197,1.00137033355229,0.47741379201083,0.30033076463746
"125-25","light",500,0.16,0.944253489098039,0.486692994455851,0.251459292391096,0.944097997791996,0.488280356161707,0.251347086828517
"125-26","light",500,0.164,1.00048774820298,0.387925401736652,0.305022447247717,1.00073196548837,0.388440597738089,0.305481401005118
"125-27","light",500,0.17,0.992246309165777,0.417303582763887,0.345136713766135,0.990638107397319,0.427283418674553,0.345508425113507
"125-28","light",500,0.18,1.05806605846793,0.326328715097189,0.300308085837607,1.05879268524889,0.325091683754828,0.300946911064155
"125-29","light",500,0.158,0.979049389631388,0.408435301135405,0.21124676503109,0.979140007762091,0.409209755310825,0.21126390958272
"125-30","light",500,0.178,0.981366474710362,0.5266433979772,0.260249513729244,0.981030983033269,0.527674485600152,0.261461502015156
"125-31","light",500,0.244,0.98434429248831,0.544664639237159,0.0695594048626775,0.982975009220354,0.551163905191899,0.0704169529899502
"125-32","light",500,0.16,1.14256698895018,0.204397487178656,0.306886614329751,1.14666322286357,0.197087165454569,0.311121643886198
"125-33","light",500,0.188,1.03736483780786,0.430881472717629,0.253286690879251,1.03858139684657,0.42827659465738,0.254119202455534
"125-34","light",500,0.176,1.01826591183162,0.3814443414804,0.236213066744007,1.01663811873767,0.388810381684198,0.237350133647455
"125-35","light",500,0.15,1.04819156911595,0.442707543450629,0.266536050574039,1.04808830202207,0.443801248216868,0.267380242633277
"125-36","light",500,0.174,1.0636836244648,0.492520628487348,0.00786301179295114,1.06448528081998,0.491340848563926,0.011722868776043
"125-37","light",500,0.174,0.92349156172399,0.407599874155636,0.248054788729983,0.923772817720309,0.407646699380912,0.247979149980097
"125-38","light",500,0.176,0.918290106987521,0.469640797150952,0.248593588348871,0.918260114735771,0.473702584380892,0.247982743822262
"125-39","light",500,0.15,0.987931805019264,0.488492342865747,0.345272761759045,0.986874931453242,0.49356394939365,0.345311945549391
"125-40","light",500,0.178,0.967369037437027,0.471207878281389,0.222417269919598,0.967399922998614,0.4724360138754,0.223637181527339
"125-41","light",500,0.164,1.03944506180764,0.444764939802439,0.270639722781566,1.03865520454011,0.44919134790595,0.270851439139155
"125-42","light",500,0.168,0.990823314659265,0.391525823056655,0.375648231612035,0.991445060539163,0.390091012815487,0.376993119564914
"125-43","light",500,0.162,1.07817446009621,0.425234057029293,0.237908543101177,1.07814411622874,0.427361157843551,0.23851826681512
"125-44","light",500,0.154,1.10047926310661,0.420826006838432,0.146324779627298,1.10077710442197,0.420608058936658,0.146675064270705
"125-45","light",500,0.174,1.12047355249378,0.413629484241154,0.121498900020763,1.11845068227483,0.421942211083097,0.121134185422011
"125-46","light",500,0.154,1.11194357936054,0.249626742192741,0.379060519655039,1.11200584747705,0.249824890675245,0.379316359174751
"125-47","light",500,0.184,0.94662937470871,0.372723682478685,0.283671227190569,0.94629016466559,0.374968471300421,0.283982758324776
"125-48","light",500,0.188,0.944558141372761,0.566279763538713,0.320993452090249,0.943487536145588,0.57596964974763,0.320026371628212
"125-49","light",500,0.15,1.01216928587751,0.409984983437947,0.395044274899008,1.01187623522589,0.412228697287198,0.395337334682338
"125-50","light",500,0.174,1.0011161802373,0.685367376202964,0.141665322775265,1.00105053650375,0.687218992908156,0.141929228370683
