"sim","censoring","n","perc_censored","alpha_cf","beta_cf","gamma_cf","alpha_m","beta_m","gamma_m"
"115-1","extra_heavy",100,0.78,1.32623325302914,0.0127308679784844,0.177282931811107,1.32441256242806,0.0132601338475958,0.175393117650116
"115-2","extra_heavy",100,0.71,0.542014454657687,2.4152971252073,0.424194999242122,0.544002102709209,2.39485603392979,0.425894367498172
"115-3","extra_heavy",100,0.81,0.848750126777241,0.565741340386539,0.609569121632886,0.833616752517474,0.576780982641511,0.611448933287047
"115-4","extra_heavy",100,0.82,0.795079013345012,0.815441297711026,0.387153258752422,0.813674077814126,0.750806664653252,0.398928032296759
"115-5","extra_heavy",100,0.82,1.2598335822876,-0.0384077646507092,0.605868298533331,1.26361364445397,-0.0383570383063354,0.606385973814573
"115-6","extra_heavy",100,0.85,1.22562385052161,0.136721996016886,-0.169786795756283,1.22303078442735,0.138105245877864,-0.174100016731908
"115-7","extra_heavy",100,0.77,1.08214174634926,-0.482805813553871,0.326802611824769,1.07166286734891,-0.463929178612821,0.326914825665931
"115-8","extra_heavy",100,0.71,1.11286578205214,-0.493596085456137,0.189393728462118,1.09924474567727,-0.450451649037609,0.1860131034666
"115-9","extra_heavy",100,0.7,0.876920590463253,0.157639221716235,0.0759928568061382,0.877905985835226,0.153609596959144,0.0764749506945619
"115-10","extra_heavy",100,0.71,0.921132446215787,1.35739639752885,0.318002874782881,0.944941673184676,1.23273410297035,0.323854895430764
"115-11","extra_heavy",100,0.66,0.858943402252645,0.18755176281618,0.634470359165465,0.860582931516037,0.185249828973144,0.632745553702106
"115-12","extra_heavy",100,0.75,1.02576776640202,0.0943974636380668,-0.112041153194087,1.02545883732906,0.0931387050239222,-0.111387335010062
"115-13","extra_heavy",100,0.77,1.27525155161659,-0.727566469715505,0.292768495858586,1.25695853656477,-0.632844270862735,0.273510294078253
"115-14","extra_heavy",100,0.78,1.09713280913016,0.166005552443208,0.148017725562663,1.09947579732118,0.16029113085364,0.149024507143073
"115-15","extra_heavy",100,0.8,0.854577895512152,0.565317969306988,0.0356257781528103,0.868325459568825,0.535074917083305,0.0272785590525352
"115-16","extra_heavy",100,0.73,0.710343016487256,1.30352000993731,0.715944255352308,0.725544804667597,1.32322862210098,0.717601327596861
"115-17","extra_heavy",100,0.73,1.09974558553872,0.0636746516182092,0.183300573653286,1.09910920312335,0.0655269238802312,0.183534362563697
"115-18","extra_heavy",100,0.74,0.743969264112641,1.20631634782724,0.403450105899168,0.79080948730749,0.965948074884261,0.415718300789033
"115-19","extra_heavy",100,0.84,1.08315424075911,0.184919957084265,-0.17983987392414,1.07939006195456,0.184731034409998,-0.187870127489437
"115-20","extra_heavy",100,0.81,1.05379267218779,0.0814858052010718,0.285774599673966,1.07657260186521,0.0527904484975511,0.277665187461548
"115-21","extra_heavy",100,0.8,0.686624801403623,0.76851453881213,0.271085307542664,0.700547706094594,0.725980371118759,0.278632181704814
"115-22","extra_heavy",100,0.81,1.22935011435675,-7.42477945899298e-05,0.509775935624288,1.21733294069667,0.00204083002674722,0.514605738174407
"115-23","extra_heavy",100,0.86,0.585568438068687,0.0916294509126207,0.327032659636434,0.576519392312774,0.0925442495718368,0.320930401329206
"115-24","extra_heavy",100,0.79,1.30721609732843,0.0827560451094418,0.121355202692506,1.3251816119826,0.0556622210571369,0.114975757375639
"115-25","extra_heavy",100,0.79,1.26046388751584,-0.0188517074526712,0.0307367088274728,1.25873023105322,-0.0181116316027735,0.0317439543284039
"115-26","extra_heavy",100,0.82,1.02273494491449,0.0246232705467232,0.177820660619648,1.03521849007332,0.0230326569202439,0.171149758062637
"115-27","extra_heavy",100,0.79,0.855639697566554,0.679743495872961,0.171459892753431,0.875491090241811,0.636872737273768,0.166611964666166
"115-28","extra_heavy",100,0.81,1.65602773756361,-0.289545140403768,0.199619268650074,1.6613236546887,-0.290948350948784,0.20099536656247
"115-29","extra_heavy",100,0.82,0.840478375422453,0.579466058729975,0.320018019843621,0.840025620138334,0.589527568878597,0.324552868450403
"115-30","extra_heavy",100,0.74,1.02701730478887,0.425150667891231,0.152454351211123,1.02536622557887,0.445914303317708,0.138813382362824
"115-31","extra_heavy",100,0.82,1.38311178028896,-0.0262421783941421,-0.0185311445393245,1.37630186460828,-0.0252437987713625,-0.0127689533799878
"115-32","extra_heavy",100,0.75,1.21463133928781,0.00601503366248283,-0.074531489729321,1.21487601161285,0.0057198482676682,-0.0721671144902599
"115-33","extra_heavy",100,0.77,1.17782215409395,-1.01481269237471,0.27197185902802,1.16452551114793,-1.03235662796553,0.278048793218355
"115-34","extra_heavy",100,0.76,1.28472634460886,-0.278041064604841,0.495902972482392,1.28391491914422,-0.270923511423606,0.495103813701054
"115-35","extra_heavy",100,0.8,0.658927154938343,1.55187733750905,0.469497403208902,0.659625057262508,1.61384448640795,0.477423517022846
"115-36","extra_heavy",100,0.8,0.576464584163675,0.353550400427334,0.419129986416868,0.556176849373863,0.361305039967157,0.42748975772578
