"sim","censoring","n","perc_censored","alpha_cf","beta_cf","gamma_cf","alpha_m","beta_m","gamma_m"
"128-1","heavy",2000,0.4255,0.980324557726352,0.485334555892724,0.307266119638942,0.979904708390693,0.490952713477094,0.307315683280737
"128-2","heavy",2000,0.4015,0.983408417326256,0.523556439778657,0.248791882673753,0.983153969625217,0.52772803534698,0.248813952374144
"128-3","heavy",2000,0.407,0.932873606907018,0.669828032505151,0.302907122917872,0.93222493694067,0.679793151578527,0.302935143864019
"128-4","heavy",2000,0.413,0.968059432769755,0.662784398780284,0.235962091889835,0.967911311122412,0.665549110420264,0.235928226587796
"128-5","heavy",2000,0.4215,0.960468837996529,0.455956580932906,0.293006782704371,0.95992334279551,0.461873732905945,0.293052095328549
"128-6","heavy",2000,0.3885,1.04645163185956,0.416975779126375,0.253615640731309,1.04653126299656,0.418446264051174,0.25357851915701
"128-7","heavy",2000,0.4155,0.926752426298105,0.558279308167935,0.321986335154819,0.927293291369012,0.560772495990722,0.32215089472141
"128-8","heavy",2000,0.4065,0.936369589775542,0.546062579620283,0.347918412931675,0.936470832470651,0.549410775194384,0.347798737056231
"128-9","heavy",2000,0.4025,1.00075407218289,0.495863725854349,0.255957450862577,1.00053907471267,0.500781055927909,0.255949624191915
"128-10","heavy",2000,0.409,1.04940941539536,0.443877801667859,0.238051819373846,1.04895003566676,0.450380057480014,0.23812271333158
"128-11","heavy",2000,0.4155,1.02246392215668,0.473568058335988,0.239632031136975,1.02112889287669,0.487641906217525,0.239607073617783
"128-12","heavy",2000,0.3995,1.02340869643033,0.543839161628871,0.2427530785736,1.02360564715331,0.5446084924455,0.242730667199883
"128-13","heavy",2000,0.4195,0.98792640463899,0.617191626326871,0.175728291707862,0.987763130802476,0.622689494534449,0.17570462326489
"128-14","heavy",2000,0.397,0.995036450406149,0.526243682129793,0.224223271675582,0.995137752317579,0.53024193634347,0.22422823535575
"128-15","heavy",2000,0.42,0.985389273337951,0.451664766840413,0.245351101548324,0.984736522101985,0.461671677621406,0.245493121724377
