"sim","censoring","n","perc_censored","alpha_d","beta_d","gamma_d","alpha_e","beta_e","gamma_e","alpha_w","beta_w","gamma_w"
"118-1","light",100,0.18,1.04459737025944,0.352556655993514,0.0337731090625791,1.04459737025944,0.352556655993514,0.0337731090625791,1.04459737025944,0.352556655993514,0.0337731090625791
"118-2","light",100,0.16,0.836382943157087,0.838974665615028,0.579938816807327,0.836382943157087,0.838974665615028,0.579938816807327,0.836382943157087,0.838974665615028,0.579938816807327
"118-3","light",100,0.16,1.04443957568013,0.608833088181115,0.254896979745072,1.04421212619675,0.606678999908845,0.255867892928975,1.0442088312155,0.606645153868641,0.255882964177579
"118-4","light",100,0.15,1.10162613612213,0.697249621648102,0.309251261035008,1.10162613612213,0.697249621648102,0.309251261035008,1.10162613612213,0.697249621648102,0.309251261035008
"118-5","light",100,0.16,0.718807926027436,0.546934290026394,0.500493113865868,0.718052599949004,0.546686196642479,0.500934683271484,0.717709463044652,0.546555504688705,0.501141212178359
"118-6","light",100,0.1,1.09475841215973,0.257760034503382,0.135524005124132,1.09475841215973,0.257760034503382,0.135524005124132,1.09475841215973,0.257760034503382,0.135524005124132
"118-7","light",100,0.15,1.17877546154002,0.226013569971821,0.263583255533445,1.17877546154002,0.226013569971821,0.263583255533445,1.17877546154002,0.226013569971821,0.263583255533445
"118-8","light",100,0.2,1.08686429111777,0.474446209388232,-0.0101682259106617,1.08686429111777,0.474446209388232,-0.0101682259106617,1.08686429111777,0.474446209388232,-0.0101682259106617
"118-9","light",100,0.22,0.876414058685292,0.570083606447087,0.490651638035868,0.877947933598607,0.562234191191972,0.491651713254215,0.878132256250895,0.561300748715812,0.491772339151388
"118-10","light",100,0.18,1.00580582229429,0.290213161220264,0.277645053339521,1.00580582229429,0.290213161220264,0.277645053339521,1.00580582229429,0.290213161220264,0.277645053339521
"118-11","light",100,0.21,1.227457020191,0.346797689969521,0.0549256796928751,1.22845208539019,0.342831902812011,0.054941693029362,1.23176681906318,0.330116879592973,0.0551669063588219
"118-12","light",100,0.17,0.867964528571829,0.312877689313223,0.381643678005644,0.867964528571829,0.312877689313223,0.381643678005644,0.867964528571829,0.312877689313223,0.381643678005644
"118-13","light",100,0.18,1.21793864007103,0.093724382588196,0.272247749474625,1.21793864007103,0.093724382588196,0.272247749474625,1.21793864007103,0.093724382588196,0.272247749474625
"118-14","light",100,0.19,0.740065022606828,0.86898004249899,0.358934383430963,0.742714245016193,0.855528596557533,0.361842454906043,0.743516959037382,0.851520229161813,0.362709836862055
"118-15","light",100,0.12,0.797393814078317,0.649548537213058,0.378376613412835,0.797393814078317,0.649548537213058,0.378376613412835,0.797393814078317,0.649548537213058,0.378376613412835
"118-16","light",100,0.17,1.10569361535954,0.379181121931158,0.155027535426074,1.10569361535954,0.379181121931158,0.155027535426074,1.10569361535954,0.379181121931158,0.155027535426074
"118-17","light",100,0.19,0.693509335154362,0.49902775098606,0.510701182265166,0.693509335154362,0.49902775098606,0.510701182265166,0.693509335154362,0.49902775098606,0.510701182265166
"118-18","light",100,0.21,0.99453980721311,0.43288066189646,0.512333773299324,0.998656206267785,0.413860741584634,0.514988172914155,0.999573857960881,0.409668753256194,0.515580794099421
"118-19","light",100,0.12,1.02463810352683,0.119166387240732,0.348674293694746,1.02463810352683,0.119166387240732,0.348674293694746,1.02463810352683,0.119166387240732,0.348674293694746
"118-20","light",100,0.21,1.1098102120958,0.408915340974791,0.178503036957648,1.1098102120958,0.408915340974791,0.178503036957648,1.1098102120958,0.408915340974791,0.178503036957648
"118-21","light",100,0.18,0.967660362501989,0.592569554292846,0.379543024166338,0.967660362501989,0.592569554292846,0.379543024166338,0.967660362501989,0.592569554292846,0.379543024166338
"118-22","light",100,0.19,0.997383605807439,0.375216444162369,0.371390366959238,0.997383605807439,0.375216444162369,0.371390366959238,0.997383605807439,0.375216444162369,0.371390366959238
"118-23","light",100,0.16,0.917428298331451,0.530878738990141,0.332670509288662,0.917428298331451,0.530878738990141,0.332670509288662,0.917428298331451,0.530878738990141,0.332670509288662
"118-24","light",100,0.12,1.10213628229536,0.162786603721644,0.322155769820026,1.10213628229536,0.162786603721644,0.322155769820026,1.10213628229536,0.162786603721644,0.322155769820026
"118-25","light",100,0.11,0.885668604560662,0.602399494553215,0.241600542370507,0.885668604560662,0.602399494553215,0.241600542370507,0.885668604560662,0.602399494553215,0.241600542370507
"118-26","light",100,0.19,0.91660551715886,0.154937896101431,0.58254132145274,0.917091772550605,0.15263008483857,0.583004958870909,0.917105082918819,0.152567076133147,0.583017624914137
"118-27","light",100,0.23,0.864991347290271,0.552944165080322,0.570868996527675,0.864000613345688,0.546653966860389,0.573728638742788,0.863756860250045,0.544568700048322,0.574637145583666
"118-28","light",100,0.19,0.888951846697528,0.88709629142866,0.213492383157995,0.888951846697528,0.88709629142866,0.213492383157995,0.888951846697528,0.88709629142866,0.213492383157995
"118-29","light",100,0.15,1.1018592160554,0.889206875620902,-0.108938381334277,1.1018592160554,0.889206875620902,-0.108938381334277,1.1018592160554,0.889206875620902,-0.108938381334277
