"sim","censoring","n","perc_censored","alpha_d","beta_d","gamma_d","alpha_e","beta_e","gamma_e","alpha_w","beta_w","gamma_w"
"130-1","heavy",2000,0.4075,0.876213995521293,0.829356485573456,0.368710586897415,0.883621312860378,0.753874396487842,0.364741541070094,0.886993949804563,0.722226662955332,0.363366658934359
"130-2","heavy",2000,0.4215,0.885014527681032,0.746396230466779,0.380584369072601,0.885014527681032,0.746396230466779,0.380584369072601,0.885014527681032,0.746396230466779,0.380584369072601
"130-3","heavy",2000,0.394,1.00219218616352,0.534188031359871,0.29671343946124,1.00294129813901,0.527912360849356,0.296445177949045,1.00317666688995,0.525954938712627,0.296361876920965
"130-4","heavy",2000,0.421,0.992072365223472,0.568641631524722,0.412304416957827,0.992072365223472,0.568641631524722,0.412304416957827,0.992072365223472,0.568641631524722,0.412304416957827
"130-5","heavy",2000,0.3935,0.90615681205433,0.653881888132137,0.360045082356943,0.906736210477392,0.647779085495946,0.359878301964462,0.906866799262308,0.646412144670582,0.359841066177879
"130-6","heavy",2000,0.3915,0.905728435354103,0.693049007110451,0.376665210649317,0.913155117326954,0.63932690438967,0.374707837416913,0.915825862345158,0.620385391439532,0.374117539498251
"130-7","heavy",2000,0.391,0.99464958768957,0.672916086007149,0.275166648397792,0.999201963011947,0.616692386569767,0.27358020492977,1.00032387445726,0.604392790278765,0.2732802622551
"130-8","heavy",2000,0.4235,0.899215629887173,0.617778385709839,0.366023469203716,0.899215629887173,0.617778385709839,0.366023469203716,0.899215629887173,0.617778385709839,0.366023469203716
"130-9","heavy",2000,0.4055,0.951571297974146,0.805260487798708,0.328766283069244,0.958727615402911,0.74771182740906,0.326512150387952,0.964012313269325,0.701953025338648,0.325112780267897
"130-10","heavy",2000,0.3955,0.879760000783433,0.827368582384982,0.466288125837809,0.885534601093827,0.769941217246346,0.464483713153264,0.886957603672172,0.755366068509099,0.464086173520715
"130-11","heavy",2000,0.429,0.913521002708481,0.768004121261393,0.382046199329887,0.923044709080049,0.680736940501882,0.378491697126767,0.925666547756554,0.657803085445193,0.377579288047543
"130-12","heavy",2000,0.4175,0.982753013579202,0.59313606568352,0.314542496114718,0.985828232529355,0.557766137572487,0.312686199362408,0.986745919733181,0.548352875517997,0.312221362575857
"130-13","heavy",2000,0.4035,0.922897682245317,0.9036023615124,0.375472246623045,0.930603624368725,0.832451083519437,0.372668952521742,0.932037860583379,0.819812550074449,0.37222935402733
"130-14","heavy",2000,0.4105,0.852779334535603,0.820137142032283,0.39796442572276,0.856531412590219,0.787636632400671,0.396573578236889,0.857317717731765,0.78048132507481,0.396280315734461
"130-15","heavy",2000,0.4045,0.927806686463972,0.794618543437438,0.327617878071905,0.930420379830503,0.764418641548527,0.325997571682517,0.931046635557232,0.757488674120296,0.32564732244387
"130-16","heavy",2000,0.4075,0.884356368645624,0.818574550458369,0.307555012967059,0.891075801998684,0.748792497846176,0.30443742241364,0.892736995987512,0.733065321523169,0.303794720356064
"130-17","heavy",2000,0.411,0.959490753229762,0.651807600030998,0.267376176800189,0.963832286664016,0.617192241433523,0.265954703766679,0.965173501809531,0.606740800646927,0.265528102669748
"130-18","heavy",2000,0.4085,1.05067301243119,0.624358070778402,0.247137816210406,1.05180702102295,0.613953867423545,0.246554146928922,1.05223034410362,0.609890902199425,0.246340132984134
"130-19","heavy",2000,0.404,0.958152384035144,0.723201611658134,0.360332840297872,0.968187743274527,0.639273951607847,0.356674522903712,0.971970079753908,0.609036111435239,0.355488560862363
"130-20","heavy",2000,0.393,0.889095555493364,0.850210960485657,0.396287578624707,0.893814825529284,0.809610522024632,0.393984134593144,0.894395599855579,0.804777071595251,0.39372823071454
"130-21","heavy",2000,0.4065,0.904972974239134,0.783732547248782,0.391029610462875,0.905576197982804,0.7739267811811,0.390530742788583,0.90560607244227,0.773380596072926,0.390502741343963
"130-22","heavy",2000,0.402,0.979945500990557,0.784543393622708,0.276503457001274,0.981117934345893,0.770487351224261,0.275671251250247,0.983294855339495,0.749737431045905,0.274930155359918
"130-23","heavy",2000,0.4055,0.926402568219043,0.746338147080116,0.296783806793611,0.927648882517331,0.73590059941274,0.296297869003591,0.928055148310511,0.732530488941449,0.296142129588503
"130-24","heavy",2000,0.396,0.937960754555708,0.639375184719379,0.377683459107771,0.938961495619718,0.631258923460171,0.377254313205082,0.93902706053046,0.630736378497455,0.377227559779974
"130-25","heavy",2000,0.3985,0.926843294078234,0.622479122609983,0.360917131227981,0.926843294078234,0.622479122609983,0.360917131227981,0.926843294078234,0.622479122609983,0.360917131227981
"130-26","heavy",2000,0.381,0.879107307965722,0.776278590580974,0.41204241266219,0.884665528945906,0.72524818716489,0.410199284791102,0.886250218119532,0.710871107195317,0.409696855023072
"130-27","heavy",2000,0.387,0.873670215001351,0.942421396290149,0.366916776613994,0.889664354547409,0.806278627934291,0.361034134074189,0.89206758931191,0.787462224517776,0.360270576215969
"130-28","heavy",2000,0.4065,0.956562432038345,0.564455486702466,0.359000487806021,0.956562432038345,0.564455486702466,0.359000487806021,0.956562432038345,0.564455486702466,0.359000487806021
"130-29","heavy",2000,0.4,0.929434640293465,0.618691988385585,0.379644829378066,0.929868832879965,0.61431922094707,0.379510852522422,0.929917942938127,0.613827967541522,0.379495842102591
"130-30","heavy",2000,0.3995,0.931230710839975,0.722739827382219,0.410151607938676,0.933754999287345,0.697399985849853,0.40851182716587,0.934086114488201,0.694121574421241,0.408300175655611
"130-31","heavy",2000,0.4075,0.927126274304146,0.794146269395084,0.356076009296398,0.934417724401448,0.717133746053226,0.353207873042671,0.936838959457761,0.6949864040579,0.352501179951608
"130-32","heavy",2000,0.4095,0.918086298657812,0.809970393016186,0.3410839269444,0.920772217968781,0.785871149597819,0.340073886525718,0.92092579345922,0.784503343420621,0.340016359894677
"130-33","heavy",2000,0.4045,0.951080626989324,0.680347849278326,0.318195966812099,0.954827396821293,0.636704038841296,0.316352826033594,0.955889568959611,0.624603598873024,0.315904738295381
"130-34","heavy",2000,0.413,0.891419527749701,0.770384984258965,0.35090391277696,0.891419527749701,0.770384984258965,0.35090391277696,0.891419527749701,0.770384984258965,0.35090391277696
"130-35","heavy",2000,0.3985,0.966983925884273,0.650532056274486,0.317203019089043,0.967435469206029,0.646164048866576,0.31694973074082,0.967469777327493,0.645833975071197,0.316930646336728
"130-36","heavy",2000,0.4305,0.951521268614821,0.598157677392649,0.383567050111332,0.95992135143465,0.52702894915579,0.382757814586115,0.962428662345514,0.506551183653686,0.382498343070414
"130-37","heavy",2000,0.392,0.95776516554553,0.718689478416695,0.396419587242404,0.963542865447852,0.649186208039635,0.394285416510446,0.964889633152188,0.634695605485138,0.39388285204688
"130-38","heavy",2000,0.416,0.923780146036385,0.617839494270787,0.325422624947195,0.923780146036385,0.617839494270787,0.325422624947195,0.923780146036385,0.617839494270787,0.325422624947195
"130-39","heavy",2000,0.415,0.88952407777562,0.702712371882421,0.398805132821708,0.88952407777562,0.702712371882421,0.398805132821708,0.88952407777562,0.702712371882421,0.398805132821708
"130-40","heavy",2000,0.395,0.945621516118312,0.717861880876876,0.313782332537574,0.945621516118312,0.717861880876876,0.313782332537574,0.945621516118312,0.717861880876876,0.313782332537574
"130-41","heavy",2000,0.4135,0.911773299366036,0.576171174520918,0.31988244534009,0.911773299366036,0.576171174520918,0.31988244534009,0.911773299366036,0.576171174520918,0.31988244534009
"130-42","heavy",2000,0.3995,0.933533578230409,0.799739204230785,0.329507146505365,0.938909336216417,0.754241205963764,0.327813494951095,0.94132520232045,0.733289492784915,0.327075773925099
"130-43","heavy",2000,0.3975,0.975156476688529,0.679212968670227,0.362801644146878,0.975156476688529,0.679212968670227,0.362801644146878,0.975156476688529,0.679212968670227,0.362801644146878
"130-44","heavy",2000,0.404,0.921392605365005,0.708558311775393,0.342198621614855,0.922600924439114,0.69838675553354,0.341904516835622,0.923829949056607,0.688162881476506,0.341612377460346
"130-45","heavy",2000,0.414,1.00546649898993,0.613002361340358,0.289130380217373,1.00574565365068,0.610247473636083,0.289040385230754,1.00578893220737,0.609822269219604,0.289026516252453
"130-46","heavy",2000,0.398,0.854751521322789,0.766307432044709,0.365418584585009,0.854751521322789,0.766307432044709,0.365418584585009,0.854751521322789,0.766307432044709,0.365418584585009
"130-47","heavy",2000,0.405,0.873217155312194,0.70026758359577,0.380280888945067,0.873217155312194,0.70026758359577,0.380280888945067,0.873217155312194,0.70026758359577,0.380280888945067
"130-48","heavy",2000,0.4035,0.87001138526687,0.843359217946556,0.300160371505394,0.870806687088769,0.833659352652824,0.299860812109345,0.871374084524499,0.826890538778203,0.299653961408468
"130-49","heavy",2000,0.4135,0.938338187162486,0.73688014105817,0.215828925723102,0.938338187162486,0.73688014105817,0.215828925723102,0.938338187162486,0.73688014105817,0.215828925723102
"130-50","heavy",2000,0.406,0.833904962701802,0.949217047559305,0.393109609093114,0.834659134688032,0.942687398805536,0.392901082141183,0.834741637781561,0.9419704891845,0.39288011989153
