"sim","censoring","n","perc_censored","alpha_d","beta_d","gamma_d","alpha_e","beta_e","gamma_e","alpha_w","beta_w","gamma_w"
"123-1","heavy",500,0.48,0.946512214894156,0.623948225090724,0.324885779648299,0.948326548773893,0.608681075573721,0.325691707733163,0.948402163448805,0.608060049266282,0.325715911387998
"123-2","heavy",500,0.474,0.931924538208978,0.419902181138357,0.370383243726731,0.931924538208978,0.419902181138357,0.370383243726731,0.931924538208978,0.419902181138357,0.370383243726731
"123-3","heavy",500,0.46,0.994918452222369,0.2526625414234,0.394711681944602,0.995795104324077,0.247661047006693,0.394988496181089,0.995841537251305,0.247397274601383,0.395003102803223
"123-4","heavy",500,0.478,1.07507841108483,0.521379676218006,0.228420855612857,1.08218254534726,0.454687132258551,0.235890455658143,1.08272253649942,0.45137375177682,0.236144643826433
"123-5","heavy",500,0.492,0.845877612597824,0.738081463975331,0.42604719186984,0.847979046947787,0.708144598471311,0.428511036818566,0.847988871406844,0.708014895036799,0.428521909285391
"123-6","heavy",500,0.488,0.896547189989413,0.505566170348802,0.542841846531883,0.896547189989413,0.505566170348802,0.542841846531883,0.896547189989413,0.505566170348802,0.542841846531883
"123-7","heavy",500,0.478,0.879640206824585,0.620610732211113,0.380958908217556,0.880411213651765,0.612687649898505,0.381435271325593,0.880535407044593,0.611548581490926,0.381488371220494
"123-8","heavy",500,0.466,0.963309730283448,0.582408848027988,0.356781144344609,0.963309730283448,0.582408848027988,0.356781144344609,0.963309730283448,0.582408848027988,0.356781144344609
"123-9","heavy",500,0.512,1.05410366031289,0.458196612047933,0.320038795919946,1.05410366031289,0.458196612047933,0.320038795919946,1.05410366031289,0.458196612047933,0.320038795919946
"123-10","heavy",500,0.456,0.946000245124906,0.563669183255513,0.383311872200572,0.955573990240565,0.444719857988995,0.392085004283571,0.957011616056494,0.433870621066768,0.392826992423066
"123-11","heavy",500,0.502,1.04155717077708,0.54872062564019,0.336018111810723,1.04796229312402,0.482420048875317,0.340861962007958,1.04821676739684,0.480621042603414,0.340972125018561
"123-12","heavy",500,0.492,0.929743306391226,0.438843800954865,0.592053912986362,0.929952591103188,0.435112581077501,0.592282188170061,0.92995084867394,0.435059665095244,0.592284829579467
"123-13","heavy",500,0.484,0.932431559934524,0.621944169226843,0.308400987715778,0.932431559934524,0.621944169226843,0.308400987715778,0.932431559934524,0.621944169226843,0.308400987715778
"123-14","heavy",500,0.454,0.797223613957006,0.81956418384658,0.453195214208771,0.798165540382499,0.810599647570424,0.453661771930699,0.798552841422202,0.806953116184906,0.453851307192655
"123-15","heavy",500,0.46,0.953069940657849,0.593809798502565,0.368056823600807,0.953587118441834,0.588123934802733,0.36841548628254,0.95361186476784,0.587899508160284,0.368427263412539
"123-16","heavy",500,0.502,0.990299668039165,0.496922322288408,0.310185227861343,0.990388607127547,0.49613392206413,0.310227949007975,0.990389040353122,0.496130088904024,0.31022815670778
"123-17","heavy",500,0.514,1.03797816453044,0.477687531167628,0.208044809091655,1.03797816453044,0.477687531167628,0.208044809091655,1.03797816453044,0.477687531167628,0.208044809091655
"123-18","heavy",500,0.49,0.931101736390366,0.799991421265576,0.288341604006733,0.954310693127788,0.55405755645543,0.306387729688523,0.955705170093114,0.543174487205679,0.307138715576236
"123-19","heavy",500,0.478,0.900954850717584,0.979332215524429,0.31306147915036,0.943087020722836,0.629159533535084,0.338421001098103,0.944572874490367,0.61889163058141,0.339182016328497
"123-20","heavy",500,0.466,1.02264165530708,0.623121779238316,0.34761507602525,1.01541565016828,0.61196141671754,0.348566967118181,1.01472781749065,0.604790118533492,0.348819433083051
"123-21","heavy",500,0.486,0.877976538296096,0.381361059841957,0.546082953714308,0.877976538296096,0.381361059841957,0.546082953714308,0.877976538296096,0.381361059841957,0.546082953714308
"123-22","heavy",500,0.5,0.895635262900247,0.568010901877967,0.363859739208639,0.897521908709249,0.553238200779208,0.36482044547115,0.897547336301273,0.553043549426469,0.364833074544715
"123-23","heavy",500,0.482,0.994268138155785,0.566867229103771,0.260543308673893,0.9949291786182,0.560313817194261,0.260768959235121,0.994992141978973,0.559697328614414,0.260790168735213
"123-24","heavy",500,0.472,0.89617818374395,0.56295922848814,0.462320863834524,0.897115674705644,0.552246095747312,0.462961999674209,0.897320195239544,0.549967782782659,0.463098353039617
"123-25","heavy",500,0.48,0.997199887163733,0.245620612884083,0.415412282030711,0.997199887163733,0.245620612884083,0.415412282030711,0.997199887163733,0.245620612884083,0.415412282030711
"123-26","heavy",500,0.526,0.953818325537755,0.438519635871619,0.330813064153212,0.953818325537755,0.438519635871619,0.330813064153212,0.953818325537755,0.438519635871619,0.330813064153212
"123-27","heavy",500,0.472,0.822349089044603,0.84966338700361,0.490794265397732,0.823019303759938,0.839246483659238,0.491259103247453,0.823026783593518,0.839134325898904,0.491264112440203
"123-28","heavy",500,0.494,0.917206916138611,0.663401293324508,0.369771844817276,0.926916084791238,0.547072357612489,0.37567742984403,0.927853718989515,0.536419753820145,0.376290112844348
"123-29","heavy",500,0.476,0.914434579044495,0.761249988885507,0.244772997269352,0.931433190186452,0.622877159367464,0.25097829554434,0.931275270064239,0.624092644544049,0.25092033145294
"123-30","heavy",500,0.536,0.798404955832915,0.743267797825212,0.493388141671399,0.798587339723248,0.739597942170983,0.493609611961525,0.798588691876532,0.739571265860697,0.493611219480392
"123-31","heavy",500,0.44,0.852432313168046,1.19216374036557,0.341879158632385,0.886196866647885,0.872877218257337,0.355926578416202,0.886603718476205,0.869575903487424,0.356089051827803
"123-32","heavy",500,0.482,1.02211593106204,0.663842268807403,0.213709829960185,1.0280956111535,0.581097554397755,0.217818572084574,1.02833656998489,0.578226262943768,0.217966618442644
"123-33","heavy",500,0.498,0.970109569338013,0.675008051959878,0.277103762620106,0.970582053307485,0.667364769012869,0.277092919306446,0.970603930764859,0.667018652727081,0.277092473365481
"123-34","heavy",500,0.476,0.843706870691367,0.896426105465704,0.366090626553401,0.848178219498293,0.853724223144091,0.367360520033656,0.848221193008324,0.853298397395909,0.367374252206963
"123-35","heavy",500,0.52,1.06659482563688,0.364277630212744,0.323976900210275,1.06683446353354,0.361218331156644,0.324147169157575,1.06684615749679,0.361070236387497,0.324155408076274
"123-36","heavy",500,0.476,0.946449059279382,0.485801350482024,0.504500852036787,0.946598491911756,0.467144964293838,0.504954357814786,0.946634338551425,0.466225820658023,0.50498261880379
"123-37","heavy",500,0.464,0.892623248363291,0.858549786241246,0.388386916920485,0.918268516807042,0.65460005277597,0.397428713553203,0.921408634846062,0.632961655454724,0.398656267115514
"123-38","heavy",500,0.484,1.05568380370497,0.315923747450414,0.298763976820636,1.05926544540688,0.272602604444612,0.301518591888874,1.05941107088512,0.270887124645846,0.301634931109622
"123-39","heavy",500,0.494,1.08299590452708,0.498266601846151,0.149529543397014,1.08371060855176,0.493011221350276,0.149734853079347,1.08379611562875,0.492385171753094,0.149759296378874
"123-40","heavy",500,0.482,0.949970974471347,0.938957721258709,0.234869045150679,0.965533458204531,0.758947873712517,0.242870292450969,0.966120090549854,0.753161930579152,0.243160118924469
"123-41","heavy",500,0.502,0.993017500561444,0.607196203144399,0.185002157880178,0.993017500561444,0.607196203144399,0.185002157880178,0.993017500561444,0.607196203144399,0.185002157880178
"123-42","heavy",500,0.486,0.866270873395656,0.751952929911445,0.420998297250286,0.882173889183998,0.597660134474085,0.426395688690069,0.883454615224854,0.586397283713173,0.426863770252703
"123-43","heavy",500,0.482,0.810444359705814,0.717178737362913,0.42472553898856,0.811120975212921,0.704946627201508,0.425103617136597,0.811141370898359,0.704598368741412,0.425114507466519
"123-44","heavy",500,0.488,0.957863705636628,0.525361154800636,0.334958971544077,0.958399881147279,0.516528400597823,0.335228609302728,0.958439082152503,0.515905613557355,0.335247646427581
"123-45","heavy",500,0.488,0.893634674376252,0.67058782539686,0.371526825443674,0.897377883024476,0.543974780411636,0.370560955595977,0.897806513821179,0.538247569310928,0.370608313131581
"123-46","heavy",500,0.47,0.89385820638115,0.653024437739789,0.349324305981137,0.900691038477589,0.557697568576705,0.357202129730388,0.900953024785707,0.554588110491748,0.357429909890229
"123-47","heavy",500,0.474,0.963695813886487,0.682797283460462,0.362353042759197,0.963695813886487,0.682797283460462,0.362353042759197,0.963695813886487,0.682797283460462,0.362353042759197
"123-48","heavy",500,0.476,0.954823248340112,0.553000859096816,0.340894861099731,0.954823248340112,0.553000859096816,0.340894861099731,0.954823248340112,0.553000859096816,0.340894861099731
"123-49","heavy",500,0.472,0.932719944712365,0.698432916938851,0.312557305695361,0.932827841441303,0.579280843796164,0.32569185619173,0.932317239904515,0.574274332023048,0.32574706791007
"123-50","heavy",500,0.476,0.898995868669104,0.568503209994713,0.497587685067249,0.899769105271533,0.559266622508481,0.498243359850523,0.899769073001746,0.559266999641609,0.498243333086437
