"sim","censoring","n","perc_censored","alpha_d","beta_d","gamma_d","alpha_e","beta_e","gamma_e","alpha_w","beta_w","gamma_w"
"127-1","light",100,0.14,1.0388168799734,-0.197520704611004,0.383654280166472,1.0388168799734,-0.197520704611004,0.383654280166472,1.0388168799734,-0.197520704611004,0.383654280166472
"127-2","light",100,0.11,1.05706223516665,0.584323501263558,0.351638781374577,1.05706223516665,0.584323501263558,0.351638781374577,1.05706223516665,0.584323501263558,0.351638781374577
"127-3","light",100,0.13,0.786371931060821,0.993779383481232,0.480651793670543,0.786371931060821,0.993779383481232,0.480651793670543,0.786371931060821,0.993779383481232,0.480651793670543
"127-4","light",100,0.12,0.860519515825046,1.04948695547378,0.29710588107019,0.860519515825046,1.04948695547378,0.29710588107019,0.860519515825046,1.04948695547378,0.29710588107019
"127-5","light",100,0.17,1.04099772065551,0.49395627912756,0.313031789745385,1.04099772065551,0.49395627912756,0.313031789745385,1.04099772065551,0.49395627912756,0.313031789745385
"127-6","light",100,0.11,1.09479422229932,0.370796074010248,0.220243292795129,1.09479422229932,0.370796074010248,0.220243292795129,1.09479422229932,0.370796074010248,0.220243292795129
"127-7","light",100,0.11,0.910053222090224,0.761747676085132,0.503905744693824,0.909880048884627,0.761677104121993,0.503902913030945,0.909765162510113,0.761620078160005,0.503900718719215
"127-8","light",100,0.16,0.872063808426838,1.03072169806407,0.137022260722002,0.872063808426838,1.03072169806407,0.137022260722002,0.872063808426838,1.03072169806407,0.137022260722002
"127-9","light",100,0.18,1.133858146156,0.16165738457352,0.164188230850777,1.13250267784792,0.165862099183642,0.164064499506723,1.13232281163589,0.166416092396171,0.164048366734362
"127-10","light",100,0.14,0.698518670319813,0.7180978884429,0.428834749428978,0.698518670319813,0.7180978884429,0.428834749428978,0.698518670319813,0.7180978884429,0.428834749428978
"127-11","light",100,0.17,1.18653725642168,0.125789192961604,0.318240459676754,1.18653725642168,0.125789192961604,0.318240459676754,1.18653725642168,0.125789192961604,0.318240459676754
"127-12","light",100,0.09,0.853349710634658,0.742380909992509,0.125814953270009,0.853349710634658,0.742380909992509,0.125814953270009,0.853349710634658,0.742380909992509,0.125814953270009
"127-13","light",100,0.08,0.980720547401562,0.374442561450511,0.328763852551146,0.980720547401562,0.374442561450511,0.328763852551146,0.980720547401562,0.374442561450511,0.328763852551146
"127-14","light",100,0.08,0.95032955355335,0.03092226376393,0.342570274432481,0.95032955355335,0.03092226376393,0.342570274432481,0.95032955355335,0.03092226376393,0.342570274432481
"127-15","light",100,0.07,1.09298277724501,0.845860869940311,-0.290105159668058,1.09298277724501,0.845860869940311,-0.290105159668058,1.09298277724501,0.845860869940311,-0.290105159668058
"127-16","light",100,0.11,0.817318629650406,0.287178297441924,0.669128971011963,0.817318629650406,0.287178297441924,0.669128971011963,0.817318629650406,0.287178297441924,0.669128971011963
"127-17","light",100,0.05,0.962326664642237,0.200818431995419,0.373412446414583,0.962326664642237,0.200818431995419,0.373412446414583,0.962326664642237,0.200818431995419,0.373412446414583
"127-18","light",100,0.07,1.0049293546643,0.644275437904085,0.276540146566296,1.0049293546643,0.644275437904085,0.276540146566296,1.0049293546643,0.644275437904085,0.276540146566296
"127-19","light",100,0.1,0.968562664193687,0.672635549250911,0.0223271376169673,0.968562664193687,0.672635549250911,0.0223271376169673,0.968562664193687,0.672635549250911,0.0223271376169673
"127-20","light",100,0.14,1.21221614404068,0.396915931306959,0.0826043711213791,1.21221614404068,0.396915931306959,0.0826043711213791,1.21221614404068,0.396915931306959,0.0826043711213791
"127-21","light",100,0.1,0.977502172309026,0.588281079852723,0.118385761895046,0.977502172309026,0.588281079852723,0.118385761895046,0.977502172309026,0.588281079852723,0.118385761895046
"127-22","light",100,0.18,0.85378580513062,0.626199350890557,0.497854671517019,0.854174188995986,0.620742650459923,0.497315238434654,0.854856802470228,0.612827011276508,0.496604897012528
"127-23","light",100,0.14,0.815384824350429,0.339470381282886,0.473328139465579,0.814397756445486,0.342682287293655,0.473384281043649,0.81391573589327,0.344244016011138,0.473411622766469
"127-24","light",100,0.21,0.715691700231171,1.15151834592431,0.535305219033211,0.715691700231171,1.15151834592431,0.535305219033211,0.715691700231171,1.15151834592431,0.535305219033211
"127-25","light",100,0.13,0.953725099459847,0.752293753481153,0.150952324311158,0.953725099459847,0.752293753481153,0.150952324311158,0.953725099459847,0.752293753481153,0.150952324311158
"127-26","light",100,0.13,1.05368677507709,0.345501418969235,-0.0147184565755101,1.05351292615925,0.345544994222227,-0.0146971884292522,1.05303145842165,0.345616130470811,-0.0146403137925597
"127-27","light",100,0.13,1.21952761170556,0.375876400896248,-0.0835534139111166,1.21952761170556,0.375876400896248,-0.0835534139111166,1.21952761170556,0.375876400896248,-0.0835534139111166
"127-28","light",100,0.15,1.00673285881028,0.503364481238794,0.345938121396386,1.00673285881028,0.503364481238794,0.345938121396386,1.00673285881028,0.503364481238794,0.345938121396386
"127-29","light",100,0.14,1.14353070044356,0.0105513686776293,0.0845992295151943,1.14353070044356,0.0105513686776293,0.0845992295151943,1.14353070044356,0.0105513686776293,0.0845992295151943
"127-30","light",100,0.12,1.1225242245248,-0.126790259213735,0.416212475993184,1.1225242245248,-0.126790259213735,0.416212475993184,1.1225242245248,-0.126790259213735,0.416212475993184
"127-31","light",100,0.18,1.45223521524995,0.166738508604154,-0.362723194868309,1.45223521524995,0.166738508604154,-0.362723194868309,1.45223521524995,0.166738508604154,-0.362723194868309
"127-32","light",100,0.08,1.13973337067479,-0.466634502759799,0.347660341992838,1.13973337067479,-0.466634502759799,0.347660341992838,1.13973337067479,-0.466634502759799,0.347660341992838
"127-33","light",100,0.11,0.912512949181323,0.51706522045865,0.345526681391373,0.912512949181323,0.51706522045865,0.345526681391373,0.912512949181323,0.51706522045865,0.345526681391373
"127-34","light",100,0.1,0.851184085083142,1.03756406891324,0.50082954615219,0.851178032301271,1.03735599328081,0.500822453280323,0.851177838532438,1.03734922588016,0.500822222858088
"127-35","light",100,0.16,1.21490443802342,0.799122252078314,-0.319884144077452,1.21493002455854,0.796370044170017,-0.319931109005308,1.21496306527272,0.794449997061694,-0.319957113242502
"127-36","light",100,0.16,1.05142421297212,0.512191011267337,0.365535282347572,1.05212532369685,0.508774609341608,0.36523920439856,1.05226419897708,0.508108888457843,0.365184225045381
"127-37","light",100,0.13,0.781353033250331,0.926123965258178,0.114054429061383,0.781331942555405,0.924517812219072,0.113921025810939,0.781329714390201,0.924241768140074,0.113899077304718
"127-38","light",100,0.0600000000000001,0.766721006843488,1.21894368177642,0.390537998154436,0.766721006843488,1.21894368177642,0.390537998154436,0.766721006843488,1.21894368177642,0.390537998154436
"127-39","light",100,0.14,0.761433630871303,0.838046808302173,0.471585441850378,0.761433630871303,0.838046808302173,0.471585441850378,0.761433630871303,0.838046808302173,0.471585441850378
"127-40","light",100,0.11,0.965632166948828,0.313800609702142,0.331264610013022,0.965632166948828,0.313800609702142,0.331264610013022,0.965632166948828,0.313800609702142,0.331264610013022
"127-41","light",100,0.17,1.38111831914392,-0.376181066685681,0.220481936750322,1.38111831914392,-0.376181066685681,0.220481936750322,1.38111831914392,-0.376181066685681,0.220481936750322
"127-42","light",100,0.13,0.988942730137953,0.789573612381115,-0.0909767930373123,0.989387362142874,0.786135767893059,-0.0906007485531935,0.989484008186651,0.785396034235309,-0.0905196477857513
"127-43","light",100,0.13,1.16046671245572,0.23123927119588,0.211372360652932,1.16046671245572,0.23123927119588,0.211372360652932,1.16046671245572,0.23123927119588,0.211372360652932
"127-44","light",100,0.12,0.971514972904711,0.602058435742273,0.345335684054376,0.971514972904711,0.602058435742273,0.345335684054376,0.971514972904711,0.602058435742273,0.345335684054376
"127-45","light",100,0.09,1.25108717729803,-0.118750830262782,0.044572238513567,1.25108717729803,-0.118750830262782,0.044572238513567,1.25108717729803,-0.118750830262782,0.044572238513567
"127-46","light",100,0.09,0.851894462422202,0.720677036755467,0.253825924365702,0.851894462422202,0.720677036755467,0.253825924365702,0.851894462422202,0.720677036755467,0.253825924365702
"127-47","light",100,0.15,1.0731483394661,0.774101779542634,0.0151484927519357,1.07365598639577,0.767919603419918,0.016083316423047,1.07377029600777,0.766556623873555,0.0162877765380027
"127-48","light",100,0.25,1.13481060015616,0.142605066558369,0.226042386364491,1.13481060015616,0.142605066558369,0.226042386364491,1.13481060015616,0.142605066558369,0.226042386364491
