"sim","censoring","n","alpha_d","beta_d","gamma_d","alpha_e","beta_e","gamma_e","alpha_w","beta_w","gamma_w"
11723,"heavy",2000,0.944049084588164,0.567191784499129,0.293852977575558,0.943676291551933,0.565860059562197,0.292774288076529,0.946305969764821,0.56579294705783,0.291458111383927
11724,"heavy",2000,NA,NA,NA,1.00777915818477,0.603895358544809,0.265185518213035,1.00699495505782,0.603697446820234,0.264244860406443
11725,"heavy",2000,NA,NA,NA,0.928100417517084,0.544670915557369,0.354703295016424,0.930013538479748,0.54064046027425,0.350688376599221
11726,"heavy",2000,NA,NA,NA,1.00343737050654,0.49042390535627,0.306511430359269,1.00299470295539,0.487757296063029,0.305500112497665
11727,"heavy",2000,NA,NA,NA,0.961779192292189,0.61372319287236,0.259271425074936,0.960130329197626,0.609253560747194,0.263247925163642
11728,"heavy",2000,NA,NA,NA,1.02385834314855,0.540453589442254,0.149404095305774,1.02310379090768,0.535026257048894,0.151417814805884
11729,"heavy",2000,NA,NA,NA,0.92606288614352,0.708788328337354,0.300558324216418,0.929325335678661,0.703781799648431,0.299182251396728
11730,"heavy",2000,NA,NA,NA,1.00498232697241,0.593518818668645,0.226944797971658,1.00546936132782,0.59425952285063,0.222053658925693
11731,"heavy",2000,NA,NA,NA,0.985982360692376,0.702261856293886,0.276995622762224,0.985725652776493,0.702200386073632,0.279707205443903
11732,"heavy",2000,0.93340990558001,0.62254160261621,0.399886473394437,0.935370990902233,0.619164508024772,0.398089708579947,0.933106912195159,0.624764171732455,0.399278312808024
11733,"heavy",2000,NA,NA,NA,0.946775108044452,0.594984915709711,0.370247870293549,0.949457910661444,0.592207779226042,0.363657304195214
11734,"heavy",2000,0.961684404743662,0.535118865715375,0.297163017093391,0.963408496518549,0.5333657510327,0.297001636656319,0.966508967796951,0.531463217107244,0.295263137915404
11735,"heavy",2000,NA,NA,NA,0.923905513069256,0.581056198347837,0.314119719658091,0.923910377260486,0.571150771688645,0.315774413388733
11736,"heavy",2000,1.04365733043872,0.417186983658888,0.267878243876575,1.04282818457167,0.417589745836988,0.268518316523439,1.04283903164871,0.41473188895377,0.270636130769368
11737,"heavy",2000,NA,NA,NA,0.982784683434811,0.537187034823314,0.266163284443608,0.980738835022527,0.538214744486091,0.26871676590324
11738,"heavy",2000,NA,NA,NA,1.00226995595969,0.543696164435608,0.295174961363015,1.00172676120986,0.539215079273843,0.293802171781149
11739,"heavy",2000,0.98346098916463,0.629572577325392,0.234944425808311,0.980491373678754,0.633113458836589,0.237061182816369,0.982047686805581,0.627249593011717,0.23766890266287
11740,"heavy",2000,NA,NA,NA,1.01441550271416,0.551561784858532,0.231299027757984,1.01545376084316,0.544967247487471,0.232158071728574
11741,"heavy",2000,0.949833238278452,0.603807957026078,0.296502867216094,0.949584296143726,0.606206706026674,0.295017371850148,0.949317860931226,0.60333954650826,0.295769983453998
11742,"heavy",2000,0.9915269241702,0.589974006887395,0.280297492039142,0.994430598355167,0.582636713810647,0.280846597926573,0.993884928674753,0.583535562040519,0.284577049099743
11743,"heavy",2000,NA,NA,NA,0.912866451393367,0.570454909824441,0.283048315200878,0.912782163331202,0.565467473565463,0.282164288218759
11744,"heavy",2000,0.99439224629982,0.549748756751159,0.236876245124137,0.995814916201339,0.544870820762515,0.236980311306614,0.996253474694825,0.544637288496662,0.234557956357712
11745,"heavy",2000,NA,NA,NA,0.932310690389219,0.681506719015557,0.315039929476501,0.930568576817678,0.680500957382495,0.31577113924153
11746,"heavy",2000,NA,NA,NA,0.960629814297462,0.543959823174377,0.325518298243414,0.95952450861557,0.5452452738148,0.328610308195022
11747,"heavy",2000,0.939427453621379,0.646799703610765,0.315789817989224,0.938605906812728,0.648611556281365,0.315382707260702,0.935916479172295,0.652454356786327,0.316783831596622
11748,"heavy",2000,NA,NA,NA,1.00327308431254,0.571321271521546,0.216228193207913,1.00150637331192,0.57613314681877,0.215089207658528
11749,"heavy",2000,NA,NA,NA,0.977171421452365,0.658787509212682,0.26488293284231,0.976692073579531,0.660173747646241,0.265543786568159
11750,"heavy",2000,NA,NA,NA,1.02580593301434,0.625760993565608,0.196924486132976,1.02494231358188,0.624243509094516,0.196905387425198
11751,"heavy",2000,NA,NA,NA,0.969586645290026,0.616048155424112,0.310664382450344,0.969046310524561,0.61647670074878,0.309735971081471
11752,"heavy",2000,NA,NA,NA,0.959508507939616,0.666631593782342,0.233183204504694,0.960701233816671,0.655315477551672,0.234275661771203
11753,"heavy",2000,NA,NA,NA,0.974158544344693,0.651030702210546,0.31581594258918,0.974753199257285,0.655423999235728,0.31283613454783
11754,"heavy",2000,NA,NA,NA,0.965778024368337,0.56908109028092,0.33270569681844,0.967046654827533,0.559280205081384,0.331956803903727
11755,"heavy",2000,NA,NA,NA,1.00072821918162,0.481658708999263,0.348883141633024,1.00149531760535,0.481581975282566,0.345619529629764
11756,"heavy",2000,NA,NA,NA,0.982493232350853,0.62014935067292,0.288398285009043,0.983683232201847,0.618682499152979,0.289366175466508
11757,"heavy",2000,0.994262171992097,0.521166997313367,0.2163537207781,0.995037835619388,0.518921215345985,0.222611723388515,0.992551488119362,0.52032961900525,0.220905446386573
11758,"heavy",2000,NA,NA,NA,0.933328772886237,0.70534859736102,0.273715665259254,0.933184830819472,0.705629808734807,0.276550110801291
11759,"heavy",2000,NA,NA,NA,0.896162863811658,0.594331043357804,0.325801155133533,0.895435994562987,0.596913286889481,0.326901661648106
11760,"heavy",2000,NA,NA,NA,0.995628986698721,0.674451555771226,0.206201755948771,0.995092172308193,0.667191156226085,0.209451783680762
11761,"heavy",2000,NA,NA,NA,1.03141633687854,0.418270316527346,0.259290709777006,1.03221769603215,0.40944216501965,0.259059012230887
11762,"heavy",2000,1.01311739268541,0.456673562493277,0.239502883436333,1.01206937553701,0.458128280141091,0.240143813111107,1.0139081575393,0.453937479896757,0.241244995430515
11763,"heavy",2000,0.924129039144287,0.576252932954383,0.321781258406151,0.925090973185692,0.577243802579589,0.321051286031131,0.922288874977013,0.580857140055408,0.323703440373474
11764,"heavy",2000,0.915366543759884,0.650490998929286,0.342959341323132,0.916003330613202,0.653373002702301,0.339427186057876,0.916790213548133,0.653542329411621,0.339459907994142
11765,"heavy",2000,NA,NA,NA,0.979923979592237,0.625768257177729,0.294246996584804,0.984989918210086,0.614099001963788,0.291902798486451
11766,"heavy",2000,NA,NA,NA,0.968479047774462,0.498775564741911,0.346066745492384,0.970303527518549,0.500311259751522,0.343638763748535
11767,"heavy",2000,NA,NA,NA,0.969233842679933,0.578577839214707,0.236374863010781,0.970841509376356,0.577727201789592,0.23338478020077
11768,"heavy",2000,NA,NA,NA,1.06404925199742,0.481848117724341,0.168401330134761,1.06736917863008,0.474730813052331,0.168247666566304
11769,"heavy",2000,0.957275685394231,0.524553578810216,0.27301972876447,0.958244428682097,0.522421131502892,0.273249231448688,0.957818621486427,0.518422378240926,0.274668356109177
11770,"heavy",2000,NA,NA,NA,0.900296614143756,0.515480593075208,0.339128470940097,0.901260478924605,0.520235728468927,0.336545221129964
11771,"heavy",2000,NA,NA,NA,1.0275891980911,0.569395835877851,0.254516602641149,1.02716551733409,0.568863591000905,0.256507728885401
11772,"heavy",2000,NA,NA,NA,0.961129496597282,0.537766957787711,0.299667434499021,0.959587083479322,0.535378601919327,0.300394732829018
11773,"heavy",2000,0.988602427537765,0.600639399245877,0.289034028594792,0.98772364709245,0.600106061529591,0.290439297453831,0.988054609234362,0.60086007276805,0.289465399068281
11774,"heavy",2000,NA,NA,NA,1.00092941120591,0.387469722525202,0.299989361266712,1.00032490968211,0.389596684595726,0.299317513039902
11775,"heavy",2000,0.966395239379594,0.560251877541941,0.274047223814231,0.967626863384843,0.557026115389945,0.273794078954039,0.967867607845222,0.560446301324031,0.271976393383889
11776,"heavy",2000,NA,NA,NA,0.933189329033302,0.713707985557993,0.202675194036532,0.934128695220556,0.707947631343817,0.200889635263909
11777,"heavy",2000,0.975235656253104,0.604377115767824,0.224300842410059,0.975513777475947,0.606769232645609,0.223306112628935,0.974524508547998,0.610911117419647,0.221971272327908
11778,"heavy",2000,0.981181286175683,0.610752021881293,0.231610032935537,0.978062430946664,0.61169372248047,0.231944429776081,0.981252569624716,0.610795150012629,0.228559527642502
11779,"heavy",2000,1.00286990835147,0.612965714798703,0.267706057024339,1.00385298311471,0.613116645998202,0.267858511201706,1.00365488910813,0.612596432799806,0.265748389870968
11780,"heavy",2000,NA,NA,NA,0.945931302051046,0.589255080931368,0.293742786940449,0.950341070553309,0.584375487045003,0.285516386211991
11781,"heavy",2000,NA,NA,NA,1.02092628955949,0.396961469561683,0.289474308853792,1.02010941343924,0.393357236216882,0.291208516717284
11782,"heavy",2000,NA,NA,NA,0.963851491634226,0.606074427093675,0.293283636359457,0.963090586946616,0.603086501553389,0.295595265716885
11783,"heavy",2000,NA,NA,NA,0.97149893602889,0.607520985616844,0.282608990644133,0.971877234330089,0.604648850755094,0.284549721393779
11784,"heavy",2000,NA,NA,NA,0.981763628441631,0.660509342889658,0.200557075534049,0.978896647714494,0.666278972351335,0.197999766027986
11785,"heavy",2000,0.908429044365073,0.662267884469664,0.327149271848059,0.910032967940544,0.656771591047554,0.330005687009834,0.908294811555444,0.669693475654222,0.322485733668012
11786,"heavy",2000,NA,NA,NA,0.967924785391768,0.517984504529288,0.292874653158205,0.970141062312479,0.513247502380045,0.291691947120941
11787,"heavy",2000,NA,NA,NA,0.976491417899923,0.627324105705056,0.249170128169153,0.978787569048356,0.622322139427805,0.250104348778101
11788,"heavy",2000,NA,NA,NA,0.983066109925181,0.595641517947852,0.237699590196056,0.983731450625481,0.592894861435744,0.236930546485736
11789,"heavy",2000,0.985716968970259,0.575713754015337,0.288045846206092,0.986576122401352,0.580186954222924,0.284546575992452,0.98553468090151,0.58310540222979,0.282612448472842
11790,"heavy",2000,NA,NA,NA,1.02586833164607,0.522287650750572,0.228999043874279,1.02608155501327,0.520258168602001,0.229127238471424
11791,"heavy",2000,NA,NA,NA,0.955529453206596,0.664393514962547,0.30301055142584,0.957987719800179,0.65694776878137,0.304690597467027
11792,"heavy",2000,NA,NA,NA,0.988098940933658,0.554553272345776,0.23401239844464,0.989742984264719,0.545288309436906,0.235676720681434
11793,"heavy",2000,0.9628381716676,0.658132982924922,0.279434611792145,0.965007372340895,0.659383287280051,0.278130034643722,0.961458888583511,0.661953166327792,0.278648592911444
11794,"heavy",2000,NA,NA,NA,0.952088048205474,0.718293967000973,0.258966261172826,0.951789078083052,0.722562430399684,0.25495373320582
11795,"heavy",2000,NA,NA,NA,0.975959449665482,0.57874485034139,0.285474959271188,0.976536905150423,0.578689116565675,0.282541182638992
11796,"heavy",2000,0.945846037843919,0.528012004906688,0.324351431412686,0.945080514322566,0.529230386529646,0.324008459622444,0.944172721300593,0.530723876349638,0.325435332602447
11797,"heavy",2000,0.980130343143643,0.48590819829604,0.276901594429264,0.980253635386268,0.480757340232888,0.277438067965892,0.981001246097013,0.482178462717519,0.278187718672243
11798,"heavy",2000,NA,NA,NA,0.88526526463184,0.721778535307133,0.29147191268953,0.882146902166836,0.726260708594362,0.290688480892184
11799,"heavy",2000,NA,NA,NA,1.04842730670925,0.565902855225178,0.241557023578763,1.04634292272874,0.564772254598826,0.24068127556204
11800,"heavy",2000,0.898752619312305,0.714499151016237,0.299946899590752,0.897712474287724,0.72074598774909,0.296565923176397,0.896712055390848,0.716818403053294,0.299568387423368
11801,"heavy",2000,NA,NA,NA,0.981942332808199,0.607501709499187,0.243767629452264,0.981444060760745,0.608958361369019,0.242642647884486
11802,"heavy",2000,0.972223177689562,0.561062624269813,0.312301908108595,0.974584507304768,0.56382790843277,0.307991537816031,0.971672900137171,0.562515101706344,0.313032739380075
11803,"heavy",2000,NA,NA,NA,0.929536184645741,0.511679787010479,0.389755475817079,0.930203627958472,0.512816781706334,0.389406595488293
11804,"heavy",2000,1.00244690492952,0.451692773649236,0.326711937555763,1.00170909294869,0.451570883289493,0.328130656503426,1.00242241101467,0.451182578674197,0.326960258663227
11805,"heavy",2000,NA,NA,NA,0.913230982226106,0.683592186838447,0.358111075382113,0.91489770794151,0.679827914393416,0.359748456619711
11806,"heavy",2000,NA,NA,NA,1.02756670879529,0.479969059055441,0.258374714221045,1.03119445454563,0.466159853017123,0.257456119946358
11807,"heavy",2000,NA,NA,NA,0.947932470037766,0.640625804448584,0.258929498169148,0.950214896772305,0.631473235541518,0.255313709885434
11808,"heavy",2000,0.964283631867366,0.702962918867559,0.203619485644061,0.969049960380396,0.696645511142697,0.201562045128627,0.969073333238904,0.697126596104831,0.201108347490208
11809,"heavy",2000,NA,NA,NA,0.989493997818239,0.498675410564174,0.302364269301643,0.989516468619134,0.483399003554453,0.303534095039509
11810,"heavy",2000,NA,NA,NA,0.962051696318566,0.450835289850082,0.322923330134074,0.964615798944069,0.443676396601548,0.323956670441247
11811,"heavy",2000,NA,NA,NA,0.992928705638146,0.585690804362096,0.255050395077061,0.991603687989531,0.588768189949633,0.255274310902895
11812,"heavy",2000,NA,NA,NA,0.973327889958736,0.581864610320302,0.307601839255122,0.973841060090657,0.580697127317832,0.309338313920406
11813,"heavy",2000,NA,NA,NA,1.03270052199164,0.578434255683609,0.196761304809666,1.03482761043412,0.569888944556169,0.195270996517861
11814,"heavy",2000,NA,NA,NA,1.00719594309512,0.657368798326508,0.185334615817213,1.00379115950586,0.656430470922307,0.188883321295925
11815,"heavy",2000,1.05802342626684,0.621723239644732,0.175303392871565,1.05998283107293,0.625004963861513,0.171387661496591,1.05755293853218,0.624966249849036,0.172459458086767
11816,"heavy",2000,NA,NA,NA,0.982657978135189,0.477597790943826,0.296334863736599,0.984119379656437,0.477001209755532,0.292183757876256
11817,"heavy",2000,NA,NA,NA,0.90266913645109,0.665831949114192,0.322950432085744,0.902590230925702,0.666318125992948,0.322845225834276
11818,"heavy",2000,NA,NA,NA,0.964177031102145,0.688793052449215,0.246831575230374,0.963556655932416,0.686523888139164,0.248164733435099
11819,"heavy",2000,0.921134821274833,0.584401644369035,0.355166398523996,0.921391640552667,0.588346294363695,0.352101621422159,0.921476253180933,0.590407421635664,0.349825707101403
11820,"heavy",2000,NA,NA,NA,0.977768991259976,0.4696522775298,0.288461548251554,0.981399181039758,0.461907545459111,0.283795935200404
11821,"heavy",2000,NA,NA,NA,0.97432723764039,0.614706359730561,0.261230790578359,0.973743753453811,0.61852951162422,0.257746814205648
11822,"heavy",2000,NA,NA,NA,0.993980798599739,0.639065561406717,0.2541383482909,0.992238190021502,0.632956344960578,0.255865497781894
