"sim","censoring","n","perc_censored","alpha_d","beta_d","gamma_d","alpha_e","beta_e","gamma_e","alpha_w","beta_w","gamma_w"
"114-1","extra_heavy",100,0.76,1.17197235540751,4.23379353688699,-0.120324599139434,1.21452283586354,1.29772269131065,-0.0896295861373856,1.21488638627956,0.0657475919518368,-0.0310752549484026
"114-2","extra_heavy",100,0.75,1.03023902118753,0.353015885373072,-0.00132260378181485,1.20741853456775,-0.657807049126796,-0.0911049839076431,1.3477838712798,-0.338293081561149,-0.239692494260403
"114-3","extra_heavy",100,0.79,0.767440216384862,6.55029624421599,0.523979418117026,0.787059584502665,2.03800632508779,0.586809185632192,0.855307067699413,0.00438902030395653,0.707208815441855
"114-4","extra_heavy",100,0.77,0.97398026406203,1.86037206275603,0.356850586810104,0.814877180246069,1.84535045970432,0.32748275120976,0.826140113733505,0.0471825952464756,0.236274680081829
"114-5","extra_heavy",100,0.72,0.912924126104908,0.121328108018715,0.712493811574242,0.837322298418142,0.999048688444492,0.658582033286601,0.869056839792481,0.147725395858341,0.514199326910125
"114-6","extra_heavy",100,0.81,1.03361089712695,1.78244966821641,0.057673847930964,1.16067944889103,0.128348646287771,0.0486349366035731,1.24242743416355,-0.00817333834909663,-0.0170427447265635
"114-7","extra_heavy",100,0.76,1.026149068734,2.17640537338841,0.339454336328175,0.96568086497378,1.57815148579182,0.388132774521119,0.956516823553761,0.402706338619199,0.45192380869457
"114-8","extra_heavy",100,0.76,1.02927091258949,0.54030669111204,0.483537807318332,1.03728958399121,0.199168378599565,0.485676755252922,1.01668889734682,0.026983895522018,0.502408285523788
"114-9","extra_heavy",100,0.71,1.17624523138515,1.76164967236836,0.246678560325187,1.15052891221808,1.43310733565637,0.179505724757166,1.20545464119003,0.385376994788268,0.0892335265545802
"114-10","extra_heavy",100,0.79,0.576293785800783,7.6232987130211,0.279582139353644,0.642513029052002,3.03171730305668,0.340654011115536,0.683110572430813,0.347053300471755,0.420999675572663
"114-11","extra_heavy",100,0.77,1.06830650835623,-0.726918852191136,0.372475356936859,0.972179693615765,0.284206963421628,0.351019835625075,0.942674409219158,0.135479814848139,0.273340911801763
"114-12","extra_heavy",100,0.76,0.868454922408681,2.11961350957309,0.450706226214317,0.908000061705105,1.60659381622493,0.441987263681382,0.937068833014049,1.27074529970134,0.436308835863008
"114-13","extra_heavy",100,0.73,0.767503687210117,4.05830946565427,0.521535286256508,0.847082109201216,2.48965300406478,0.479118939400302,0.971757777909294,0.775978000953828,0.449044288945287
"114-14","extra_heavy",100,0.78,1.04233985671329,3.77401974905766,0.19389354338243,1.19856316207415,0.853667701032068,0.197744475886642,1.2455427471235,0.13578680901913,0.205205625066155
"114-15","extra_heavy",100,0.81,1.35223053528647,-2.37019551223163,0.350928118559199,1.09609787123861,-0.205277615886659,0.379149046494313,0.912532656903037,0.0436937228064851,0.517566236220676
"114-16","extra_heavy",100,0.82,1.31504728949415,-1.10079294030621,0.129680614502222,1.21528258185908,0.182682314563586,0.119413695672448,1.18196319584359,0.00156118068696512,0.0339158887000996
"114-17","extra_heavy",100,0.77,0.910155345204191,6.11615799905239,0.0638377504102191,0.966482350672037,2.7802292314945,0.0588271769794962,1.03621108245941,0.344465051466058,0.0343986648091478
"114-18","extra_heavy",100,0.78,0.745095563934588,2.61208865397288,0.330050165493046,0.753392036599218,2.27934434619779,0.324896277924964,0.760974113611205,2.03055072937485,0.321118771417154
"114-19","extra_heavy",100,0.8,1.09286962567882,2.96849421325313,0.133725591714575,1.01516659745068,2.2901691062477,0.189461609960257,0.987676686126369,0.880548780074007,0.273825978650895
"114-20","extra_heavy",100,0.76,1.10954734470379,3.34528033072121,-0.128173926723119,0.839710501215983,1.98245868188425,0.16608788272263,0.773091773148014,0.0710794354390936,0.412444093122301
"114-21","extra_heavy",100,0.79,0.532622714048172,5.50531798143393,-0.0281374108344411,0.581594573931434,2.31424462192423,-0.0171879545986175,0.649532060316463,0.353841413625035,0.0152294140110868
"114-22","extra_heavy",100,0.73,1.04825143150526,0.903286313994135,0.50708576379274,1.0352601416845,0.716283765638081,0.500573549271328,1.04054542890135,0.323035134852733,0.490821514836482
"114-23","extra_heavy",100,0.79,0.74738910800679,2.85625837845835,0.283297898937589,0.787013223116307,1.43254081380671,0.11480884847113,0.892794673404625,0.297849191840257,-0.067433559337583
"114-24","extra_heavy",100,0.83,0.721198834080372,3.3021196603753,0.287216706567397,0.801155039121909,1.09082356482265,0.311879089565795,0.808117399887248,0.267182376031348,0.332413188902422
"114-25","extra_heavy",100,0.88,1.1359095910423,-0.819275145439935,0.297897100944548,1.01581955039981,0.182473503368906,0.265434132785536,0.975805614807701,0.138852687721687,0.156378898561577
"114-26","extra_heavy",100,0.78,1.07734049869214,-0.166659189775056,0.179882950403326,1.05998425161992,0.0968588582683305,0.169618308076904,1.06362908053072,0.00228157283844275,0.122200203397512
"114-27","extra_heavy",100,0.81,1.26916618866293,-1.538629460222,0.253376399562694,1.29926129882736,-0.778770144053581,0.245457535451146,1.30940191484768,-0.029705344454134,0.234965495646776
"114-28","extra_heavy",100,0.76,0.74014821986489,3.65376188508404,0.144555864913239,0.793548288960339,1.34467461304983,0.163025058688153,0.8155558324505,0.154547295383059,0.191948763442364
"114-29","extra_heavy",100,0.78,0.928693617424167,1.84038572404377,0.369222203486759,0.967852365811756,0.757155925073741,0.36443804823931,0.998510056261875,0.251517203367363,0.362508928021571
"114-30","extra_heavy",100,0.79,0.497069227049822,7.1797174434823,0.0874406797991065,0.577934660943644,3.64774428959768,0.0526204778788434,0.670239545728567,1.29448190182553,0.0244992073521893
"114-31","extra_heavy",100,0.76,0.102128393155171,14.3316751939108,0.422266120362166,0.390940724938275,5.02696782765593,0.474738417955183,0.569698040094089,0.48171696687664,0.550829273259598
"114-32","extra_heavy",100,0.65,0.954613422165782,0.359244213291387,0.291548974947009,0.897952940917334,1.0101021247386,0.284283458789783,0.86635803303142,0.764698997654439,0.26277879791904
"114-33","extra_heavy",100,0.78,1.3450884848554,-0.251646979662779,0.0959943743532484,1.30267742408163,-0.0294878170010248,0.104159847697321,1.29469690529481,0.00475284241294397,0.106461579559344
"114-34","extra_heavy",100,0.74,0.484933948681113,2.28688702393631,0.963593061219825,0.480739106495952,1.89907633015707,0.963300230836033,0.484952435949286,1.57832807238964,0.962882157218311
"114-35","extra_heavy",100,0.75,1.20908833530629,-1.69410820596207,0.254953368811908,1.20381018751688,-1.55403329725059,0.256033350414362,1.2001888211006,-1.46266473349178,0.25676204250575
"114-36","extra_heavy",100,0.77,0.95196169403394,2.02394154647746,0.246968410802868,1.00941130548064,1.27902973310637,0.226531988224407,1.08290722723838,0.397910370914891,0.238478642310438
"114-37","extra_heavy",100,0.77,0.96826228475526,2.40860754902815,0.345407761392403,0.989491773386046,1.48109691408643,0.32932048301024,1.03590901127892,0.59026073915468,0.307664739784726
"114-38","extra_heavy",100,0.84,0.421946605946172,7.72331903322116,0.290640991558986,0.397212198448039,3.5065256797859,0.223530180125884,0.546621548233793,0.168134643353571,0.0850359438752224
"114-39","extra_heavy",100,0.73,0.978530412060473,1.78939842359989,0.358737197813814,0.992214882830133,1.23879737400463,0.345199862274119,1.01024202097641,0.786292723273659,0.33132433128856
"114-40","extra_heavy",100,0.74,1.25340071134537,-1.4948975783579,0.305890334106035,1.24437959561839,-1.2526560751689,0.327969587624257,1.22646011961695,-0.9453263678239,0.353103411513781
"114-41","extra_heavy",100,0.82,0.631460472462326,0.905882498744362,0.765219649472232,0.606640574262375,0.698410597277591,0.597659170550973,0.655791933489299,0.188306392115895,0.388714013488585
"114-42","extra_heavy",100,0.8,0.543270076712929,5.05091858701086,0.446593152761826,0.510339221525844,4.37854573976927,0.520722024541168,0.487597794744048,3.49390724940726,0.612092215300758
"114-43","extra_heavy",100,0.74,0.901138929712812,2.5567808788015,0.341733696278582,1.0075248882587,0.98378095483026,0.269608972775212,1.08664503998483,0.165452249290788,0.300301279013635
"114-44","extra_heavy",100,0.72,0.912499643043368,5.54130466677422,-0.112206199282341,0.869090138043542,2.01654250421498,0.05414538354264,1.01703448028169,0.0849891224904605,0.102990550801229
"114-45","extra_heavy",100,0.75,1.21932548143538,0.906759982010824,0.138919755121406,1.18930938710699,0.871226390899763,0.131199939028795,1.19047080908886,0.383775889766225,0.117605734011374
"114-46","extra_heavy",100,0.76,0.975885759027067,1.0868031274899,0.353946104509006,0.85305876811776,1.29927653086329,0.431149037286114,0.800831037241586,0.550504761580327,0.525669082155542
"114-47","extra_heavy",100,0.78,1.35638295669151,-1.84123084112136,0.0959874610687731,1.31748028003916,-0.514848691462117,0.106056840793744,1.26281481629144,-0.00185725725272964,0.108340017545566
"114-48","extra_heavy",100,0.8,0.952770807409382,1.05762830974793,0.459471172644698,0.791969756169117,1.26886751332665,0.538024636017855,0.678328067970064,0.0402768167160916,0.727666843888156
"114-49","extra_heavy",100,0.81,0.90756602535769,3.11795328602115,0.0896329510877056,0.879922805956162,1.56980950872445,0.123410250756966,0.877859609931611,0.255981588496481,0.173509226186292
"114-50","extra_heavy",100,0.81,0.339828441047633,5.66106564922152,0.0734183638387171,0.337794658793412,5.53530024221794,0.00850110180897878,0.356220744092542,5.18640756186547,-0.0930616421884342
"115-1","extra_heavy",100,0.78,1.43128085464886,-0.946495375651618,0.215574300777898,1.35690780802233,0.0405848213346904,0.210805782898485,1.32623325302914,0.0127308679784844,0.177282931811107
"115-2","extra_heavy",100,0.71,0.437033226513471,6.99280932372731,0.325456419419815,0.461609315912763,4.89363699891009,0.374958011815727,0.542014454657687,2.4152971252073,0.424194999242122
