"sim","censoring","n","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_aq","beta_aq","gamma_aq","se_alpha_aq","se_beta_aq","se_gamma_aq","alpha_tr","beta_tr","gamma_tr","se_alpha_tr","se_beta_tr","se_gamma_tr"
"11425-1","heavy",1000,0.482,1.03543986099824,0.487974732692957,0.188269902215802,1.02107368869872,0.586647169192801,0.219328816313807,0.0552109666690362,0.115477695938256,0.0724770364094542,1.01848595173342,0.599089496733139,0.225618778783309,0.0557867223113866,0.120239105564804,0.0722332028869914
"11425-2","heavy",1000,0.46,0.995442751605202,0.41729335041284,0.337851589260286,0.954414295572742,0.567691342285574,0.320600183622231,0.0553661132795718,0.101107266603475,0.0691803696783947,0.945249979679622,0.613735931044117,0.328622345694559,0.056247177995255,0.109348688656655,0.0687932166827617
"11425-3","heavy",1000,0.479,0.999278301835669,0.505629526226928,0.242400368224275,1.0089330537012,0.495269655854406,0.292264365045962,0.0557523189941749,0.102855532253048,0.070187201059948,1.00616934885956,0.509359658404275,0.298157837960013,0.0563058311796713,0.107094562124371,0.0699176028955625
"11425-4","heavy",1000,0.499,1.05619402074391,0.530737987096472,0.209939433072348,1.04662333646006,0.593801822525631,0.236755197364147,0.0557892388069998,0.0950177255768663,0.0708062075331542,1.04068104301674,0.614619439983899,0.247126332615272,0.0566700642060917,0.100393006714207,0.0704645286737202
"11425-5","heavy",1000,0.479,1.0337591387432,0.439193445388633,0.306163349799828,0.999970180627305,0.61188597733254,0.261201696003088,0.0505273631153777,0.0902227725309891,0.0697404342489154,0.987239141591125,0.665950899812791,0.266548767791127,0.0513539503563336,0.0977963384207517,0.0693756882883843
"11425-6","heavy",1000,0.519,1.01053572651735,0.560922497626148,0.24557165263402,1.00211430127466,0.502776031884584,0.264726812853093,0.054089892326156,0.0734263202190202,0.0679300324643533,0.973822074165469,0.615703431183684,0.288352449839709,0.0562437501750239,0.0896782917688578,0.0669360711843715
"11425-7","heavy",1000,0.495,0.979569891558433,0.564691121576555,0.270270807103736,0.99653041470538,0.436140300801925,0.27048254576509,0.0525575722524765,0.070231521310032,0.069080528651767,0.978095168233925,0.500644211978835,0.286248591334608,0.0539146534413474,0.0799540036216332,0.0682422273707254
"11425-8","heavy",1000,0.482,0.972857933992742,0.577744502301042,0.229680390227894,0.964191455598514,0.595820116746989,0.241124507996121,0.0545817685381897,0.0916859414264243,0.0673603465303965,0.945029010705413,0.679696588004343,0.255916980915811,0.0562684048744776,0.104878473621269,0.0667674836948185
"11425-9","heavy",1000,0.495,1.03823854110818,0.435559447561217,0.218632596155913,1.06166167975987,0.377725734975571,0.275398078299533,0.0537131930815804,0.105698217617653,0.0677559530274469,1.05874047111387,0.396274494854054,0.285658680959917,0.0552106504960674,0.117842005927121,0.0672762692502053
"11425-10","heavy",1000,0.452,0.984424168232466,0.483895982785555,0.166840309980826,0.982296298037938,0.516838212736677,0.152919084482972,0.0487819586955305,0.0872603055651802,0.0664869977698671,0.967876000579246,0.591903730765678,0.170567585743139,0.0503775962094234,0.103256325216646,0.0657695491987601
"11425-11","heavy",1000,0.485,1.03297540016099,0.508303297315217,0.236851600522425,1.05904882418664,0.403351435327188,0.201074066738879,0.0519856733049216,0.0735082319409504,0.0738400582788835,1.03458013559728,0.497114977634034,0.215468284607793,0.0539049398816153,0.0892052879601266,0.0726663532328709
"11425-12","heavy",1000,0.473,1.01166371142622,0.466490914237609,0.202979122028007,1.01044774390256,0.400534330357988,0.146319682086965,0.0481596749158913,0.0581340339047697,0.073576790407446,0.96392799566295,0.597183583231242,0.192540406998695,0.051353970180993,0.0876337477964316,0.0709660349199362
"11425-13","heavy",1000,0.477,0.891036997317888,0.530475321060756,0.383182774022372,0.888922552540842,0.581525246680131,0.406247545551868,0.0554072504070847,0.105259154938353,0.072992734499166,0.869909851389581,0.671642008246135,0.426274564293148,0.0575341233378767,0.123343503221247,0.071910329017068
"11425-14","heavy",1000,0.494,1.02389743588096,0.509485619986289,0.0926430869065138,1.06937617344729,0.369634429537224,0.134598106945229,0.0542180854177001,0.0989733516232373,0.0716311696229984,1.05744760150011,0.421395981596125,0.144103587797853,0.0558860643847051,0.112431752418428,0.0707248571592823
"11425-15","heavy",1000,0.463,1.03986275881874,0.486246735178188,0.215819995042741,1.03651055595835,0.480392276300639,0.23608311327542,0.0519477874766131,0.0859600771545149,0.068392371128208,1.01347343796537,0.584737799373294,0.250817816392008,0.0538790670528176,0.103576516931244,0.0675083289755929
"11425-16","heavy",1000,0.478,1.00196560131689,0.439443359594724,0.238417345724413,0.979773785672429,0.543323374213097,0.250015236342048,0.0542929059506115,0.107127816134696,0.0668782507780664,0.970977764890668,0.582530143490942,0.255907102645691,0.0551567565489894,0.114294051026725,0.0665009400184307
"11425-17","heavy",1000,0.466,0.91721986045608,0.49349769117159,0.28470844716599,0.901460471835774,0.613896870852711,0.266706382847902,0.0548065832388998,0.105878554075476,0.0701631270118601,0.891671910346265,0.666799027930791,0.281046011280511,0.056221825899777,0.118252455610797,0.0696411204454467
"11425-18","heavy",1000,0.491,0.983982818982773,0.491357927336025,0.305821827373184,1.00563738079098,0.443645762722639,0.323629132413669,0.0534055779276255,0.097266053944465,0.0699800321243025,0.995274595657347,0.492635181223597,0.338550698197493,0.055124735416572,0.110859262852136,0.0690889756753728
