"sim","censoring","n","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_aq","beta_aq","gamma_aq","se_alpha_aq","se_beta_aq","se_gamma_aq","alpha_tr","beta_tr","gamma_tr","se_alpha_tr","se_beta_tr","se_gamma_tr"
"11424-1","light",2000,0.1585,1.01952173339367,0.452923165824256,0.283299454723846,1.03043751151834,0.418890689881489,0.281977033167528,0.0345225108154567,0.0416495304929791,0.0470985670286624,1.02185999120461,0.450234164112664,0.279566181232026,0.0347598435320108,0.0443091875968223,0.0471059874829407
"11424-2","light",2000,0.1725,0.998628086142877,0.48806831958491,0.271041230647391,1.00037372779114,0.477142011977186,0.272803886924599,0.0344350875439983,0.0381975304920431,0.0471037184760315,0.987379746375733,0.520379615418515,0.270004825127555,0.0347323164604131,0.0412297158501863,0.0470951635340388
"11424-3","light",2000,0.168,0.978421187875759,0.52335762791957,0.280320463028209,0.98119208356519,0.51920572991132,0.271437142750976,0.0341770900220283,0.0387091266812429,0.0469686103985506,0.977753538859556,0.531760110215416,0.272850965358488,0.0342763719808194,0.0397319482369947,0.0469552620396311
"11424-4","light",2000,0.168,0.971350487166105,0.518215552737028,0.269523336529916,0.996036447300375,0.434569531489516,0.28070852516594,0.0338565901868175,0.040545573630079,0.0474136910517757,0.992878221854807,0.446229435946998,0.281131534280976,0.0339600621188831,0.0416409454256,0.0474035609319318
"11424-5","light",2000,0.1755,1.00263910833272,0.53178467590489,0.210608357929273,1.01732575603291,0.472032476769234,0.229268166729191,0.0348775276906109,0.0391085092643772,0.0486263877533254,0.9990383541639,0.535802733551401,0.223348437243119,0.0352212850282213,0.0431963000477398,0.0485708913542808
"11424-6","light",2000,0.1575,0.971831200780701,0.514877553903632,0.318055305353346,0.980485840550344,0.47892428399244,0.315894470888245,0.0336152886499014,0.0402070726812537,0.0458231506937445,0.975973347617647,0.49495520513824,0.316062565537679,0.0337425042602653,0.0414926648760656,0.0458110012651589
"11424-7","light",2000,0.168,1.02019858855544,0.500644403208517,0.162269817138864,1.03483332898234,0.452362342809015,0.159690436043988,0.0339383066417164,0.0384642469979654,0.0474095873138175,1.02741012942396,0.478022042252579,0.160785376733921,0.034143079015444,0.0405295741766356,0.0473659198273446
"11424-8","light",2000,0.158,1.01180318870489,0.519090673549453,0.222006561435158,1.01410677011602,0.51564741288313,0.229950023877662,0.0345381262988473,0.0467933322629409,0.0464592180592349,1.00870212140947,0.535009379707733,0.230649728566272,0.034721035456858,0.0484510238631941,0.0464334173632332
"11424-9","light",2000,0.1635,1.02349665109755,0.448477300951758,0.249844610675943,1.04207397221353,0.380034852412814,0.244468067904699,0.0340686104942912,0.0317455939907491,0.0474192755939258,1.02375590087125,0.443685549720234,0.234139419257282,0.0343104880738353,0.0356789521208865,0.0474000003213845
"11424-10","light",2000,0.166,0.963691716046284,0.551352740176935,0.269521549035252,0.983493690280633,0.477596974212908,0.284622623555353,0.0345539826955058,0.03979118712105,0.0474775144983339,0.971393355859367,0.517049009834694,0.281817368753412,0.0348334937935536,0.0424949773445569,0.0474533094112869
"11424-11","light",2000,0.153,1.01680358776778,0.46454823485335,0.295884865946393,1.0232790095975,0.45250511779779,0.308730348166531,0.0358230353725491,0.0434500735138882,0.048299288450429,1.02113745992192,0.460371624765793,0.309475399652685,0.03590946300779,0.0443166722786058,0.0482945416116663
"11424-12","light",2000,0.156,0.991982663975415,0.43798539816698,0.270053240850052,0.993572493053245,0.431726299798971,0.257632676237103,0.0337355241687074,0.0400604632062958,0.0460452163148465,0.987476143672097,0.452602828448954,0.256684806021966,0.0339146302044433,0.0418157761596306,0.0460443249314079
"11424-13","light",2000,0.164,0.993463382736074,0.477347501789365,0.294619847194617,0.99902134591844,0.467000326683724,0.308270542634403,0.0336873270952577,0.0440788228431799,0.0471536898654778,0.996568775838541,0.475831809076151,0.305387015754784,0.0337238313549827,0.0445617909744008,0.04718372399129
"11424-14","light",2000,0.1705,1.00034247489786,0.551421296395851,0.201738153142225,0.995082539881645,0.566715708124489,0.199066371843795,0.0356085723288387,0.0421508085135556,0.0481866996580171,0.991561946673122,0.579515807981434,0.199555836712797,0.0357012116073181,0.0430923590285426,0.0481754594820649
"11424-15","light",2000,0.165,0.971794690889672,0.540760375815431,0.274927013073471,0.989434334663879,0.490997240076083,0.287306897572622,0.0342914486661089,0.0429743577213196,0.048067798068614,0.983214144186773,0.512961757186867,0.288392837068574,0.0345342182721729,0.0451400876042692,0.0480755572480011
"11424-16","light",2000,0.1735,1.02396790787669,0.44526150908482,0.289389429431743,1.02626176947596,0.433956477091853,0.277007333814853,0.0336788924759442,0.0360287680795358,0.0469164561395778,1.01912553349459,0.457380525299881,0.277057524862378,0.0338540554815059,0.03777396699996,0.0468835265496462
"11424-17","light",2000,0.1635,0.993322002502886,0.477258157022624,0.186043247607208,0.993700214259597,0.471031467269267,0.195180046792589,0.0344448901070737,0.0415941228692963,0.046123929215885,0.99213924567021,0.476995560341915,0.196896982780527,0.034572164516624,0.0426256863249674,0.0461503123975248
"11424-18","light",2000,0.161,1.02728555100626,0.510461563167816,0.174163163863505,1.02744307757645,0.523707152351761,0.153277760634065,0.0332782709569361,0.0416252754163249,0.0465548554457737,1.02174249719712,0.545193151330147,0.154631432169821,0.0334480950347792,0.0433636381203108,0.0465301398566055
"11424-19","light",2000,0.1575,0.976950740413277,0.53282963929941,0.199794123419131,0.98113007770997,0.501969316166284,0.196150292789223,0.0325718382648148,0.0352638832486816,0.0450707740904066,0.969110976709711,0.542053219083325,0.197296770670578,0.0329103049591008,0.0382993241790186,0.0450883842063572
"11424-20","light",2000,0.1705,0.969022023320717,0.545889227066557,0.231734731080811,0.983355440903599,0.497880978627292,0.247217252934222,0.0353342109158095,0.0441678965136753,0.0482436591158484,0.976526531380527,0.52128923749876,0.246781854577268,0.0355445511048281,0.0460971341203692,0.0482343288335238
