"sim","censoring","n","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_aq","beta_aq","gamma_aq","se_alpha_aq","se_beta_aq","se_gamma_aq","alpha_tr","beta_tr","gamma_tr","se_alpha_tr","se_beta_tr","se_gamma_tr"
"11425-1","heavy",100,0.53,0.790457723196543,0.446908712707141,0.560359213038276,0.862675872411715,0.184831500205495,0.703513256605657,0.279315867833379,0.654467201609732,0.30232441356852,0.873363999955751,0.131473799184858,0.720811447344935,0.290262105710325,0.759286799435792,0.29978660543956
"11425-2","heavy",100,0.51,1.10840718714509,0.409971224673394,0.0404757133810815,1.22207430015903,0.106166265939999,0.0918713712025346,0.258536478711086,0.655436142203788,0.271737147161995,1.24337636709467,0.0565803979352937,0.0808749006651857,0.262621914461024,0.723833732758243,0.273535864487483
"11425-3","heavy",100,0.51,1.20546618892915,0.0526445114803105,0.0497236291525886,1.20363076165253,0.135729453091133,0.0243423544732616,0.269000865947534,0.728401994205274,0.319694671785833,1.20790775644613,0.112672303629512,0.0407731717655623,0.2712092808277,0.791513411458439,0.323494254630852
"11425-4","heavy",100,0.54,1.04356225094332,0.162485020086437,0.436167666689275,1.16391747058169,-0.226278468471137,0.486626241169117,0.2970831194503,0.516634000191744,0.360897538881143,1.1974027826068,-0.39464532394561,0.491436572316079,0.313964436199675,0.682895856875876,0.348566480040651
"11425-5","heavy",100,0.51,0.939717460347109,0.514998129483176,0.328444930272242,0.855259862622726,1.0755841817873,0.223155048828499,0.238803977211911,0.558926385099873,0.313380043918011,0.734524582226966,1.76361988652079,0.232926025178147,0.253399228734148,0.78308986625188,0.300984464949958
"11425-6","heavy",100,0.47,1.1850935774449,0.460096341446679,0.00352660209733736,1.07252927887701,0.674137538528366,-0.192722878847662,0.248211705333922,0.268666823027057,0.333372741956053,1.02916823342052,0.873117816752392,-0.159337068971239,0.259290413105314,0.350801376142386,0.321727040165431
"11425-7","heavy",100,0.51,0.933711236829555,0.359307837760151,0.493472362777636,0.997130193730814,0.176989698702329,0.489460250005344,0.191768127539438,0.240242557582915,0.286552991518914,0.968859128389402,0.276063670006945,0.484063674274457,0.201207151549034,0.344417720673441,0.28356490334352
"11425-8","heavy",100,0.55,0.857162168369977,0.703494877732407,0.34098874784501,0.873721257035073,0.626095072571934,0.440606402282516,0.259588129134384,0.574953395422552,0.300256848713578,0.859262096269746,0.682014626251014,0.455691380008358,0.264521507207958,0.624528205001381,0.291086919425397
"11425-9","heavy",100,0.61,0.96630959757827,0.578535372995915,0.0875862799959518,0.773993857233376,1.16709314627711,0.073381980464795,0.228239291634911,0.432386210905102,0.257761783924863,0.738367654491899,1.25114667440062,0.092607427330381,0.238892466524234,0.449565993265197,0.256522614605125
"11425-10","heavy",100,0.41,0.844872386814163,0.544782570354086,0.14185417087819,0.753952002555045,0.948340866565393,0.107008818679957,0.243985460710994,0.576987028058856,0.320250630208465,0.72713184494492,1.07642515932728,0.116384317656794,0.241792667214928,0.634907788222425,0.308788406019391
