"sim","censoring","n","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_aq","beta_aq","gamma_aq","se_alpha_aq","se_beta_aq","se_gamma_aq","alpha_tr","beta_tr","gamma_tr","se_alpha_tr","se_beta_tr","se_gamma_tr"
"11428-1","heavy",2000,0.3955,1.04397159825065,0.497801713214944,0.190438661909587,1.00198708493136,0.604127691270183,0.207995914455937,0.0554923529177358,0.106058910099469,0.0619060368530736,0.99704794243293,0.630565053584002,0.208416141765654,0.0552127102851264,0.11143388348176,0.0628254220051614
"11428-2","heavy",2000,0.428,1.01549881566334,0.512612287086292,0.196313058988413,1.00301445531104,0.52728494840155,0.220607649468382,0.0600369161457414,0.115789108344075,0.0643831143563405,1.00033846057452,0.563554139441276,0.21660372937457,0.0602639873684865,0.126538971682774,0.0634683502925003
"11428-3","heavy",2000,0.427,0.953660267589158,0.509978502475358,0.313476655489922,0.939077338432036,0.542631593786847,0.325778139532815,0.0559226350691894,0.112957461559411,0.0637561107554672,0.934150015161487,0.587400809297935,0.327187297949083,0.0569190362463943,0.123443214699224,0.0629632697459609
"11428-4","heavy",2000,0.431,1.04987318345892,0.543048244640268,0.22237749162947,1.03667947406657,0.626005655695393,0.229965200536865,0.058958605733352,0.142162662549151,0.0646726829041872,1.03368785067017,0.665037681664748,0.228304126538449,0.0602833676622436,0.154502424178564,0.0645670864500593
"11428-5","heavy",2000,0.4185,1.03388040950743,0.473745055101593,0.209304244063205,1.03884737117414,0.459227283922822,0.204320515058509,0.0557649617284315,0.117544036424039,0.0642368243317781,1.0374279267668,0.482439706243348,0.205537930564869,0.0558160122670267,0.122661748023801,0.0637644647634259
"11428-6","heavy",2000,0.418,1.00803035090845,0.537504578461188,0.260668972226164,1.0090477077539,0.592200389859021,0.233667593685502,0.0576256258950764,0.126016079987227,0.0672493533458553,1.00386263139223,0.623152503192858,0.233561485877112,0.0570810735531578,0.130761554715364,0.064675630307531
"11428-7","heavy",2000,0.4195,1.00647413748103,0.592284898843238,0.227880269066527,1.032430683832,0.456122645371664,0.237869974001807,0.0574071615217805,0.109513742082839,0.0651776056904496,1.02807166744877,0.505138363580599,0.234800455177214,0.0599015683975088,0.124810849219737,0.0666299961516271
"11428-8","heavy",2000,0.395,1.01490718995242,0.491425561788608,0.290340440402384,1.0621059661022,0.307006261552483,0.297173038507425,0.0551620378783762,0.101574208716279,0.0625556365451055,1.05880362713535,0.336142421588888,0.297107452207912,0.05487808126125,0.110456542587627,0.0629112775013123
"11428-9","heavy",2000,0.4175,1.00355992740838,0.482418640912503,0.243896660392867,1.0038669425208,0.479399671708807,0.254778198080625,0.0578357872755472,0.11841731051588,0.0629234706156716,1.00094504756114,0.508461634595253,0.252664430682344,0.0577212643426855,0.125217981457092,0.063458575415399
"11428-10","heavy",2000,0.4185,0.993915183026989,0.540640497340595,0.21235337076257,1.02839854725233,0.315908160825639,0.219665136434734,0.056371580126289,0.0771965819440139,0.065589211039989,1.01666142353859,0.399688598498246,0.219784893613643,0.0580850375769854,0.0985402499267889,0.06482684878675
