"sim","censoring","n","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_extrap","beta_extrap","gamma_extrap","se_alpha_extrap","se_beta_extrap","se_gamma_extrap","alpha_non_extrap","beta_non_extrap","gamma_non_extrap","se_alpha_non_extrap","se_beta_non_extrap","se_gamma_non_extrap"
"11434-1","heavy",2000,0.478,1.01067697342336,0.498173494641293,0.268346755120461,0.992239894401075,0.64401465608272,0.23325078404619,0.0504472199942256,0.115161961993542,0.0735624520252866,0.92734760372284,0.577775143942186,0.376853562759903,0.0561172162098437,0.0821320167299666,0.0642440235736193
"11434-2","heavy",2000,0.5,1.0079560649875,0.460229654670376,0.261341106887606,1.02092811536743,0.487987787816086,0.278684725955245,0.058966066697182,0.134706728113487,0.0724358552688478,0.972442088764246,0.477516925279871,0.378836053629193,0.0647942131638997,0.111402295721479,0.0774798575991112
"11434-3","heavy",2000,0.4805,1.04465158356188,0.512056373347427,0.235101430085225,1.04150991404152,0.554559020427803,0.264000112609847,0.0645380006601345,0.116452429777014,0.0644210087181542,0.991483566022501,0.543866698971535,0.368116581093135,0.0668554852604892,0.107082390465077,0.0624990067969868
"11434-4","heavy",2000,0.4755,0.981466418764921,0.551873930890247,0.216345297640825,0.983845020156784,0.50286699044746,0.255767839386559,0.0549905121007718,0.110820047871867,0.0695052798432914,0.937665159684344,0.555983680651132,0.327543458225717,0.0568843055841884,0.10259120915565,0.0694619408490244
"11434-5","heavy",2000,0.485,1.00659452065992,0.48210531266521,0.224776030559008,1.03379962532011,0.405449462069114,0.302510607826069,0.0615904880902535,0.123770649739213,0.0700304076304161,1.00904134646398,0.406342253345992,0.343490588392743,0.0680348330650227,0.128814766727895,0.0598725415457919
"11434-6","heavy",2000,0.474,0.967061488431708,0.47834047916007,0.26662382751013,0.967455665542255,0.462594689641583,0.268839457994152,0.0564243606577357,0.0862646433590413,0.061652273208688,0.89646637265586,0.458170408667092,0.426138322478623,0.0646214427392358,0.0889764835423425,0.0681555092699619
"11434-7","heavy",2000,0.499,0.990313446714126,0.508492868309338,0.225735933572125,0.964932949039069,0.59241054730894,0.20287918994334,0.0568925570723338,0.0949673837911818,0.0721930668377968,0.931178567638199,0.510383689569456,0.353259024079586,0.0610899710887282,0.113738004092951,0.0611631903121782
"11434-8","heavy",2000,0.488,0.986301969234462,0.524023844289587,0.255952275218926,0.976170504970682,0.524443680263141,0.290865345911405,0.0475450386664982,0.0967527527849754,0.0684690315073197,0.948021632060974,0.467815824690828,0.409446205667639,0.0541603768166102,0.0933958649084016,0.069851039423775
"11434-9","heavy",2000,0.491,0.967043607130636,0.572011991860698,0.258276900474868,0.94924681526447,0.601334595330783,0.275771802115244,0.0467449619918286,0.0986168229566189,0.0794548592324471,0.90638368759685,0.579966458523674,0.39076025457078,0.0673072039346182,0.124160748407328,0.0638456250138629
"11434-10","heavy",2000,0.5,0.992404235046329,0.559276031752311,0.182169570666709,0.979976549193386,0.612576612259185,0.186237044359414,0.0550746553000647,0.12362145650992,0.0615675895851254,0.943044908511794,0.582322389518613,0.293414890347815,0.0624713170365105,0.0958533592650266,0.0687587470210732
"11434-11","heavy",2000,0.4695,1.01943396242453,0.481333048992724,0.245998251374134,1.01992127730235,0.506239106908823,0.259334199489329,0.0565069780548686,0.0876522533722394,0.0784030984332625,0.959447977671786,0.489286688565285,0.389301633715447,0.06177715241078,0.112582539423302,0.0725747328603024
"11434-12","heavy",2000,0.469,1.0154777195837,0.527828562089816,0.224634582988641,1.00012516078059,0.627151690143177,0.193126197224901,0.0597059525817655,0.11232899226917,0.0750069155311445,0.941793578188487,0.608689046574176,0.322416993590042,0.0564571777663487,0.0978535917407846,0.0632701585116261
"11434-13","heavy",2000,0.473,0.982634879661181,0.546057182269101,0.280186873129843,0.985770287418209,0.4993397348164,0.300709031404944,0.0508347460717673,0.12136043600024,0.0727038669617278,0.978095536381103,0.388803484630972,0.429697962190269,0.0609160253262846,0.0944512159167357,0.0737249723631694
"11434-14","heavy",2000,0.481,0.99972475701561,0.482774924318049,0.237567377183395,1.00863540677129,0.484703933942459,0.275361306413041,0.0586992169293804,0.109681467147384,0.078560190766847,0.99696715447367,0.483613552625824,0.336308112704848,0.060456791184013,0.101175580843382,0.0729338928778265
"11434-15","heavy",2000,0.484,1.01463051839428,0.45679619948655,0.259552145419909,1.0167771113937,0.468670126816104,0.279811089747556,0.0527824516445207,0.111155331689632,0.0696436435215905,0.985314596886526,0.46418832759569,0.361985906645356,0.0511401520430446,0.100931008383713,0.0627045616367026
"11434-16","heavy",2000,0.4905,0.98793783998527,0.437672724835575,0.318638175955499,0.998363505478278,0.374004547808805,0.327816296685962,0.0566017947383326,0.109794695934764,0.0707387658117922,0.943062865086943,0.420795201005119,0.418679326227547,0.0499401957096736,0.0809519367405096,0.0593388991971459
"11434-17","heavy",2000,0.49,1.01570838859572,0.516045411265528,0.229220884670324,1.00290118781695,0.547935306938842,0.245113880268423,0.0505570995158524,0.0886217292345268,0.0721765066286192,0.988811146520219,0.501839977391331,0.349032781191879,0.0561241492542152,0.102850988927442,0.0744502055799554
"11434-18","heavy",2000,0.4755,0.984412601294122,0.504541361666098,0.308395644663075,0.961346838662437,0.636876813209933,0.316995342751691,0.0524732116277992,0.106126603950907,0.0599791447133246,0.915445468436299,0.647397632845975,0.41901067291067,0.0624945664605155,0.120367633568629,0.0665995893450629
"11434-19","heavy",2000,0.5015,1.00315659788697,0.566884907917366,0.173159625186465,1.018598375728,0.532022086401643,0.18256163035458,0.059879751924703,0.0991171952721996,0.0803769716949768,0.979467683643168,0.471982682253493,0.313911946550899,0.0594881449084203,0.094701949681685,0.0718126195635978
"11434-20","heavy",2000,0.49,0.978125136820931,0.54220640801687,0.219753589639264,0.947040574163987,0.659971927686987,0.21650938092352,0.0500449775223734,0.129967887383655,0.0622340859772866,0.928067674752066,0.573591051292034,0.332844881863112,0.0583564178163144,0.087923279220119,0.0791815481853449
"11434-21","heavy",2000,0.4855,0.976008938005632,0.502509328005283,0.300809253379806,1.00149611690633,0.414446167966702,0.306714276226733,0.0549177634297028,0.0885531265888432,0.0925277544196529,0.960434022659394,0.377957260877384,0.431865229357152,0.0664098912371687,0.0991832959699475,0.0684601635908776
"11434-22","heavy",2000,0.465,1.02473099062747,0.450533135689274,0.230091809785708,1.03704931096933,0.45022087518862,0.241925843158307,0.0491151594430601,0.116676407492606,0.0732813207880093,1.01804498262669,0.334070095722065,0.339277039960541,0.0517844980459742,0.0882533506414997,0.0653970395923877
"11434-23","heavy",2000,0.4745,1.01921763415183,0.538144101261502,0.22949078053868,1.02138964797809,0.565183204367696,0.242043451837994,0.0595003064997807,0.11362561272843,0.0716262009635753,0.975620695825066,0.584639054814091,0.338482286000874,0.0570558916498092,0.103856466307749,0.0615206872393853
"11434-24","heavy",2000,0.482,0.988895926770653,0.493265997156087,0.23617318978169,1.00005329587457,0.450133226640894,0.290960232452324,0.0502116336919733,0.121459685605617,0.0768083529929192,0.992684314746984,0.43084826381612,0.334783478610302,0.0595701733227774,0.105849531198347,0.0580757055107434
