"sim","censoring","n","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_extrap","beta_extrap","gamma_extrap","se_alpha_extrap","se_beta_extrap","se_gamma_extrap","alpha_extrap_no","beta_extrap_no","gamma_extrap_no","se_alpha_extrap_no","se_beta_extrap_no","se_gamma_extrap_no","time_extrap","time_extrap_no"
"11424-1","extra_heavy",2000,0.8055,1.01952173339367,0.452923165824256,0.283299454723846,0.990153766803867,0.826930637533306,0.216868254115045,0.0615108475966923,0.222242016904716,0.083864160296509,0.884135115660827,1.31967324987043,0.397335122439931,0.0831637164929137,0.354138906517921,0.0672433528338065,33.117,1.47899999999998
"11424-2","extra_heavy",2000,0.8115,0.974417700471771,0.46418321147724,0.273439113087262,0.979876104686124,0.485572183727001,0.198812058083879,0.0626461715544444,0.154596825274334,0.0955825167868577,0.859008268182972,1.27811201953132,0.397578797378566,0.0889454150965302,0.377195158158836,0.0692035983001728,22.389,1.50299999999999
"11424-3","extra_heavy",2000,0.804,0.980701279644772,0.490057560127108,0.237029914299549,1.02429591438921,0.657307712646343,0.269975128675986,0.0625945593857564,0.257891233889311,0.0759302145527739,0.953429242519975,0.88770022969426,0.364320919646847,0.0888906584445308,0.394524570885298,0.0669441046210231,43.409,1.49799999999999
"11424-4","extra_heavy",2000,0.81,0.993929773456093,0.479657178367905,0.26526893713879,0.956408684262796,0.74438099665826,0.169894453188744,0.0640579447169068,0.181967660295865,0.085750192809197,0.841303943978662,1.77946136633196,0.394884773464416,0.0900327356419682,0.457305185338687,0.0656177601377411,26.535,1.471
"11424-5","extra_heavy",2000,0.8275,1.05539304503187,0.505707853562278,0.186045078393116,1.06476123346017,0.370920227941953,0.197755906396365,0.068057551580843,0.12518754566192,0.0871445699078008,0.998390627822996,0.779864700468936,0.35437463502636,0.0884289078602495,0.282688929643242,0.0656957033853689,20.4119999999999,1.47000000000003
"11424-6","extra_heavy",2000,0.803,1.01219144947871,0.474388461301491,0.209431759533702,1.00166088370371,0.392250102586964,0.184861189822328,0.0633915023485237,0.111810272869546,0.0832206496451447,0.916268822826808,1.09719614169704,0.351070062447527,0.086372395622126,0.339932950915388,0.0666049747321092,18.045,1.47399999999993
"11424-7","extra_heavy",2000,0.8215,0.994620418358692,0.540755194155239,0.265689806671492,1.03785040376537,0.687677853549927,0.308451695320388,0.0653189816742967,0.257960843720185,0.0865318487144944,0.933132366242731,1.11854022468562,0.445507201143542,0.090912956455103,0.391927930525075,0.0673982768916015,40.652,1.48000000000002
"11424-8","extra_heavy",2000,0.8025,0.996468668038283,0.549869725157546,0.23461259702273,1.01462649350953,0.778958312716892,0.287188992916779,0.065846292591951,0.258926991652056,0.0741197763623224,0.938396993530909,1.19953143521046,0.389662176886534,0.0861641224337709,0.401205993645541,0.0658549719502026,39.179,1.48500000000001
"11424-9","extra_heavy",2000,0.82,0.976725577776764,0.528820462028465,0.298873229287496,1.0192466604661,0.462694782800974,0.258163000117982,0.0603412827243549,0.155860900561207,0.0974898202564447,0.881051555092843,1.21678900030496,0.459629606044611,0.0909085941401183,0.37935542525344,0.0682257852256323,25.771,1.51300000000003
"11424-10","extra_heavy",2000,0.813,0.971331035477639,0.469552596705896,0.224408583840377,0.995729815600256,0.777752756057147,0.259446403929558,0.0638882696358584,0.312023816563213,0.081302813102366,0.948971266909846,0.759211569778845,0.36292157054378,0.0874808602291928,0.355692440634364,0.067196799825187,39.8009999999999,1.60400000000004
"11424-11","extra_heavy",2000,0.8205,1.01936897736209,0.493048734317667,0.259320474617593,0.956167241206472,0.937966672347135,0.213897042193638,0.0664249171668185,0.206691436600166,0.0766251566304515,0.859385734265624,1.50929314628767,0.393149261116304,0.0862214209047577,0.358559004126596,0.0672322762075566,32.2679999999999,1.46500000000003
"11424-12","extra_heavy",2000,0.8075,0.978636779221318,0.46822000458943,0.265305105081242,0.98687268005647,0.576777817254893,0.249529780449739,0.0629477474119521,0.193854582917693,0.078960047313349,0.902281547212156,0.958218347608008,0.377470436067407,0.0843803558183477,0.315793669956821,0.0653857226269018,32.53,1.47500000000002
"11424-13","extra_heavy",2000,0.8175,0.964465918186908,0.476500577157259,0.308092544018483,0.97759061940557,0.429791402336839,0.343144007406865,0.0700504975115268,0.164354883541686,0.0733604551335689,0.923670532395148,0.893754687093528,0.432781640139709,0.0901033209969939,0.357509206549725,0.066220150854528,29.0409999999999,1.47900000000004
"11424-14","extra_heavy",2000,0.8205,0.973595031658103,0.541535369895197,0.292955371848029,0.996062317325659,0.406112728658541,0.255923804998426,0.059944594638992,0.128084520794237,0.0927538534955572,0.908982179563204,0.8993209957118,0.459125146551412,0.0862248830121695,0.313876376244084,0.0668462799938043,24.114,1.50699999999995
"11424-15","extra_heavy",2000,0.8195,0.994976633114653,0.531119534005496,0.235093076270487,0.990970226523926,0.791142038800123,0.270847109493828,0.0698683534685797,0.255108500292254,0.0743983759647133,0.962549061839446,1.04668320794889,0.381104528325722,0.0898342973892768,0.424013345793181,0.0670428010619053,34.106,1.48800000000006
"11424-16","extra_heavy",2000,0.8225,0.965309773334946,0.507681539363927,0.233601154299675,1.01064320383403,0.40918627846403,0.27249317736962,0.0693836930571834,0.194142432057577,0.0816904056082055,0.920565695293754,0.973451154487808,0.36985722627624,0.0906507159442954,0.391536259150686,0.0666037030003184,30.068,1.60199999999998
"11424-17","extra_heavy",2000,0.829,0.966905528360679,0.541976450017605,0.36215982295003,1.00280165687832,0.471495285321104,0.389042270494893,0.0695294189020428,0.1828622588582,0.0870393662112133,0.882009695859904,1.11597880457998,0.527404465906474,0.0921067431978319,0.354025584445367,0.0669338289354319,28.2810000000001,1.47899999999993
"11424-18","extra_heavy",2000,0.813,1.03276110132081,0.506714078268689,0.247629239761697,1.01443940683586,0.821735851687013,0.225228291949745,0.0643678796725565,0.233381543874482,0.0793176232323978,0.934211453412431,1.35437895686589,0.393942080263884,0.0917576469913391,0.439636556705634,0.0659254347081107,32.764,1.47499999999991
"11424-19","extra_heavy",2000,0.8105,1.03942934816777,0.523301491501148,0.18109362641486,1.10209805760765,0.578800865158482,0.28861384656223,0.0625509478980003,0.280588139748072,0.0695874372441296,1.01874028373303,0.880585294638259,0.327907084108063,0.0845621513970688,0.358899090876629,0.0664193452976164,44.162,1.47000000000003
"11424-20","extra_heavy",2000,0.81,1.00666291637311,0.483994736748887,0.235592856713816,1.01609014419764,0.788945003290051,0.283666955171282,0.0653054320877142,0.293349360352539,0.0765360847896593,0.916380972431859,1.30955832804932,0.384953448851225,0.0845390097405051,0.429436681744021,0.0648112326498348,41.1219999999998,1.471
"11424-21","extra_heavy",2000,0.8125,0.985967220992347,0.484583068675683,0.195804305958903,1.04711926249696,0.475013989003135,0.316267179841598,0.0687091555283844,0.309614458598378,0.070028803640839,1.03536901475564,0.504370997598338,0.352259718240792,0.0892381856285064,0.417153303080809,0.0645219623885598,39.403,1.48199999999997
"11424-22","extra_heavy",2000,0.8205,1.0252699390714,0.492472566216617,0.197822330897411,0.985438604816474,0.724606632181644,0.139939666557701,0.0636940267866213,0.181635390812336,0.0820612312951537,0.912124890417631,1.48221828870767,0.345230091812458,0.0985878242943134,0.494304023714614,0.0673699032354328,24.3500000000001,1.48999999999978
"11424-23","extra_heavy",2000,0.814,1.01518677650856,0.486594500034614,0.226605998754218,1.00852746683605,0.676610956731621,0.248558716303855,0.063759210345401,0.211787393262949,0.0797494912349034,0.91628853504174,1.00301790451104,0.382945278755563,0.0878599440620101,0.31899691087978,0.0667755630465873,33.9390000000001,1.47800000000007
"11424-24","extra_heavy",2000,0.8225,1.00654717805261,0.521497348691115,0.225985493861864,0.958865668102161,0.84839518713588,0.159196064102634,0.0669156702645371,0.182779686130927,0.0834740097975752,0.844866406648326,1.63814712963743,0.382873874109801,0.0896524738269192,0.388329262364413,0.0693969629629829,31.729,1.48399999999992
"11424-25","extra_heavy",2000,0.8185,1.03523014389883,0.498281994829884,0.213257336523926,0.992599126839753,0.604958733969032,0.234561629010479,0.0712604083335433,0.163440088606484,0.0767104591420152,0.964440584509771,1.03565034153544,0.350762967021226,0.0877067604942186,0.342133111339267,0.0676507425479503,23.3000000000002,1.47199999999998
"11424-26","extra_heavy",2000,0.813,0.988287407691138,0.505824194141286,0.268976780342307,1.00923889132002,0.623673911275089,0.328273805191559,0.0717723763288685,0.255749539803639,0.0764602764510256,0.940776235296347,1.0793589465646,0.405786948374315,0.087841241282384,0.40526171352577,0.0675996784712016,36.2249999999999,1.48099999999999
"11424-27","extra_heavy",2000,0.805,1.04087374417694,0.505461971696322,0.200696056345137,1.04830593411218,0.746601750017959,0.257287301085644,0.0669130848722874,0.285218218149622,0.0759253857752129,0.991476579211096,1.18465756500054,0.350952843908014,0.0880906278712558,0.469010566757513,0.0681964173562202,35.787,1.50199999999995
"11424-28","extra_heavy",2000,0.803,0.962689663501021,0.473493807268383,0.32409341437864,0.985278026581315,0.514171764252709,0.302653155511115,0.0641448310971301,0.186086561907489,0.0853442627725697,0.899815490873969,1.03076492988326,0.449200338335183,0.084887103953401,0.352645985428179,0.0662854134480853,31.5029999999999,1.47800000000007
"11424-29","extra_heavy",2000,0.808,1.03983410011272,0.474687517437542,0.217361082308603,0.990954534922288,0.860524757241646,0.169195061907024,0.0645918283086677,0.215234476093305,0.0780570872259237,0.900153355795081,1.56315562125412,0.342793487959528,0.085854329698888,0.418467476165762,0.0645012459192251,29.9780000000001,1.47700000000009
"11424-30","extra_heavy",2000,0.811,1.0184977234646,0.553719377087478,0.216642183860507,1.05807039668857,0.54413566934584,0.27873386675206,0.0642947872055807,0.210418437331565,0.0751358152871733,1.00365143393284,0.780230240776489,0.376509991232999,0.0852428746424038,0.318402885805745,0.0667456876764079,36.0049999999999,1.47199999999998
"11424-31","extra_heavy",2000,0.816,1.00721616029485,0.526134290973981,0.236448112415172,1.09744432291382,0.280009606199512,0.291582245112222,0.0663349285313065,0.163839857811992,0.0784894793354403,1.0593291838646,0.661573728903996,0.36778604148076,0.0889892780816983,0.428698697757072,0.0656947693072413,26.462,1.47699999999986
"11424-32","extra_heavy",2000,0.816,0.994039600194586,0.435215376021144,0.250074087922817,1.01938539064954,0.237155407953667,0.262534095351238,0.0612121392514447,0.0952206612869165,0.0792035547353317,0.961010918791799,0.742678279714621,0.378665097014589,0.0848398135925977,0.331335429922809,0.0653929123960664,17.0830000000001,1.48000000000002
"11424-33","extra_heavy",2000,0.8145,0.982689397164366,0.506335533104552,0.276896095671343,0.996824210122613,0.477515190968114,0.172288468586861,0.0597351098906123,0.129079035561967,0.0950178612098373,0.840241774704367,1.40338879453281,0.414974210031076,0.0885490531699801,0.356837425724934,0.0663438811484234,23.3529999999998,1.48699999999985
"11424-34","extra_heavy",2000,0.8155,0.990291314098009,0.551908719340068,0.31227113808597,0.959684352880344,0.567966955134565,0.291203572771762,0.0681472444179498,0.133874392232767,0.0782520416402228,0.835491546314946,1.81621883711616,0.457927100035371,0.0888557239730809,0.426693386749659,0.0681689034928766,18.75,1.47599999999989
"11424-35","extra_heavy",2000,0.8045,0.983014939836984,0.558791621689745,0.219625464859314,1.07816504210182,0.521285805251951,0.328715776106705,0.062633564583441,0.28825938880355,0.0709942767589064,0.930733757601445,1.13861415239528,0.373401960699168,0.0895338046436686,0.384776591592487,0.0676976820772052,44.7060000000001,1.47399999999993
"11424-36","extra_heavy",2000,0.825,1.00229163830775,0.50104189633406,0.229180955749329,1.00925522892866,0.528674215830847,0.275446755813196,0.0696053924050393,0.196921343907607,0.0762400289361314,0.934665042579874,1.10646442840575,0.380661636777922,0.0922864467161335,0.400847327883456,0.0673665578834795,33.693,1.61500000000001
"11424-37","extra_heavy",2000,0.815,1.04369518471785,0.488001335602366,0.216528922671728,1.06254444493573,0.63483511725996,0.215895989823786,0.0658318665394355,0.223970492771125,0.082761588424655,1.00902484207653,1.00803417686127,0.358769514600008,0.0911210654787245,0.43973099043921,0.0682712720868427,30.2810000000002,1.44100000000003
"11424-38","extra_heavy",2000,0.806,1.04145307233278,0.530245475266635,0.166098528840654,1.09259717468581,0.534679659871236,0.227098497984482,0.0658484837428708,0.237997532961452,0.0751315231097979,1.05617501758371,0.803586544157161,0.313653198459589,0.0866860325861804,0.42664253577446,0.0667221868952618,32.6399999999999,1.44600000000014
"11424-39","extra_heavy",2000,0.816,0.966301843262795,0.487667559575547,0.28820291476755,0.855290838182108,0.941146281270812,0.285273886706086,0.0742133447284507,0.205764898355591,0.0723422271117849,0.791137507333798,1.75270308567959,0.428233589210839,0.0872405851738867,0.411480406129345,0.0660760064703079,28.2470000000001,1.45799999999986
"11424-40","extra_heavy",2000,0.825,0.98434091898134,0.530513657538938,0.22214432890669,1.06474296554521,0.326369462532097,0.307513149209313,0.0672658561416855,0.207636113917841,0.0859893442750133,1.04788163601315,0.393126716581532,0.390155621768163,0.091009378605147,0.331661073238791,0.0687767425418616,31.991,1.44000000000005
"11424-41","extra_heavy",2000,0.808,1.01016838573166,0.415011824661074,0.274703826873925,0.992943857002396,0.665290403856603,0.286339542838204,0.0661506447571313,0.234867659996454,0.0712157018123022,0.953466113511685,0.904002801735501,0.380277914465357,0.0814922446578715,0.355037538773457,0.0645232602240968,34.0050000000001,1.45799999999986
"11424-42","extra_heavy",2000,0.806,1.06858349284393,0.525833640124648,0.246052076503943,1.08324394807933,0.412263703591747,0.258705154627181,0.0670629902395977,0.135049051604762,0.0796980384081394,1.01673071344558,1.0077301088002,0.394861332780042,0.0882805922618669,0.35769535933342,0.0678454487881832,20.5530000000001,1.47000000000003
"11424-43","extra_heavy",2000,0.801,1.02200217692383,0.462019230376374,0.236626502903249,1.06766435624322,0.412896563468558,0.298902184533565,0.0655636309214984,0.221936683433724,0.0746347030563674,1.00546884553723,0.805576036804149,0.371069054735842,0.0866206949115445,0.383366563455865,0.0652880927998001,30.54,1.42900000000009
"11424-44","extra_heavy",2000,0.814,0.975612801873891,0.464977537632214,0.298577856463572,1.02787000213621,0.413005247605629,0.322045263790339,0.0619451463781847,0.200761254610226,0.0839535654946209,0.950775258155582,0.933223530625008,0.423684646275051,0.0903452037543353,0.433084131289428,0.0645803068941762,27.011,1.43500000000017
"11424-45","extra_heavy",2000,0.8175,1.00420356425769,0.464947071074832,0.237129230774463,1.00578976735304,0.41757942588327,0.261868446593942,0.0694494235361404,0.152511437025325,0.0759803975584597,0.915571471104698,1.25641790112119,0.366788406505392,0.0928657398779062,0.445099501319954,0.0681789046401889,21.5419999999999,1.45399999999995
"11424-46","extra_heavy",2000,0.8095,0.99252712552127,0.499040747919601,0.242269993748853,0.971664629922847,0.43956319212547,0.193825136509918,0.0594494480222305,0.10651020047068,0.0815888691232319,0.905469737591515,0.731539262634937,0.396590289769827,0.0790426739570283,0.209986260607107,0.0648297703796362,19.4840000000002,1.42800000000011
"11424-47","extra_heavy",2000,0.8,0.989524059952165,0.578594811855822,0.19582880933837,1.03308292496687,0.576546364534503,0.248094946349474,0.064971956267147,0.211885312348841,0.0804153356577045,0.950985991380411,0.999285524204464,0.363241765799836,0.0852726285883672,0.345693479256909,0.0675710850705981,31.7649999999999,1.55500000000006
"11424-48","extra_heavy",2000,0.8185,1.01204347357158,0.448977818135803,0.247874236131395,0.973785261006703,0.400473697042178,0.171384541171255,0.0639919067953537,0.102368695605105,0.0854830745387175,0.896587484830321,1.15400097720175,0.378451786860848,0.0885747034727532,0.350909039658991,0.0650498299493346,17.739,1.4380000000001
"11424-49","extra_heavy",2000,0.8085,1.01432207126796,0.499769834426957,0.204042601362425,1.01603117950804,0.775919099230439,0.194466462323068,0.0622430704085816,0.24536132438662,0.0832863866617876,0.865409580117848,1.40872878530841,0.351200308646666,0.08472647838165,0.351645037583049,0.0655700929300339,35.05,1.56600000000003
