"sim","censoring","n","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_extrap","beta_extrap","gamma_extrap","se_alpha_extrap","se_beta_extrap","se_gamma_extrap","alpha_extrap_no","beta_extrap_no","gamma_extrap_no","se_alpha_extrap_no","se_beta_extrap_no","se_gamma_extrap_no","time_extrap","time_extrap_no"
"11440-1","heavy",2000,0.4725,0.990345104494089,0.464690346906196,0.295436955964534,1.0245066118511,0.404558737373378,0.330780269512638,0.0492589331073386,0.0754355842678948,0.0662325003872481,0.960680255517275,0.409055632044229,0.404535767824401,0.0554383518337187,0.077415850781869,0.0645529504282393,42.079,1.55799999999999
"11440-2","heavy",2000,0.4735,1.05167785201598,0.526713087319325,0.217706903821338,1.10377669640817,0.437335305547715,0.285789840806889,0.0510460134301778,0.0960511899351396,0.0675246545820971,1.00757726407424,0.53548680092299,0.327664433507559,0.0590913534510955,0.0995364750769906,0.0660027905657484,46.455,1.779
"11440-3","heavy",2000,0.484,1.02539828732831,0.481244953984166,0.23893544516573,1.06297779710506,0.530460733962775,0.329425829621843,0.051016268470279,0.105719636025283,0.0672357750514006,0.962252904558772,0.559359813694665,0.337284636636493,0.056226175832171,0.0935121607423382,0.066026658139884,51.468,1.48900000000003
"11440-4","heavy",2000,0.494,1.05663630913482,0.498818244378244,0.219547786216108,1.08991221496673,0.510804938568061,0.300617466480121,0.0495932295400343,0.10564305011556,0.0648844004657911,0.991646296526959,0.569087299007566,0.330707788477675,0.057456754927846,0.0958298180426402,0.0660067200836678,48.506,1.50599999999997
"11440-5","heavy",2000,0.4905,0.97565462803379,0.503998659169844,0.301910078252629,1.03030139280396,0.388905360918383,0.383701273752946,0.0498676299498896,0.0862538165776286,0.0692917596477248,0.95648687829062,0.418708092391309,0.442280893743354,0.0565214349788008,0.0945923670996971,0.0650487969358747,45.399,1.48699999999997
"11440-6","heavy",2000,0.491,1.06444132592365,0.482338030083089,0.168340687395551,1.1385481363135,0.36689432944927,0.270445178977309,0.0501807676774468,0.101470348787982,0.0656860805330077,1.05420575474812,0.377684720979501,0.289141195811122,0.057421105294347,0.0869549017339731,0.0666470857885824,50.888,1.48599999999999
"11440-7","heavy",2000,0.4945,1.02347636543501,0.47465902794221,0.238628966655734,1.09627841534086,0.344002744547684,0.318161266828978,0.0515864738204539,0.0924175828575358,0.0688283347367433,0.968367763391588,0.530550633423402,0.34184562101469,0.0590925547505544,0.096581672717963,0.0661500530955775,50.837,1.49300000000005
"11440-8","heavy",2000,0.49,0.98356276084044,0.527692645126939,0.238121458269908,1.01747453007886,0.54418402852717,0.362449270052562,0.0515450875088645,0.109928744318341,0.0660495547953948,0.941423984776509,0.48078324230349,0.381943570304211,0.058200504873495,0.0889372267299355,0.0676086294399295,51.323,1.49099999999999
"11440-9","heavy",2000,0.5065,1.00964159779954,0.53739174944119,0.213391631825971,1.07972086690357,0.372838549718568,0.305202232467806,0.0497324250074712,0.0747326469541732,0.0696020802214929,0.95073351165199,0.5135022953355,0.347061745466043,0.0582727173971741,0.0812462111676985,0.0654660243682217,49.1070000000001,1.49000000000001
"11440-10","heavy",2000,0.461,1.02892234992136,0.492009782583054,0.185743405385553,1.07405366108242,0.415567697880546,0.300174893194109,0.0509456601637684,0.0964039693236186,0.0668596994834916,0.969443246803329,0.500952578853305,0.306358399221689,0.0554140206613097,0.0850084981644175,0.0632864446875813,49.2510000000001,1.49799999999982
