"sim","censoring","n","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_extrap","beta_extrap","gamma_extrap","se_alpha_extrap","se_beta_extrap","se_gamma_extrap","alpha_extrap_no","beta_extrap_no","gamma_extrap_no","se_alpha_extrap_no","se_beta_extrap_no","se_gamma_extrap_no","time_extrap","time_extrap_no"
"11441-1","light",5000,0.1712,0.971064598474737,0.492929634573267,0.300290281336578,0.986336977821638,0.482712638467916,0.336380825486655,0.0296827282522097,0.0386370820199371,0.0406002566172621,0.965024240477685,0.411398209154975,0.366780213688729,0.0311441881129431,0.0333780489960409,0.0400754771454862,115.163,3.81800000000021
"11441-2","light",5000,0.1606,1.0161625729066,0.499357213951261,0.254475832985677,1.03767891036132,0.454167815858448,0.318689528393904,0.0301059001260091,0.035739625598967,0.0425838456964431,1.04860781987408,0.283956842999997,0.35729170153773,0.0333200776407089,0.0501434378666391,0.0424654236098008,117.575,4.36699999999996
"11441-3","light",5000,0.1608,0.999597470211287,0.458912558861804,0.288453556791071,1.00551542537893,0.454834797589029,0.339831888045925,0.0307788579106671,0.0409520166167136,0.0409021752272702,1.00325255466008,0.354048729631828,0.365206846115029,0.0315034740316141,0.0385649130378725,0.0413156277094369,116.168,2.9109999999996
"11441-4","light",5000,0.1574,0.962609893463035,0.532921306766612,0.267654991301841,0.983354894111679,0.492877574802714,0.319199919958654,0.0324670563245323,0.0439066309090319,0.0415516306260253,0.961660867247853,0.417080565958034,0.344185255599158,0.0317563450068043,0.0333372870282562,0.0416241719039523,111.318,3.99800000000005
"11441-5","light",5000,0.1672,1.01147075631476,0.494772464271297,0.234877973212597,1.04041664132292,0.436259853118554,0.302235962550899,0.0308200923026912,0.0382541319155277,0.0421062234601634,1.05495589635906,0.264241054640492,0.338394359668947,0.034724973741588,0.0596310379246588,0.0422724690792243,117.402,4.88300000000027
"11441-6","light",5000,0.1556,0.993931279567217,0.496100376553251,0.283901894580882,0.998606319683604,0.505071479400836,0.329517132566749,0.0300423973053866,0.0383314300437169,0.0408575922246332,0.993186304639707,0.381193864736699,0.371340261649404,0.0318986677009951,0.0433708993771407,0.0420248155337625,100.918,2.85100000000011
"11441-7","light",5000,0.176,0.96145820982075,0.498929702371813,0.322885306077347,0.971891000149835,0.497578725160791,0.358974879978766,0.0301500757908721,0.0382189755079421,0.0410997132495844,0.957438090549276,0.395983423849621,0.398509874704196,0.0303979571186296,0.0346503097214165,0.0416770915209669,118.137,4.51700000000028
"11441-8","light",5000,0.1618,0.995680633453564,0.505905572987059,0.264347798333807,1.00958362537651,0.474968017221267,0.320092869540135,0.0304402292869741,0.0406789944947528,0.0414160989345689,0.99513630020608,0.387165217088151,0.351682250646535,0.0302956496410134,0.0321343045153904,0.0413546481765555,111.117,4.93399999999974
"11441-9","light",5000,0.1712,0.987967792948029,0.498096094225457,0.233797348187082,0.993927408469501,0.51154647887907,0.274170578246653,0.0301684045051291,0.0363958618150574,0.0427589568035907,0.989383449113296,0.368823268978901,0.315763603844615,0.0319047021193301,0.032968380838007,0.0417122578197587,122.214,4.59000000000015
"11441-10","light",5000,0.1624,1.01199498184603,0.503190521768521,0.209974143866447,1.03049286434779,0.468248093012737,0.256621792037784,0.0303703658552224,0.0393161645482341,0.0418710092772613,1.03746090120739,0.315270528118463,0.304519193853228,0.0321466591610479,0.0430377507481891,0.0414667543838647,109.602,3.10599999999977
"11441-11","light",5000,0.1672,0.979479988449253,0.519416043133755,0.267468654647949,0.996132684136612,0.512807132758544,0.302520031405955,0.0308525599407891,0.0418216931270799,0.0434549276620895,0.975644651187736,0.439459382705769,0.33239781988346,0.0317424134320058,0.0388327462883812,0.0411096872103664,115.089,3.26699999999983
"11441-12","light",5000,0.1678,0.970185465041316,0.488118237056882,0.313593035570842,0.976801557591491,0.490217442776663,0.35958080809163,0.0316907408417096,0.0391777010683737,0.0410303423768387,0.959572598425621,0.424667673157741,0.379340832866552,0.0307941759403946,0.038245022884485,0.0395009412396322,112.531,4.17000000000007
"11441-13","light",5000,0.1656,1.02512630783499,0.500887557371215,0.230694069341695,1.03250371024092,0.504708462715258,0.27943128026528,0.0306678656947507,0.0423129505724353,0.0409913778710762,1.0184126928098,0.428677676043212,0.303393301961955,0.0316218210613976,0.0376788160627061,0.0409826101619727,109.444,4.16899999999987
"11441-14","light",5000,0.1716,1.01463365582497,0.483741318543201,0.238030700272583,1.03800175425155,0.434010986000984,0.278812696319518,0.0311348722634606,0.0373854598454452,0.0432253517537535,1.01877157994074,0.36352186281701,0.312795783784138,0.0323803069557503,0.0330557243871641,0.0425683114443999,117.997,3.24600000000009
"11441-15","light",5000,0.1712,1.01451802599294,0.542449601601422,0.195875565224693,1.03538826750997,0.499348614456516,0.234603280858029,0.0312239428182002,0.0399843723724164,0.0417336218003383,1.00992939208499,0.437085087107469,0.269792600473389,0.0314393961844235,0.0350136101212002,0.0405324138564665,124.831,2.91799999999967
"11441-16","light",5000,0.1686,0.991702812114301,0.492240055656113,0.250427733977015,1.01070212386302,0.45978610484866,0.304698106154085,0.0319834504075132,0.0405890890344422,0.0423464876722714,0.978538085251893,0.4265311155541,0.320372859985022,0.0318899594441423,0.0357620953345966,0.043275892119981,113.068,3.95799999999963
"11441-17","light",5000,0.17,1.00356594103877,0.541096435889837,0.222959302736871,1.01564113725865,0.533453418682363,0.269718241866521,0.0307153758207098,0.0404321018053691,0.0420313886328059,0.990907635737892,0.447827766415396,0.309528996311644,0.0307569720078495,0.0335246047611884,0.0417726527110011,118.789,4.12599999999975
"11441-18","light",5000,0.1682,1.01722179394805,0.505446435430294,0.251915065500178,1.01766516729925,0.529704139530112,0.302816102259939,0.030411180281002,0.038796898490078,0.0407768776253213,1.01013693198045,0.423760590929634,0.333706178153183,0.0308916450972155,0.0356124299387993,0.0408795289147137,113.897,2.99499999999989
"11441-19","light",5000,0.1594,0.971199937182338,0.556180863180079,0.280293567929247,0.975666439091899,0.566072303493224,0.320383769381365,0.0303662026638477,0.0394583611115853,0.0413255971379218,0.969980971829518,0.436483317976022,0.358561609511969,0.0327483368526309,0.0492742901946626,0.0426459927905257,115.067,3.70700000000033
"11441-20","light",5000,0.1698,0.981204019200221,0.501065822696019,0.276093789861961,0.997280029662987,0.482096302635205,0.322043140085634,0.0312916788211676,0.0388658527717155,0.0430286483119319,0.97688691562042,0.390280265703248,0.358898303484921,0.0317512318425342,0.033003173744504,0.0420566880141676,117.298,3.75600000000031
"11441-21","light",5000,0.1692,1.01010267646507,0.458443088689661,0.259759217790067,1.02603723367861,0.430058733946436,0.301078197628723,0.0311723432598291,0.0430726895431626,0.042778242916239,1.01575835877901,0.339936666091203,0.337072404991443,0.0336454697137494,0.0446501743999351,0.042302288744558,119.01,4.0590000000002
