"sim","censoring","n","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_extrap","beta_extrap","gamma_extrap","se_alpha_extrap","se_beta_extrap","se_gamma_extrap","alpha_extrap_no","beta_extrap_no","gamma_extrap_no","se_alpha_extrap_no","se_beta_extrap_no","se_gamma_extrap_no","time_extrap","time_extrap_no"
"11430-1","extra_heavy",5000,0.8136,1.02680519650272,0.483625132225934,0.236680823449332,1.03720232839295,0.489675294046473,0.260061127340316,0.043159811461023,0.1210567871184,0.0520213579324278,0.994636189716695,0.911117848013468,0.38856329807298,0.0560741868071801,0.263007022164374,0.0413339104104319,4.74699999999996,3.08499999999998
"11430-2","extra_heavy",5000,0.8326,0.982646515891902,0.464369412248658,0.278678611281567,0.956572194329162,0.429887237412936,0.265118001058159,0.0440870467845477,0.0889194331731073,0.0530251474929232,0.87421506551754,0.988442168313227,0.420505356590805,0.0547470932563811,0.19498249107675,0.0411659403371965,5.92500000000001,3.08999999999997
"11430-3","extra_heavy",5000,0.8062,0.991265616731448,0.484460211979986,0.238490248401507,0.960724499454176,0.664389523399864,0.274070517263002,0.0459838663283296,0.124673914827336,0.0467498872008411,0.89967363776782,1.09195422635417,0.379329170199888,0.0525739618005899,0.200181720915782,0.0418562170331152,5.32299999999998,3.07999999999998
"11430-4","extra_heavy",5000,0.8166,1.00056620279456,0.49255964011453,0.252115967163662,1.00226756994875,0.458235108348322,0.283044971958882,0.0432768382158192,0.0998762478504006,0.0491074666379808,0.947170781134493,0.900329616047256,0.395154706785308,0.0566394946360769,0.211202556632297,0.0429263478562776,5.96100000000001,2.96999999999997
"11430-5","extra_heavy",5000,0.8152,0.983159645371185,0.510251030412779,0.267315420798134,0.936005565471774,0.808032469455915,0.287468816325214,0.0443263360919069,0.136856650388432,0.0473611702246774,0.881009813046843,1.07934747657816,0.416707112285553,0.0524972936479909,0.186789207901458,0.0415070478761749,4.78199999999998,3.12299999999999
"11430-6","extra_heavy",5000,0.8152,0.975547862650528,0.507965389349246,0.248471996681252,0.97287047456952,0.520429709977261,0.252201656183368,0.0414396561707216,0.10387435500529,0.0528272639381516,0.901825229550604,1.1245406226413,0.403418904199458,0.0569889013899725,0.24763245743872,0.0416157624538456,5.92699999999996,2.94200000000001
"11430-7","extra_heavy",5000,0.8112,1.02211579257296,0.499538829763594,0.22930817637664,1.01288849259789,0.56834563257467,0.256821614565787,0.0433627805663087,0.116037667827122,0.0503666910482618,0.954091654512245,0.82739381241473,0.388542224747588,0.0536418739307266,0.173968016980227,0.04298782315786,5.85599999999999,3.07799999999997
"11430-8","extra_heavy",5000,0.8174,1.01230162637868,0.503668892689092,0.227117137650267,1.01041413551711,0.753201188904569,0.329512536392019,0.0508968711535569,0.211743818803272,0.0440511869319131,1.00011700337503,0.856822075145839,0.363834452975878,0.0550441992998398,0.254728484091265,0.041948086304456,4.12,2.92900000000003
"11430-9","extra_heavy",5000,0.8154,0.999422119310116,0.491164260303904,0.261239390621069,0.902103097042235,1.30407332466808,0.375258050871942,0.0552987611191522,0.248318298629381,0.0431484731714375,0.891666463792564,1.36124394075342,0.400060380097565,0.0567283592934552,0.259509558826324,0.0426050076560989,4.09399999999999,3.06900000000002
"11430-10","extra_heavy",5000,0.8124,1.02452617766654,0.483298512934813,0.22371346451166,1.00460682349991,0.663967879849041,0.273414560738077,0.0465713975067644,0.148630199333009,0.0457219065313994,0.972073372926849,0.933488805860689,0.358207772675775,0.0535794611922818,0.217715134046754,0.0419195213221091,4.69900000000001,2.92399999999998
"11430-11","extra_heavy",5000,0.8172,1.02050444336715,0.531089889866355,0.223005478036691,1.04394366307709,0.388983058301118,0.318541700708524,0.0460169957845567,0.10454742787808,0.0452086899312704,1.00359656712477,0.816990168189692,0.387894922737392,0.055125439348648,0.221330281459143,0.0426072754076425,5.81999999999999,3.05700000000002
