"sim","censoring","n","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_extrap","beta_extrap","gamma_extrap","se_alpha_extrap","se_beta_extrap","se_gamma_extrap","alpha_extrap_no","beta_extrap_no","gamma_extrap_no","se_alpha_extrap_no","se_beta_extrap_no","se_gamma_extrap_no","time_extrap","time_extrap_no"
"11441-1","heavy",100,0.48,0.89806821446899,0.509918271622747,0.289419087904106,0.869394533735263,0.499795140509263,0.267426262845772,0.243374466584642,0.309256446525255,0.34514959910127,0.755241911508673,0.936788031838854,0.348393444375788,0.279222554358475,0.550913839851334,0.331305718906471,0.612,0.579
"11441-2","heavy",100,0.44,0.695101263144193,0.392440314634051,0.571590893855238,0.655932452193905,0.513391381326473,0.579739125251526,0.196090762089858,0.250289057135654,0.249451309359585,0.603401014165832,0.645473505989475,0.665441535734677,0.22282491792053,0.363056401889192,0.247580809186278,0.578,0.549
"11441-3","heavy",100,0.58,1.08924177881816,0.218116318196949,0.349791760307818,1.09224010100318,0.195923820998662,0.332652251817754,0.194565354076315,0.283985361948432,0.290863152419353,1.06683235585875,0.244558833446696,0.429732191335245,0.240415444376135,0.42671936941532,0.250976307165516,0.581,0.547
"11441-4","heavy",100,0.41,0.887076042888262,0.400070265853904,0.426736278309205,0.925380418541742,0.215770436893257,0.613014642378393,0.264833063599945,0.624970088287811,0.324637587676167,0.936115141807253,0.169866521214348,0.637660632843982,0.271501885782371,0.641881980144028,0.340384206677026,0.597,0.549
"11441-5","heavy",100,0.36,1.09736484841796,0.588583345560501,0.17165359055366,1.07206066088711,0.530206646811572,0.370192698179921,0.258082484061434,0.611862684882194,0.299152421021403,1.09370352002627,0.463974444448499,0.387124940372592,0.254035830073281,0.60879411785962,0.289376289129734,0.566000000000001,0.550000000000001
"11441-6","heavy",100,0.47,0.95839991143159,0.67201543912719,0.0934725957415712,0.99520193582674,0.558428463492554,0.0743304227160585,0.236110239198993,0.335951028424034,0.328154327791787,0.960341374658129,0.622024494661935,0.17579217280609,0.263768236646539,0.469897635656541,0.310617567160274,0.58,0.550000000000001
"11441-7","heavy",100,0.57,1.21799088515632,0.499763216835931,0.124598541272151,1.23969147035766,0.416688368332613,0.258496612384661,0.306828023069309,0.531320565463593,0.29495868134099,1.20053929946633,0.497654854773565,0.280812828867925,0.30805984421295,0.582585630832469,0.294401702561603,0.574,0.601000000000001
"11441-8","heavy",100,0.45,1.02472273307781,0.396669338799313,0.227613997924226,0.88438804024479,1.01010129069243,0.29058503318481,0.252097759935294,0.702659226105136,0.269284050028841,0.887936316187453,1.07597322099896,0.289121718085964,0.260384361404237,0.741915923016906,0.261689983566588,0.556000000000001,0.556000000000001
"11441-9","heavy",100,0.43,1.01704778118605,0.734338192842892,-0.321184928456721,0.954645980445253,1.00740390539475,-0.318382276464812,0.22506359833446,0.500563405345398,0.281572041735344,0.945679473792191,1.01802873892779,-0.250497347923279,0.231612888735237,0.582728497749189,0.263802526470784,0.56,0.557
"11441-10","heavy",100,0.42,0.987134645490602,0.512554483430021,0.127404124263256,0.890267208956203,0.664798510406055,0.315582324695787,0.262994246122226,0.437703289056936,0.322553778781408,0.87151298395798,0.686647538814231,0.333823657086212,0.261246086220288,0.442767736722567,0.319332682020915,0.557,0.559999999999999
