"sim","censoring","n","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_extrap","beta_extrap","gamma_extrap","se_alpha_extrap","se_beta_extrap","se_gamma_extrap","alpha_extrap_no","beta_extrap_no","gamma_extrap_no","se_alpha_extrap_no","se_beta_extrap_no","se_gamma_extrap_no","time_extrap","time_extrap_no"
"11426-1","light",10000,0.1682,1.01368474277911,0.494605359926084,0.25780808617785,1.01932433134068,0.378280693077876,0.33312700327986,0.0230458575091406,0.0262746391640085,0.0297497479719195,1.01916188532432,0.378543539478915,0.332189251923964,0.022410344940891,0.0268522343531792,0.0289969685496348,6.96600000000001,5.35299999999995
"11426-2","light",10000,0.168,0.967353117059547,0.518994444433559,0.264257899106158,0.971436114551054,0.388600678771544,0.346927788278893,0.0223216722400701,0.0236995969237689,0.0299082357693734,0.968693987174619,0.396882807506665,0.346687161361601,0.0222538231147983,0.0241796834491196,0.0291845261959287,9.22900000000004,5.24599999999998
"11426-3","light",10000,0.1688,0.983049300781623,0.510367931304765,0.256583854153338,0.981707917537856,0.404816629190582,0.331694895786693,0.022439381054975,0.029193257501514,0.0301370693097919,0.979782000175476,0.4095132462149,0.330468849360161,0.0230934795907462,0.0291484325302655,0.0297882870335934,6.88100000000009,5.36000000000001
"11426-4","light",10000,0.1701,0.989475756316783,0.520340426731555,0.249395174243304,0.99034574486075,0.415307167202848,0.315091732207862,0.0222097514420892,0.0254940431880829,0.0301876462444367,0.98568783720249,0.42682521162663,0.318868792974251,0.022367870377969,0.0271272403701844,0.0292319521779178,8.30899999999997,5.24199999999996
"11426-5","light",10000,0.1728,0.989887856738297,0.481949611429481,0.282804869933348,0.984334969263714,0.390702905993768,0.359464817446018,0.0214643338567302,0.024190273073952,0.028854152648577,0.982291621541412,0.395598054806604,0.359585455042245,0.0219090214833432,0.0253382479607338,0.0291635741946777,6.90099999999995,5.38900000000001
"11426-6","light",10000,0.1619,0.991891213638154,0.513470637750948,0.250993770701111,1.00403604626178,0.36990867583427,0.331147713489549,0.0224493471030774,0.0289510730111359,0.0306042555371909,1.00260951109726,0.372317098829941,0.332318447101357,0.022587780287391,0.0279463487115077,0.0301378522643144,8.17100000000005,5.36199999999997
"11426-7","light",10000,0.1635,0.999167333277777,0.510901534409041,0.252941688202695,0.998399704965109,0.395005558386444,0.330670264211937,0.0213181626125892,0.0276079074756584,0.0295334663064743,0.996622831549601,0.399604991265432,0.329588919836258,0.0223038612025837,0.0275689759585281,0.0284103765112468,8.20299999999997,5.33699999999999
"11426-8","light",10000,0.1698,0.999539931899737,0.519870673847333,0.225066536730011,1.01830892630702,0.334250473099656,0.318695666916191,0.0220622965686084,0.0238852362384358,0.0288337453388607,1.01744146898115,0.331551698490014,0.324998929542493,0.0214487833848214,0.0273253565759472,0.0291897970659186,9.17399999999998,5.22899999999993
"11426-9","light",10000,0.1716,1.00717153512742,0.480728739394053,0.260997715376959,1.00482069390262,0.385997934653825,0.331715097391036,0.0221386903425373,0.0249454917683466,0.0286838655635574,1.0041751712453,0.387179312344476,0.332518896554395,0.02249582332271,0.0263302427719882,0.0289896293820227,7.96900000000005,5.24299999999994
"11426-10","light",10000,0.1697,1.00357907198958,0.519680728443333,0.234778691983619,0.993596905488042,0.44215373242047,0.312638066944129,0.0226626311851908,0.0279605229371332,0.0293842414904574,0.99236637750671,0.44180158868215,0.313460249661968,0.0224380807121438,0.0284573044017298,0.0295599415501219,6.95800000000008,5.37100000000009
"11426-11","light",10000,0.1725,0.991383457472316,0.515496558679817,0.247528198568723,0.987621515275647,0.401937744264357,0.329970567678504,0.022029546883498,0.0225084731385722,0.0282873538054545,0.985102958024929,0.398588858741367,0.338843895719278,0.0222368941150533,0.0251867222099137,0.029225531720758,8.29099999999994,5.24099999999999
"11426-12","light",10000,0.1673,1.00937198017002,0.522336834162267,0.214265214014881,1.02879229783028,0.353388977610015,0.304195708667986,0.027401215126505,0.0530451473724845,0.0315562752926339,1.02728081751468,0.357334702516376,0.305409036725106,0.0280145085833914,0.0527805903501695,0.0305772071732587,9.11799999999994,5.36799999999994
"11426-13","light",10000,0.167,0.976488240882573,0.496356522336511,0.281101291844171,0.981248136432465,0.368942032598556,0.368417836310133,0.0285187918569303,0.0562433190951772,0.030679495910551,0.980582603183184,0.372669819331496,0.367799170412916,0.0278282547248347,0.0561396649801254,0.0316431603418928,8.27799999999991,5.21900000000005
