"sim","censoring","n","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_extrap","beta_extrap","gamma_extrap","se_alpha_extrap","se_beta_extrap","se_gamma_extrap","alpha_extrap_no","beta_extrap_no","gamma_extrap_no","se_alpha_extrap_no","se_beta_extrap_no","se_gamma_extrap_no","time_extrap","time_extrap_no"
"11426-1","extra_heavy",2000,0.8235,1.08230058602666,0.456701982906895,0.19965720036395,1.0769051197583,0.0372313652738443,0.208598120465999,0.0329156809903384,0.00676522144166963,0.0479122087574971,1.03633389947206,0.962062039116019,0.253811444111111,0.0377007253169657,0.187143277822346,0.0470638428554645,2.65899999999999,3.04300000000001
"11426-2","extra_heavy",2000,0.8185,0.976006578674526,0.550606317661013,0.284099490192723,0.955220796094727,0.2621787710585,0.224209984222988,0.032586731561277,0.0364277815946129,0.0550010708268219,0.856556237648119,1.66458569937027,0.321327258346716,0.039684306837295,0.211459658984882,0.0499621828767587,2.81900000000002,2.91499999999999
"11426-3","extra_heavy",2000,0.8115,1.01165237313524,0.510916652247332,0.21290445513227,1.04474148319807,0.0600623994572476,0.189878149479844,0.0332731645557577,0.0106049368710782,0.0504576870925298,0.97516954150897,1.36835307889176,0.261846013314547,0.0385671962896905,0.244434360248237,0.0478097836595521,2.804,2.916
"11426-4","extra_heavy",2000,0.8225,0.94873718104419,0.498051778052214,0.320984162778797,0.983187233831202,0.123459101090068,0.334798264108374,0.0316759476167849,0.0257866225995344,0.0523577195267752,0.917828278667209,1.16030467485907,0.397694324064323,0.0371313667437693,0.232424622006837,0.0474542107701203,2.81300000000002,2.91899999999998
"11426-5","extra_heavy",2000,0.8075,0.943531702691309,0.534356751231356,0.274707322656043,0.937095389016967,0.273416658689802,0.234847904520959,0.0334970596314877,0.0396980641270635,0.0507457934553396,0.892060249980162,1.12415059242596,0.30541925465597,0.0380584997857169,0.181257726543083,0.0477401784140893,2.79899999999998,3.05499999999998
"11426-6","extra_heavy",2000,0.813,0.986742585107654,0.509932404788741,0.230228067633744,0.985311852617036,0.480239649585177,0.144388584165162,0.033337312439017,0.0641055626139932,0.0494027300897637,0.927850537157846,1.41441017161788,0.231075401588272,0.0373001065401241,0.21169124983932,0.0463958555786567,2.67200000000003,3.05900000000003
"11426-7","extra_heavy",2000,0.826,0.981605005620389,0.541286373676769,0.253689702103277,0.991963137964426,0.0640211655441553,0.158033651058097,0.0348367656674826,0.00856357089395321,0.0525251301375936,0.923385889835876,1.61814360298487,0.23911462455035,0.0413048387250899,0.240403367878028,0.0500227206189426,2.85500000000002,2.916
"11426-8","extra_heavy",2000,0.798,0.947986944856254,0.498305015197266,0.291267767368455,0.970995390963379,0.229583691851697,0.155351812162024,0.0319900388273292,0.0321662513749323,0.0516254299304835,0.914613892676019,1.30960172165987,0.254642114195562,0.0368126690952757,0.213617462451949,0.048381356373639,2.82700000000006,2.92700000000002
"11426-9","extra_heavy",2000,0.8095,0.953090806194694,0.525457437706792,0.307455429415559,0.977108136381894,0.0626909377889169,0.328460790826892,0.0329819948623952,0.0118758980555591,0.0508978637740449,0.925353712780169,1.00914488470918,0.379219834835476,0.0365682755000112,0.190767678243908,0.0466937586232941,2.80000000000001,3.07299999999998
"11426-10","extra_heavy",2000,0.8265,1.00726218313551,0.545218557890469,0.214552685881171,1.01171954371657,0.374094284345935,0.265782297937472,0.0343054785590196,0.0696479636262149,0.0516704987383837,0.958744722333758,1.28793548695684,0.331880549213091,0.0405836552210841,0.242768974093319,0.0481967090449207,2.68700000000001,3.05900000000003
"11426-11","extra_heavy",2000,0.8085,1.00051840715759,0.469015768333026,0.245331334055917,0.963980270389842,0.166517614266878,0.277753557794573,0.0339360063777866,0.0293202962520468,0.0501302835654796,0.909267792016081,1.17819713219544,0.326571364991782,0.0373062724307601,0.197583726805025,0.046725697829857,2.66000000000003,3.06199999999995
"11426-12","extra_heavy",2000,0.821,0.962451337994688,0.497055406804387,0.280262258677134,0.999602393587456,0.086912439388255,0.261656014211529,0.0338595037787693,0.0169207154059652,0.0498781998105841,0.939881171436937,1.25371055385863,0.307267228615877,0.0388445075235705,0.22406988385327,0.0472823518831554,2.67199999999997,3.04899999999998
"11426-13","extra_heavy",2000,0.809,1.00862098788633,0.531308746598531,0.251183611590986,1.03713258454162,0.198442030426491,0.203493969457879,0.0325451535037595,0.0326636983629303,0.0545755710335042,0.970446524132837,1.31358352822106,0.281514786055119,0.0373006750932233,0.214780441423441,0.0487189606876326,2.76900000000001,2.92000000000002
"11426-14","extra_heavy",2000,0.8145,0.981866468802016,0.494449382244378,0.261683486502527,0.943865606887042,0.305029447278712,0.280875053611991,0.0343557579330991,0.0453740151769911,0.0493888201026585,0.861060573784708,1.68299535352754,0.349514253400621,0.0391405903982372,0.238442280201293,0.0459548220687698,2.78000000000003,2.899
"11426-15","extra_heavy",2000,0.825,1.00983846575303,0.507153820916428,0.194523476009783,1.05582564440294,0.173419512960541,0.202218772186503,0.0375511863483359,0.0352370039930663,0.0496102305444442,1.01258433812301,1.05229342018709,0.245323164451479,0.0429580289261248,0.231085490645423,0.0475913301893758,2.77600000000001,3.02199999999999
"11426-16","extra_heavy",2000,0.825,0.989419418875037,0.423545936343331,0.291396271372198,1.02764743254905,0.232649281761024,0.32329085257844,0.0343236457745605,0.0603268048729049,0.0462132150608014,1.00372884533699,0.76581875749319,0.359175869499376,0.0404042432784443,0.230119303564404,0.0448059719387136,2.67199999999997,3.02100000000002
"11426-17","extra_heavy",2000,0.824,0.969145617695466,0.504933341220243,0.240575789388384,1.04836270795944,0.209636206411555,0.229991156167752,0.0345664802037065,0.0501968463477555,0.0518151358770555,1.00441284886527,1.03622001147045,0.283197545177869,0.0418974450665494,0.259783112493669,0.0478007896794182,2.66699999999997,3.01900000000001
"11426-18","extra_heavy",2000,0.8275,1.03723021138135,0.562268100546733,0.20622152991227,1.03042164963292,0.17718964659902,0.184264179777256,0.0362452816932257,0.0261385027807271,0.0492768555785464,0.979659800678908,1.26461216109533,0.243622426193447,0.0408114946257948,0.186858505650941,0.0484674461659464,2.77100000000002,2.87200000000001
"11426-19","extra_heavy",2000,0.812,0.966292748955586,0.492855019564332,0.309788467445299,0.942350581623823,0.609136662584883,0.34964486306024,0.0366241546662106,0.114715674059025,0.0533302246259419,0.895427320139566,1.14839534513402,0.409415425466789,0.0411190903487269,0.211340538587544,0.0490020015755449,2.77100000000002,2.88399999999996
"11426-20","extra_heavy",2000,0.823,1.04407389593622,0.453728199100782,0.23640805620762,1.0688906648975,0.18955639207984,0.204203621708386,0.0335234671881493,0.0356369573668682,0.0502400673170633,1.03012111670582,0.874854141686222,0.263010792989583,0.0375226596689025,0.189652519842597,0.0468550643525369,2.76900000000001,2.89099999999996
"11426-21","extra_heavy",2000,0.8035,0.994518727887194,0.438148483039719,0.289383379065755,1.0400514623539,0.113568795215432,0.286162453612434,0.0359429880054757,0.0273707117278846,0.0492059305555738,0.997166043164031,0.96743757806113,0.317228256541692,0.0416426420354769,0.232093357911681,0.0470698395236801,2.75600000000003,3
"11426-22","extra_heavy",2000,0.827,1.01228611417607,0.579902316316821,0.167794607575705,1.05098488872419,0.109553926749999,0.115340679883188,0.0323627619540742,0.0178981952385011,0.0540310682277737,0.989024916308864,1.33602230606267,0.211038870899511,0.0398377263177084,0.246702067994198,0.0482417510130434,2.62400000000002,2.99599999999998
