"sim","censoring","n","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_extrap","beta_extrap","gamma_extrap","se_alpha_extrap","se_beta_extrap","se_gamma_extrap","alpha_extrap_no","beta_extrap_no","gamma_extrap_no","se_alpha_extrap_no","se_beta_extrap_no","se_gamma_extrap_no","time_extrap","time_extrap_no"
"11438-1","heavy",100,0.49,1.00763590542196,0.56199993714641,0.230746938052976,1.07952583381558,0.567975627916689,0.217825193268841,0.172413888484554,0.318942706980204,0.200197663249916,1.08156655036436,0.643596832031225,0.251349370752976,0.189797595644395,0.495171469327136,0.194504187868688,0.819,0.805999999999999
"11438-2","heavy",100,0.51,1.07882310238037,0.844859176776336,-0.151568894768711,1.13911476757156,0.46748948393736,-0.277025721146674,0.170139883842405,0.176481612893543,0.234011704739818,1.07718669778246,0.888585231153382,-0.209494766917487,0.18457671388286,0.340520490269948,0.224106808785081,0.782,0.818
"11438-3","heavy",100,0.4,0.916397418927136,0.561738902156153,0.345711415701922,0.847513924203938,1.07041594779375,0.370253189804379,0.183383489757135,0.554180455494856,0.218739446786463,0.849451461438851,1.06132058959171,0.37989699585091,0.181867529590549,0.52089560185091,0.214085737665093,0.782999999999999,0.773
"11438-4","heavy",100,0.58,1.01120534526051,0.579762988376649,0.131457148540616,1.01240946790157,0.367032011621424,0.103976942546031,0.142272576768777,0.154753782449633,0.219136813868739,0.958714438745947,0.788957525576246,0.174831870062995,0.15428390371766,0.331924985073735,0.210276597526402,0.837999999999999,0.773
"11438-5","heavy",100,0.44,1.15585085675666,0.287434414690045,0.27872121217375,1.10591764800302,0.487645010836214,0.26481083076864,0.184897167383583,0.428492687422509,0.250898001154105,1.10935590642049,0.439320391698973,0.296874278205082,0.185394232591715,0.442165750475127,0.248916354561597,0.782999999999999,0.773
"11438-6","heavy",100,0.49,1.31886630622281,0.215433381558218,-0.0309713120391503,1.28279596181331,0.342059668071176,-0.0540954812943147,0.150337584444175,0.303290875346961,0.202025319588617,1.32395180809076,0.258827136215662,-0.0017484437045683,0.17138535364343,0.440827051384137,0.198953741354411,0.785,0.784000000000001
"11438-7","heavy",100,0.49,1.07621492284267,0.517796827055522,-0.0377947940360753,0.959833944490117,0.785199072748538,0.0659499141918,0.170973099424072,0.353420548063384,0.196318700446099,0.959789307407138,0.79493432877562,0.0933062619386693,0.177649076717468,0.406302651535451,0.197081073214811,0.77,0.783999999999999
"11438-8","heavy",100,0.45,1.01430165352908,0.509266188289387,0.239297374945156,0.89389587386073,1.00696770963722,0.329962414501729,0.19729445145376,0.447880988375112,0.20875665655338,0.890452118995661,1.09454695175653,0.341740063188273,0.203477176582711,0.512844634670399,0.206196857972811,0.769000000000002,0.780999999999999
"11438-9","heavy",100,0.51,1.45196323820154,0.692090965558882,-0.432701058650037,1.4414129944686,0.766321614260818,-0.515667263516932,0.175156799986009,0.244585144328854,0.255188032130963,1.40511889026475,0.950541138546718,-0.494623579815919,0.184625501590773,0.289966964686839,0.252584964302564,0.824999999999999,0.782
"11438-10","heavy",100,0.52,0.978704115505094,0.656299256462916,0.432622682079044,0.895493509065014,0.92987938599896,0.387033496053534,0.18105963939525,0.340419247141494,0.217117293311189,0.864076334976774,1.23770176778448,0.441988442077381,0.196591339560934,0.496483680443917,0.214431037824381,0.771000000000001,0.782
"11438-11","heavy",100,0.5,0.928825855358167,0.517660532670795,0.378207758990776,0.817231220982593,0.759083762894362,0.537076244030333,0.199691346103537,0.348533201094648,0.20214502136764,0.773269174610981,1.00648657543472,0.5328917921826,0.203512051178632,0.414392393090973,0.201938318699615,0.772000000000002,0.783000000000001
