"sim","censoring","n","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_extrap","beta_extrap","gamma_extrap","se_alpha_extrap","se_beta_extrap","se_gamma_extrap","alpha_extrap_no","beta_extrap_no","gamma_extrap_no","se_alpha_extrap_no","se_beta_extrap_no","se_gamma_extrap_no","time_extrap","time_extrap_no"
"11437-1","light",2000,0.1625,0.952688432181431,0.556763688913099,0.281880102307207,0.874425981824348,0.618904961043274,0.358873533019738,0.0389818349783785,0.0426074685066128,0.0494679134354789,0.873901355609888,0.616061313171736,0.35804652804411,0.0403115703646924,0.0423194790940049,0.0514150488654203,2.715,2.54900000000001
"11437-2","light",2000,0.1605,1.04936158947784,0.504846296333447,0.191518933369537,0.976824250645611,0.53667740090687,0.261158745706912,0.0377989158989981,0.0386541665600249,0.0485317550390534,0.979384791020659,0.529449981033263,0.260645539149195,0.038543190155476,0.0383783108405988,0.0497406343914897,2.77700000000002,3.017
"11437-3","light",2000,0.1545,1.00836877331199,0.535786714628025,0.215324836868207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.181000000000012,0.0510000000000161
"11437-4","light",2000,0.1755,0.990630995961943,0.474730514219574,0.189197654765489,1.01865033974162,0.484674748615628,0.0661100309069768,0.0370140736817834,0.0342673227880469,0.0488824967820981,1.02941599438191,0.459978843527524,0.0673318202523487,0.0360357375985176,0.033291187962834,0.0486332396640541,2.59799999999998,2.69
"11437-5","light",2000,0.164,0.976284264052076,0.493634710880383,0.311513363893012,0.980198989183114,0.489410169346458,0.31874933391928,0.0376529795413341,0.0382296875717836,0.0507906568647617,0.981890769593035,0.48963114227682,0.312762133729,0.0379656244012382,0.0372656972642956,0.0493353998707128,2.411,3.05699999999999
"11437-6","light",2000,0.16,1.04507048855886,0.455998208543881,0.239306365718976,1.03483398239101,0.508991316476952,0.212381606254857,0.0368634739559932,0.0329953919742983,0.0498703850510726,1.03832731378461,0.505310566421977,0.211708754251961,0.0373298363554207,0.0338565602103993,0.0492375262909912,2.768,2.767
"11437-7","light",2000,0.164,0.983334875464906,0.514167284532908,0.237682593251399,0.964051361506715,0.584738099717678,0.211040279844548,0.0364085053796248,0.0338063646583208,0.0488584096029994,0.968681922599319,0.575774708504538,0.208984120470243,0.0377862005882246,0.0327558817928339,0.0495995737122281,2.672,2.47300000000001
"11437-8","light",2000,0.1715,0.969394971397488,0.522955271549134,0.324987649430448,1.00329318666168,0.491029746090961,0.339969752852803,0.0394967054352134,0.038618524001731,0.0514212541228856,1.00545320352524,0.48609221812617,0.339507785833532,0.0402360070324287,0.0386454505014197,0.0519973962988496,3.114,2.63900000000001
"11437-9","light",2000,0.165,0.958232925151744,0.516895378029223,0.239839174693713,0.998084596058709,0.6438004574086,0.1076250006957,0.0371450842390725,0.0383787843598596,0.0464917397647225,1.00364288249064,0.630093444845652,0.111085337122343,0.0383005153477129,0.038225429223125,0.0462698759833174,2.68199999999999,2.47499999999999
"11437-10","light",2000,0.1635,1.01485593030279,0.465652223452963,0.322558414557788,1.00618198337107,0.504923498478992,0.302719272153076,0.0393355593848584,0.0397819443603355,0.0496866239858656,1.01021916047078,0.496276468594965,0.300848459554675,0.0383410749152212,0.0388844874056933,0.0493125214350215,2.98500000000001,2.75999999999999
"11437-11","light",2000,0.184,1.05636212622572,0.445314472867862,0.290125829974248,1.02754806028723,0.465809721063937,0.277727967196064,0.0412237609155152,0.0417277743402803,0.0492428066540995,1.0244015660714,0.462787187337599,0.277750960754769,0.0401586009976145,0.0416371034033001,0.0506609688636689,2.71600000000001,2.54300000000001
"11437-12","light",2000,0.1705,0.994339520682004,0.532080920002175,0.236924321828502,0.983151113321623,0.487292225472105,0.315430844514903,0.0378309500357963,0.0351718377430592,0.0492853026350674,0.983480285687225,0.478717599635055,0.31537036814948,0.0381789730322899,0.0339882115310657,0.0493164834827281,2.685,2.89100000000002
"11437-13","light",2000,0.175,0.992055253834935,0.432183451070488,0.295669067155191,1.00757138889073,0.454338036828944,0.26434669478617,0.0382020725000614,0.0399408553389844,0.0500806839241612,1.02006897787685,0.424236473100582,0.263342466927803,0.037076003179001,0.0358000461404127,0.0504635580157065,2.74000000000001,2.56200000000001
"11437-14","light",2000,0.166,1.01698423363464,0.560042152270219,0.193587215871309,1.00897236774816,0.620209799892725,0.116012640552107,0.0371494091003707,0.0381881833237181,0.0500433521094464,1.01157352668577,0.619213327407494,0.112619241589571,0.038846089053605,0.0386218267918052,0.0515795928866846,2.48700000000002,2.67499999999995
"11437-15","light",2000,0.1715,1.00675364378464,0.476358615646741,0.290595584784122,0.951764467421454,0.511294040711178,0.312473465333598,0.0382934220017073,0.0344278150273919,0.0497765722040138,0.973818939192422,0.459713672754307,0.310195350511168,0.0378742506428706,0.0302314469766152,0.0492187793524064,2.38499999999999,2.97399999999999
"11437-16","light",2000,0.1585,0.979797995497154,0.514951964373381,0.27695691799383,0.973349682187062,0.576732121214246,0.256581700630975,0.0391279695732739,0.0414954284028112,0.0500171691139317,0.979146009965616,0.563952394882636,0.253374024967014,0.0394311530495507,0.0399407585572464,0.0500061568450681,2.755,2.50599999999997
"11437-17","light",2000,0.1695,1.00872768900374,0.490000096022558,0.207468181119317,1.00304323513487,0.526445535845258,0.183677162789159,0.0371429894450224,0.0402735898947971,0.052579276458972,1.00317919641338,0.521868149911319,0.187350555717088,0.0380404890558219,0.0390708033274246,0.0528996965442568,2.75099999999998,3.12299999999999
"11437-18","light",2000,0.172,1.04166396395196,0.503953894631191,0.209685823827476,1.06214767106513,0.490213647241566,0.241815469933525,0.0369954435107665,0.0359363558226372,0.0494204486261896,1.07268686225326,0.462378865735299,0.243617584568288,0.0372549716357455,0.0333381478284849,0.0488072176390424,3.30799999999999,3.21099999999996
"11437-19","light",2000,0.176,1.00228715668224,0.489014778311408,0.215266466525101,0.947763605730792,0.482093254234177,0.318901433414872,0.0379600019264289,0.0363661967225284,0.0506796278586475,0.963135378842223,0.441901955238506,0.331948751288147,0.0379081874318721,0.036887055227482,0.0519604170719305,3.34399999999999,3.18099999999998
"11437-20","light",2000,0.168,0.97764256606146,0.532957641801127,0.236126871797169,0.912927413976381,0.619860106575406,0.233917642474497,0.0366110015675426,0.0380772615395692,0.0494903816347621,0.918700856411734,0.612678005288939,0.230520494794255,0.0376658463056266,0.0397899715370347,0.0517852577525569,2.95600000000002,2.654
