"sim","censoring","n","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_extrap","beta_extrap","gamma_extrap","se_alpha_extrap","se_beta_extrap","se_gamma_extrap","alpha_extrap_no","beta_extrap_no","gamma_extrap_no","se_alpha_extrap_no","se_beta_extrap_no","se_gamma_extrap_no","time_extrap","time_extrap_no"
"11432-1","extra_heavy",500,0.776,0.904536431937977,0.459669770136869,0.37569780406172,0.978995191520225,0.388979857307409,0.437546342261927,0.101068603746683,0.260785443934436,0.0766262633157029,0.914891329575837,0.68068161404371,0.443289974133736,0.108871097648933,0.331294073496327,0.075456056006265,9.35499999999999,1.13500000000002
"11432-2","extra_heavy",500,0.8,1.05134272739186,0.537658500771541,0.205169218989589,1.11960099027074,0.355546216665236,0.0527121128275456,0.105239982981463,0.064298950088794,0.0944132521634826,0.897870891996049,1.52570437843553,0.192342683624589,0.104428589151222,0.253468482594189,0.0837165046717662,4.81999999999999,1.15100000000001
"11432-3","extra_heavy",500,0.792,1.06648012701633,0.499706473147469,0.209615951565834,1.0570647628561,0.268519834588528,0.251217566220119,0.102895363878169,0.0755878217011789,0.0715068365623636,1.01875943331755,0.658634897200095,0.278737875136235,0.10974836111561,0.203319738510157,0.0686203266040203,5.012,1.14599999999999
"11432-4","extra_heavy",500,0.768,1.07366126860956,0.512322495315463,0.195982902070836,1.02203572210717,0.614376426279839,0.258124721159502,0.103769278101163,0.176913056329508,0.0735866023627813,0.988400846123746,1.26982516411934,0.244405981528936,0.110063032290438,0.340198250803324,0.075855023526741,7.541,1.14100000000002
"11432-5","extra_heavy",500,0.796,0.78391664863457,0.591930212867195,0.318765045065887,0.835877534472571,0.809620929844895,0.254382674009918,0.107784859074282,0.161574410012601,0.096984733751894,0.751231875222597,1.03049400016839,0.309135397491764,0.108263892702174,0.212372386391285,0.0926660050819084,8.071,1.143
"11432-6","extra_heavy",500,0.778,0.940969912331975,0.429436148209404,0.369724831408349,1.07116089864522,0.533727294196049,0.2932307299024,0.109020510536963,0.187685734027753,0.122487109736412,0.92690050076556,0.860985970034557,0.400223197624356,0.109613678142452,0.306696051027121,0.105227995877476,9.404,1.124
"11432-7","extra_heavy",500,0.812,0.923493325184115,0.467907616110676,0.373173243151489,0.980676160088304,0.202781119182888,0.499580775965305,0.10331977978529,0.190572363948942,0.0891950977447383,0.948271694364873,0.369542167737268,0.498530801287795,0.106898775402988,0.249273028076041,0.0839587075787163,8.69400000000002,1.13900000000001
"11432-8","extra_heavy",500,0.8,1.0119525931089,0.479265513993611,0.255476832136231,1.07814206629714,0.824499405476066,0.151063382824682,0.101931032429195,0.193920295547211,0.0782807134335408,1.02374263194801,0.966626354905196,0.204162745039771,0.108640112536103,0.244658424877345,0.0787042985021025,7.02700000000002,1.14599999999999
"11432-9","extra_heavy",500,0.79,0.910223102393532,0.520018169307572,0.276291497999651,0.92013521540165,0.598863457526347,0.299407128535116,0.103082764804541,0.183855665850258,0.074585869364872,0.854911711402434,0.932710810112958,0.328814409704572,0.11152713189764,0.26776632076046,0.0734844793245026,7.86099999999999,1.13999999999999
"11432-10","extra_heavy",500,0.758,0.966319690006485,0.559316646745656,0.287275726197641,0.987069132120447,1.19568481235377,0.261754949154704,0.113477240708012,0.268318422809538,0.0946207523068615,0.88133607696219,1.70068327189006,0.255479268561859,0.121398464101972,0.314252044213653,0.0969364303326393,10.109,1.126
"11432-11","extra_heavy",500,0.762,0.991405606692552,0.49546740490073,0.265453696563888,1.09003454353234,0.372516458280011,0.262059163883654,0.0954649387384683,0.108932439558719,0.0867061454999721,0.970705340023185,0.784093228435963,0.348937061654347,0.101827465203,0.238485605855006,0.0802685781712363,6.78900000000002,1.137
"11432-12","extra_heavy",500,0.782,1.07189432277562,0.46455641283737,0.278030847507679,1.0301127340938,0.324888000139245,0.410990059387882,0.108028136199812,0.190631226139665,0.0900432573744977,0.934682254228806,0.723157230904291,0.425458469790613,0.111364193848631,0.261295010675818,0.0840680197514914,9.15100000000001,1.13499999999999
"11432-13","extra_heavy",500,0.812,1.11884115769436,0.510705539960015,0.172309357224435,1.25989704689746,0.225918115503046,0.117582432208832,0.107375783737288,0.0633483516346024,0.0997887433464931,0.998734375390702,1.24705121162906,0.253540695015095,0.107553099586754,0.285349397313106,0.0825938659387001,5.49300000000002,1.13300000000001
"11432-14","extra_heavy",500,0.76,0.954493484790567,0.529935764240334,0.290372376260131,0.906786390627414,0.871179417220935,0.39968645176046,0.10439369961921,0.253649085553545,0.0788896209895694,0.907591057227037,0.952053470156296,0.406627931315636,0.107613384714343,0.336009521755771,0.0806184264786026,9.06399999999999,1.142
"11432-15","extra_heavy",500,0.754,0.783532230851778,0.551948199880978,0.349918309924945,0.795816956227895,0.845460187006219,0.435277196004168,0.107558031355407,0.298927680885954,0.0848493725102713,0.733608983171289,1.1441278119587,0.435495914971596,0.106314360427091,0.330919548121253,0.0799467840657507,9.62099999999998,1.13800000000003
"11432-16","extra_heavy",500,0.78,0.9930048489114,0.510599725735361,0.231124328220282,0.912902944392291,1.46240656730607,0.156365381125284,0.112190938031343,0.234766491938677,0.0926485795296356,0.748104315306302,2.12716332568253,0.208006638717628,0.116908001809851,0.310349794357361,0.0898849902465284,8.858,1.13100000000003
"11432-17","extra_heavy",500,0.782,1.05458893005308,0.568802213090577,0.249428990680585,1.05665533363253,0.592483305553338,0.295480742939808,0.113565542212599,0.163204631178876,0.107838467989998,0.852986550583507,1.32242419338636,0.373446493380511,0.115419673132864,0.269727880728231,0.0954040306311261,8.32400000000001,1.13
"11432-18","extra_heavy",500,0.766,1.13234842252577,0.499539446118566,0.147769995278089,1.21335617510831,0.65022199336399,0.135650889103033,0.115971524589658,0.261598775675369,0.0907151192245483,1.16588645952801,0.973627782777985,0.149650411948553,0.124350883056275,0.352764103201724,0.094302992656441,8.44400000000002,1.13300000000004
"11432-19","extra_heavy",500,0.812,1.08593582014219,0.484764128484261,0.187418932600555,1.15988274470734,0.471733167786571,0.133089846287922,0.115984495035803,0.137647575580957,0.0741660682651804,1.16363715450069,0.795744524157629,0.110721789935498,0.115233442068778,0.238999208989982,0.0707390779129125,7.99099999999999,1.113
"11432-20","extra_heavy",500,0.754,0.950197482851811,0.483102357918138,0.326008569087785,1.03095476857195,0.258365464003065,0.304118558549703,0.0967279303167098,0.0918852029407593,0.0825840758914558,0.905680409351296,0.7993880173582,0.358085910411238,0.100818377235526,0.232717883876052,0.0742157551619459,5.30000000000001,1.13
"11432-21","extra_heavy",500,0.778,0.981138121130605,0.57792695111744,0.178903838742618,0.970985632336778,0.277985367299263,0.251210712485278,0.107738954172341,0.0813490592688681,0.0770224589170436,0.790716276070274,1.38313124768498,0.312035336783252,0.116176549236444,0.302326679642153,0.071962742103877,4.98899999999998,1.25400000000002
"11432-22","extra_heavy",500,0.754,1.03539443028928,0.541484890803783,0.235374260956278,0.908047503594458,1.06221034881611,0.373018103661971,0.116572826539344,0.253042506055741,0.089434974761988,0.797455862275018,1.42695993812815,0.379518097804639,0.119525861737173,0.292836834481637,0.0898182221275674,9.38200000000001,1.14299999999997
"11432-23","extra_heavy",500,0.792,0.997553041468547,0.451812595669587,0.301406863682183,0.925473881654054,0.628970119600726,0.363448178097775,0.111097812474092,0.171174196104011,0.0897358917652762,0.836011239307562,1.01174004615621,0.389531746853926,0.114373733799392,0.257387167671266,0.0869902406607492,9.51600000000002,1.24099999999999
"11432-24","extra_heavy",500,0.772,0.874342742529856,0.491605244599098,0.299796932119795,0.933356895593638,0.051684014344756,0.42521002870241,0.104014014612731,0.0812061953460108,0.100665981232237,0.781895296593057,1.00619789937648,0.389534027850964,0.098111897651723,0.301034118005005,0.0834280879219951,7.69400000000002,1.108
"11432-25","extra_heavy",500,0.792,0.988749494228903,0.347615376701308,0.380983348520944,0.912900829867032,0.521524226023964,0.411948085690426,0.101820423786524,0.172091599779114,0.0844858117986749,0.862427725233685,0.682588304440577,0.438600953101095,0.106712858674207,0.215625648008982,0.0837540289174337,8.03699999999998,1.12099999999998
"11432-26","extra_heavy",500,0.756,0.969916125196757,0.420231578425935,0.298881405276508,0.969519765486929,0.103675799228993,0.456454131206022,0.0975029801855798,0.249255680826103,0.0796748646278806,0.927051418773197,0.396644160757842,0.452121593029913,0.105829123146124,0.330043294030715,0.0811535336284358,9.11399999999998,1.12299999999999
"11432-27","extra_heavy",500,0.77,0.942235541727939,0.475245366771377,0.248247210611176,0.976054411096591,0.669223524777189,0.214867807449704,0.103540894119912,0.167356636260805,0.0837857552765251,0.873572483852402,1.08365512673557,0.284209584694029,0.114545542592192,0.296073069888316,0.0818613051621769,8.202,1.10900000000004
"11432-28","extra_heavy",500,0.8,1.04595342960939,0.438053314627811,0.221919594750036,1.10039787770838,0.158412332065926,0.228720913326458,0.101601249724079,0.0557748225444634,0.0954465237871183,0.888836172585127,0.815196532428794,0.343680003954907,0.105316289268859,0.222615382486117,0.0809820195359378,5.00999999999999,1.12200000000001
"11432-29","extra_heavy",500,0.788,0.985365957849791,0.546434053820873,0.191135700020738,0.855007295815833,0.994285630903202,0.22024261168478,0.10727125256784,0.163386920669785,0.0732610961761672,0.749409918491188,1.87399300906998,0.257426275556853,0.112765451258853,0.290056009165426,0.0724946902129133,7.26999999999998,1.11899999999997
"11432-30","extra_heavy",500,0.79,0.946090977122659,0.545988325445536,0.237233589773343,0.878546473182686,0.964121763876817,0.268306634152091,0.113146271873731,0.186720881615874,0.0799097490167332,0.834611850414703,1.53415921409591,0.254565542924345,0.11494883328219,0.291306588650353,0.0793542124324493,8.59699999999998,1.09900000000005
"11432-31","extra_heavy",500,0.782,1.02281054757775,0.396794031144212,0.259034378383584,1.07871588590353,0.0796639603972252,0.353138201665527,0.0927845935045397,0.0936245075544159,0.0854432983854383,0.994194492316128,0.485786290662444,0.376459416601661,0.102413479650375,0.299055554304271,0.0747119615671862,6.08499999999998,1.09499999999997
"11432-32","extra_heavy",500,0.776,1.17956876929777,0.523428531070185,0.0791532123287893,1.09286181457424,0.560397227040558,0.169100025862737,0.10474445892694,0.16656858201179,0.0901901077224649,0.958663876796337,1.15295130615823,0.194945852815304,0.111646789038098,0.241897675215596,0.0863336082921597,8.38,1.09200000000004
"11432-33","extra_heavy",500,0.782,1.00413276932237,0.477050245691481,0.260076718206315,0.944039355738443,0.426387825568509,0.43920160285508,0.104042846241591,0.249871265514476,0.0832731935605877,0.836136432490231,1.00367586500195,0.409112439657221,0.114480081621389,0.291337610808004,0.0843289463877921,10.41,1.09800000000001
"11432-34","extra_heavy",500,0.766,1.10791281350473,0.653931605119199,0.145525516758412,0.898379231752246,1.03663521522354,0.312450720140311,0.112371941086584,0.198493821705686,0.0812965496750065,0.840577050453754,1.72795849488174,0.330537755001392,0.119495522308702,0.349492480761651,0.0800365742286135,7.03000000000003,1.09899999999999
"11432-35","extra_heavy",500,0.78,0.896690223989636,0.519712647604823,0.252777297207008,0.91076400229169,0.698143851985079,0.263791452994165,0.105779256242015,0.235866575572862,0.107318699583577,0.848997839193142,0.799185832575321,0.307041762281033,0.105152057659604,0.259348626531437,0.100135801679024,8.70999999999998,1.10199999999998
"11432-36","extra_heavy",500,0.784,0.954423104430031,0.455683989400158,0.280717133731779,1.11738124766695,0.207216702799738,0.210427062357883,0.0977513169630942,0.0782459429123394,0.0812273835205735,1.05855251426138,0.511493902321778,0.252088327496136,0.100812349218175,0.182378595048497,0.0780871552403398,5.01299999999998,1.108
"11432-37","extra_heavy",500,0.77,1.15144349553425,0.483568140333018,0.132870782386305,0.99469660855535,0.987634440937464,0.219538503295701,0.104062712625816,0.24354664915779,0.081798436443753,0.870190415255448,1.60848663800753,0.229100945555124,0.109637255145095,0.302414316914315,0.0784001089684464,8.59200000000004,1.10599999999999
"11432-38","extra_heavy",500,0.81,0.982477281944118,0.55670344727251,0.212887246724694,1.21658625784356,0.216507059142518,0.163221282722439,0.120041691136723,0.0986187866981434,0.122784027869808,1.03158590564164,0.89033738038786,0.265381371262284,0.113779850288187,0.38305398903282,0.0990607034032727,7.87900000000002,1.10899999999998
"11432-39","extra_heavy",500,0.766,1.18597697404926,0.412521909960245,0.166171260312369,1.13425974258416,0.657143001049084,0.189231551643563,0.0921805607600276,0.163972280947308,0.0751686036666847,1.05024010858248,1.1951224865904,0.227343231012179,0.0989581394194745,0.270923354161153,0.0753924486056059,7.45000000000005,1.09399999999999
"11432-40","extra_heavy",500,0.8,0.771968258195813,0.495136582598482,0.489740808932301,0.66658716013258,0.955292299740557,0.531155366206672,0.102950717347426,0.223247652972315,0.0782291903153371,0.60315278538957,1.29518931920268,0.551339913422411,0.109335188245253,0.28030944566518,0.0802504837199167,7.91499999999996,1.10300000000001
"11432-41","extra_heavy",500,0.774,0.875849087351669,0.47189716296585,0.35965619889402,0.882738397897164,0.764266391909099,0.356576048141488,0.104245203581707,0.183806771344282,0.0820137754349443,0.757387976844179,1.06929070868198,0.415648059721703,0.113092386039773,0.249825921239098,0.0807588476902324,9.15500000000003,1.10900000000004
"11432-42","extra_heavy",500,0.766,0.963591508447283,0.460487951175803,0.295673226572053,0.988810072167271,0.37402248301073,0.27862685006154,0.0984186679764516,0.115746240399076,0.0891625251466797,0.749201345434958,1.5418364119208,0.368426616974186,0.109510489964498,0.333826652689795,0.0774302389153842,6.39499999999998,1.09500000000003
"11432-43","extra_heavy",500,0.742,1.00998511962525,0.472746612812623,0.247764176500655,1.05059845801957,0.536534304703575,0.242178552526941,0.110483316618865,0.147582181035971,0.0907842036369145,0.960664277773619,1.0889066612615,0.291864756543863,0.112445479260953,0.298585240912064,0.0832024239457247,6.48400000000004,1.10500000000002
"11432-44","extra_heavy",500,0.792,0.987912865184364,0.420255731832276,0.313414153136782,1.04363819829584,0.594241854176614,0.289975858005317,0.0964117617072733,0.198289329948998,0.0800640821856443,0.961284432188385,0.792482020308457,0.330892345935677,0.100241809455919,0.242404374783131,0.0739485673201261,8.34900000000005,1.09699999999998
"11432-45","extra_heavy",500,0.78,0.928258428585089,0.544388222036987,0.325707681076069,0.814287036807433,0.691151570681908,0.404241882334386,0.113627077962649,0.150887424704615,0.0848167439670873,0.779905396395614,1.08520354162955,0.427837573041781,0.115979278205532,0.264809848813297,0.0847409945710877,6.67099999999994,1.10700000000008
"11432-46","extra_heavy",500,0.796,1.03685803213182,0.553267445195571,0.201413498166577,1.04052971486727,0.951960712898244,0.194601661977889,0.105741265178913,0.212965684418249,0.0936563303315279,0.88870333519914,1.42454979238432,0.233713481780485,0.113618827660785,0.25912869308194,0.0961398286571455,9.14300000000003,1.11400000000003
"11432-47","extra_heavy",500,0.778,1.04793489711908,0.432611360635339,0.266228026782543,1.08714148618763,0.371742249131049,0.236857957286905,0.105156210268049,0.0986398380208608,0.0950873356956854,0.959195569024314,1.06253897408441,0.324736436909338,0.116529098394472,0.279743165660034,0.0922796400178308,5.64400000000001,1.11000000000001
"11432-48","extra_heavy",500,0.788,1.03636714622991,0.507818109739152,0.182803862261377,1.00049005687385,0.131920375083406,0.340416081201878,0.101200516128386,0.111714287420451,0.0969423689095272,0.829681865249942,1.15093827476751,0.3352502888046,0.108306049351038,0.302009496596538,0.0837366431568851,5.97900000000004,1.23900000000003
"11432-49","extra_heavy",500,0.796,1.07635649051119,0.504895138551291,0.24352754949615,1.24201128946775,0.025388107548177,0.296262596228899,0.0869451532262188,0.0299939822246354,0.0739773464182659,1.11637465536228,0.648915032324476,0.282188739725349,0.0936567622994046,0.228937763451787,0.0622800948389169,5.24300000000005,1.11500000000001
"11432-50","extra_heavy",500,0.784,0.822621352516664,0.575093268231396,0.365180224435496,1.1410226255762,0.508673809129009,0.136098997648948,0.112312301380264,0.252730200557461,0.115894728976518,0.869613199041253,1.29393029964561,0.284328135780388,0.120977397342823,0.29337803089939,0.100559943789853,8.14700000000005,1.11599999999999
