"sim","censoring","n","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_extrap","beta_extrap","gamma_extrap","se_alpha_extrap","se_beta_extrap","se_gamma_extrap","alpha_extrap_no","beta_extrap_no","gamma_extrap_no","se_alpha_extrap_no","se_beta_extrap_no","se_gamma_extrap_no","time_extrap","time_extrap_no"
"11440-1","heavy",500,0.508,1.04188174143107,0.534792563744194,0.215147821820384,1.0725447703825,0.659119841048552,0.229711920609102,0.156024985459009,0.154672572304937,0.126389901205236,0.917168781151041,0.860969719833069,0.197729768811973,0.164577651973691,0.164911470420948,0.123706303070075,7.58800000000001,0.674000000000007
"11440-2","heavy",500,0.512,1.12755809174979,0.4227508197006,0.227934739143356,1.20778541960234,0.228665912797777,0.323592587063953,0.139075792372642,0.119719312875019,0.107948947050495,1.09234430357668,0.449494369789387,0.257153200779541,0.143114983609908,0.13166801383859,0.106225210580282,8.03399999999999,0.667000000000002
"11440-3","heavy",500,0.482,0.943166490628312,0.437871722642558,0.274487845139852,1.0933337555039,0.281901744406144,0.293377673007312,0.135933011073784,0.117586767827464,0.11433427707984,0.975314239747657,0.459084125893159,0.269380242345056,0.142161894127919,0.14804517291395,0.114543094621173,7.81799999999998,0.778999999999996
"11440-4","heavy",500,0.466,1.23078825313798,0.526564543917335,0.0946093548536925,1.22098356721418,0.517645139999055,0.218552308118495,0.155250824770506,0.177349605871632,0.118905843236493,1.13324872724874,0.722819951381637,0.158878423178597,0.161390037834939,0.185543003794417,0.118707084034277,6.82399999999998,0.784999999999997
"11440-5","heavy",500,0.5,1.10909846636427,0.532527252907191,0.137478902517152,1.20999140499561,0.364034662535695,0.216648900022728,0.142659909654524,0.133447021317915,0.11001119306032,1.07853903234353,0.503035219117305,0.207337735665315,0.157892519030995,0.154105922350222,0.112515696976075,8.113,0.776999999999987
"11440-6","heavy",500,0.496,1.13441398830827,0.479401333073272,0.178633321525044,1.26339367594105,0.198507433685491,0.256755013710638,0.153886558135163,0.168944980911283,0.125605699313818,1.1600812593339,0.529828790512847,0.166503768740982,0.162311273533783,0.183231674087899,0.126429328950477,7.85900000000001,0.669999999999987
"11440-7","heavy",500,0.49,1.05172198673131,0.47177275342794,0.259802511536999,1.10120931450891,0.419821834029483,0.33777338995318,0.14124209477946,0.131809788848621,0.118482859476555,0.998723553862464,0.667434915057025,0.260693372759069,0.143336844274796,0.161613771711996,0.117020527694511,7.38400000000001,0.689999999999998
"11440-8","heavy",500,0.542,0.978136804353921,0.473175630193747,0.303562625381928,1.09268869575657,0.289383242086609,0.369407694316198,0.151005387068244,0.123161628663243,0.124225686009815,0.982646895513958,0.576183797879054,0.268684240040202,0.15641078948718,0.146149897579072,0.121953724489628,7.626,0.698000000000008
"11440-9","heavy",500,0.484,1.04212357741833,0.56702163967669,0.226495179475694,1.08945869015952,0.623457202327779,0.271398290111585,0.150745564347849,0.108707011287076,0.118635395842644,0.879087552485287,0.847253666359433,0.259592585416968,0.164889400708498,0.137773789476005,0.116654596063886,7.55500000000001,0.783999999999992
"11440-10","heavy",500,0.462,0.892885286225369,0.458308072743757,0.302513805256943,0.976454533646056,0.34651119180428,0.348695441413985,0.143704154678328,0.130953995307605,0.110836781948193,0.852910186218962,0.614068073805479,0.310069989261791,0.149519037744855,0.167580776579711,0.109821015658735,6.94,0.773999999999972
