"sim","censoring","n","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_extrap","beta_extrap","gamma_extrap","se_alpha_extrap","se_beta_extrap","se_gamma_extrap","alpha_extrap_no","beta_extrap_no","gamma_extrap_no","se_alpha_extrap_no","se_beta_extrap_no","se_gamma_extrap_no","time_extrap","time_extrap_no"
"11431-1","light",100,0.14,0.851090832130306,0.322114620575722,0.419275868564936,0.834232115627394,0.314969309502853,0.438353221326591,0.280210352063615,0.148477105242163,0.216741703611023,0.780383243781829,0.35099300760597,0.455279028050821,0.290711253560835,0.157490679201889,0.218018197058865,0.984,0.582000000000001
"11431-2","light",100,0.11,1.3275759063307,0.665860948170491,-0.105528949220186,1.20219853984539,0.919751606773079,-0.0264239968124773,0.304196713438265,0.263606340175539,0.232385346701587,1.08415574608027,1.11434519678586,-0.0293303334392693,0.287726562250566,0.270293475648519,0.220698717788409,0.793,0.545999999999999
"11431-3","light",100,0.15,1.09869688408732,0.536111320790573,0.172524034462183,1.16827796982677,0.419248346231428,0.148035058400272,0.229969028433702,0.0789849064432535,0.172236729072817,0.960272275764452,0.620069386440879,0.239598207229951,0.257466387293352,0.12738282127636,0.184555875873556,0.815,0.617000000000001
"11431-4","light",100,0.1,0.370450850997434,0.718889460817113,0.621352338673318,0.358239050016819,0.67667736803433,0.678467756255307,0.327847805237954,0.199363002197922,0.256913617479817,0.33335358113619,0.724391224095234,0.648360237285387,0.327577791442378,0.20227389746818,0.249997315927998,0.824,0.548
"11431-5","light",100,0.15,0.977260947649649,0.453497729091044,0.275020657255541,1.05931601388057,0.465068209680769,0.231652822363488,0.343067052212688,0.178320277404949,0.30717087829804,0.989873122552485,0.481005822577704,0.265941863911145,0.34830702907714,0.237174328055316,0.303371862108173,0.937000000000001,0.555
"11431-6","light",100,0.17,0.843502501078825,0.60652472546203,0.284846766618637,0.749157741797292,0.509679210286173,0.512782578576953,0.407325937428956,0.308382079523524,0.314720063496025,0.757336224631535,0.61309152081065,0.415643385041891,0.3759270479813,0.284440756986108,0.300495176457616,1.024,0.555
"11431-7","light",100,0.07,0.918071182163229,0.566788723723579,0.156070428237827,0.848568201374325,0.783469265382964,0.160766828705729,0.381087428780514,0.260840534664944,0.281082788248219,0.899056592977915,0.812635158849294,0.0782768927300777,0.381575634658024,0.269023946896943,0.277530781381458,0.681999999999999,0.553000000000001
"11431-8","light",100,0.07,1.23915480945779,0.439367003603105,0.102277056458078,1.24303962661097,0.434978825772389,0.107883426393853,0.330214880031172,0.203969660353104,0.25844044637451,1.1686823006625,0.558981599442785,0.110250341605984,0.344970561669138,0.23061698182731,0.264017245697621,0.685000000000002,0.553999999999998
"11431-9","light",100,0.18,0.363468119869743,0.709329240142163,0.61937315017127,0.427549026557961,0.718377905327826,0.586988084491089,0.336287300753811,0.176012647961652,0.257317723948474,0.422444947506719,0.726808336988126,0.521051489710541,0.336497125039081,0.179985346300276,0.258295153973811,0.974,0.551000000000002
"11431-10","light",100,0.09,0.832686826603854,0.531382432700381,0.429802812473766,0.868874961413763,0.484372693023333,0.426861706434565,0.36885689355647,0.243939064298634,0.316196088412526,0.864881241060252,0.508092450751185,0.399421783010099,0.359329706774885,0.237509760774581,0.306980126576993,0.844000000000001,0.547000000000001
"11431-11","light",100,0.0600000000000001,0.931033929446894,0.387799146297473,0.339016855102079,0.965880201646893,0.475274322105724,0.285901916969841,0.353528670636945,0.271388277121641,0.290347599670889,0.935344472165497,0.475115766700267,0.310354041206445,0.367298725378636,0.268514466759502,0.281955276327126,0.721,0.545999999999999
