"sim","censoring","n","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_extrap","beta_extrap","gamma_extrap","se_alpha_extrap","se_beta_extrap","se_gamma_extrap","alpha_extrap_no","beta_extrap_no","gamma_extrap_no","se_alpha_extrap_no","se_beta_extrap_no","se_gamma_extrap_no","time_extrap","time_extrap_no"
"11437-1","heavy",2000,0.4935,0.952688432181431,0.556763688913099,0.281880102307207,0.98948154560798,0.409516914254846,0.253127282313364,0.0505217279823313,0.0701524911385388,0.0728113350180902,0.942974974182769,0.385748215940847,0.413014071247707,0.0564177724627404,0.0744230362353135,0.0679543908712936,132.627,1.60699999999997
"11437-2","heavy",2000,0.4925,1.0083169807092,0.456487037770641,0.232779077391682,0.992555690064303,0.559868804152545,0.252406126680836,0.0558592565379737,0.113055112466806,0.0657638096495585,0.976128099531779,0.469223087679797,0.338880210539706,0.0570848157612869,0.103021079576602,0.0634256590564716,101.322,1.49099999999999
"11437-3","heavy",2000,0.49,1.02753870272521,0.476601601472517,0.293954738972632,0.998137743052775,0.587945576005101,0.305559861781206,0.05511890611956,0.101957122637949,0.0693277565806457,0.974218544823742,0.51400241402838,0.410512736302535,0.0576947435237834,0.0964079611524235,0.0641380594733526,116.027,1.49399999999991
"11437-4","heavy",2000,0.4955,0.964448631508936,0.520997213036498,0.334710250455683,0.930007612528927,0.671782062327205,0.31763959682338,0.0560453784372183,0.102866583821587,0.0697143538817012,0.883926689876714,0.623411792539194,0.4381383260053,0.0595048916573478,0.0981639564928594,0.0674246458686257,98.1579999999999,1.49600000000009
"11437-5","heavy",2000,0.4785,0.965276002063562,0.501935467165504,0.275666509023912,0.942412008506909,0.591148990960664,0.267166686864626,0.053603147986892,0.0939070236640291,0.0707837586980534,0.913960637728594,0.503685205642136,0.390839236712562,0.0585074078655925,0.0905195830315713,0.0668374852489023,127.555,1.49199999999996
"11437-6","heavy",2000,0.4905,0.971260265345061,0.543690194358076,0.251308856521691,0.984365409824384,0.477734652058504,0.243075298962975,0.0548135971704142,0.075328340825488,0.070620462341378,0.928380186403686,0.509414189663962,0.372586305844819,0.0578993710169753,0.0840294507631654,0.0648744861658814,97.2220000000002,1.50200000000018
"11437-7","heavy",2000,0.478,0.956347220855813,0.508831038259822,0.267441228949085,0.940848502233951,0.547703128325008,0.284072366183605,0.0538513863505152,0.0912880467022597,0.0675068451673533,0.903343479682133,0.488112096232201,0.390755836101332,0.0571594460687095,0.0817542738106546,0.0651759497256056,133.007,1.49400000000014
"11437-8","heavy",2000,0.5025,0.986833564588961,0.522944005927922,0.192146675230115,0.96228241038179,0.60056813609829,0.232058368876309,0.0554510605107009,0.0978983549304326,0.0687272030859996,0.92971088555885,0.580726773779248,0.320266633066793,0.0593292447238581,0.101343550454311,0.0656131813656758,89.4970000000001,1.50300000000016
"11437-9","heavy",2000,0.4865,1.07042202101481,0.51669914757842,0.158533451220359,1.03164146319634,0.631354536574057,0.178999345818468,0.0549141502061059,0.0988109535893432,0.0719956675975415,1.01312552728731,0.544405962441624,0.303339504203831,0.0599849884636072,0.099277733117465,0.0682489487511074,109.277,1.49900000000002
"11437-10","heavy",2000,0.467,1.01480131959801,0.553647780352476,0.175087463631873,1.02603984095968,0.486123344040076,0.1961771900946,0.0525242295405773,0.0806054771214882,0.0674492084845446,0.992608920142046,0.46566201828148,0.280000593308184,0.0593026383842255,0.0845410703566712,0.065620684603835,134.247,1.49099999999999
"11437-11","heavy",2000,0.4805,0.986500302828649,0.521163308577351,0.324106169990629,0.990062614488519,0.506072789093346,0.335913947341118,0.0522279304212772,0.0866765324980107,0.0693195427388053,0.937391158965456,0.509065368012251,0.462743212129856,0.0601451421653902,0.0898488929296375,0.0647786527612315,147.552,1.64499999999998
"11437-12","heavy",2000,0.5085,0.927744150675082,0.508889012477887,0.266182637012934,0.925460507143715,0.500025333998466,0.3061313719646,0.0546453612156522,0.10212233138414,0.0696403413518416,0.904255638828421,0.42705156192493,0.394338048961075,0.0598459752267558,0.0910195400319261,0.0655613485576634,138.792,1.51399999999967
"11437-13","heavy",2000,0.474,0.947704612940089,0.517084270024509,0.244067556095205,0.944459960364585,0.507461175456224,0.262014962939858,0.0536048248305117,0.0828465993944738,0.0693440656964374,0.906900286791769,0.483846626016549,0.392281621314725,0.0580232627597435,0.0905415919275464,0.0662269010882638,108.635,1.50199999999995
"11437-14","heavy",2000,0.493,0.973595905923193,0.475947099454468,0.272112363873974,0.977329576736572,0.470321222887128,0.293841333837427,0.0519172413293716,0.087354881818347,0.0701583242289857,0.933163485849549,0.421276460816231,0.407881482499234,0.056288734138997,0.0832679809735053,0.0646058551759288,109.404,1.49600000000009
"11437-15","heavy",2000,0.4775,0.980277757900917,0.537973664122849,0.285101252623297,0.985953899073104,0.547741118912669,0.264917706961278,0.0500832242507991,0.0844099280095632,0.0685520923144918,0.952019215164857,0.423956692191733,0.412621267290946,0.0553185771051384,0.0728628863027553,0.0614105152848285,85.1259999999997,1.48500000000013
"11437-16","heavy",2000,0.4895,0.969938411252397,0.533652030868275,0.256290763945273,0.973266365575339,0.508698529484256,0.276112775338606,0.0527830155893396,0.0894542456932509,0.071027707232999,0.947502916138157,0.492758047727956,0.389616114183233,0.0571992780509997,0.0989968850227426,0.0660711319240313,83.6240000000003,1.4989999999998
"11437-17","heavy",2000,0.487,0.965259739324534,0.529125494551266,0.306233220507231,0.951984602765821,0.572629446014051,0.298169613106941,0.049770868599467,0.0878620276813063,0.0660179059864248,0.921617565843955,0.462160486119086,0.442163718637464,0.0566002718281277,0.0829978718636673,0.0622572529116461,139.293,1.64599999999973
"11437-18","heavy",2000,0.4845,0.972297046049034,0.493806521317599,0.312266457961021,0.956089369325677,0.572142418944938,0.271584190341237,0.0508563840538039,0.0912225760118741,0.0688686195514629,0.931204260357432,0.458593680189921,0.418227209237625,0.0572194608329476,0.0874728086812679,0.064520517299312,113.093,1.50300000000016
"11437-19","heavy",2000,0.4825,1.05305229318599,0.481181021412532,0.230088513651711,1.05516108957546,0.477594194892272,0.245404515482639,0.0526911349018777,0.0903229976392222,0.0749350730205538,1.02122024698476,0.423405366242286,0.369258620048375,0.0563470078254525,0.0854665480200861,0.068087767728057,104.546,1.47000000000025
"11437-20","heavy",2000,0.4775,1.02831468074661,0.457875612772118,0.197953989930473,1.05578689016642,0.378604926484999,0.222394566531298,0.0522896050426749,0.0826764909870521,0.0678212771814396,1.02322888203594,0.364451207980688,0.308175734029981,0.058827230408352,0.0846824144669592,0.0660293351784932,111.147,1.44500000000016
"11437-21","heavy",2000,0.483,0.951298981778042,0.577262066743428,0.243593314040506,0.966758134896158,0.442166826735466,0.244305434541236,0.0501366555505539,0.0637703452235262,0.069962537458629,0.925244910767266,0.377772996029256,0.411308333037775,0.0552652911357117,0.063281911274651,0.068082054204478,167.896,1.45000000000027
"11437-22","heavy",2000,0.4795,1.0274182904816,0.498527010176626,0.178372557006422,1.02905528290878,0.509890289319656,0.21385851772559,0.0544973637038678,0.100311872368711,0.0662019355172183,1.00775976598241,0.444745052915661,0.29722814455589,0.0559585783314057,0.0959764244401433,0.0635871860691141,126.291,1.44299999999976
"11437-23","heavy",2000,0.4755,1.03119684765356,0.476012445880291,0.26123513380753,1.04572790235062,0.439880186957663,0.266882413800591,0.0505147309544226,0.0929156179421747,0.0674645988448923,1.01920769571299,0.393324623680107,0.376972541198699,0.057358351750352,0.091869062025012,0.0663907704439477,113.448,1.57200000000012
"11437-24","heavy",2000,0.514,0.917661410058979,0.547082742272255,0.342872237516644,0.924375665187959,0.528918294852531,0.320875485992448,0.0520049675221071,0.081100550129465,0.0701206835132568,0.887355126966347,0.420321981519902,0.481033934626156,0.05959469122564,0.0713356501919286,0.0669779552046966,132.034,1.45200000000023
"11437-25","heavy",2000,0.458,0.913340273545681,0.487683107697394,0.337730446213455,0.906113695068628,0.541520816432357,0.340186160648745,0.0553387587662732,0.107775728290414,0.0694783266380383,0.878370181214428,0.502320935374319,0.441005074140981,0.0597593893977127,0.107033844796578,0.0662743918052912,81.8879999999999,1.77700000000004
"11437-26","heavy",2000,0.483,1.04077260955683,0.495848773016271,0.219825201709421,1.01468095743388,0.589599382557186,0.236636198104161,0.0547512176683777,0.104123621495809,0.07067392132221,0.977889936546274,0.528517148647232,0.344958606005747,0.0588412094944786,0.0988233570340251,0.0651707411171126,86.98,1.45000000000027
"11437-27","heavy",2000,0.482,1.00989422926167,0.451722370146353,0.313940027284146,1.02529999073652,0.37647126006815,0.316144077666112,0.0501415530307351,0.0697471426578831,0.0672582732818342,0.979534163769117,0.317922584127259,0.437648696318099,0.0548930172805422,0.0628161304193603,0.0641907710126382,119.184,1.4409999999998
"11437-28","heavy",2000,0.4835,0.949523976579218,0.562109726165473,0.245827036765265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0520000000001346,0.0519999999996799
"11437-29","heavy",2000,0.4915,1.00141475761277,0.475769176401778,0.240870144081411,0.962923827634387,0.611455394951262,0.241295208686716,0.0546906395291943,0.0908259848757156,0.0667656084462014,0.929439726446652,0.570205506044133,0.352235984557672,0.0578219628822739,0.0902174453332907,0.0636262126916047,119.921,1.44899999999961
"11437-30","heavy",2000,0.4835,0.988713154778926,0.47111906907623,0.251668885644766,0.981683668699147,0.520661934715255,0.26650952622325,0.0508839408290472,0.0985099562931128,0.066823868833911,0.953288087359451,0.477979289159487,0.368928320650645,0.0563710880129635,0.0944658097578593,0.065031087804896,139.852,1.77699999999913
"11437-31","heavy",2000,0.493,1.01097389177128,0.509638385032122,0.244436650720567,1.03836640946062,0.406536902489633,0.220585898774122,0.0520513860562609,0.0678437488662031,0.0703374793795793,0.992575424294193,0.374678392555089,0.368343168084485,0.0575862515579478,0.0703370813359698,0.0670396687582678,89.0729999999994,1.45399999999972
"11437-32","heavy",2000,0.4805,0.963200634393288,0.580158710885227,0.196316090201992,1.00540886033332,0.400645131496936,0.176521255667224,0.0495886971656548,0.0622455350326233,0.0736537562890954,0.944490485232922,0.318455830213777,0.36678507493254,0.0545632975459785,0.0516814934747038,0.068026394002479,128.965,1.58600000000024
"11437-33","heavy",2000,0.494,1.01010057583857,0.491601077626214,0.248923705841865,0.997241901230995,0.559980942504678,0.222616435734917,0.0507991814051466,0.0861540677032762,0.0721302413376566,0.95034580440063,0.480972111036724,0.389331056414174,0.0569290040337523,0.0786683960963226,0.0633743427700928,108.36,1.44899999999961
"11437-34","heavy",2000,0.4885,1.03037141999235,0.540237453278558,0.249772828610809,1.00899808914897,0.629703845175254,0.272708668970986,0.0533432619015581,0.0975684525813024,0.0684351323117094,0.955972202065122,0.622105039841331,0.382209128463887,0.0591946747243699,0.0992150025540218,0.0660527724203632,88.5110000000004,1.64199999999983
"11437-35","heavy",2000,0.4845,0.979701291474289,0.514006994323512,0.239794003639682,0.985776065669759,0.485918709981814,0.213716975297175,0.0499378493357666,0.0764251855594652,0.0672001725626669,0.938463570941706,0.475064877219659,0.352826270674793,0.0560678411344619,0.0856939107857623,0.0635456396206489,95.2729999999992,1.76299999999992
"11437-36","heavy",2000,0.4565,1.03873399721738,0.450257134248931,0.298796049833437,1.05488026718281,0.412167640123939,0.319495634646905,0.0507708018680959,0.0929234400295663,0.0685589835558105,1.02853090283483,0.417394201195779,0.396800644112925,0.0564272908258975,0.102262402765902,0.0651698608393716,95.1729999999998,1.43900000000031
"11437-37","heavy",2000,0.498,0.976953330624459,0.487711930471001,0.266013014890195,0.981263061644722,0.484507956490745,0.262827789725325,0.0524917351430351,0.0835404280568807,0.0733872323971027,0.925796264983356,0.51437508948093,0.39434352382005,0.058150262271047,0.0974172563489176,0.0672018009000253,83.6639999999998,1.60800000000017
