"sim","censoring","n","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_extrap","beta_extrap","gamma_extrap","se_alpha_extrap","se_beta_extrap","se_gamma_extrap","alpha_extrap_no","beta_extrap_no","gamma_extrap_no","se_alpha_extrap_no","se_beta_extrap_no","se_gamma_extrap_no","time_extrap","time_extrap_no"
"11439-1","extra_heavy",5000,0.809,0.982053444148049,0.544737747991611,0.252956776503143,0.99233569807384,0.71098465328611,0.294501635681201,0.0221555085110658,0.0828040399468939,0.0302182139298163,0.947134271704231,1.09888416125607,0.317112965142601,0.0247386272674499,0.121035712974361,0.0285235523891199,134.918,7.29199999999992
"11439-2","extra_heavy",5000,0.8222,0.994096832707417,0.488983682026931,0.282032915656274,0.990054978720994,0.514807226616512,0.323139770573803,0.0219236734498973,0.0623065366982312,0.0307975675628003,0.954664831682664,1.06307785082887,0.367291589204869,0.0247655000959234,0.132283299314476,0.0294678726537774,82.4850000000001,8.16899999999987
"11439-3","extra_heavy",5000,0.8144,1.00242422015704,0.478817004978459,0.255626250082799,0.987288898276458,0.613015017087392,0.242995593066854,0.0220812072377379,0.0659077151693774,0.0310221670657196,0.954304785243322,1.01983999579051,0.287432379935609,0.0242261002202094,0.115048753504063,0.0295888989423366,114.357,7.6550000000002
"11439-4","extra_heavy",5000,0.8172,0.991482448725767,0.51529789205093,0.244854951342419,1.05661762251027,0.657854322226018,0.280332444845196,0.0222544730922286,0.1071902735259,0.0321114074500439,1.0278814695553,0.724468216893759,0.315245605861913,0.0243341467288498,0.118538939251946,0.0301405194397232,146.846,8.42599999999993
"11439-5","extra_heavy",5000,0.8144,0.980993107896228,0.495701534673406,0.249216880391815,0.982858915079558,0.831903124411549,0.294591318771629,0.0223487524403355,0.105406993736734,0.029874447767163,0.94538906629826,1.16028081101411,0.315883943964422,0.0241701693053563,0.133089486957857,0.0296791025803509,130.395,8.01299999999992
"11439-6","extra_heavy",5000,0.8234,1.02200188917462,0.464647906337303,0.255148082407849,0.987959907688017,0.653362376563306,0.215392838409082,0.0215917012244731,0.0622269702473686,0.0320702827511693,0.941923676238336,1.29410531298374,0.281673530814428,0.0236758226644049,0.128607113756996,0.0301781937842736,99.203,8.45600000000013
"11439-7","extra_heavy",5000,0.8198,1.01715955318667,0.45550895992863,0.248858352345952,1.01858534871358,0.578990764536194,0.210342554821848,0.0217796409438387,0.0639246390221914,0.0324547238663675,0.967494795577184,1.13187540175675,0.265758601204582,0.0239503636222868,0.120106104028497,0.0296426946790148,107.17,8.07699999999977
"11439-8","extra_heavy",5000,0.8272,0.957512592189314,0.529705898532105,0.279268983088547,0.972112892644222,0.523527712063616,0.247101436936249,0.0219545978741725,0.0545418859619256,0.0315052834859748,0.926950611656202,1.22522266632548,0.308062150752779,0.0255116649193625,0.131129999943932,0.0292062940213052,82.8530000000001,8.9340000000002
"11439-9","extra_heavy",5000,0.8202,1.00730286218239,0.509148557738847,0.197512431996644,1.02355627239137,0.464311448326385,0.201031958607295,0.0215577013409984,0.0520124975212938,0.0311577937928365,0.98509655493091,1.08268329875479,0.252705237832371,0.0239843327654479,0.120441712008936,0.0292361014043438,73.8230000000003,7.58600000000024
"11439-10","extra_heavy",5000,0.826,1.00056332506336,0.481466344705027,0.266116361164075,1.01900819255888,0.572048425591467,0.259281428797647,0.0218152834377751,0.0729384403026918,0.0315720425409833,0.990838941793226,0.93369554488753,0.302262451008066,0.0244194426787147,0.120967967755599,0.0301942743105766,108.664,7.346
