"sim","censoring","n","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_extrap","beta_extrap","gamma_extrap","alpha_extrap_pooled","beta_extrap_pooled","gamma_extrap_pooled","nse_alpha_extrap","nse_beta_extrap","nse_gamma_extrap","bse_alpha_extrap","bse_beta_extrap","bse_gamma_extrap","ese_alpha_extrap","ese_beta_extrap","ese_gamma_extrap","alpha_extrap_no","beta_extrap_no","gamma_extrap_no","alpha_extrap_no_pooled","beta_extrap_no_pooled","gamma_extrap_no_pooled","nse_alpha_extrap_no","nse_beta_extrap_no","nse_gamma_extrap_no","bse_alpha_extrap_no","bse_beta_extrap_no","bse_gamma_extrap_no","ese_alpha_extrap_no","ese_beta_extrap_no","ese_gamma_extrap_no","time_extrap","time_extrap_no"
"11422-1","extra_heavy",500,0.8,0.996311229471043,0.589784528513009,0.219095752173871,0.98904588408971,0.884136058177004,0.246535180766168,0.982878165189428,0.89342870098226,0.24422780254103,0.0932325501021812,0.334993716068973,0.119318057264383,0.125577125266461,0.464685609956197,0.165794942587385,0.0841029900405249,0.321870101198376,0.115190268583953,0.924221533148592,1.69777641504544,0.358231254495825,0.91822968428739,1.71619359229263,0.36155537292031,0.117078400029903,0.689408622819072,0.100203133836743,0.159196495868754,0.959860116859123,0.142742440677497,0.107796297314668,0.666771709822442,0.101628119894249,4.83500000000001,0.587999999999994
"11422-2","extra_heavy",500,0.8,1.01730410797497,0.46417784360558,0.315309434561237,0.90658463775355,1.96130013941514,0.223065037148113,0.903182566323711,1.96774844532738,0.222415233065263,0.0931430489707579,0.606015374966871,0.128483452354226,0.129155345509556,0.844478509260033,0.17775073675752,0.0888836246478069,0.584499118120523,0.12230524126396,0.845325522157065,2.40672163727459,0.324468074600811,0.841543418009655,2.44095893558038,0.326044363515475,0.109392311992631,0.758585233834201,0.109124058385203,0.147752496859386,1.03072763992653,0.153674149399177,0.0989646865301945,0.694626471128906,0.10799089360455,6.28,0.573000000000008
"11422-3","extra_heavy",500,0.818,1.02904577543961,0.416835925943374,0.274925519133789,1.14214126383463,0.0665511354192915,0.380545504006754,1.13924587023024,0.0671847618291772,0.382951473250948,0.108093135342027,0.415470627536866,0.108691715821559,0.152882184372681,0.575075347978454,0.146113670564529,0.107716254247734,0.396132383145254,0.097708442454007,1.16885097303067,-0.0797856735010946,0.391945503044537,1.16913621144815,-0.0957847405489094,0.394150769476307,0.124758092253958,0.651152611589807,0.0978065819818933,0.171840183633313,0.892474666879827,0.136262396632967,0.117651508372482,0.606320325372945,0.0947652906756284,5.54399999999998,0.564999999999998
"11422-4","extra_heavy",500,0.806,0.886781790198174,0.57663895159639,0.391647368005943,0.816622205245428,0.525172683900973,0.371277372230741,0.823147160967513,0.510147977887892,0.371604542518803,0.0965934253755482,0.160756662052777,0.103245736978875,0.142242925585773,0.227762922642432,0.143476587968204,0.104609290708605,0.161744814353319,0.100006948560634,0.702734895294129,2.17342906615003,0.470940578221515,0.709691468995694,2.13412904573296,0.469916481970989,0.120926120109239,0.639196789889192,0.0938660104785849,0.179724865771705,0.933397868506278,0.131091680446974,0.132764852452542,0.679394023156597,0.0916116423723932,3.50200000000001,0.568999999999988
"11422-5","extra_heavy",500,0.832,0.992523841046342,0.625038364064989,0.271200722914091,1.07562711914085,0.318454839557888,0.222136004769317,1.07412812731481,0.32372869321652,0.213440518159319,0.0833642067117329,0.163107225773407,0.14284134557988,0.111345870563663,0.213829068453861,0.193357492277968,0.0732916449316368,0.136373745161918,0.129026203019057,0.9307005380019,1.679426218286,0.355800263983271,0.931689016045085,1.65853585924439,0.361686511870502,0.123420860804001,0.710002054443395,0.0982642113472258,0.161326908632521,0.935386325909888,0.135284177923684,0.103509871355184,0.606302730990846,0.0929369301924567,4.197,0.568000000000012
"11422-6","extra_heavy",500,0.818,0.990081114703296,0.322267329753163,0.326488414674896,0.99489311477401,0.201327805340733,0.174096003679308,0.996077071718046,0.202868407836856,0.175510980192791,0.0770519222438549,0.0972953738936942,0.150201626943665,0.109018207826724,0.132138275980292,0.206397455924278,0.0772838215216664,0.0890825013386128,0.141221620695628,0.839198260805257,1.78987678209444,0.337558404064401,0.844428754312972,1.76060122968734,0.342402951849479,0.120488307147662,0.763925793363856,0.0990904364101996,0.167768377963345,1.04810461306875,0.136821797818816,0.116791323001105,0.71641006300358,0.0945431030103994,3.05700000000002,0.566000000000003
"11422-7","extra_heavy",500,0.798,1.04911524806674,0.429541986757237,0.2872148546793,1.08333343585852,0.298752420204043,0.285259820439628,1.08163579036872,0.312707532351326,0.276923873142993,0.0819604329243757,0.178961250349752,0.112507108055557,0.116668135093752,0.26030718621543,0.163114262226014,0.0832288488813012,0.18895618614434,0.11816211640345,1.01355219406769,1.01216819206943,0.358129021992837,1.01256609150742,1.01813993043359,0.358381716553794,0.108303031195666,0.56174219204922,0.0911622824707564,0.156277055763059,0.800860711907208,0.129135778813437,0.112308241687095,0.5689808548695,0.0914593765950985,4.10599999999999,0.567000000000007
"11422-8","extra_heavy",500,0.822,1.08634818432402,0.524220583051863,0.175907721664173,1.11183384770847,0.323449810012218,0.250345763608036,1.10472926533182,0.336192414794317,0.249925326934252,0.0988520423729248,0.184148072162805,0.104212230476044,0.132670288453464,0.253777547276189,0.144880697455859,0.0885254916288579,0.174403053304857,0.1007044602716,1.07602248996674,0.965932088649623,0.309083519711745,1.08445295709955,0.927819284737163,0.310330936832766,0.121649927080216,0.592079436702042,0.0938240711672697,0.163904272641438,0.789315587829234,0.132484801641509,0.109265748642259,0.520307940494231,0.0936843010326279,3.88,0.566000000000003
"11422-9","extra_heavy",500,0.782,0.997369242299255,0.521143738155341,0.155994282363652,1.07897247184085,0.194996364133128,0.203563629954582,1.0814874881154,0.193658163871382,0.205040814437268,0.0799836078093121,0.12141232608968,0.137326622451697,0.107538367742815,0.173312954079741,0.198757808517831,0.0719813616457349,0.123418758328797,0.143597644716448,0.980138119348081,1.35464659102602,0.301441840302893,0.984583015751983,1.33368863738555,0.302330749551045,0.114909429661196,0.758766859546238,0.101957541588301,0.15383719615265,1.04366369294525,0.142462252932404,0.101803725460218,0.714128366743241,0.099506968006192,2.904,0.588999999999999
"11422-10","extra_heavy",500,0.776,1.01617977426496,0.377824683690879,0.269772481354888,0.992791516655547,0.613424730180455,0.116385225479182,0.992545193978742,0.612930033345444,0.113429088973806,0.0780074805873176,0.195350785796273,0.12678933335111,0.107907865655737,0.262494252120615,0.172751089964887,0.0745515672246961,0.174202320018294,0.11697076071298,0.865924812307868,2.18007006917839,0.279423593261484,0.868349685481931,2.17597533368805,0.283723421522777,0.108131525921801,0.720822593333809,0.0996729462501163,0.148698048868258,1.00234351457329,0.13765969089025,0.101886261355709,0.695578155447822,0.0950521618020777,3.666,0.562999999999988
