"sim","censoring","n","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_extrap","beta_extrap","gamma_extrap","alpha_extrap_pooled","beta_extrap_pooled","gamma_extrap_pooled","nse_alpha_extrap","nse_beta_extrap","nse_gamma_extrap","bse_alpha_extrap","bse_beta_extrap","bse_gamma_extrap","ese_alpha_extrap","ese_beta_extrap","ese_gamma_extrap","alpha_extrap_no","beta_extrap_no","gamma_extrap_no","alpha_extrap_no_pooled","beta_extrap_no_pooled","gamma_extrap_no_pooled","nse_alpha_extrap_no","nse_beta_extrap_no","nse_gamma_extrap_no","bse_alpha_extrap_no","bse_beta_extrap_no","bse_gamma_extrap_no","ese_alpha_extrap_no","ese_beta_extrap_no","ese_gamma_extrap_no","time_extrap","time_extrap_no"
"11423-1","heavy",2000,0.484,1.0114319126153,0.562158353874311,0.172694806480581,1.05095082614425,0.503366429121144,0.263107247497039,1.05036848120002,0.510116589307354,0.261700806990224,0.0361567867258362,0.0698277799209321,0.0473622211811923,0.0502121000126195,0.1002857377547,0.0689016572926625,0.0348490862516588,0.0718041893574803,0.0500199719998684,0.980868742904363,0.673642565083049,0.199939395170545,0.981080801759826,0.677554177459845,0.19916098666825,0.0380499798493749,0.0737612540003566,0.0483150956399204,0.0542828259817497,0.104478989127836,0.0663710366221251,0.0387149058190483,0.0739905312598289,0.0454854845797321,42.779,1.61300000000006
"11423-2","heavy",2000,0.4905,0.976973931871863,0.537283675521354,0.222371135272237,1.05430011656383,0.342500257609081,0.34538817233552,1.05375216967577,0.341112071991748,0.344291558643106,0.036251168409006,0.0536995600509704,0.048202578413367,0.0492197297828968,0.0744856890173135,0.0673813474446003,0.0333643528114976,0.0516487331090585,0.0471400675131008,0.943767380245044,0.620624414316599,0.25303444280559,0.943843888160859,0.621594126526506,0.251649595772896,0.0395568359910658,0.0674804023740292,0.0494908961745666,0.057317456652194,0.0979924380819733,0.0700948825153152,0.0415010388677034,0.0710661338362553,0.0497108903028932,47.521,1.65000000000009
"11423-3","heavy",2000,0.475,0.954956593405558,0.481345077220327,0.222957272261895,1.01530879298241,0.405229613892095,0.347307772061476,1.01651681291326,0.401575127980804,0.345819097032276,0.0361634664762069,0.0777620452804304,0.0470172005025317,0.0495204388752799,0.109916785311298,0.0648151459823474,0.0338791066595568,0.0776650228038157,0.0446838697698533,0.950630933671418,0.527547127456117,0.256396100781757,0.951822074143296,0.522934261376417,0.254896654601681,0.0384456424916239,0.0745441086686349,0.0493187977539404,0.0524867230329319,0.104400608038738,0.0690374033200691,0.0357538439920224,0.0730764472691353,0.048324763179674,48.5729999999999,1.66699999999992
"11423-4","heavy",2000,0.4815,0.979622730690312,0.471809035874192,0.259262476823691,1.03101305253841,0.372023618239511,0.376771072515258,1.03083457821309,0.373471142301564,0.379626310692155,0.0374421977655106,0.0703206829394984,0.0486515751064377,0.0527843686134563,0.102947228391954,0.0676294454257795,0.0371463236833384,0.0751005148698212,0.046945772692557,0.953959642428314,0.581065851094399,0.261955704003014,0.956198629404884,0.578868155664777,0.259383894153059,0.0388967614326563,0.0709493254142158,0.0512943562251901,0.0535924543821586,0.100670971547278,0.072047211596834,0.0368930414251781,0.071521975577554,0.0507030719108338,46.578,1.61099999999988
"11423-5","heavy",2000,0.489,0.97258630553677,0.454283558245654,0.289684403100727,1.01050538526649,0.392547735617386,0.356075779525116,1.01066008919601,0.394977141251285,0.35534694713127,0.0347025288441319,0.0555492469526299,0.0469916619725102,0.0492831079635095,0.077812300352053,0.0662433330737296,0.0350388484983508,0.0545132634647578,0.0467016076690762,0.941009752069681,0.543149988091141,0.287017975908435,0.94049738133652,0.543022309327864,0.287693607395223,0.0375587782718542,0.06629842198838,0.0488054565355427,0.0522094509185405,0.095917489573598,0.0667616963855487,0.0362799627312064,0.0692437545728991,0.0455245878851155,45.3110000000001,1.61800000000017
"11423-6","heavy",2000,0.4805,1.03801352276307,0.488412459358801,0.169223135223961,1.06012906203577,0.455581301991302,0.272919329390913,1.06000881063218,0.455752104678342,0.274738831328682,0.0358209936825733,0.0647942759768727,0.0467427220860172,0.0505738326513018,0.0897466456957392,0.0652771735871582,0.0357187273845191,0.0620679808318459,0.0455866877212,1.0101287018237,0.555620351329752,0.196887454963155,1.00918121139376,0.557654369791383,0.195893397906377,0.0373880966726903,0.0668458030436015,0.0486202036149844,0.0523886981405036,0.091772472598377,0.0676682405550116,0.0367280982251293,0.0628960117833532,0.0470740380593191,44.2199999999998,1.75499999999988
"11423-7","heavy",2000,0.4905,1.02128016164224,0.475784563861297,0.220380736409953,1.06089885913461,0.40395003975749,0.292103307362916,1.06278301002891,0.399183280211785,0.290948492366164,0.0357986994085194,0.057981758611587,0.0472834048680202,0.0491778649122229,0.0841384322107388,0.0667459141708613,0.0337873666724048,0.0609068327596443,0.0471533520524613,1.00896527100275,0.518553040905636,0.237599142663785,1.00991402205197,0.516959327223507,0.238512933827841,0.0382642642039094,0.0679139714179516,0.0489218736522824,0.0544922501575562,0.0983973325573756,0.0712314363457973,0.0388250162908764,0.0711839097068987,0.0517792162983933,44.9639999999999,1.64700000000016
"11423-8","heavy",2000,0.4925,1.01229994615312,0.467596822953064,0.282338500271688,1.0404322813844,0.48375572558059,0.31348609648472,1.04321252960327,0.481112624749432,0.310983052223803,0.0353473701533068,0.0595177145869217,0.0464438497567468,0.0494331330644173,0.0863687567873221,0.0663581462680057,0.0345337252663751,0.0623891970616452,0.0473958672012153,0.997032678493907,0.557511379327798,0.26712669732036,0.995865158792735,0.559720251585374,0.267149870422307,0.0376723428852121,0.0669582722920609,0.0478853371006861,0.052809827260356,0.0983920823793958,0.0688175593164592,0.0370134107933343,0.0721329733976687,0.0494173571207665,44.383,1.79500000000007
"11423-9","heavy",2000,0.479,1.02415782121583,0.467292464354437,0.226876222204891,1.06457702453846,0.398416977456773,0.319054141688796,1.06475047997059,0.398269092799771,0.317989586582761,0.0362817908536464,0.0636970401557804,0.0468189302540623,0.0503898226447582,0.0897708580506448,0.0656413449031232,0.0349216944601459,0.0632030686180517,0.0459838000444421,1.00678140290242,0.538839327008266,0.259871784984616,1.00632969855726,0.540621364194093,0.260442679704321,0.0389082264777405,0.0734649952270505,0.0484040582715909,0.0539043360301832,0.106350396886037,0.0670854739456022,0.0373100097926523,0.0769060960151652,0.0464649510799603,44.2379999999998,1.7489999999998
"11423-10","heavy",2000,0.4935,1.04325495086158,0.453146351098819,0.220582354715638,1.05924170724655,0.487213944307798,0.254991288238135,1.05626532157534,0.48571921137247,0.256430881296999,0.0365863666251298,0.0615086147590075,0.0488169920355672,0.0519944678221498,0.0882461913095456,0.0701737977258718,0.0369526087561477,0.0630984815099197,0.0504091845398037,1.018419036635,0.553510163672132,0.229748044069593,1.01856831241544,0.553722662138475,0.230317503107048,0.0386656857008484,0.0679411339466933,0.0496231757429948,0.0537513111900378,0.0976627735018894,0.0696415015417193,0.0373400648256257,0.0701608672715911,0.0488509849705592,40.769,1.61400000000003
