"sim","censoring","n","B","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_extrap","beta_extrap","gamma_extrap","se_alpha_extrap","se_beta_extrap","se_gamma_extrap","alpha_extrap_no","beta_extrap_no","gamma_extrap_no","se_alpha_extrap_no","se_beta_extrap_no","se_gamma_extrap_no","time_extrap","time_extrap_no"
"11439-1","extra_heavy",2000,80,0.804,0.979846496538999,0.510377209663588,0.239794741251256,1.02321943860117,0.383307165531097,0.280025038363947,0.0667140151365674,0.206528888777491,0.0801589608675075,0.968850675790949,0.892586433072516,0.378867941678211,0.0860582516932463,0.420690241012689,0.066193888042116,1576.102,12.3199999999997
"11439-2","extra_heavy",2000,80,0.8165,1.00879573713667,0.499978121574273,0.22909032826699,1.0295744289381,0.358782622883994,0.205402315498484,0.064652414809043,0.124350207660153,0.0959021107084073,0.907902466550351,1.34110652401151,0.354970876986462,0.0878083408525297,0.418136142140441,0.0706299217281504,1241.977,12.3739999999998
"11439-3","extra_heavy",2000,80,0.811,1.00924866898928,0.465684033459941,0.2239555456056,0.982444288741082,0.769240172029936,0.226709836476103,0.07257790543632,0.376479949592553,0.0885128326809283,0.938348116914145,1.17376104221579,0.35931133766538,0.0870304689931458,0.467565847936436,0.0663219445229061,1777.243,12.2880000000005
"11439-4","extra_heavy",2000,80,0.8115,0.985894289230861,0.473755358221398,0.309795746436904,0.966196885525735,0.637571519443239,0.222168894266533,0.0711099075297488,0.253813476298166,0.09341647119798,0.872947009106147,1.11605807567637,0.430414906952214,0.0827187432737238,0.375242595091244,0.0614191768658183,1721.264,12.4169999999976
"11439-5","extra_heavy",2000,80,0.8165,0.989609280466514,0.530027452540179,0.249262610638244,1.0419675886413,0.56548591316394,0.277259770469288,0.0629581730650541,0.26219965125112,0.0950920573278866,0.981937386006273,0.932091664030174,0.423456142973885,0.0877072565119827,0.40175643546787,0.0696687867001549,2013.179,12.3350000000028
"11439-6","extra_heavy",2000,80,0.8175,0.957583759608458,0.503939566895443,0.31449491102515,0.960141546363579,0.404583272911984,0.294039915888444,0.0725292710439201,0.179145551937562,0.0892142274937726,0.87179392282623,1.29806955887282,0.451769999238724,0.088984159625863,0.455749854909833,0.0616954623253874,1290.065,12.3729999999996
"11439-7","extra_heavy",2000,80,0.8065,1.0012154568509,0.486892541143635,0.273377642195687,0.993954096144504,0.35852539420267,0.230755026326328,0.0608927157974961,0.131010194292679,0.0875740884504587,0.909198058080874,1.27465829243875,0.3914405210324,0.080700777133169,0.397757600766968,0.0642737764540206,1214.985,12.4030000000021
"11439-8","extra_heavy",2000,80,0.831,0.978620669017232,0.560284284446444,0.220064307536886,0.921661154566715,0.890441871879654,0.205224822289247,0.0800346745356317,0.361012539014584,0.0951062817472519,0.805920303850995,1.79226391901189,0.385036621471552,0.0891389585349488,0.428618400220098,0.0648636875554614,1964.785,12.5770000000011
"11439-9","extra_heavy",2000,80,0.8155,0.964745929476404,0.485810801566284,0.338387453031661,0.931378358299985,0.834672448920837,0.37317224188612,0.075193827402573,0.367645493697594,0.0699169812127488,0.855610349485139,1.71522197333255,0.456540006607314,0.0897623259851669,0.505755555023883,0.0638998655416695,2020.336,12.3630000000012
"11439-10","extra_heavy",2000,80,0.8265,1.06360553113835,0.460396802085121,0.193787313280962,1.0719893479937,0.536493081165379,0.190409250998232,0.07303262751167,0.224325912909215,0.0875070152515459,0.980884046965129,1.11956739271372,0.349763141351162,0.0943708923704632,0.391203354075125,0.0635357812700537,1849.425,12.5010000000002
"11439-11","extra_heavy",2000,80,0.8165,0.960558977147192,0.494896672733008,0.336038569364186,0.934599096883807,0.767921769536076,0.346314366335108,0.0717212213423904,0.268631040074306,0.0859361344356066,0.849850103258806,1.19785113391989,0.481127739961345,0.0892948683795638,0.378703533544565,0.0611241680800353,2269.675,12.2819999999992
"11439-12","extra_heavy",2000,80,0.801,0.971294525040345,0.510227088320408,0.239237566791344,0.949415948349182,0.383760938334095,0.136770727498117,0.0575914573681767,0.121462951463971,0.0937659994338755,0.798330594144414,1.62965778033174,0.399629301246616,0.0841072683045142,0.400048021546994,0.0712615439901411,1110.849,12.3229999999967
"11439-13","extra_heavy",2000,80,0.815,1.02739931278428,0.511082455359425,0.241141589422156,0.992166191009579,0.600963424928385,0.278619007154693,0.0708750447458039,0.229013340951084,0.076821047169274,0.918854977588528,1.26421889666185,0.380548028950702,0.0852184995261366,0.375244840224171,0.0690180239641618,1817.016,12.3260000000009
"11439-14","extra_heavy",2000,80,0.829,1.01307715882271,0.543139441449178,0.199752282592529,1.01975709540806,0.555747167261209,0.131251776868431,0.066479904207777,0.213415840554353,0.0970997516951947,0.926717427931867,1.40962677053829,0.354287653220203,0.0914163659278008,0.460820645201496,0.0678481651805587,1545.417,12.5210000000006
"11439-15","extra_heavy",2000,80,0.8175,0.996960624081243,0.498153840237889,0.267840802572877,1.01822537635099,0.495996378514039,0.314754164644772,0.0716741914225819,0.261828233170179,0.0854951920878363,0.954827915216514,1.05841097171551,0.427892230990037,0.0827575357866134,0.427327320336895,0.070501326920232,1846.575,12.3700000000026
"11439-16","extra_heavy",2000,80,0.8195,1.03607778005802,0.52086597152687,0.177010336238403,1.07863928314555,0.555308212680475,0.191141641454715,0.0618149209519083,0.24143306572617,0.0890482445839943,0.978541515437134,0.880346115154943,0.32656146684411,0.0903140905891037,0.404660009689923,0.0658912184087828,2498.216,12.3930000000037
