"sim","censoring","n","B","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_extrap","beta_extrap","gamma_extrap","se_alpha_extrap","se_beta_extrap","se_gamma_extrap","alpha_extrap_no","beta_extrap_no","gamma_extrap_no","se_alpha_extrap_no","se_beta_extrap_no","se_gamma_extrap_no","time_extrap","time_extrap_no"
"11425-1","heavy",2000,50,0.4805,1.01724937513257,0.501195234292516,0.281301158032438,1.09436124994611,0.365199640770451,0.357157715828098,0.0509498502443447,0.101709366877487,0.066919210986481,1.02070788347554,0.429888141578767,0.386281930088343,0.0641255465042054,0.114440663858654,0.0679558409774695,1719.09,5.53299999999945
"11425-2","heavy",2000,50,0.4715,1.03915142810927,0.532605844105612,0.192446040452122,1.10036419472627,0.452661559521926,0.300972140727942,0.0492520835684464,0.11183134599714,0.0670981614982809,0.992779259508336,0.496578815153613,0.324485530559996,0.0494218586526498,0.0822941810069221,0.0624088309059984,1773.607,5.4900000000016
"11425-3","heavy",2000,50,0.492,1.06345042691178,0.517293873805807,0.189650336766871,1.13438391836976,0.346215628150408,0.30164999502677,0.0505775277724654,0.0918913341318121,0.064270670652967,1.03632391561588,0.464142282889598,0.306004579270764,0.06318683358164,0.100411596945913,0.0702655626726122,1806.413,5.49599999999919
"11425-4","heavy",2000,50,0.48,1.02976015801385,0.51445523941501,0.231631820644862,1.07313882914365,0.502994762851479,0.308634813906603,0.0507085444576182,0.113810592444295,0.0717602213240207,0.974012229923618,0.577188251070452,0.354116051643936,0.0565909463642309,0.104317832463672,0.0599894915271882,1680.204,5.5580000000009
"11425-5","heavy",2000,50,0.4935,1.01635605576993,0.43560374217995,0.269042966914461,1.05364184224993,0.38828639406942,0.374222756127051,0.0512540990039602,0.115227156891607,0.0665709720609979,0.970450047242573,0.461334030563972,0.384524591865336,0.0612008058684391,0.103549140567123,0.0717713008826327,1766.406,5.60699999999997
"11425-6","heavy",2000,50,0.5115,0.982148360880991,0.506346246879129,0.229860633291807,1.05345419868499,0.37418054302723,0.331482332988002,0.0497690363105003,0.0896371764249382,0.0649448580384011,0.929909743739284,0.512990048055041,0.342325242537057,0.0557605677031875,0.109827098571004,0.0653045164423434,1916.323,5.74600000000282
"11425-7","heavy",2000,50,0.516,1.00386519958947,0.54088554553902,0.227515564132083,1.09040349594122,0.406312718761532,0.327369657685335,0.0550780750914957,0.111385904046956,0.0748442477296344,0.948019860938713,0.517022683483128,0.360886818974011,0.0629996903761164,0.105677121985822,0.0706250826278395,1874.601,5.75800000000163
"11425-8","heavy",2000,50,0.4765,0.94130770396837,0.492138351632794,0.3093342321666,0.995118488157565,0.418977927793649,0.427250376266728,0.0531903408791723,0.114580870080743,0.0680995494490595,0.904162259958785,0.465110210912659,0.427738731676086,0.0578052368121843,0.093115324392653,0.0688050516643632,1771.258,5.51199999999881
"11425-9","heavy",2000,50,0.476,0.992942131185071,0.456718412346041,0.293948833017886,1.04675293478818,0.395100457775933,0.360757286162571,0.0482135668030298,0.105318865306622,0.0655879709355055,0.980944757838577,0.401371477415709,0.409277535360278,0.0593867794996058,0.0951867654261515,0.0654277808974483,1696.831,5.49699999999939
"11425-10","heavy",2000,50,0.4785,0.930631518935765,0.531151991505566,0.360446224629783,0.966674608815866,0.558506317777104,0.454862681683828,0.0508255874245148,0.114641141927155,0.067735885562912,0.863080730312251,0.555006243666865,0.472754515857199,0.0553565617732049,0.0886786921503592,0.0665651359602739,1811.387,5.52500000000146
