"sim","censoring","n","B","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_extrap","beta_extrap","gamma_extrap","se_alpha_extrap","se_beta_extrap","se_gamma_extrap","alpha_extrap_no","beta_extrap_no","gamma_extrap_no","se_alpha_extrap_no","se_beta_extrap_no","se_gamma_extrap_no","time_extrap","time_extrap_no"
"11426-1","light",2000,20,0.1825,1.08230058602666,0.456701982906895,0.19965720036395,1.11056029342267,0.415050722307586,0.234648906392163,0.0476305627931328,0.060060336584956,0.0634705373964661,1.07052466734722,0.418780437808386,0.251206197552231,0.0517731077235191,0.0708665870530004,0.0668679145628546,376.59,1.53699999999981
"11426-2","light",2000,20,0.1635,0.989285418448092,0.504936749393875,0.312661619456478,0.995537854420255,0.475297209925861,0.369032816982568,0.04957249945699,0.0704841955827595,0.0648001247341788,1.00551594698143,0.354121307939633,0.390571254779871,0.0581750450210234,0.0753236995427101,0.0752124168512733,340.491,2.03999999999996
"11426-3","light",2000,20,0.1555,0.957783381505624,0.5031107227276,0.295310945240838,0.98985110788603,0.450680191015496,0.333932724185942,0.046305373934473,0.0548308558692044,0.0674661674369528,0.958026348677458,0.395813135842709,0.365482105458419,0.0504543947453891,0.0634239358399349,0.065152701561026,330.737,1.45499999999993
"11426-4","light",2000,20,0.1665,1.02736294161032,0.464312690630554,0.24945295718614,1.06731415585826,0.383054026754912,0.280891997742075,0.0462779080426819,0.0563931935260721,0.0699575411286268,1.02950626502055,0.3951751782505,0.301729505545888,0.0515835266205213,0.0593063130551382,0.0605922475492982,332.557,1.4989999999998
"11426-5","light",2000,20,0.1785,0.957561719112013,0.506677276665595,0.28645385900649,0.975742158813656,0.479963867233588,0.344642993318563,0.0475899134939496,0.0721397745430494,0.0702934875642465,0.9334173509573,0.437410969722908,0.373557468146497,0.0492706095523056,0.0457261209776478,0.0718087555581306,368.559,2.13999999999942
"11426-6","light",2000,20,0.185,1.03769174522136,0.506337310244829,0.252457038830331,1.05805055539573,0.465026111842401,0.29626709625223,0.0526051610992639,0.0765979487219339,0.0737006970991884,1.03324198392897,0.477897883867409,0.301138929324694,0.0506707201016817,0.0629692675871937,0.0631534922593597,382.115,1.54599999999937
"11426-7","light",2000,20,0.16,1.04452595075075,0.477290630556755,0.24429744764961,1.03160399869987,0.519281406981263,0.29306456755311,0.046730690285707,0.0582204791392576,0.0672699251285925,1.02149781274462,0.460002561562728,0.295933025161085,0.0478599517604366,0.0569042098413912,0.0590833414174177,330.456999999999,1.45600000000013
"11426-8","light",2000,20,0.163,1.03297184166687,0.478322009605428,0.233036582443199,1.05797293634681,0.449375896200697,0.276097814127156,0.0513029410226222,0.0562513770476559,0.0654055059965894,1.01892932273629,0.42267019912012,0.297578640827961,0.0450786473673131,0.0555584048010798,0.0629693438290467,344.739,1.48199999999997
"11426-9","light",2000,20,0.1725,0.973159035222825,0.46930149104913,0.27725860685055,0.980789095879596,0.450571045030822,0.331866190389107,0.0504960442195622,0.0657377480849966,0.0667414151505081,0.973371758719977,0.344152818185636,0.37282564151026,0.0445155179102334,0.0825569443540193,0.0701727590336745,347.757,2.41800000000057
"11426-10","light",2000,20,0.172,1.00177699424904,0.496630003745537,0.244176035333369,1.01066776834067,0.440657560543313,0.30256666400955,0.0520756945585342,0.0696360919598345,0.0686782599226408,1.02152197287876,0.323040301944377,0.336809792690699,0.0566406513998635,0.0691414847613432,0.0668679422901294,353.251,1.50700000000052
"11426-11","light",2000,20,0.17,1.02680150936661,0.491678768191153,0.159150542958804,1.04406064017925,0.455885098884248,0.223544670091036,0.0477227794566981,0.0640224019731895,0.0646218908734706,1.02410316621821,0.374415387053411,0.25772001143618,0.0564651461605568,0.0943160082253258,0.0871034222689031,355.121,1.49600000000009
"11426-12","light",2000,20,0.166,0.958401296651443,0.421622195441555,0.352811842293151,0.961065409217,0.416097598830408,0.398595525108001,0.0495640265463082,0.0810910406126549,0.0654094969132733,0.956665798499897,0.343122247731642,0.430827172518103,0.0491758668636553,0.0523157092546643,0.0776445203238395,341.257,1.47800000000007
